Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GARDENSILK,EQ,02-Jan-2006,64.15,65.50,66.90,64.05,65.80,65.70,65.80,99976,65.78,-,41013,41.02
GARDENSILK,EQ,03-Jan-2006,65.70,67.40,69.35,66.00,67.50,67.55,67.80,171346,116.18,-,64540,37.67
GARDENSILK,EQ,04-Jan-2006,67.55,68.40,69.00,67.00,67.60,67.55,67.93,84757,57.58,-,43436,51.25
GARDENSILK,EQ,05-Jan-2006,67.55,68.70,68.70,66.00,66.70,66.50,66.61,55399,36.90,-,28356,51.19
GARDENSILK,EQ,06-Jan-2006,66.50,66.50,67.80,66.00,67.15,66.95,66.96,60648,40.61,-,31719,52.30
GARDENSILK,EQ,09-Jan-2006,66.95,67.20,68.00,66.50,67.00,67.20,67.27,40796,27.44,-,24294,59.55
GARDENSILK,EQ,10-Jan-2006,67.20,67.20,68.40,66.40,66.50,66.60,67.07,43260,29.02,-,25970,60.03
GARDENSILK,EQ,12-Jan-2006,66.60,63.55,66.65,63.55,65.15,64.85,64.99,99342,64.56,-,65827,66.26
GARDENSILK,EQ,13-Jan-2006,64.85,64.10,66.50,64.10,64.55,64.90,65.40,60749,39.73,-,30126,49.59
GARDENSILK,EQ,16-Jan-2006,64.90,65.00,66.25,64.30,64.60,64.70,65.05,46987,30.56,-,30413,64.73
GARDENSILK,EQ,17-Jan-2006,64.70,65.00,65.60,63.00,63.10,63.35,64.42,52287,33.68,-,30362,58.07
GARDENSILK,EQ,18-Jan-2006,63.35,63.50,64.60,61.60,63.15,63.70,63.57,37448,23.81,-,21680,57.89
GARDENSILK,EQ,19-Jan-2006,63.70,64.00,64.85,63.20,63.95,63.65,64.01,45512,29.13,-,28809,63.30
GARDENSILK,EQ,20-Jan-2006,63.65,64.20,64.90,63.80,63.80,63.95,64.22,61936,39.77,-,29909,48.29
GARDENSILK,EQ,23-Jan-2006,63.95,64.00,64.40,63.15,63.50,63.60,63.55,56402,35.84,-,38177,67.69
GARDENSILK,EQ,24-Jan-2006,63.60,64.00,69.00,63.60,67.00,66.75,66.61,217917,145.16,-,93981,43.13
GARDENSILK,EQ,25-Jan-2006,66.75,67.95,71.70,67.95,69.10,69.15,69.87,536080,374.55,-,174947,32.63
GARDENSILK,EQ,27-Jan-2006,69.15,70.10,70.40,66.75,67.20,67.05,68.26,150013,102.40,-,78308,52.20
GARDENSILK,EQ,30-Jan-2006,67.05,67.85,68.75,64.90,66.05,66.10,66.48,93820,62.37,-,43775,46.66
GARDENSILK,EQ,31-Jan-2006,66.10,66.60,67.25,65.10,65.50,65.80,66.11,78824,52.11,-,29824,37.84
GARDENSILK,EQ,01-Feb-2006,65.80,64.30,65.75,63.10,63.45,63.35,64.17,81027,51.99,-,49993,61.70
GARDENSILK,EQ,02-Feb-2006,63.35,63.90,64.25,62.30,62.40,62.60,63.26,72752,46.02,-,48577,66.77
GARDENSILK,EQ,03-Feb-2006,62.60,63.00,63.30,61.00,61.25,61.20,61.85,106008,65.57,-,62586,59.04
GARDENSILK,EQ,06-Feb-2006,61.20,61.20,62.75,61.15,61.65,61.65,61.71,57973,35.78,-,29051,50.11
GARDENSILK,EQ,07-Feb-2006,61.65,61.55,62.00,60.00,60.50,60.35,60.66,100411,60.91,-,73136,72.84
GARDENSILK,EQ,08-Feb-2006,60.35,60.50,64.50,59.50,62.65,62.45,62.68,163748,102.64,-,71375,43.59
GARDENSILK,EQ,10-Feb-2006,62.45,62.95,65.75,62.95,63.35,63.40,64.11,148959,95.50,-,67009,44.98
GARDENSILK,EQ,13-Feb-2006,63.40,63.90,63.90,63.05,63.50,63.45,63.42,67280,42.67,-,27042,40.19
GARDENSILK,EQ,14-Feb-2006,63.45,63.95,64.25,62.10,62.50,62.35,62.97,87937,55.38,-,49660,56.47
GARDENSILK,EQ,15-Feb-2006,62.35,63.00,63.80,62.00,62.20,62.15,62.56,65866,41.21,-,36063,54.75
GARDENSILK,EQ,16-Feb-2006,62.15,62.25,63.45,62.05,62.75,62.65,62.80,68405,42.96,-,43835,64.08
GARDENSILK,EQ,17-Feb-2006,62.65,62.95,62.95,61.00,61.30,61.15,61.94,82952,51.38,-,45980,55.43
GARDENSILK,EQ,20-Feb-2006,61.15,59.35,61.50,59.35,60.70,60.85,60.81,45714,27.80,-,22670,49.59
GARDENSILK,EQ,21-Feb-2006,60.85,60.85,62.00,60.85,61.45,61.30,61.48,51476,31.65,-,35832,69.61
GARDENSILK,EQ,22-Feb-2006,61.30,61.50,62.00,60.50,61.50,60.80,60.95,52171,31.80,-,30199,57.88
GARDENSILK,EQ,23-Feb-2006,60.80,62.00,62.00,60.10,60.20,60.35,60.68,36812,22.34,-,25022,67.97
GARDENSILK,EQ,24-Feb-2006,60.35,60.10,61.80,60.10,61.00,61.10,60.94,46556,28.37,-,27167,58.35
GARDENSILK,EQ,27-Feb-2006,61.10,62.00,63.60,61.00,61.70,61.90,62.47,93023,58.11,-,44483,47.82
GARDENSILK,EQ,28-Feb-2006,61.90,63.75,64.00,61.00,63.95,63.15,62.95,172389,108.53,-,88235,51.18
GARDENSILK,EQ,01-Mar-2006,63.15,64.40,64.50,62.55,63.60,63.55,63.75,110530,70.47,-,68723,62.18
GARDENSILK,EQ,02-Mar-2006,63.55,64.00,64.20,62.90,63.05,63.10,63.34,65145,41.26,-,51220,78.62
GARDENSILK,EQ,03-Mar-2006,63.10,63.05,63.10,61.60,62.15,62.15,62.41,48020,29.97,-,38083,79.31
GARDENSILK,EQ,06-Mar-2006,62.15,62.10,63.00,61.50,62.00,61.85,62.09,34918,21.68,-,24408,69.90
GARDENSILK,EQ,07-Mar-2006,61.85,63.00,65.00,61.05,62.20,62.35,62.91,157852,99.30,-,67938,43.04
GARDENSILK,EQ,08-Mar-2006,62.35,63.15,63.15,61.00,61.10,61.15,62.02,82818,51.36,-,49017,59.19
GARDENSILK,EQ,09-Mar-2006,61.15,61.00,61.60,60.30,61.50,60.85,60.64,41834,25.37,-,25372,60.65
GARDENSILK,EQ,10-Mar-2006,60.85,60.40,62.50,60.40,61.10,61.10,61.43,95814,58.86,-,42053,43.89
GARDENSILK,EQ,13-Mar-2006,61.10,61.15,62.25,60.40,60.50,60.65,61.01,75864,46.28,-,53336,70.30
GARDENSILK,EQ,14-Mar-2006,60.65,60.10,60.55,60.00,60.05,60.05,60.13,53778,32.34,-,42203,78.48
GARDENSILK,EQ,16-Mar-2006,60.05,60.10,61.50,59.50,60.20,59.90,59.99,64489,38.69,-,48061,74.53
GARDENSILK,EQ,17-Mar-2006,59.90,56.20,60.10,56.20,59.50,59.50,59.49,42035,25.01,-,30537,72.65
GARDENSILK,EQ,20-Mar-2006,59.50,60.75,63.65,58.55,60.75,60.85,61.33,300796,184.48,-,96066,31.94
GARDENSILK,EQ,21-Mar-2006,60.85,61.00,61.80,59.25,59.50,59.50,59.81,61093,36.54,-,41387,67.74
GARDENSILK,EQ,22-Mar-2006,59.50,59.20,59.90,58.75,59.20,59.05,59.15,57585,34.06,-,41826,72.63
GARDENSILK,EQ,23-Mar-2006,59.05,59.75,60.00,58.15,58.50,58.50,58.64,60716,35.61,-,44070,72.58
GARDENSILK,EQ,24-Mar-2006,58.50,58.25,59.35,58.00,58.50,58.35,58.50,48209,28.20,-,42628,88.42
GARDENSILK,EQ,27-Mar-2006,58.35,59.00,59.70,58.05,58.30,58.45,58.82,59815,35.18,-,46878,78.37
GARDENSILK,EQ,28-Mar-2006,58.45,58.50,59.00,57.05,57.50,57.35,57.79,58633,33.88,-,43609,74.38
GARDENSILK,EQ,29-Mar-2006,57.35,57.50,58.70,56.00,56.05,56.30,56.69,55705,31.58,-,36987,66.40
GARDENSILK,EQ,30-Mar-2006,56.30,56.50,58.40,56.50,57.60,57.55,57.46,38216,21.96,-,22894,59.91
GARDENSILK,EQ,31-Mar-2006,57.55,58.10,59.90,57.20,58.15,58.25,58.62,63752,37.37,-,29784,46.72
GARDENSILK,EQ,03-Apr-2006,58.25,57.15,61.95,56.75,60.60,60.85,60.31,102250,61.67,-,62266,60.90
GARDENSILK,EQ,04-Apr-2006,60.85,62.00,62.00,59.10,60.50,60.05,60.31,61187,36.90,-,41563,67.93
GARDENSILK,EQ,05-Apr-2006,60.05,62.00,65.50,59.45,64.85,64.80,63.78,306583,195.55,-,171062,55.80
GARDENSILK,EQ,07-Apr-2006,64.80,65.60,66.25,62.00,62.00,62.40,64.25,182888,117.50,-,98225,53.71
GARDENSILK,EQ,10-Apr-2006,62.40,62.45,62.85,59.50,61.75,61.60,61.53,60227,37.06,-,29781,49.45
GARDENSILK,EQ,12-Apr-2006,61.60,60.50,61.90,60.00,60.30,60.45,61.06,59397,36.27,-,43141,72.63
GARDENSILK,EQ,13-Apr-2006,60.45,62.35,62.35,57.50,58.75,58.55,58.99,57827,34.11,-,31869,55.11
GARDENSILK,EQ,17-Apr-2006,58.55,58.00,60.00,58.00,58.80,58.85,59.13,26813,15.85,-,18309,68.28
GARDENSILK,EQ,18-Apr-2006,58.85,59.25,61.10,59.25,60.50,60.55,60.52,59870,36.24,-,40285,67.29
GARDENSILK,EQ,19-Apr-2006,60.55,61.60,62.50,59.00,59.30,59.25,60.03,39827,23.91,-,23116,58.04
GARDENSILK,EQ,20-Apr-2006,59.25,59.30,61.80,59.00,59.80,59.75,60.57,67790,41.06,-,33306,49.13
GARDENSILK,EQ,21-Apr-2006,59.75,60.80,61.00,58.65,59.15,59.15,59.28,32741,19.41,-,17865,54.56
GARDENSILK,EQ,24-Apr-2006,59.15,58.80,59.70,58.60,59.10,59.10,59.01,24039,14.18,-,16347,68.00
GARDENSILK,EQ,25-Apr-2006,59.10,59.20,60.00,58.50,58.85,58.60,59.13,22315,13.19,-,13954,62.53
GARDENSILK,EQ,26-Apr-2006,58.60,57.00,59.40,56.50,58.75,58.95,58.90,27952,16.46,-,19396,69.39
GARDENSILK,EQ,27-Apr-2006,58.95,58.50,66.00,58.50,62.10,61.80,63.23,301438,190.59,-,96651,32.06
GARDENSILK,EQ,28-Apr-2006,61.80,57.25,61.75,57.00,60.75,60.05,59.40,94597,56.19,-,45707,48.32
GARDENSILK,EQ,29-Apr-2006,60.05,61.00,62.50,60.20,61.15,61.45,61.25,65354,40.03,-,37227,56.96
GARDENSILK,EQ,02-May-2006,61.45,62.40,62.40,60.05,60.05,60.20,60.82,54799,33.33,-,38589,70.42
GARDENSILK,EQ,03-May-2006,60.20,61.90,61.90,59.60,60.45,60.65,60.63,58896,35.71,-,30312,51.47
GARDENSILK,EQ,04-May-2006,60.65,60.50,63.00,60.10,60.55,60.55,61.52,125924,77.47,-,59382,47.16
GARDENSILK,EQ,05-May-2006,60.55,60.70,61.90,60.25,60.80,60.80,60.92,102570,62.49,-,65141,63.51
GARDENSILK,EQ,08-May-2006,60.80,61.50,65.80,61.25,64.20,64.20,64.16,347374,222.86,-,135154,38.91
GARDENSILK,EQ,09-May-2006,64.20,65.25,66.35,63.25,63.75,63.70,64.52,197686,127.55,-,102611,51.91
GARDENSILK,EQ,10-May-2006,63.70,64.40,66.45,63.75,64.40,64.60,64.89,187406,121.60,-,74241,39.62
GARDENSILK,EQ,11-May-2006,64.60,63.45,64.95,62.50,62.85,62.95,63.58,75551,48.04,-,48207,63.81
GARDENSILK,EQ,12-May-2006,62.95,62.75,64.45,61.80,62.25,62.50,63.24,105792,66.91,-,42005,39.71
GARDENSILK,EQ,15-May-2006,62.50,62.05,63.45,60.00,60.05,60.35,61.55,81744,50.32,-,44487,54.42
GARDENSILK,EQ,16-May-2006,60.35,59.65,60.35,57.00,59.00,58.70,58.40,72925,42.59,-,45819,62.83
GARDENSILK,EQ,17-May-2006,58.70,59.50,62.00,59.10,61.00,61.00,61.09,51154,31.25,-,24167,47.24
