Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GENUSPAPER,BE,16-Feb-2015,17.90,4.80,5.25,4.80,4.80,4.80,4.82,10132,0.49,21,-,-
GENUSPAPER,BE,18-Feb-2015,4.80,4.60,4.60,4.60,4.60,4.60,4.60,6865,0.32,16,-,-
GENUSPAPER,BE,19-Feb-2015,4.60,4.40,4.40,4.40,4.40,4.40,4.40,1000,0.04,1,-,-
GENUSPAPER,BE,20-Feb-2015,4.40,4.20,4.20,4.20,4.20,4.20,4.20,6848,0.29,19,-,-
GENUSPAPER,BE,23-Feb-2015,4.20,4.00,4.00,4.00,4.00,4.00,4.00,2462,0.10,6,-,-
GENUSPAPER,BE,24-Feb-2015,4.00,3.80,3.80,3.80,3.80,3.80,3.80,1133,0.04,4,-,-
GENUSPAPER,BE,25-Feb-2015,3.80,3.65,3.65,3.65,3.65,3.65,3.65,202,0.01,2,-,-
GENUSPAPER,BE,26-Feb-2015,3.65,3.50,3.50,3.50,3.50,3.50,3.50,3122,0.11,5,-,-
GENUSPAPER,BE,27-Feb-2015,3.50,3.35,3.35,3.35,3.35,3.35,3.35,1608,0.05,5,-,-
GENUSPAPER,BE,28-Feb-2015,3.35,3.20,3.20,3.20,3.20,3.20,3.20,8612,0.28,12,-,-
GENUSPAPER,EQ,02-Mar-2015,3.20,2.95,3.05,2.90,2.90,2.90,2.96,76518,2.27,79,76516,100.00
GENUSPAPER,EQ,03-Mar-2015,2.90,2.90,2.90,2.65,2.75,2.75,2.67,35922,0.96,81,35920,99.99
GENUSPAPER,EQ,04-Mar-2015,2.75,2.50,3.00,2.50,2.85,2.90,2.83,33933,0.96,83,33305,98.15
GENUSPAPER,EQ,05-Mar-2015,2.90,2.80,2.95,2.80,2.95,2.90,2.83,15647,0.44,35,12021,76.83
GENUSPAPER,EQ,09-Mar-2015,2.90,3.00,3.00,2.80,2.80,2.80,2.81,6556,0.18,18,6526,99.54
GENUSPAPER,EQ,10-Mar-2015,2.80,2.90,2.90,2.70,2.70,2.70,2.76,12746,0.35,34,9305,73.00
