Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GMDCLTD,EQ,02-Jan-2006,417.20,423.95,423.95,416.50,416.50,420.10,419.84,1917,8.05,-,1683,87.79
GMDCLTD,EQ,03-Jan-2006,420.10,420.00,425.00,420.00,420.00,420.90,422.19,1336,5.64,-,1119,83.76
GMDCLTD,EQ,04-Jan-2006,420.90,422.00,422.00,418.25,420.10,420.30,420.26,6601,27.74,-,6470,98.02
GMDCLTD,EQ,05-Jan-2006,420.30,430.00,435.00,417.20,420.00,418.05,423.95,4091,17.34,-,3099,75.75
GMDCLTD,EQ,06-Jan-2006,418.05,420.10,425.00,420.10,421.25,421.25,421.78,1355,5.72,-,1195,88.19
GMDCLTD,EQ,09-Jan-2006,421.25,422.00,425.00,418.05,421.25,420.80,420.18,4360,18.32,-,4011,92.00
GMDCLTD,EQ,10-Jan-2006,420.80,424.95,425.55,418.00,418.00,420.05,420.17,37443,157.33,-,36438,97.32
GMDCLTD,EQ,12-Jan-2006,420.05,409.55,423.80,409.15,423.80,422.45,420.31,2360,9.92,-,1752,74.24
GMDCLTD,EQ,13-Jan-2006,422.45,434.90,434.90,418.00,418.20,418.95,421.61,1747,7.37,-,1508,86.32
GMDCLTD,EQ,16-Jan-2006,418.95,415.00,421.45,412.00,418.00,418.00,416.23,1858,7.73,-,1848,99.46
GMDCLTD,EQ,17-Jan-2006,418.00,421.20,421.20,408.50,408.50,410.50,412.81,2234,9.22,-,1402,62.76
GMDCLTD,EQ,18-Jan-2006,410.50,407.05,409.95,395.05,395.05,400.35,401.69,1245,5.00,-,1206,96.87
GMDCLTD,EQ,19-Jan-2006,400.35,409.95,409.95,404.00,409.00,409.00,407.70,1686,6.87,-,1321,78.35
GMDCLTD,EQ,20-Jan-2006,409.00,420.00,424.00,411.15,424.00,421.00,420.43,4971,20.90,-,4915,98.87
GMDCLTD,EQ,23-Jan-2006,421.00,420.50,421.00,415.00,415.00,416.40,419.15,1130,4.74,-,1014,89.73
GMDCLTD,EQ,24-Jan-2006,416.40,417.05,417.05,405.00,405.00,406.10,407.45,1175,4.79,-,1163,98.98
GMDCLTD,EQ,25-Jan-2006,406.10,410.00,421.00,405.50,421.00,419.20,417.00,4277,17.84,-,3788,88.57
GMDCLTD,EQ,27-Jan-2006,419.20,419.00,419.00,413.00,413.70,414.50,414.92,1774,7.36,-,1380,77.79
GMDCLTD,EQ,30-Jan-2006,414.50,425.00,427.85,410.00,421.90,420.55,419.03,6368,26.68,-,5786,90.86
GMDCLTD,EQ,31-Jan-2006,420.55,411.00,424.00,402.10,424.00,420.35,414.78,6902,28.63,-,5280,76.50
GMDCLTD,EQ,01-Feb-2006,420.35,415.00,435.90,415.00,434.50,430.75,428.45,9701,41.56,-,8432,86.92
GMDCLTD,EQ,02-Feb-2006,430.75,445.00,452.95,437.55,438.10,438.55,445.10,23268,103.57,-,11968,51.44
GMDCLTD,EQ,03-Feb-2006,438.55,440.00,445.95,430.00,435.00,433.45,440.11,3618,15.92,-,2922,80.76
GMDCLTD,EQ,06-Feb-2006,433.45,430.00,445.50,426.00,435.00,435.65,433.55,31419,136.22,-,29489,93.86
