Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GPTINFRA,EQ,11-Jul-2016,241.65,250.00,250.00,239.00,240.20,240.85,245.39,4188,10.28,77,1213,28.96
GPTINFRA,EQ,12-Jul-2016,240.85,242.00,245.35,233.00,245.35,244.70,242.34,13612,32.99,88,651,4.78
GPTINFRA,EQ,13-Jul-2016,244.70,245.00,249.95,238.50,243.00,243.00,242.53,15161,36.77,72,1205,7.95
GPTINFRA,EQ,14-Jul-2016,243.00,244.00,249.95,240.25,242.05,241.95,241.28,13467,32.49,191,881,6.54
GPTINFRA,EQ,15-Jul-2016,241.95,242.00,247.00,225.00,240.00,239.95,240.36,13343,32.07,81,886,6.64
GPTINFRA,EQ,18-Jul-2016,239.95,240.00,248.00,239.90,246.00,242.60,241.21,13073,31.53,184,810,6.20
GPTINFRA,EQ,19-Jul-2016,242.60,243.00,243.90,236.00,243.80,242.95,241.96,13530,32.74,160,1183,8.74
GPTINFRA,EQ,20-Jul-2016,242.95,241.50,243.80,225.90,241.50,241.20,241.42,12890,31.12,142,477,3.70
GPTINFRA,EQ,21-Jul-2016,241.20,241.50,241.65,237.00,237.00,237.00,240.78,12184,29.34,143,184,1.51
GPTINFRA,EQ,22-Jul-2016,237.00,240.00,249.00,238.00,242.00,239.20,239.91,14694,35.25,52,2583,17.58
GPTINFRA,EQ,25-Jul-2016,239.20,250.40,250.40,240.40,244.00,241.60,242.77,14779,35.88,220,1069,7.23
GPTINFRA,EQ,26-Jul-2016,241.60,242.00,248.95,238.00,238.00,238.00,244.26,12332,30.12,76,86,0.70
GPTINFRA,EQ,27-Jul-2016,238.00,240.00,249.00,231.00,231.50,236.55,241.61,15542,37.55,160,436,2.81
GPTINFRA,EQ,28-Jul-2016,236.55,240.00,243.95,232.20,235.00,235.00,238.43,15841,37.77,113,219,1.38
GPTINFRA,EQ,29-Jul-2016,235.00,236.00,242.05,236.00,239.50,239.50,240.53,12732,30.62,150,661,5.19
GPTINFRA,EQ,01-Aug-2016,239.50,240.00,246.00,201.50,229.50,228.30,230.92,16831,38.87,188,1943,11.54
GPTINFRA,EQ,02-Aug-2016,228.30,240.00,245.95,220.00,226.50,230.55,230.49,26497,61.07,286,6896,26.03
GPTINFRA,EQ,03-Aug-2016,230.55,233.00,237.60,229.00,231.00,236.75,232.57,39224,91.22,398,11919,30.39
GPTINFRA,EQ,04-Aug-2016,236.75,236.00,244.00,225.00,237.50,241.05,238.84,37068,88.53,414,10968,29.59
GPTINFRA,EQ,05-Aug-2016,241.05,242.00,249.00,235.00,238.00,237.50,239.58,30459,72.97,205,13669,44.88
GPTINFRA,EQ,08-Aug-2016,237.50,239.00,247.00,234.00,236.50,238.30,237.48,20146,47.84,215,2011,9.98
GPTINFRA,EQ,09-Aug-2016,238.30,240.00,244.00,234.50,241.00,240.80,237.70,22109,52.55,254,2458,11.12
GPTINFRA,EQ,10-Aug-2016,240.80,240.20,248.50,237.00,245.45,245.35,242.21,18511,44.84,177,2464,13.31
GPTINFRA,EQ,11-Aug-2016,245.35,245.00,254.00,240.00,245.00,245.85,245.35,19532,47.92,103,3142,16.09
GPTINFRA,EQ,12-Aug-2016,245.85,246.00,250.00,231.00,236.00,235.30,246.48,14728,36.30,95,1972,13.39
GPTINFRA,EQ,16-Aug-2016,235.30,242.00,248.90,235.00,244.10,244.00,240.30,73924,177.64,281,36660,49.59
GPTINFRA,EQ,17-Aug-2016,244.00,245.00,247.50,241.00,241.00,242.35,244.77,13969,34.19,94,5269,37.72
GPTINFRA,EQ,18-Aug-2016,242.35,235.00,247.50,235.00,244.20,244.90,242.35,26291,63.72,197,11540,43.89
GPTINFRA,EQ,19-Aug-2016,244.90,242.50,257.95,242.50,252.55,252.10,247.86,27948,69.27,218,18613,66.60
