Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GRASIM,EQ,02-Jan-2006,1391.40,1390.00,1392.00,1371.00,1373.10,1375.30,1381.90,100400,1387.43,-,44830,44.65
GRASIM,EQ,03-Jan-2006,1375.30,1363.00,1434.90,1362.00,1428.90,1429.05,1413.61,334672,4730.96,-,186260,55.65
GRASIM,EQ,04-Jan-2006,1429.05,1451.00,1451.00,1406.00,1435.00,1439.30,1435.25,267172,3834.60,-,169650,63.50
GRASIM,EQ,05-Jan-2006,1439.30,1440.00,1485.00,1412.00,1481.00,1478.20,1460.42,427477,6242.98,-,187437,43.85
GRASIM,EQ,06-Jan-2006,1478.20,1480.00,1484.00,1428.00,1471.00,1469.70,1462.18,244242,3571.26,-,101058,41.38
GRASIM,EQ,09-Jan-2006,1469.70,1475.00,1480.00,1432.10,1450.05,1454.35,1457.50,88836,1294.79,-,41886,47.15
GRASIM,EQ,10-Jan-2006,1454.35,1459.00,1460.00,1412.00,1424.95,1423.55,1444.65,131819,1904.32,-,66850,50.71
GRASIM,EQ,12-Jan-2006,1423.55,1438.40,1466.00,1401.20,1465.50,1462.20,1446.92,185648,2686.19,-,113002,60.87
GRASIM,EQ,13-Jan-2006,1462.20,1475.00,1479.00,1441.10,1445.15,1447.70,1461.38,123509,1804.94,-,62142,50.31
GRASIM,EQ,16-Jan-2006,1447.70,1460.00,1475.00,1420.00,1426.95,1426.20,1430.87,117849,1686.26,-,73839,62.66
GRASIM,EQ,17-Jan-2006,1426.20,1437.85,1460.00,1420.00,1429.90,1425.45,1443.94,145904,2106.76,-,71104,48.73
GRASIM,EQ,18-Jan-2006,1425.45,1425.00,1429.90,1392.00,1415.00,1413.35,1413.11,82113,1160.35,-,36177,44.06
GRASIM,EQ,19-Jan-2006,1413.35,1444.00,1444.00,1420.05,1435.10,1432.85,1429.67,165510,2366.25,-,106455,64.32
GRASIM,EQ,20-Jan-2006,1432.85,1460.00,1460.00,1430.10,1434.00,1436.55,1438.86,172596,2483.42,-,108907,63.10
GRASIM,EQ,23-Jan-2006,1436.55,1438.90,1438.90,1412.00,1426.70,1425.00,1423.25,110730,1575.96,-,84957,76.72
GRASIM,EQ,24-Jan-2006,1425.00,1428.00,1439.95,1411.90,1437.00,1428.55,1424.11,169426,2412.81,-,123651,72.98
GRASIM,EQ,25-Jan-2006,1428.55,1428.00,1460.00,1390.00,1415.00,1413.50,1419.32,334598,4749.03,-,181761,54.32
GRASIM,EQ,27-Jan-2006,1413.50,1400.00,1445.00,1400.00,1425.15,1436.90,1434.91,552489,7927.72,-,470384,85.14
