Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GRAVITA,EQ,16-Nov-2010,125.00,201.10,253.20,201.10,208.00,209.70,231.25,39539057,91433.97,-,1878725,4.75
GRAVITA,EQ,18-Nov-2010,209.70,212.00,228.50,208.50,222.25,220.80,219.96,10171439,22372.68,-,598804,5.89
GRAVITA,EQ,19-Nov-2010,220.80,223.90,239.50,214.30,225.00,224.75,227.93,7769574,17708.82,-,413472,5.32
GRAVITA,EQ,22-Nov-2010,224.75,228.00,265.00,226.05,264.00,253.95,245.76,10194049,25052.74,-,730057,7.16
GRAVITA,EQ,23-Nov-2010,253.95,257.00,271.70,249.00,259.05,261.10,262.32,10051637,26367.42,-,343989,3.42
GRAVITA,EQ,24-Nov-2010,261.10,262.50,267.00,257.05,264.00,263.30,261.98,3484536,9128.65,-,279664,8.03
GRAVITA,EQ,25-Nov-2010,263.30,266.00,271.80,253.00,257.00,257.45,264.36,1971825,5212.73,-,281054,14.25
GRAVITA,EQ,26-Nov-2010,257.45,260.00,261.75,228.10,233.80,235.20,243.77,1692738,4126.32,-,218436,12.90
GRAVITA,EQ,29-Nov-2010,235.20,234.00,280.00,225.00,274.60,271.95,253.66,2993498,7593.26,-,250785,8.38
GRAVITA,EQ,30-Nov-2010,271.95,275.00,301.40,261.10,288.80,289.60,282.98,7564448,21406.20,-,302974,4.01
GRAVITA,EQ,01-Dec-2010,289.60,290.00,297.80,268.30,275.25,278.65,281.39,4409977,12409.39,-,471893,10.70
GRAVITA,EQ,02-Dec-2010,278.65,278.00,283.50,266.00,270.55,268.60,272.88,1966748,5366.93,-,177233,9.01
GRAVITA,EQ,03-Dec-2010,268.60,267.00,270.80,255.00,259.00,259.45,259.19,1543359,4000.21,-,200608,13.00
GRAVITA,EQ,06-Dec-2010,259.45,250.10,262.90,248.25,259.50,256.10,255.95,1697695,4345.30,-,158323,9.33
GRAVITA,EQ,07-Dec-2010,256.10,258.00,271.00,246.35,261.40,262.30,259.54,2186629,5675.10,-,215977,9.88
GRAVITA,EQ,08-Dec-2010,262.30,260.00,268.70,255.10,256.50,258.60,261.81,1485088,3888.14,-,118723,7.99
GRAVITA,EQ,09-Dec-2010,258.60,258.00,261.45,206.90,206.90,206.90,231.81,1594974,3697.39,-,319950,20.06
GRAVITA,EQ,10-Dec-2010,206.90,165.55,208.90,165.55,198.20,193.85,189.86,3037238,5766.54,-,166980,5.50
GRAVITA,EQ,13-Dec-2010,193.85,195.00,217.80,195.00,209.00,209.75,209.67,2710408,5682.91,-,230368,8.50
GRAVITA,EQ,14-Dec-2010,209.75,210.60,225.30,201.60,216.35,220.10,213.67,2168731,4633.89,-,123907,5.71
GRAVITA,EQ,15-Dec-2010,220.10,219.40,238.80,208.20,234.00,235.40,227.51,2828076,6434.07,-,212949,7.53
GRAVITA,EQ,16-Dec-2010,235.40,244.00,244.00,228.55,229.00,230.50,236.26,1102814,2605.55,-,131517,11.93
GRAVITA,EQ,20-Dec-2010,230.50,229.00,264.80,225.35,258.95,259.10,253.04,3353832,8486.54,-,234622,7.00
GRAVITA,EQ,21-Dec-2010,259.10,260.90,267.90,235.55,242.45,238.40,250.45,3950903,9895.11,-,335956,8.50
GRAVITA,EQ,22-Dec-2010,238.40,238.00,243.85,228.90,235.00,234.00,235.01,1393431,3274.76,-,80415,5.77
GRAVITA,EQ,23-Dec-2010,234.00,236.00,246.50,230.00,230.95,231.30,237.67,1204883,2863.61,-,116231,9.65
GRAVITA,EQ,24-Dec-2010,231.30,233.85,234.75,224.30,226.00,226.10,228.28,788773,1800.64,-,87522,11.10
GRAVITA,EQ,27-Dec-2010,226.10,220.10,237.40,219.95,237.00,234.55,229.66,929173,2133.92,-,124102,13.36
GRAVITA,EQ,28-Dec-2010,234.55,236.30,243.50,235.00,236.00,235.90,238.81,616153,1471.41,-,73323,11.90
GRAVITA,EQ,29-Dec-2010,235.90,237.80,239.00,232.40,234.75,234.90,235.66,324684,765.14,-,58472,18.01
GRAVITA,EQ,30-Dec-2010,234.90,235.10,247.30,235.00,246.35,245.50,242.46,656482,1591.67,-,130714,19.91
GRAVITA,EQ,31-Dec-2010,245.50,247.40,255.95,244.05,255.95,253.25,250.46,580800,1454.70,-,117199,20.18
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GRAVITA,EQ,03-Jan-2011,253.25,255.80,272.60,255.10,261.85,263.65,265.23,1562947,4145.37,-,292492,18.71
GRAVITA,EQ,04-Jan-2011,263.65,265.40,272.55,263.10,266.00,265.95,267.48,906747,2425.35,-,270355,29.82
GRAVITA,EQ,05-Jan-2011,265.95,266.25,269.40,261.10,265.50,264.70,265.71,451213,1198.91,-,56779,12.58
