Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GRINDWELL,EQ,11-Sep-2006,131.65,147.00,147.00,133.05,133.60,134.80,139.57,22077,30.81,-,7385,33.45
GRINDWELL,EQ,12-Sep-2006,134.80,131.25,134.85,120.15,132.30,131.15,130.29,5168,6.73,-,3143,60.82
GRINDWELL,EQ,13-Sep-2006,131.15,133.05,139.80,133.05,137.20,137.10,136.87,3120,4.27,-,1967,63.04
GRINDWELL,EQ,14-Sep-2006,137.10,140.00,140.75,135.60,136.05,136.15,138.00,6439,8.89,-,3466,53.83
GRINDWELL,EQ,15-Sep-2006,136.15,136.05,139.95,133.00,135.10,135.30,137.15,2943,4.04,-,2294,77.95
GRINDWELL,EQ,18-Sep-2006,135.30,135.00,136.00,133.70,133.80,133.80,134.81,2690,3.63,-,2487,92.45
GRINDWELL,EQ,19-Sep-2006,133.80,134.30,136.65,133.00,133.00,133.65,134.84,3109,4.19,-,2951,94.92
GRINDWELL,EQ,20-Sep-2006,133.65,133.50,134.50,130.55,130.55,130.80,132.55,1546,2.05,-,1262,81.63
GRINDWELL,EQ,21-Sep-2006,130.80,130.60,137.80,130.00,133.05,134.85,134.07,2500,3.35,-,1775,71.00
GRINDWELL,EQ,22-Sep-2006,134.85,134.00,134.70,132.00,132.00,133.40,133.40,1233,1.64,-,1084,87.92
GRINDWELL,EQ,25-Sep-2006,133.40,132.05,132.05,129.20,130.75,129.35,130.23,4965,6.47,-,4508,90.80
GRINDWELL,EQ,26-Sep-2006,129.35,131.00,132.15,130.00,132.00,132.00,131.45,1452,1.91,-,834,57.44
GRINDWELL,EQ,27-Sep-2006,132.00,130.10,149.00,130.05,141.35,141.50,142.75,31742,45.31,-,13350,42.06
GRINDWELL,EQ,28-Sep-2006,141.50,140.00,145.00,138.25,140.95,139.55,142.12,14707,20.90,-,8271,56.24
GRINDWELL,EQ,29-Sep-2006,139.55,144.00,144.00,136.05,136.75,136.80,138.90,6750,9.38,-,5725,84.81
GRINDWELL,EQ,03-Oct-2006,136.80,140.00,142.00,136.55,141.00,140.60,139.44,3975,5.54,-,3761,94.62
GRINDWELL,EQ,04-Oct-2006,140.60,142.50,143.25,138.00,139.00,139.40,140.92,6083,8.57,-,4446,73.09
GRINDWELL,EQ,05-Oct-2006,139.40,140.00,143.50,140.00,141.55,142.20,141.67,7456,10.56,-,6630,88.92
GRINDWELL,EQ,06-Oct-2006,142.20,140.60,145.50,140.60,142.10,143.25,143.71,9744,14.00,-,8313,85.31
GRINDWELL,EQ,09-Oct-2006,143.25,142.00,145.50,141.40,142.80,143.05,143.51,4669,6.70,-,3893,83.38
GRINDWELL,EQ,10-Oct-2006,143.05,145.00,145.00,138.25,139.00,140.70,142.61,6207,8.85,-,4966,80.01
GRINDWELL,EQ,11-Oct-2006,140.70,141.00,144.70,137.50,140.50,140.50,143.02,14749,21.09,-,8658,58.70
GRINDWELL,EQ,12-Oct-2006,140.50,143.00,144.90,140.00,140.40,141.40,141.28,2029,2.87,-,1206,59.44
GRINDWELL,EQ,13-Oct-2006,141.40,141.85,143.00,140.00,140.00,140.95,142.45,13024,18.55,-,11438,87.82
GRINDWELL,EQ,16-Oct-2006,140.95,142.00,142.95,140.05,142.00,141.70,141.99,8458,12.01,-,7855,92.87
GRINDWELL,EQ,17-Oct-2006,141.70,140.25,140.50,138.10,139.15,139.25,140.05,1013,1.42,-,951,93.88
GRINDWELL,EQ,18-Oct-2006,139.25,137.10,137.90,136.55,136.55,136.55,136.99,1340,1.84,-,1215,90.67
GRINDWELL,EQ,19-Oct-2006,136.55,139.00,140.00,135.15,137.25,137.40,137.23,3103,4.26,-,2550,82.18
GRINDWELL,EQ,20-Oct-2006,137.40,143.00,143.00,137.10,137.90,137.25,141.02,4835,6.82,-,2770,57.29
GRINDWELL,EQ,21-Oct-2006,137.25,138.00,140.50,137.50,138.50,138.65,138.49,875,1.21,-,790,90.29
GRINDWELL,EQ,23-Oct-2006,138.65,140.50,140.50,132.00,137.95,139.55,138.63,5265,7.30,-,4828,91.70
GRINDWELL,EQ,26-Oct-2006,139.55,139.90,160.00,139.00,141.00,141.00,141.86,8728,12.38,-,7275,83.35
GRINDWELL,EQ,27-Oct-2006,141.00,141.00,142.00,139.00,140.25,140.35,141.15,10110,14.27,-,8310,82.20
GRINDWELL,EQ,30-Oct-2006,140.35,139.95,141.95,136.45,138.60,140.30,139.87,13030,18.23,-,5924,45.46
GRINDWELL,EQ,31-Oct-2006,140.30,140.00,143.00,139.00,139.00,139.05,141.59,19791,28.02,-,10222,51.65
GRINDWELL,EQ,01-Nov-2006,139.05,138.55,140.00,137.00,137.00,137.40,138.33,3058,4.23,-,2560,83.71
GRINDWELL,EQ,02-Nov-2006,137.40,136.10,140.80,136.10,140.00,139.85,139.49,2400,3.35,-,1591,66.29
GRINDWELL,EQ,03-Nov-2006,139.85,139.10,141.00,136.95,136.95,137.20,139.77,8739,12.21,-,6272,71.77
GRINDWELL,EQ,06-Nov-2006,137.20,139.95,141.00,135.50,137.50,136.65,137.73,12395,17.07,-,9200,74.22
GRINDWELL,EQ,07-Nov-2006,136.65,138.75,138.75,134.20,135.10,135.45,135.82,4455,6.05,-,3285,73.74
GRINDWELL,EQ,08-Nov-2006,135.45,134.20,135.00,128.50,131.75,131.70,131.39,8986,11.81,-,6269,69.76
GRINDWELL,EQ,09-Nov-2006,131.70,130.10,133.70,129.05,131.90,130.35,130.77,5829,7.62,-,5453,93.55
GRINDWELL,EQ,10-Nov-2006,130.35,132.00,134.00,127.80,127.80,128.30,129.82,7459,9.68,-,6328,84.84
GRINDWELL,EQ,13-Nov-2006,128.30,130.00,132.35,128.55,128.70,129.45,129.98,3289,4.28,-,2729,82.97
GRINDWELL,EQ,14-Nov-2006,129.45,130.00,130.00,127.00,128.00,127.70,128.05,4717,6.04,-,3871,82.06
GRINDWELL,EQ,15-Nov-2006,127.70,129.00,130.75,127.15,130.75,129.70,128.45,6514,8.37,-,3733,57.31
GRINDWELL,EQ,16-Nov-2006,129.70,129.00,132.00,127.20,131.50,129.75,129.36,4701,6.08,-,2987,63.54
GRINDWELL,EQ,17-Nov-2006,129.75,127.20,130.00,122.00,127.95,125.10,126.89,4136,5.25,-,3094,74.81
GRINDWELL,EQ,20-Nov-2006,125.10,124.50,126.80,109.00,124.00,122.95,118.92,5663,6.73,-,4070,71.87
GRINDWELL,EQ,21-Nov-2006,122.95,124.15,129.40,113.00,119.80,121.20,120.22,10315,12.40,-,7052,68.37
GRINDWELL,EQ,22-Nov-2006,121.20,125.45,129.80,121.50,127.00,127.20,125.75,4079,5.13,-,2120,51.97
GRINDWELL,EQ,23-Nov-2006,127.20,127.00,129.45,123.00,126.70,124.55,125.69,4197,5.28,-,2270,54.09
GRINDWELL,EQ,24-Nov-2006,124.55,122.00,129.10,122.00,124.00,124.10,126.08,2143,2.70,-,1356,63.28
GRINDWELL,EQ,27-Nov-2006,124.10,124.95,127.85,119.00,120.95,120.40,121.89,8085,9.85,-,5510,68.15
GRINDWELL,EQ,28-Nov-2006,120.40,120.50,122.55,118.05,120.95,120.60,120.07,3272,3.93,-,2147,65.62
GRINDWELL,EQ,29-Nov-2006,120.60,124.50,124.70,121.00,121.55,122.65,122.47,3090,3.78,-,2250,72.82
