Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GROBTEA,BE,14-Jul-2016,285.45,356.50,374.30,356.50,374.30,374.30,370.40,228,0.84,5,-,-
GROBTEA,BE,15-Jul-2016,374.30,393.00,393.00,393.00,393.00,393.00,393.00,151,0.59,2,-,-
GROBTEA,BE,18-Jul-2016,393.00,412.65,412.65,412.65,412.65,412.65,412.65,50,0.21,2,-,-
GROBTEA,BE,19-Jul-2016,412.65,433.25,433.25,433.25,433.25,433.25,433.25,1069,4.63,6,-,-
GROBTEA,BE,20-Jul-2016,433.25,454.80,454.90,454.80,454.90,454.90,454.85,440,2.00,18,-,-
GROBTEA,BE,21-Jul-2016,454.90,477.60,477.60,477.60,477.60,477.60,477.60,61,0.29,5,-,-
GROBTEA,BE,22-Jul-2016,477.60,501.45,501.45,501.45,501.45,501.45,501.45,790,3.96,23,-,-
GROBTEA,BE,25-Jul-2016,501.45,526.50,526.50,526.50,526.50,526.50,526.50,370,1.95,10,-,-
GROBTEA,BE,26-Jul-2016,526.50,552.80,552.80,552.80,552.80,552.80,552.80,1230,6.80,23,-,-
GROBTEA,BE,27-Jul-2016,552.80,580.40,580.40,530.55,580.40,580.40,577.26,2088,12.05,66,-,-
GROBTEA,BE,28-Jul-2016,580.40,609.40,609.40,585.00,600.00,605.10,606.69,827,5.02,44,-,-
GROBTEA,BE,29-Jul-2016,605.10,576.00,576.00,574.85,574.85,574.85,575.12,9,0.05,7,-,-
GROBTEA,BE,01-Aug-2016,574.85,546.15,546.15,546.15,546.15,546.15,546.15,3,0.02,3,-,-
GROBTEA,BE,02-Aug-2016,546.15,518.85,518.85,518.85,518.85,518.85,518.85,2,0.01,2,-,-
GROBTEA,BE,03-Aug-2016,518.85,492.95,492.95,492.95,492.95,492.95,492.95,1,0.00,1,-,-
GROBTEA,BE,04-Aug-2016,492.95,468.35,468.35,468.35,468.35,468.35,468.35,14,0.07,5,-,-
GROBTEA,BE,05-Aug-2016,468.35,444.95,444.95,444.95,444.95,444.95,444.95,14,0.06,5,-,-
GROBTEA,BE,08-Aug-2016,444.95,422.75,422.75,422.75,422.75,422.75,422.75,401,1.70,15,-,-
GROBTEA,BE,09-Aug-2016,422.75,401.65,401.65,401.65,401.65,401.65,401.65,261,1.05,5,-,-
GROBTEA,BE,10-Aug-2016,401.65,381.60,399.00,381.60,381.60,381.60,381.64,700,2.67,18,-,-
GROBTEA,BE,11-Aug-2016,381.60,362.55,362.55,362.55,362.55,362.55,362.55,145,0.53,4,-,-
GROBTEA,BE,12-Aug-2016,362.55,362.55,362.55,344.45,344.45,344.45,345.69,214,0.74,13,-,-
GROBTEA,BE,16-Aug-2016,344.45,327.25,327.40,327.25,327.25,327.25,327.33,196,0.64,10,-,-
GROBTEA,BE,17-Aug-2016,327.25,343.00,343.00,310.90,325.00,325.00,314.57,477,1.50,26,-,-
GROBTEA,BE,18-Aug-2016,325.00,308.75,339.90,308.75,339.90,311.30,310.43,196,0.61,18,-,-
GROBTEA,BE,19-Aug-2016,311.30,326.85,326.85,320.00,326.85,326.85,325.16,150,0.49,17,-,-
GROBTEA,BE,22-Aug-2016,326.85,342.00,342.00,341.85,341.85,341.85,341.90,66,0.23,18,-,-
GROBTEA,BE,23-Aug-2016,341.85,342.00,358.00,324.80,349.95,349.95,331.53,452,1.50,37,-,-
GROBTEA,BE,24-Aug-2016,349.95,340.00,340.00,332.50,332.50,332.50,338.33,9,0.03,3,-,-
GROBTEA,BE,25-Aug-2016,332.50,316.00,332.00,315.90,328.00,328.00,326.71,64,0.21,12,-,-
GROBTEA,BE,26-Aug-2016,328.00,315.90,325.00,311.60,311.60,311.60,313.06,62,0.19,7,-,-
GROBTEA,BE,29-Aug-2016,311.60,296.05,296.05,296.05,296.05,296.05,296.05,152,0.45,12,-,-
GROBTEA,BE,30-Aug-2016,296.05,281.25,297.95,281.25,281.25,281.25,282.63,864,2.44,50,-,-
GROBTEA,BE,31-Aug-2016,281.25,267.30,268.45,267.20,268.40,268.40,268.19,186,0.50,12,-,-
GROBTEA,BE,01-Sep-2016,268.40,275.00,275.00,270.00,275.00,275.00,273.47,36,0.10,4,-,-
