Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HTMTGLOBAL,EQ,19-Jun-2007,800.00,790.00,790.00,482.30,586.10,583.15,565.23,3954227,22350.39,-,595885,15.07
HTMTGLOBAL,EQ,20-Jun-2007,583.15,590.00,632.00,575.00,593.20,595.90,610.50,1430557,8733.58,-,160286,11.20
HTMTGLOBAL,EQ,21-Jun-2007,595.90,595.00,612.90,581.60,588.00,590.35,595.34,515941,3071.62,-,69346,13.44
HTMTGLOBAL,EQ,22-Jun-2007,590.35,590.00,594.85,555.30,558.10,560.05,572.82,246078,1409.59,-,78679,31.97
HTMTGLOBAL,EQ,25-Jun-2007,560.05,558.85,569.40,541.65,543.25,543.65,550.76,207090,1140.57,-,60544,29.24
HTMTGLOBAL,EQ,26-Jun-2007,543.65,545.00,572.00,532.00,542.00,542.20,549.11,345826,1898.95,-,85277,24.66
HTMTGLOBAL,EQ,27-Jun-2007,542.20,544.60,552.00,535.00,538.00,537.20,542.34,140599,762.52,-,54291,38.61
HTMTGLOBAL,EQ,28-Jun-2007,537.20,547.00,554.90,530.10,547.00,548.90,544.65,411916,2243.49,-,125173,30.39
HTMTGLOBAL,EQ,29-Jun-2007,548.90,554.00,560.50,541.00,550.45,552.70,552.60,317515,1754.59,-,132566,41.75
HTMTGLOBAL,EQ,02-Jul-2007,552.70,556.75,556.75,537.25,537.25,539.85,545.31,85870,468.26,-,31983,37.25
HTMTGLOBAL,EQ,03-Jul-2007,539.85,549.70,549.70,534.00,535.00,535.75,540.79,74546,403.14,-,35784,48.00
HTMTGLOBAL,EQ,04-Jul-2007,535.75,543.90,543.90,526.10,531.00,529.05,532.01,45457,241.84,-,18912,41.60
HTMTGLOBAL,EQ,05-Jul-2007,529.05,576.70,576.70,500.20,507.00,505.10,509.93,109011,555.88,-,36362,33.36
HTMTGLOBAL,EQ,06-Jul-2007,505.10,509.90,521.00,503.10,504.00,504.45,510.49,64451,329.01,-,16668,25.86
HTMTGLOBAL,EQ,09-Jul-2007,504.45,510.00,526.00,504.45,513.00,512.60,517.81,123794,641.02,-,60091,48.54
HTMTGLOBAL,EQ,10-Jul-2007,512.60,513.20,518.80,503.10,506.90,505.85,511.92,78565,402.19,-,21554,27.43
HTMTGLOBAL,EQ,11-Jul-2007,505.85,495.00,509.70,490.10,490.10,494.65,496.25,113861,565.03,-,87111,76.51
HTMTGLOBAL,EQ,12-Jul-2007,494.65,500.00,513.80,490.00,493.80,492.45,497.43,42933,213.56,-,15053,35.06
HTMTGLOBAL,EQ,13-Jul-2007,492.45,490.10,502.95,462.00,466.95,468.60,480.21,73604,353.45,-,38368,52.13
HTMTGLOBAL,EQ,16-Jul-2007,468.60,472.00,472.00,445.00,452.00,450.85,462.09,60952,281.66,-,31656,51.94
HTMTGLOBAL,EQ,17-Jul-2007,450.85,453.10,464.90,447.00,451.80,450.35,453.84,53778,244.06,-,19624,36.49
HTMTGLOBAL,EQ,18-Jul-2007,450.35,448.00,450.00,435.00,437.10,439.15,441.74,50808,224.44,-,32127,63.23
HTMTGLOBAL,EQ,19-Jul-2007,439.15,440.00,440.00,424.00,428.85,426.75,433.10,91891,397.98,-,48232,52.49
HTMTGLOBAL,EQ,20-Jul-2007,426.75,428.00,463.00,424.00,449.80,447.90,449.44,139619,627.50,-,52670,37.72
HTMTGLOBAL,EQ,23-Jul-2007,447.90,440.30,444.90,431.50,436.00,436.40,439.04,72079,316.45,-,44802,62.16
HTMTGLOBAL,EQ,24-Jul-2007,436.40,438.00,440.00,424.00,426.50,427.00,436.00,47164,205.64,-,29701,62.97
HTMTGLOBAL,EQ,25-Jul-2007,427.00,403.00,430.00,403.00,423.05,421.75,420.83,94942,399.55,-,52550,55.35
HTMTGLOBAL,EQ,26-Jul-2007,421.75,416.00,439.80,416.00,429.00,434.80,434.14,189576,823.02,-,98709,52.07
HTMTGLOBAL,EQ,27-Jul-2007,434.80,350.55,429.80,350.55,408.00,410.95,416.96,123969,516.90,-,56970,45.96
HTMTGLOBAL,EQ,30-Jul-2007,410.95,415.70,415.70,382.70,389.00,391.75,401.83,76460,307.24,-,38357,50.17
HTMTGLOBAL,EQ,31-Jul-2007,391.75,421.00,421.00,391.20,399.00,396.50,398.49,85028,338.83,-,47740,56.15
HTMTGLOBAL,EQ,01-Aug-2007,396.50,405.00,405.00,361.00,365.00,366.30,376.74,57852,217.95,-,34588,59.79
HTMTGLOBAL,EQ,02-Aug-2007,366.30,368.00,379.00,358.00,365.10,365.80,368.12,50733,186.76,-,16188,31.91
HTMTGLOBAL,EQ,03-Aug-2007,365.80,369.80,384.70,368.30,370.00,370.65,372.96,39761,148.29,-,18995,47.77
HTMTGLOBAL,EQ,06-Aug-2007,370.65,350.50,368.00,350.50,361.00,359.30,359.03,19450,69.83,-,11266,57.92
HTMTGLOBAL,EQ,07-Aug-2007,359.30,361.00,378.90,357.50,359.00,359.10,362.75,12485,45.29,-,5819,46.61
HTMTGLOBAL,EQ,08-Aug-2007,359.10,365.00,404.00,365.00,397.00,395.85,385.34,298188,1149.02,-,135796,45.54
HTMTGLOBAL,EQ,09-Aug-2007,395.85,405.15,405.15,369.05,372.00,371.85,391.39,84431,330.46,-,28471,33.72
HTMTGLOBAL,EQ,10-Aug-2007,371.85,350.00,370.00,350.00,370.00,366.65,362.12,27817,100.73,-,11252,40.45
HTMTGLOBAL,EQ,13-Aug-2007,366.65,366.50,381.00,366.50,370.95,368.55,372.29,41453,154.32,-,24919,60.11
HTMTGLOBAL,EQ,14-Aug-2007,368.55,370.00,370.00,360.05,363.95,361.70,364.90,10858,39.62,-,4387,40.40
HTMTGLOBAL,EQ,16-Aug-2007,361.70,351.00,372.70,345.00,360.00,360.05,361.97,23491,85.03,-,7854,33.43
HTMTGLOBAL,EQ,17-Aug-2007,360.05,346.90,368.00,331.00,336.00,337.95,348.12,82966,288.82,-,47931,57.77
HTMTGLOBAL,EQ,20-Aug-2007,337.95,350.00,360.00,326.50,329.00,332.30,340.20,50944,173.31,-,34445,67.61
HTMTGLOBAL,EQ,21-Aug-2007,332.30,333.00,335.00,310.00,316.50,314.40,324.72,19267,62.56,-,8997,46.70
HTMTGLOBAL,EQ,22-Aug-2007,314.40,315.10,324.00,306.00,318.50,317.80,316.64,39036,123.60,-,17941,45.96
HTMTGLOBAL,EQ,23-Aug-2007,317.80,325.00,326.00,286.00,313.00,299.30,299.59,144025,431.48,-,80154,55.65
HTMTGLOBAL,EQ,24-Aug-2007,299.30,300.05,332.50,300.05,330.00,329.05,323.01,162069,523.50,-,90482,55.83
HTMTGLOBAL,EQ,27-Aug-2007,329.05,335.00,362.90,327.00,362.00,357.05,346.06,208537,721.66,-,117221,56.21
HTMTGLOBAL,EQ,28-Aug-2007,357.05,359.40,373.00,358.00,363.00,364.30,365.09,155610,568.12,-,97984,62.97
HTMTGLOBAL,EQ,29-Aug-2007,364.30,353.00,374.00,353.00,370.00,370.10,364.95,170981,623.99,-,111884,65.44
HTMTGLOBAL,EQ,30-Aug-2007,370.10,376.80,380.00,364.00,374.35,375.20,373.55,183611,685.88,-,103426,56.33
HTMTGLOBAL,EQ,31-Aug-2007,375.20,383.00,397.80,375.00,384.00,386.75,387.77,103593,401.71,-,39803,38.42
HTMTGLOBAL,EQ,03-Sep-2007,386.75,390.00,407.00,381.00,388.00,388.60,395.64,155207,614.06,-,82494,53.15
HTMTGLOBAL,EQ,04-Sep-2007,388.60,393.00,402.40,387.00,391.00,395.45,391.37,117815,461.09,-,90004,76.39
HTMTGLOBAL,EQ,05-Sep-2007,395.45,397.00,399.00,388.25,390.00,390.00,390.35,145941,569.68,-,123271,84.47
HTMTGLOBAL,EQ,06-Sep-2007,390.00,387.90,401.95,384.05,397.40,396.90,395.83,95814,379.26,-,53996,56.36
HTMTGLOBAL,EQ,07-Sep-2007,396.90,395.10,399.90,393.25,395.00,395.75,395.29,46994,185.76,-,39223,83.46
HTMTGLOBAL,EQ,10-Sep-2007,395.75,397.95,401.40,390.55,397.50,398.00,397.26,40876,162.38,-,31198,76.32
HTMTGLOBAL,EQ,11-Sep-2007,398.00,399.00,400.80,393.00,393.00,396.00,396.27,131228,520.02,-,124249,94.68
HTMTGLOBAL,EQ,12-Sep-2007,396.00,399.00,427.00,395.55,425.00,421.55,411.00,181609,746.41,-,97857,53.88
HTMTGLOBAL,EQ,13-Sep-2007,421.55,425.00,436.50,425.00,430.00,429.95,429.12,153688,659.51,-,81901,53.29
HTMTGLOBAL,EQ,14-Sep-2007,429.95,432.00,436.50,425.00,428.00,428.05,429.68,100874,433.44,-,68501,67.91
HTMTGLOBAL,EQ,17-Sep-2007,428.05,433.95,434.00,415.00,415.00,418.15,418.76,52556,220.08,-,43225,82.25
HTMTGLOBAL,EQ,18-Sep-2007,418.15,420.00,423.70,415.00,420.00,420.45,419.84,26106,109.60,-,17141,65.66
HTMTGLOBAL,EQ,19-Sep-2007,420.45,425.15,428.85,418.00,421.00,421.00,421.01,29820,125.54,-,22348,74.94
HTMTGLOBAL,EQ,20-Sep-2007,421.00,412.15,424.90,412.00,415.00,414.90,414.59,65827,272.91,-,55467,84.26
HTMTGLOBAL,EQ,21-Sep-2007,414.90,414.00,414.45,407.00,410.00,410.05,410.11,45052,184.76,-,40510,89.92
HTMTGLOBAL,EQ,24-Sep-2007,410.05,412.00,430.00,405.00,415.00,413.15,412.76,105047,433.60,-,53290,50.73
HTMTGLOBAL,EQ,25-Sep-2007,413.15,418.90,427.00,413.00,422.10,421.65,420.63,30009,126.23,-,15842,52.79
HTMTGLOBAL,EQ,26-Sep-2007,421.65,423.00,441.00,420.00,438.00,435.55,433.18,38947,168.71,-,24548,63.03
HTMTGLOBAL,EQ,27-Sep-2007,435.55,440.00,449.00,416.00,425.05,422.85,426.56,231330,986.76,-,200179,86.53
HTMTGLOBAL,EQ,28-Sep-2007,422.85,425.00,435.00,425.00,430.50,430.10,429.78,24685,106.09,-,20796,84.25
HTMTGLOBAL,EQ,01-Oct-2007,430.10,430.00,440.00,423.00,430.10,432.25,427.93,99566,426.07,-,94590,95.00
HTMTGLOBAL,EQ,03-Oct-2007,432.25,440.00,458.00,436.50,451.00,450.35,447.86,62841,281.44,-,48466,77.12
HTMTGLOBAL,EQ,04-Oct-2007,450.35,450.10,465.00,450.10,454.00,455.00,457.16,21351,97.61,-,13037,61.06
HTMTGLOBAL,EQ,05-Oct-2007,455.00,455.00,462.90,455.00,459.00,459.50,459.92,23939,110.10,-,19680,82.21
HTMTGLOBAL,EQ,08-Oct-2007,459.50,465.00,469.90,460.00,466.00,466.45,464.16,58378,270.97,-,47841,81.95
HTMTGLOBAL,EQ,09-Oct-2007,466.45,466.00,476.00,455.00,469.00,470.30,464.90,24872,115.63,-,19394,77.98
HTMTGLOBAL,EQ,10-Oct-2007,470.30,475.00,482.00,470.00,482.00,478.90,478.15,106715,510.26,-,68029,63.75
HTMTGLOBAL,EQ,11-Oct-2007,478.90,480.00,498.00,470.10,491.00,492.65,482.80,9793,47.28,-,6989,71.37
HTMTGLOBAL,EQ,12-Oct-2007,492.65,500.00,517.00,487.00,515.00,509.95,505.42,63190,319.38,-,41235,65.26
HTMTGLOBAL,EQ,15-Oct-2007,509.95,511.45,554.00,511.45,553.00,548.75,534.29,66858,357.21,-,46723,69.88
HTMTGLOBAL,EQ,16-Oct-2007,548.75,552.90,575.90,527.00,565.10,565.25,561.89,48116,270.36,-,36838,76.56
HTMTGLOBAL,EQ,17-Oct-2007,565.25,486.10,570.00,486.10,567.00,566.90,551.10,13922,76.72,-,9197,66.06
HTMTGLOBAL,EQ,18-Oct-2007,566.90,599.00,604.00,554.00,575.00,571.95,587.93,70621,415.20,-,59327,84.01
HTMTGLOBAL,EQ,19-Oct-2007,571.95,578.90,578.90,540.00,570.00,571.05,558.94,19674,109.97,-,14067,71.50
HTMTGLOBAL,EQ,22-Oct-2007,571.05,475.00,577.00,475.00,560.00,556.95,564.04,11502,64.88,-,6319,54.94
HTMTGLOBAL,EQ,23-Oct-2007,556.95,574.00,578.00,563.00,570.00,570.20,569.94,7076,40.33,-,4709,66.55
HTMTGLOBAL,EQ,24-Oct-2007,570.20,572.00,588.00,561.60,581.55,583.00,577.72,18812,108.68,-,11595,61.64
HTMTGLOBAL,EQ,25-Oct-2007,583.00,565.00,598.00,565.00,590.00,583.30,584.31,108816,635.82,-,97362,89.47
HTMTGLOBAL,EQ,26-Oct-2007,583.30,580.00,631.00,580.00,605.00,603.10,611.28,22515,137.63,-,12681,56.32
HTMTGLOBAL,EQ,29-Oct-2007,603.10,605.00,623.80,576.15,580.00,580.60,597.62,10317,61.66,-,5853,56.73
HTMTGLOBAL,EQ,30-Oct-2007,580.60,580.00,589.90,562.10,579.00,575.90,577.18,7400,42.71,-,6035,81.55
HTMTGLOBAL,EQ,31-Oct-2007,575.90,580.00,598.00,570.00,571.00,574.30,577.48,11419,65.94,-,7213,63.17
HTMTGLOBAL,EQ,01-Nov-2007,574.30,590.00,590.00,538.15,552.50,559.05,565.99,7525,42.59,-,6141,81.61
HTMTGLOBAL,EQ,02-Nov-2007,559.05,540.00,560.00,535.00,537.25,536.15,545.48,3114,16.99,-,1966,63.13
HTMTGLOBAL,EQ,05-Nov-2007,536.15,550.00,560.00,533.25,533.25,539.15,546.73,7130,38.98,-,5602,78.57
HTMTGLOBAL,EQ,06-Nov-2007,539.15,540.00,551.80,511.00,518.00,517.95,522.76,6438,33.66,-,5166,80.24
HTMTGLOBAL,EQ,07-Nov-2007,517.95,500.00,535.50,500.00,534.80,531.15,526.53,16667,87.76,-,10283,61.70
HTMTGLOBAL,EQ,08-Nov-2007,531.15,501.00,565.00,501.00,562.85,559.65,552.02,12189,67.29,-,9195,75.44
HTMTGLOBAL,EQ,09-Nov-2007,559.65,558.05,565.15,525.00,542.00,545.95,545.04,812,4.43,-,736,90.64
HTMTGLOBAL,EQ,12-Nov-2007,545.95,523.55,545.50,510.00,540.00,535.40,520.34,9685,50.40,-,6448,66.58
HTMTGLOBAL,EQ,13-Nov-2007,535.40,545.00,575.00,501.00,509.50,505.50,511.22,14274,72.97,-,11140,78.04
