Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HMVL,EQ,21-Jul-2010,166.00,177.95,191.85,174.15,191.25,188.95,184.64,26590264,49096.14,-,4257219,16.01
HMVL,EQ,22-Jul-2010,188.95,191.55,198.70,190.00,197.95,196.10,194.21,3537093,6869.53,-,297794,8.42
HMVL,EQ,23-Jul-2010,196.10,197.00,197.95,184.05,185.20,186.55,188.54,1238146,2334.41,-,246834,19.94
HMVL,EQ,26-Jul-2010,186.55,186.50,187.00,179.90,181.00,180.55,181.54,369770,671.27,-,201139,54.40
HMVL,EQ,27-Jul-2010,180.55,177.55,188.00,177.55,187.00,185.40,182.60,378937,691.95,-,172404,45.50
HMVL,EQ,28-Jul-2010,185.40,186.10,189.90,180.25,180.25,181.85,182.97,113763,208.16,-,57477,50.52
HMVL,EQ,29-Jul-2010,181.85,184.35,184.35,180.75,182.25,182.15,181.90,59842,108.85,-,45635,76.26
HMVL,EQ,30-Jul-2010,182.15,180.75,184.20,176.10,179.15,179.50,179.05,125762,225.17,-,92171,73.29
HMVL,EQ,02-Aug-2010,179.50,181.05,182.60,177.00,177.00,177.70,178.23,80885,144.16,-,70664,87.36
HMVL,EQ,03-Aug-2010,177.70,178.20,189.30,175.00,186.50,186.65,183.30,236988,434.40,-,133966,56.53
HMVL,EQ,04-Aug-2010,186.65,182.00,185.00,180.00,181.20,180.55,181.69,35013,63.62,-,29252,83.55
HMVL,EQ,05-Aug-2010,180.55,184.00,184.75,181.10,182.90,182.90,182.59,155948,284.74,-,144901,92.92
HMVL,EQ,06-Aug-2010,182.90,178.00,182.50,178.00,179.50,179.95,179.79,63359,113.91,-,51889,81.90
HMVL,EQ,09-Aug-2010,179.95,180.10,185.95,179.05,185.00,184.55,183.01,123242,225.55,-,90959,73.81
HMVL,EQ,10-Aug-2010,184.55,179.55,199.40,179.00,195.00,195.60,194.29,352142,684.16,-,138159,39.23
HMVL,EQ,11-Aug-2010,195.60,195.60,197.65,185.10,188.00,188.10,188.54,77994,147.05,-,47468,60.86
HMVL,EQ,12-Aug-2010,188.10,186.00,195.00,185.10,186.00,186.55,190.38,33757,64.27,-,11221,33.24
HMVL,EQ,13-Aug-2010,186.55,187.20,188.00,184.10,185.00,185.05,186.28,10310,19.20,-,5851,56.75
HMVL,EQ,16-Aug-2010,185.05,185.10,187.00,182.15,186.00,185.10,185.30,13729,25.44,-,8112,59.09
