Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AKRUTI,EQ,07-Feb-2007,540.00,724.45,730.00,551.25,557.10,563.45,605.45,8573402,51907.48,-,1843720,21.51
AKRUTI,EQ,08-Feb-2007,563.45,575.00,596.80,546.20,561.40,561.75,570.15,3393584,19348.41,-,558468,16.46
AKRUTI,EQ,09-Feb-2007,561.75,565.00,581.50,548.60,552.00,555.85,568.05,1857832,10553.41,-,307222,16.54
AKRUTI,EQ,12-Feb-2007,555.85,547.00,547.00,445.70,453.00,455.30,484.22,2259806,10942.47,-,313146,13.86
AKRUTI,EQ,13-Feb-2007,455.30,454.70,496.85,430.00,449.80,447.75,467.68,4686874,21919.78,-,237809,5.07
AKRUTI,EQ,14-Feb-2007,447.75,450.00,450.00,414.00,420.00,420.40,424.96,1810501,7693.98,-,161672,8.93
AKRUTI,EQ,15-Feb-2007,420.40,429.00,465.85,427.00,450.75,452.95,450.13,1950799,8781.06,-,175469,8.99
AKRUTI,EQ,19-Feb-2007,452.95,455.00,466.65,445.00,447.70,449.20,457.16,944510,4317.96,-,208051,22.03
AKRUTI,EQ,20-Feb-2007,449.20,450.00,451.90,422.05,424.00,424.70,435.44,485643,2114.69,-,99746,20.54
AKRUTI,EQ,21-Feb-2007,424.70,426.20,428.50,408.50,410.50,411.00,415.84,519161,2158.90,-,70173,13.52
AKRUTI,EQ,22-Feb-2007,411.00,410.00,441.90,406.75,419.60,423.10,428.21,1195621,5119.81,-,139959,11.71
AKRUTI,EQ,23-Feb-2007,423.10,426.95,438.00,401.25,435.00,431.60,419.35,1299632,5449.96,-,239637,18.44
AKRUTI,EQ,26-Feb-2007,431.60,436.70,456.00,431.00,449.80,446.55,444.87,780334,3471.49,-,142185,18.22
AKRUTI,EQ,27-Feb-2007,446.55,451.80,474.00,436.10,455.50,458.75,462.80,1271813,5886.01,-,147823,11.62
AKRUTI,EQ,28-Feb-2007,458.75,418.00,451.95,416.05,425.10,422.35,435.62,502803,2190.33,-,145717,28.98
AKRUTI,EQ,01-Mar-2007,422.35,424.70,432.00,408.60,412.45,415.90,418.63,291261,1219.31,-,83215,28.57
AKRUTI,EQ,02-Mar-2007,415.90,415.90,417.75,374.00,380.80,383.45,400.32,358029,1433.27,-,126015,35.20
AKRUTI,EQ,05-Mar-2007,383.45,366.60,370.80,341.25,342.50,345.00,353.46,266667,942.57,-,76122,28.55
AKRUTI,EQ,06-Mar-2007,345.00,344.00,366.05,330.10,346.00,344.90,347.40,367517,1276.75,-,50098,13.63
AKRUTI,EQ,07-Mar-2007,344.90,355.00,380.00,350.00,378.00,372.05,364.88,991896,3619.26,-,172360,17.38
AKRUTI,EQ,08-Mar-2007,372.05,379.00,428.40,361.05,420.10,413.50,389.93,977773,3812.62,-,159896,16.35
AKRUTI,EQ,09-Mar-2007,413.50,417.00,426.00,393.30,394.30,403.50,409.85,718669,2945.48,-,67211,9.35
