Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INGERRAND,EQ,02-Jan-2006,336.85,336.40,340.00,336.40,337.50,337.30,338.11,2837,9.59,-,2091,73.70
INGERRAND,EQ,03-Jan-2006,337.30,339.95,342.00,337.50,341.40,339.15,339.24,5175,17.56,-,4998,96.58
INGERRAND,EQ,04-Jan-2006,339.15,353.90,354.70,325.00,345.05,346.80,349.61,20788,72.68,-,12994,62.51
INGERRAND,EQ,05-Jan-2006,346.80,350.00,350.85,344.00,349.95,347.95,346.27,9058,31.36,-,6125,67.62
INGERRAND,EQ,06-Jan-2006,347.95,345.10,354.00,344.00,349.00,349.50,349.53,8398,29.35,-,7254,86.38
INGERRAND,EQ,09-Jan-2006,349.50,352.00,352.00,347.30,350.00,349.30,349.65,5441,19.02,-,4546,83.55
INGERRAND,EQ,10-Jan-2006,349.30,347.30,347.30,344.00,345.00,345.75,345.52,2383,8.23,-,2068,86.78
INGERRAND,EQ,12-Jan-2006,345.75,344.00,349.00,341.25,343.60,345.05,345.51,2657,9.18,-,2338,87.99
INGERRAND,EQ,13-Jan-2006,345.05,342.25,349.00,340.10,341.95,341.85,345.22,9170,31.66,-,5882,64.14
INGERRAND,EQ,16-Jan-2006,341.85,341.00,344.00,339.00,340.30,342.70,341.08,5104,17.41,-,4801,94.06
INGERRAND,EQ,17-Jan-2006,342.70,342.05,344.00,341.50,343.50,343.00,342.82,3330,11.42,-,2775,83.33
INGERRAND,EQ,18-Jan-2006,343.00,338.55,341.90,338.10,339.10,339.15,339.44,4712,15.99,-,4125,87.54
INGERRAND,EQ,19-Jan-2006,339.15,341.00,342.50,334.00,340.00,336.55,336.90,13488,45.44,-,12363,91.66
INGERRAND,EQ,20-Jan-2006,336.55,336.10,340.00,335.10,336.40,336.35,337.65,7205,24.33,-,5660,78.56
INGERRAND,EQ,23-Jan-2006,336.35,341.60,341.60,335.15,335.20,336.35,337.52,4376,14.77,-,4028,92.05
INGERRAND,EQ,24-Jan-2006,336.35,335.45,342.00,335.10,337.80,336.85,339.26,11057,37.51,-,9379,84.82
INGERRAND,EQ,25-Jan-2006,336.85,339.80,342.85,333.00,337.90,337.00,336.67,20626,69.44,-,14536,70.47
INGERRAND,EQ,27-Jan-2006,337.00,340.90,341.00,335.00,335.90,335.55,337.20,5281,17.81,-,3585,67.88
INGERRAND,EQ,30-Jan-2006,335.55,326.00,354.90,326.00,340.25,341.40,343.02,27003,92.63,-,20496,75.90
INGERRAND,EQ,31-Jan-2006,341.40,350.00,350.00,337.00,338.90,337.30,342.01,22676,77.55,-,12566,55.42
INGERRAND,EQ,01-Feb-2006,337.30,348.00,348.00,335.00,337.00,337.05,337.74,23084,77.96,-,17817,77.18
INGERRAND,EQ,02-Feb-2006,337.05,340.00,345.00,336.00,341.45,341.50,339.79,8631,29.33,-,7088,82.12
INGERRAND,EQ,03-Feb-2006,341.50,343.00,368.40,340.00,360.00,360.95,357.09,64126,228.99,-,41115,64.12
INGERRAND,EQ,06-Feb-2006,360.95,365.00,367.45,350.10,350.15,355.20,357.80,21801,78.00,-,14327,65.72
INGERRAND,EQ,07-Feb-2006,355.20,358.85,358.85,348.05,350.20,353.50,352.80,28490,100.51,-,19309,67.77
INGERRAND,EQ,08-Feb-2006,353.50,352.00,362.00,350.00,353.00,353.00,356.81,38437,137.15,-,29914,77.83
INGERRAND,EQ,10-Feb-2006,353.00,357.90,357.90,352.50,356.00,354.05,355.37,14153,50.30,-,9145,64.62
INGERRAND,EQ,13-Feb-2006,354.05,357.00,359.70,353.30,353.30,354.85,355.92,8727,31.06,-,7273,83.34
