Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LOGIXMICRO,EQ,05-Feb-2007,258.80,249.80,249.80,240.05,242.90,242.10,242.35,8388,20.33,-,4955,59.07
LOGIXMICRO,EQ,06-Feb-2007,242.10,245.00,246.95,245.00,246.95,246.95,246.83,9991,24.66,-,9854,98.63
LOGIXMICRO,EQ,07-Feb-2007,246.95,251.90,251.90,251.90,251.90,251.90,251.90,6943,17.49,-,6942,99.99
LOGIXMICRO,EQ,08-Feb-2007,251.90,256.95,256.95,246.90,248.00,250.05,255.96,43093,110.30,-,37788,87.69
LOGIXMICRO,EQ,09-Feb-2007,250.05,247.20,247.75,245.05,245.05,245.05,245.76,182,0.45,-,141,77.47
LOGIXMICRO,EQ,14-Feb-2007,245.05,244.00,245.00,240.15,240.15,240.15,244.46,101,0.25,-,101,100.00
LOGIXMICRO,EQ,15-Feb-2007,240.15,235.50,235.50,235.50,235.50,235.50,235.50,150,0.35,-,150,100.00
LOGIXMICRO,EQ,19-Feb-2007,235.50,240.00,240.25,240.00,240.25,240.25,240.25,2025,4.87,-,2000,98.77
LOGIXMICRO,EQ,20-Feb-2007,240.25,239.95,240.00,239.95,240.00,240.00,239.98,10,0.02,-,10,100.00
LOGIXMICRO,EQ,21-Feb-2007,240.00,239.80,239.80,235.35,235.35,235.35,239.03,121,0.29,-,100,82.64
LOGIXMICRO,EQ,27-Feb-2007,235.35,230.65,230.65,230.65,230.65,230.65,230.65,5,0.01,-,5,100.00
LOGIXMICRO,EQ,02-Mar-2007,230.65,226.05,226.05,226.05,226.05,226.05,226.05,25,0.06,-,25,100.00
LOGIXMICRO,EQ,22-Mar-2007,226.05,214.75,214.75,214.75,214.75,214.75,214.75,63,0.14,-,63,100.00
LOGIXMICRO,EQ,23-Mar-2007,214.75,204.05,204.05,204.05,204.05,204.05,204.05,505,1.03,-,505,100.00
LOGIXMICRO,EQ,26-Mar-2007,204.05,193.85,193.85,193.85,193.85,193.85,193.85,100,0.19,-,100,100.00
LOGIXMICRO,EQ,28-Mar-2007,193.85,200.00,200.00,185.00,185.00,185.00,185.58,26,0.05,-,25,96.15
LOGIXMICRO,EQ,29-Mar-2007,185.00,175.80,180.00,175.80,175.80,175.80,178.80,399,0.71,-,339,84.96
LOGIXMICRO,EQ,30-Mar-2007,175.80,175.00,184.50,168.00,184.50,184.50,177.70,308,0.55,-,229,74.35
LOGIXMICRO,EQ,02-Apr-2007,184.50,177.00,181.00,177.00,181.00,181.00,179.00,2,0.00,-,1,50.00
LOGIXMICRO,EQ,04-Apr-2007,181.00,190.00,190.05,190.00,190.05,190.05,190.02,74,0.14,-,74,100.00
LOGIXMICRO,EQ,09-Apr-2007,190.05,199.55,199.55,199.55,199.55,199.55,199.55,100,0.20,-,100,100.00
LOGIXMICRO,EQ,10-Apr-2007,199.55,208.70,208.75,199.10,199.50,199.50,204.91,120,0.25,-,50,41.67
LOGIXMICRO,EQ,11-Apr-2007,199.50,197.05,209.40,197.00,208.85,208.85,208.43,860,1.79,-,855,99.42
LOGIXMICRO,EQ,12-Apr-2007,208.85,200.10,205.00,200.00,205.00,205.00,203.08,305,0.62,-,105,34.43
LOGIXMICRO,EQ,13-Apr-2007,205.00,213.85,213.85,203.65,209.80,206.10,208.62,325,0.68,-,275,84.62
LOGIXMICRO,EQ,16-Apr-2007,206.10,200.00,213.00,196.05,213.00,213.00,209.66,500,1.05,-,400,80.00
LOGIXMICRO,EQ,17-Apr-2007,213.00,209.90,209.90,209.90,209.90,209.90,209.90,50,0.10,-,50,100.00
LOGIXMICRO,EQ,18-Apr-2007,209.90,207.00,207.00,204.50,204.50,204.50,206.93,103,0.21,-,103,100.00
LOGIXMICRO,EQ,19-Apr-2007,204.50,200.00,201.00,195.00,201.00,201.00,197.29,120,0.24,-,95,79.17
LOGIXMICRO,EQ,20-Apr-2007,201.00,201.10,202.00,191.50,191.50,191.50,196.70,185,0.36,-,185,100.00
LOGIXMICRO,EQ,24-Apr-2007,191.50,195.10,195.10,195.10,195.10,195.10,195.10,10,0.02,-,10,100.00
LOGIXMICRO,EQ,25-Apr-2007,195.10,199.90,201.00,199.90,201.00,200.65,200.63,3,0.01,-,1,33.33
LOGIXMICRO,EQ,26-Apr-2007,200.65,191.00,195.70,191.00,195.70,195.70,193.35,10,0.02,-,10,100.00
LOGIXMICRO,EQ,03-May-2007,195.70,194.75,194.75,194.75,194.75,194.75,194.75,160,0.31,-,160,100.00
LOGIXMICRO,EQ,04-May-2007,194.75,199.00,199.00,198.00,198.00,198.00,198.50,20,0.04,-,10,50.00
LOGIXMICRO,EQ,07-May-2007,198.00,195.00,195.00,188.55,188.55,188.55,191.93,20,0.04,-,20,100.00
LOGIXMICRO,EQ,08-May-2007,188.55,186.70,186.70,186.70,186.70,186.70,186.70,1,0.00,-,1,100.00
LOGIXMICRO,EQ,09-May-2007,186.70,186.00,186.00,186.00,186.00,186.00,186.00,2,0.00,-,2,100.00
LOGIXMICRO,EQ,10-May-2007,186.00,185.10,185.10,180.30,180.30,180.30,180.48,78,0.14,-,78,100.00
LOGIXMICRO,EQ,11-May-2007,180.30,182.50,182.50,182.50,182.50,182.50,182.50,100,0.18,-,100,100.00
LOGIXMICRO,EQ,14-May-2007,182.50,185.00,200.75,185.00,200.75,200.75,187.05,115,0.22,-,115,100.00
LOGIXMICRO,EQ,15-May-2007,200.75,220.85,220.85,220.85,220.85,220.85,220.85,1248,2.76,-,1163,93.19
LOGIXMICRO,EQ,16-May-2007,220.85,236.00,236.00,217.20,222.60,221.90,221.73,1583,3.51,-,1301,82.19
LOGIXMICRO,EQ,17-May-2007,221.90,221.00,224.50,215.10,220.00,219.85,220.03,1219,2.68,-,1090,89.42
LOGIXMICRO,EQ,18-May-2007,219.85,218.00,224.35,215.25,224.35,221.30,218.45,1562,3.41,-,1550,99.23
LOGIXMICRO,EQ,21-May-2007,221.30,216.00,218.10,211.00,211.00,211.00,214.22,250,0.54,-,200,80.00
LOGIXMICRO,EQ,22-May-2007,211.00,215.50,215.50,204.00,215.00,215.00,211.41,80,0.17,-,30,37.50
LOGIXMICRO,EQ,23-May-2007,215.00,204.60,212.95,204.50,210.00,210.00,207.08,215,0.45,-,150,69.77
LOGIXMICRO,EQ,25-May-2007,210.00,210.00,220.00,210.00,220.00,220.00,214.79,470,1.01,-,420,89.36
LOGIXMICRO,EQ,28-May-2007,220.00,220.00,230.00,211.70,230.00,230.00,225.84,1410,3.18,-,1270,90.07
LOGIXMICRO,EQ,29-May-2007,230.00,228.70,230.00,219.00,230.00,229.10,227.40,2427,5.52,-,2293,94.48
LOGIXMICRO,EQ,30-May-2007,229.10,230.00,235.00,218.15,235.00,233.15,230.66,1316,3.04,-,1016,77.20
LOGIXMICRO,EQ,31-May-2007,233.15,236.80,244.85,234.10,244.85,244.85,244.77,44569,109.09,-,42513,95.39
LOGIXMICRO,EQ,01-Jun-2007,244.85,251.00,257.10,251.00,257.10,257.10,256.54,600,1.54,-,600,100.00
LOGIXMICRO,EQ,04-Jun-2007,257.10,270.00,270.00,270.00,270.00,270.00,270.00,27874,75.26,-,25859,92.77
LOGIXMICRO,EQ,05-Jun-2007,270.00,279.00,283.50,270.00,282.00,279.20,278.51,100731,280.55,-,70702,70.19
LOGIXMICRO,EQ,06-Jun-2007,279.20,279.00,283.45,265.25,265.25,265.25,267.84,9106,24.39,-,5956,65.41
LOGIXMICRO,EQ,07-Jun-2007,265.25,252.55,262.00,252.00,252.00,252.00,253.05,1130,2.86,-,721,63.81
