Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
J&KBANK,EQ,02-Jan-2006,486.90,482.00,499.90,482.00,484.05,485.30,487.99,15218,74.26,-,7795,51.22
J&KBANK,EQ,03-Jan-2006,485.30,492.45,492.45,485.00,487.90,487.45,488.30,7986,39.00,-,2988,37.42
J&KBANK,EQ,04-Jan-2006,487.45,494.90,501.00,489.00,490.80,493.35,494.92,24368,120.60,-,10551,43.30
J&KBANK,EQ,05-Jan-2006,493.35,495.50,521.00,490.50,512.10,514.15,513.20,173848,892.18,-,73264,42.14
J&KBANK,EQ,06-Jan-2006,514.15,515.00,515.70,497.00,502.25,506.50,506.34,59840,302.99,-,25047,41.86
J&KBANK,EQ,09-Jan-2006,506.50,509.00,519.70,505.00,506.65,507.05,510.78,46762,238.85,-,22911,48.99
J&KBANK,EQ,10-Jan-2006,507.05,534.90,534.90,505.00,505.20,508.30,512.61,39530,202.63,-,13482,34.11
J&KBANK,EQ,12-Jan-2006,508.30,514.85,535.00,501.25,533.00,525.40,522.55,67105,350.66,-,32286,48.11
J&KBANK,EQ,13-Jan-2006,525.40,548.40,567.70,535.00,542.75,541.80,544.05,198610,1080.54,-,57790,29.10
J&KBANK,EQ,16-Jan-2006,541.80,547.90,547.90,531.00,536.50,533.85,538.13,55031,296.14,-,15480,28.13
J&KBANK,EQ,17-Jan-2006,533.85,538.00,541.00,519.00,521.50,521.80,530.35,36664,194.45,-,19777,53.94
J&KBANK,EQ,18-Jan-2006,521.80,526.00,526.00,505.80,512.05,512.90,514.28,31479,161.89,-,14949,47.49
J&KBANK,EQ,19-Jan-2006,512.90,516.30,525.00,516.30,522.00,521.45,521.00,20592,107.28,-,11255,54.66
J&KBANK,EQ,20-Jan-2006,521.45,523.00,545.00,522.55,535.10,539.55,535.65,45940,246.08,-,22832,49.70
J&KBANK,EQ,23-Jan-2006,539.55,536.00,545.00,513.00,544.00,537.85,533.32,119118,635.29,-,70374,59.08
J&KBANK,EQ,24-Jan-2006,537.85,524.00,535.00,515.00,520.50,523.50,525.98,62571,329.11,-,34799,55.62
J&KBANK,EQ,25-Jan-2006,523.50,520.00,543.00,508.00,512.00,510.70,518.08,76431,395.98,-,41169,53.86
J&KBANK,EQ,27-Jan-2006,510.70,520.00,522.75,509.00,514.50,511.55,514.04,37641,193.49,-,27271,72.45
J&KBANK,EQ,30-Jan-2006,511.55,518.95,521.00,490.10,503.00,502.55,502.73,59681,300.03,-,32963,55.23
J&KBANK,EQ,31-Jan-2006,502.55,509.50,532.00,505.00,526.00,528.50,520.43,62335,324.41,-,16980,27.24
J&KBANK,EQ,01-Feb-2006,528.50,538.90,538.90,510.00,510.25,513.40,525.38,121788,639.85,-,32297,26.52
J&KBANK,EQ,02-Feb-2006,513.40,520.00,523.05,509.00,510.05,510.20,513.23,54379,279.09,-,28045,51.57
J&KBANK,EQ,03-Feb-2006,510.20,515.00,523.95,486.10,513.95,514.00,515.61,78279,403.61,-,42972,54.90
J&KBANK,EQ,06-Feb-2006,514.00,502.00,519.90,502.00,512.00,514.55,516.37,31690,163.64,-,20011,63.15
J&KBANK,EQ,07-Feb-2006,514.55,517.00,524.00,511.00,520.00,519.05,518.11,41400,214.50,-,19048,46.01
J&KBANK,EQ,08-Feb-2006,519.05,528.00,528.00,508.20,525.10,522.25,520.81,40564,211.26,-,16338,40.28
J&KBANK,EQ,10-Feb-2006,522.25,530.00,530.00,517.00,523.25,525.60,524.30,167609,878.77,-,112327,67.02
J&KBANK,EQ,13-Feb-2006,525.60,529.90,531.50,517.00,517.25,520.20,523.14,181828,951.21,-,117909,64.85
J&KBANK,EQ,14-Feb-2006,520.20,519.00,525.00,510.10,512.00,512.60,519.03,106240,551.42,-,74044,69.70
J&KBANK,EQ,15-Feb-2006,512.60,518.00,520.00,508.80,508.80,514.75,514.18,85124,437.69,-,56975,66.93
J&KBANK,EQ,16-Feb-2006,514.75,514.00,517.00,509.75,510.00,511.30,512.08,89098,456.25,-,69264,77.74
J&KBANK,EQ,17-Feb-2006,511.30,509.00,513.90,500.35,502.00,502.50,504.28,49122,247.71,-,26106,53.15
J&KBANK,EQ,20-Feb-2006,502.50,510.00,521.75,496.00,519.85,518.00,509.93,179740,916.55,-,68495,38.11
J&KBANK,EQ,21-Feb-2006,518.00,523.90,527.90,512.00,513.50,514.90,517.74,146243,757.16,-,65722,44.94
J&KBANK,EQ,22-Feb-2006,514.90,516.70,519.85,507.00,509.10,510.60,514.45,66045,339.77,-,19768,29.93
J&KBANK,EQ,23-Feb-2006,510.60,513.00,513.65,495.00,501.00,499.10,502.80,216160,1086.85,-,115832,53.59
J&KBANK,EQ,24-Feb-2006,499.10,540.00,540.00,503.00,509.00,509.95,508.59,65288,332.05,-,20559,31.49
J&KBANK,EQ,27-Feb-2006,509.95,515.00,515.00,504.10,507.00,511.10,511.51,44244,226.31,-,35022,79.16
J&KBANK,EQ,28-Feb-2006,511.10,512.00,518.50,506.00,509.50,511.85,511.47,72130,368.93,-,46295,64.18
J&KBANK,EQ,01-Mar-2006,511.85,511.85,513.50,509.00,512.35,511.90,511.74,52005,266.13,-,43770,84.16
J&KBANK,EQ,02-Mar-2006,511.90,513.00,523.00,510.00,516.00,516.30,517.33,100104,517.87,-,59516,59.45
J&KBANK,EQ,03-Mar-2006,516.30,524.00,526.90,517.00,518.00,520.35,521.93,91621,478.20,-,38346,41.85
J&KBANK,EQ,06-Mar-2006,520.35,520.00,525.00,515.10,515.15,517.90,521.11,28896,150.58,-,16908,58.51
J&KBANK,EQ,07-Mar-2006,517.90,515.00,521.50,514.00,517.50,517.65,517.07,24733,127.89,-,13848,55.99
J&KBANK,EQ,08-Mar-2006,517.65,517.50,521.00,507.05,507.50,510.00,511.82,33617,172.06,-,26416,78.58
J&KBANK,EQ,09-Mar-2006,510.00,491.00,509.80,491.00,502.25,504.85,504.55,28334,142.96,-,18812,66.39
J&KBANK,EQ,10-Mar-2006,504.85,512.90,512.90,505.00,505.75,505.20,507.02,39945,202.53,-,30216,75.64
J&KBANK,EQ,13-Mar-2006,505.20,508.10,511.00,501.10,504.95,504.55,504.94,33502,169.17,-,23724,70.81
J&KBANK,EQ,14-Mar-2006,504.55,508.85,516.90,497.00,498.00,498.50,508.13,191006,970.56,-,113106,59.22
J&KBANK,EQ,16-Mar-2006,498.50,508.70,508.70,495.15,498.00,497.90,499.87,61663,308.23,-,42375,68.72
J&KBANK,EQ,17-Mar-2006,497.90,500.00,502.45,488.20,490.00,489.90,494.59,30091,148.83,-,16640,55.30
