Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JKIL,EQ,12-Feb-2008,110.00,109.00,119.00,84.20,103.50,103.35,100.12,20451929,20476.24,-,771833,3.77
JKIL,EQ,13-Feb-2008,103.35,105.00,112.00,98.30,101.35,101.85,106.17,5302931,5629.92,-,207011,3.90
JKIL,EQ,14-Feb-2008,101.85,107.70,109.00,101.80,103.30,103.80,105.34,1521771,1603.06,-,125239,8.23
JKIL,EQ,15-Feb-2008,103.80,100.00,102.90,96.70,101.00,100.30,100.70,1049020,1056.34,-,69711,6.65
JKIL,EQ,18-Feb-2008,100.30,103.80,119.75,100.05,118.50,118.45,114.27,5026190,5743.48,-,387514,7.71
JKIL,EQ,19-Feb-2008,118.45,119.90,125.80,109.20,110.35,111.00,118.76,3554039,4220.70,-,395882,11.14
JKIL,EQ,20-Feb-2008,111.00,111.00,113.60,107.00,108.40,108.25,110.24,1159969,1278.77,-,90500,7.80
JKIL,EQ,21-Feb-2008,108.25,111.00,114.70,107.55,109.50,109.50,111.08,617854,686.33,-,102338,16.56
JKIL,EQ,22-Feb-2008,109.50,108.00,109.60,104.00,104.65,105.60,107.08,223882,239.74,-,60283,26.93
JKIL,EQ,25-Feb-2008,105.60,108.80,108.80,99.50,100.50,100.45,101.50,284494,288.75,-,80792,28.40
JKIL,EQ,26-Feb-2008,100.45,102.85,110.60,100.50,105.75,104.40,106.99,1076570,1151.86,-,112259,10.43
JKIL,EQ,27-Feb-2008,104.40,105.30,113.00,104.55,105.60,105.80,109.57,1183534,1296.86,-,105097,8.88
JKIL,EQ,28-Feb-2008,105.80,107.00,111.00,105.00,107.45,106.85,107.88,500837,540.28,-,67697,13.52
JKIL,EQ,29-Feb-2008,106.85,105.90,107.95,101.40,102.10,102.85,104.53,178046,186.12,-,41432,23.27
JKIL,EQ,03-Mar-2008,102.85,100.00,102.50,95.00,96.75,96.30,99.46,236120,234.84,-,65155,27.59
JKIL,EQ,04-Mar-2008,96.30,100.00,100.00,90.20,93.75,93.20,93.97,192748,181.13,-,41239,21.40
JKIL,EQ,05-Mar-2008,93.20,93.80,95.00,88.00,91.00,89.50,90.56,105681,95.71,-,19656,18.60
JKIL,EQ,07-Mar-2008,89.50,85.10,87.00,78.35,81.00,81.65,81.21,147241,119.58,-,41443,28.15
JKIL,EQ,10-Mar-2008,81.65,78.25,89.00,74.10,84.20,84.00,81.36,175549,142.83,-,33090,18.85
JKIL,EQ,11-Mar-2008,84.00,78.45,94.30,78.45,92.00,91.65,90.76,281179,255.20,-,43755,15.56
JKIL,EQ,12-Mar-2008,91.65,95.00,98.70,86.80,87.30,88.15,92.82,133579,123.98,-,30020,22.47
JKIL,EQ,13-Mar-2008,88.15,85.00,87.00,80.00,80.90,81.15,83.65,91602,76.63,-,32364,35.33
JKIL,EQ,14-Mar-2008,81.15,79.10,83.95,77.00,82.60,82.05,81.71,126539,103.40,-,18300,14.46
JKIL,EQ,17-Mar-2008,82.05,79.80,79.80,70.90,75.00,74.75,76.65,61480,47.13,-,18468,30.04
JKIL,EQ,18-Mar-2008,74.75,69.00,78.00,68.30,73.10,73.35,74.18,58450,43.36,-,23570,40.33
JKIL,EQ,19-Mar-2008,73.35,77.95,82.50,71.65,82.50,78.30,77.82,179171,139.43,-,68167,38.05
JKIL,EQ,24-Mar-2008,78.30,81.00,81.00,72.00,72.55,72.65,74.25,44910,33.35,-,20455,45.55
JKIL,EQ,25-Mar-2008,72.65,64.00,78.45,64.00,76.00,75.35,75.21,56752,42.68,-,15667,27.61
JKIL,EQ,26-Mar-2008,75.35,76.95,80.95,74.00,76.90,77.00,77.55,88053,68.29,-,31940,36.27
JKIL,EQ,27-Mar-2008,77.00,76.00,81.40,74.40,80.10,79.10,79.13,63812,50.49,-,20660,32.38
JKIL,EQ,28-Mar-2008,79.10,80.50,82.60,77.00,79.60,81.40,80.11,69780,55.90,-,26961,38.64
JKIL,EQ,31-Mar-2008,81.40,80.95,88.45,79.30,81.00,80.45,84.84,192477,163.29,-,34653,18.00
JKIL,EQ,01-Apr-2008,80.45,82.05,84.00,80.40,82.15,82.00,81.96,37149,30.45,-,13569,36.53
JKIL,EQ,02-Apr-2008,82.00,85.80,85.85,80.05,80.60,81.05,83.62,36997,30.94,-,14924,40.34
JKIL,EQ,03-Apr-2008,81.05,82.00,83.00,78.10,78.80,79.45,80.41,29362,23.61,-,9837,33.50
JKIL,EQ,04-Apr-2008,79.45,80.00,91.50,79.00,90.20,87.85,87.03,438007,381.19,-,81973,18.71
JKIL,EQ,07-Apr-2008,87.85,95.70,95.70,86.00,87.95,88.15,88.99,208656,185.68,-,34601,16.58
JKIL,EQ,08-Apr-2008,88.15,86.00,95.80,86.00,91.30,91.80,91.49,205408,187.93,-,17662,8.60
JKIL,EQ,09-Apr-2008,91.80,88.00,97.30,88.00,94.00,94.50,95.23,247994,236.16,-,32902,13.27
JKIL,EQ,10-Apr-2008,94.50,95.50,97.50,92.60,92.70,92.85,94.80,97622,92.54,-,21726,22.26
JKIL,EQ,11-Apr-2008,92.85,93.60,95.80,90.60,91.20,91.80,93.17,59506,55.44,-,16287,27.37
JKIL,EQ,15-Apr-2008,91.80,89.70,95.60,89.00,92.75,92.05,93.60,67231,62.93,-,11851,17.63
JKIL,EQ,16-Apr-2008,92.05,92.50,94.65,88.25,89.80,89.05,91.06,78719,71.68,-,29305,37.23
