Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JMA,BE,16-Mar-2015,160.00,230.00,236.00,218.50,225.00,225.05,226.27,35498,80.32,155,-,-
JMA,BE,17-Mar-2015,225.05,229.35,229.35,213.80,213.80,213.80,215.91,3757,8.11,53,-,-
JMA,BE,18-Mar-2015,213.80,203.20,203.20,203.15,203.15,203.15,203.17,794,1.61,9,-,-
JMA,BE,19-Mar-2015,203.15,193.10,202.65,193.00,193.00,193.00,193.02,11281,21.77,84,-,-
JMA,BE,20-Mar-2015,193.00,184.00,185.05,183.35,183.35,183.35,183.44,7345,13.47,75,-,-
JMA,BE,23-Mar-2015,183.35,175.00,186.50,175.00,180.00,178.80,176.53,12028,21.23,63,-,-
JMA,BE,24-Mar-2015,178.80,170.05,184.80,169.90,170.00,170.00,172.36,1333,2.30,44,-,-
JMA,BE,25-Mar-2015,170.00,169.00,172.50,161.50,161.50,161.80,162.45,3120,5.07,42,-,-
JMA,BE,26-Mar-2015,161.80,158.30,159.15,155.50,159.15,159.15,156.59,1344,2.10,37,-,-
JMA,BE,27-Mar-2015,159.15,159.50,160.00,151.20,159.95,159.95,155.71,1520,2.37,34,-,-
JMA,EQ,30-Mar-2015,159.95,165.00,168.00,155.50,165.00,156.25,157.79,806,1.27,26,603,74.81
JMA,EQ,31-Mar-2015,156.25,155.00,180.10,155.00,179.90,179.40,176.67,7322,12.94,86,6985,95.40
JMA,EQ,01-Apr-2015,179.40,184.95,185.00,174.25,180.55,181.70,181.04,15887,28.76,102,9480,59.67
JMA,EQ,06-Apr-2015,181.70,187.95,187.95,175.30,179.00,180.10,180.98,1695,3.07,34,1668,98.41
JMA,EQ,07-Apr-2015,180.10,180.00,185.00,180.00,182.25,184.85,182.90,4475,8.18,23,3845,85.92
JMA,EQ,08-Apr-2015,184.85,185.00,194.00,181.00,194.00,193.50,187.07,13317,24.91,77,12982,97.48
JMA,EQ,09-Apr-2015,193.50,187.95,209.95,181.15,196.05,197.65,199.79,4652,9.29,75,4327,93.01
JMA,EQ,10-Apr-2015,197.65,200.00,201.00,191.10,192.60,194.70,196.68,1822,3.58,43,1661,91.16
JMA,EQ,13-Apr-2015,194.70,192.00,200.00,191.25,199.00,197.75,197.65,2753,5.44,55,1990,72.28
JMA,EQ,15-Apr-2015,197.75,197.00,204.00,195.00,195.00,195.90,202.35,15166,30.69,113,13930,91.85
JMA,EQ,16-Apr-2015,195.90,195.90,207.00,180.00,200.10,201.25,194.80,19607,38.19,340,11034,56.28
JMA,EQ,17-Apr-2015,201.25,206.60,206.60,191.00,192.50,192.05,193.86,8704,16.87,162,7941,91.23
JMA,EQ,20-Apr-2015,192.05,200.90,200.90,192.00,193.05,192.60,194.26,4535,8.81,48,3114,68.67
JMA,EQ,21-Apr-2015,192.60,188.05,195.50,188.05,190.20,190.20,190.92,3759,7.18,54,3261,86.75
JMA,EQ,22-Apr-2015,190.20,190.15,192.95,187.75,192.00,190.60,189.86,1580,3.00,37,1085,68.67
JMA,EQ,23-Apr-2015,190.60,186.75,194.50,186.75,193.00,190.50,190.45,1965,3.74,46,1440,73.28
JMA,EQ,24-Apr-2015,190.50,193.90,195.75,192.00,193.30,193.60,194.11,2126,4.13,39,1641,77.19
JMA,EQ,27-Apr-2015,193.60,185.55,194.00,185.55,189.70,189.75,190.90,1842,3.52,34,1159,62.92
JMA,EQ,28-Apr-2015,189.75,188.00,197.00,188.00,192.50,192.75,194.45,2760,5.37,52,2450,88.77
JMA,EQ,29-Apr-2015,192.75,200.00,200.00,192.50,193.05,193.05,196.68,1149,2.26,29,1037,90.25
JMA,EQ,30-Apr-2015,193.05,190.30,196.95,182.40,182.60,183.60,188.55,2941,5.55,58,2738,93.10
JMA,EQ,04-May-2015,183.60,186.00,190.95,186.00,190.95,190.80,188.35,192,0.36,8,165,85.94
JMA,EQ,05-May-2015,190.80,187.00,193.80,183.00,184.70,186.30,184.35,753,1.39,23,590,78.35
JMA,EQ,06-May-2015,186.30,182.60,186.00,181.05,185.00,185.00,184.88,1239,2.29,25,1145,92.41
JMA,EQ,07-May-2015,185.00,185.00,188.00,177.30,177.40,181.10,184.22,3601,6.63,44,3599,99.94
JMA,EQ,08-May-2015,181.10,184.00,184.00,182.00,182.00,182.00,182.47,132,0.24,6,130,98.48
JMA,EQ,11-May-2015,182.00,182.00,182.00,178.05,179.05,179.35,179.68,210,0.38,7,140,66.67
JMA,EQ,12-May-2015,179.35,176.00,177.00,175.25,177.00,177.00,176.00,550,0.97,9,350,63.64
