Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GOODLASNER,EQ,02-Jan-2006,773.55,790.00,790.00,770.55,782.00,777.20,780.13,281,2.19,-,226,80.43
GOODLASNER,EQ,03-Jan-2006,777.20,780.00,794.90,779.00,784.00,781.50,784.33,1488,11.67,-,1253,84.21
GOODLASNER,EQ,04-Jan-2006,781.50,799.95,813.95,787.00,806.00,806.95,802.31,3578,28.71,-,2944,82.28
GOODLASNER,EQ,05-Jan-2006,806.95,814.80,814.80,801.00,805.00,805.00,803.68,1125,9.04,-,932,82.84
GOODLASNER,EQ,06-Jan-2006,805.00,810.00,825.00,806.00,811.30,821.30,817.91,1217,9.95,-,1176,96.63
GOODLASNER,EQ,09-Jan-2006,821.30,815.00,818.00,810.00,811.10,813.95,813.96,829,6.75,-,620,74.79
GOODLASNER,EQ,10-Jan-2006,813.95,810.50,825.15,805.05,805.05,815.95,811.43,4498,36.50,-,4402,97.87
GOODLASNER,EQ,12-Jan-2006,815.95,800.00,810.00,785.00,785.00,788.85,800.43,2810,22.49,-,2595,92.35
GOODLASNER,EQ,13-Jan-2006,788.85,800.00,819.95,790.00,805.75,809.15,805.12,6292,50.66,-,5518,87.70
GOODLASNER,EQ,16-Jan-2006,809.15,810.00,828.00,809.00,813.00,812.35,809.56,5795,46.91,-,5636,97.26
GOODLASNER,EQ,17-Jan-2006,812.35,810.30,820.00,800.25,820.00,819.55,809.06,5389,43.60,-,5349,99.26
GOODLASNER,EQ,18-Jan-2006,819.55,810.00,810.00,808.00,808.00,808.00,808.07,2730,22.06,-,2712,99.34
GOODLASNER,EQ,19-Jan-2006,808.00,808.30,812.70,805.00,806.25,806.25,805.42,5750,46.31,-,5632,97.95
GOODLASNER,EQ,20-Jan-2006,806.25,785.00,815.00,785.00,805.00,801.20,805.32,5613,45.20,-,4475,79.73
GOODLASNER,EQ,23-Jan-2006,801.20,828.95,850.75,790.00,795.00,795.10,794.63,16163,128.44,-,15312,94.73
GOODLASNER,EQ,24-Jan-2006,795.10,805.05,814.00,795.00,813.00,805.40,802.67,5597,44.93,-,5497,98.21
GOODLASNER,EQ,25-Jan-2006,805.40,885.00,885.00,836.00,848.00,845.05,856.18,2397,20.52,-,1492,62.24
GOODLASNER,EQ,27-Jan-2006,845.05,844.00,879.85,844.00,860.00,857.15,863.42,4710,40.67,-,3606,76.56
GOODLASNER,EQ,30-Jan-2006,857.15,869.00,889.00,841.10,849.00,849.35,861.42,1362,11.73,-,1022,75.04
GOODLASNER,EQ,31-Jan-2006,849.35,925.00,925.00,830.00,830.00,830.00,844.89,953,8.05,-,850,89.19
GOODLASNER,EQ,01-Feb-2006,830.00,800.00,834.95,800.00,816.00,816.60,825.00,2379,19.63,-,2237,94.03
GOODLASNER,EQ,02-Feb-2006,816.60,825.00,850.00,810.00,835.00,835.30,832.99,11436,95.26,-,9807,85.76
GOODLASNER,EQ,03-Feb-2006,835.30,869.90,869.90,816.30,840.00,841.90,851.56,3107,26.46,-,1571,50.56
GOODLASNER,EQ,06-Feb-2006,841.90,875.00,875.00,815.05,815.05,828.25,841.03,2214,18.62,-,1889,85.32
GOODLASNER,EQ,07-Feb-2006,828.25,870.00,875.00,840.00,850.20,846.55,842.70,8096,68.23,-,7322,90.44
GOODLASNER,EQ,08-Feb-2006,846.55,800.00,850.00,800.00,845.00,845.00,842.15,1343,11.31,-,1114,82.95
GOODLASNER,EQ,10-Feb-2006,845.00,853.50,853.75,840.00,853.05,852.50,849.91,11724,99.64,-,11360,96.90
GOODLASNER,EQ,13-Feb-2006,852.50,853.00,867.00,836.10,853.00,853.75,854.52,786,6.72,-,623,79.26
GOODLASNER,EQ,14-Feb-2006,853.75,856.00,856.00,841.00,841.00,844.30,850.79,1198,10.19,-,876,73.12
GOODLASNER,EQ,15-Feb-2006,844.30,849.00,850.00,820.00,820.00,829.80,840.06,2858,24.01,-,1738,60.81
GOODLASNER,EQ,16-Feb-2006,829.80,848.00,848.00,787.00,820.00,802.85,833.50,19410,161.78,-,18551,95.57
GOODLASNER,EQ,17-Feb-2006,802.85,838.00,838.00,792.00,800.00,801.15,806.43,2138,17.24,-,958,44.81
GOODLASNER,EQ,20-Feb-2006,801.15,801.00,820.00,790.00,810.00,810.00,807.92,10381,83.87,-,10239,98.63
GOODLASNER,EQ,21-Feb-2006,810.00,812.10,830.00,800.00,810.00,810.35,812.51,18549,150.71,-,13769,74.23
GOODLASNER,EQ,22-Feb-2006,810.35,814.95,814.95,805.00,812.00,807.65,808.70,2878,23.27,-,2850,99.03
GOODLASNER,EQ,23-Feb-2006,807.65,790.05,814.95,790.05,810.00,810.25,806.91,2126,17.15,-,1830,86.08
GOODLASNER,EQ,24-Feb-2006,810.25,811.25,830.00,811.05,825.00,824.35,818.85,1815,14.86,-,1714,94.44
GOODLASNER,EQ,27-Feb-2006,824.35,825.00,825.00,805.05,814.90,809.50,819.77,8333,68.31,-,8228,98.74
GOODLASNER,EQ,28-Feb-2006,809.50,820.00,820.00,791.20,820.00,817.05,817.29,15523,126.87,-,14756,95.06
GOODLASNER,EQ,01-Mar-2006,817.05,807.10,821.05,807.05,810.00,810.00,814.19,1155,9.40,-,775,67.10
GOODLASNER,EQ,02-Mar-2006,810.00,825.00,826.00,814.60,826.00,822.50,815.42,14917,121.64,-,14635,98.11
GOODLASNER,EQ,03-Mar-2006,822.50,824.50,829.95,785.25,802.40,797.70,810.47,6960,56.41,-,3178,45.66
GOODLASNER,EQ,06-Mar-2006,797.70,807.00,939.00,800.00,803.00,806.55,824.80,5227,43.11,-,3752,71.78
GOODLASNER,EQ,07-Mar-2006,806.55,824.70,843.00,812.10,830.25,838.40,834.93,4608,38.47,-,4300,93.32
GOODLASNER,EQ,08-Mar-2006,838.40,820.00,850.00,810.05,850.00,847.65,844.03,4824,40.72,-,4385,90.90
GOODLASNER,EQ,09-Mar-2006,847.65,850.00,855.00,822.20,840.05,844.65,838.90,3607,30.26,-,3194,88.55
GOODLASNER,EQ,10-Mar-2006,844.65,781.00,855.00,781.00,853.00,850.40,844.17,2095,17.69,-,1750,83.53
GOODLASNER,EQ,13-Mar-2006,850.40,924.85,924.85,854.00,871.00,869.10,865.85,4783,41.41,-,2955,61.78
GOODLASNER,EQ,14-Mar-2006,869.10,944.45,950.50,860.00,879.00,871.35,869.17,2898,25.19,-,2157,74.43
GOODLASNER,EQ,16-Mar-2006,871.35,871.35,886.00,862.50,865.00,870.95,872.34,1673,14.59,-,1186,70.89
GOODLASNER,EQ,17-Mar-2006,870.95,870.95,880.00,863.00,870.05,872.00,870.76,788,6.86,-,764,96.95
GOODLASNER,EQ,20-Mar-2006,872.00,827.30,880.00,827.15,879.00,876.40,867.40,977,8.47,-,728,74.51
