Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KAYA,BE,14-Aug-2015,1547.05,1490.00,1498.00,1415.50,1415.50,1415.50,1423.64,51626,734.97,912,-,-
KAYA,BE,17-Aug-2015,1415.50,1351.05,1414.00,1344.75,1344.75,1344.75,1373.40,57870,794.79,2189,-,-
KAYA,BE,18-Aug-2015,1344.75,1315.00,1411.95,1281.00,1411.95,1411.95,1332.94,41166,548.72,1561,-,-
KAYA,BE,19-Aug-2015,1411.95,1438.00,1470.00,1372.00,1433.00,1444.70,1429.62,25130,359.26,994,-,-
KAYA,BE,20-Aug-2015,1444.70,1440.00,1464.00,1376.00,1395.00,1383.05,1401.16,10550,147.82,691,-,-
KAYA,BE,21-Aug-2015,1383.05,1380.00,1394.30,1313.90,1334.10,1348.50,1341.01,12149,162.92,534,-,-
KAYA,BE,24-Aug-2015,1348.50,1283.00,1308.00,1281.10,1281.10,1281.10,1283.62,8528,109.47,587,-,-
KAYA,BE,25-Aug-2015,1281.10,1220.25,1290.00,1217.05,1260.00,1257.60,1234.22,20622,254.52,631,-,-
KAYA,BE,26-Aug-2015,1257.60,1260.00,1320.45,1220.00,1290.00,1276.50,1286.24,10271,132.11,646,-,-
KAYA,BE,27-Aug-2015,1276.50,1295.00,1300.00,1248.60,1270.00,1260.35,1267.00,24913,315.65,1799,-,-
KAYA,EQ,28-Aug-2015,1260.35,1304.00,1370.00,1142.00,1165.00,1168.15,1271.40,101919,1295.80,7262,54052,53.03
KAYA,EQ,31-Aug-2015,1168.15,1160.00,1243.00,1032.20,1210.00,1211.75,1158.55,143410,1661.48,11158,77069,53.74
KAYA,EQ,01-Sep-2015,1211.75,1209.95,1248.00,1094.60,1125.00,1125.30,1164.39,44946,523.35,3744,22273,49.56
KAYA,EQ,02-Sep-2015,1125.30,1135.15,1171.00,1081.15,1092.50,1090.60,1113.80,23856,265.71,2477,12988,54.44
KAYA,EQ,03-Sep-2015,1090.60,1120.00,1167.00,1101.15,1120.00,1111.70,1130.45,32456,366.90,2918,15471,47.67
KAYA,EQ,04-Sep-2015,1111.70,1130.00,1130.00,1046.40,1095.00,1083.50,1073.84,45693,490.67,4261,26786,58.62
KAYA,EQ,07-Sep-2015,1083.50,1069.00,1113.00,1069.00,1075.00,1076.50,1081.07,26751,289.20,1512,16683,62.36
KAYA,EQ,08-Sep-2015,1076.50,1075.00,1109.90,1060.00,1079.20,1078.70,1081.39,23541,254.57,1537,12641,53.70
KAYA,EQ,09-Sep-2015,1078.70,1090.00,1134.00,1084.00,1085.00,1093.00,1109.38,22331,247.74,2208,8728,39.08
KAYA,EQ,10-Sep-2015,1093.00,1097.00,1097.00,1062.05,1078.00,1075.25,1077.21,11640,125.39,1030,6395,54.94
KAYA,EQ,11-Sep-2015,1075.25,1065.10,1130.00,1065.10,1072.60,1085.35,1102.70,25313,279.13,2364,14313,56.54
KAYA,EQ,14-Sep-2015,1085.35,1085.00,1195.00,1075.00,1187.95,1172.80,1152.10,58126,669.67,4394,25987,44.71
KAYA,EQ,15-Sep-2015,1172.80,1176.00,1240.00,1150.00,1190.00,1207.95,1199.14,73173,877.45,8277,24070,32.89
KAYA,EQ,16-Sep-2015,1207.95,1220.00,1220.00,1145.30,1150.00,1150.80,1171.27,17499,204.96,2428,9590,54.80
KAYA,EQ,18-Sep-2015,1150.80,1150.50,1195.00,1064.15,1078.00,1093.50,1124.31,43680,491.10,2504,31260,71.57
KAYA,EQ,21-Sep-2015,1093.50,1080.00,1080.95,1037.65,1067.00,1061.55,1061.60,26533,281.67,3222,14850,55.97
KAYA,EQ,22-Sep-2015,1061.55,1078.00,1082.00,1025.50,1036.00,1034.75,1058.25,16076,170.12,1483,11644,72.43
KAYA,EQ,23-Sep-2015,1034.75,1011.00,1096.40,1010.05,1056.20,1064.70,1065.86,28228,300.87,2707,13856,49.09
KAYA,EQ,24-Sep-2015,1064.70,1060.00,1111.10,1015.00,1070.00,1049.70,1069.50,34116,364.87,2922,14348,42.06
KAYA,EQ,28-Sep-2015,1049.70,1068.00,1084.50,1024.00,1030.05,1029.55,1046.86,22826,238.96,2582,15992,70.06
KAYA,EQ,29-Sep-2015,1029.55,1035.00,1039.75,997.30,1029.75,1028.60,1017.29,29732,302.46,3127,15846,53.30
KAYA,EQ,30-Sep-2015,1028.60,1040.00,1055.95,1006.00,1019.90,1021.10,1032.42,15398,158.97,1369,7875,51.14
KAYA,EQ,01-Oct-2015,1021.10,1030.00,1075.00,1011.00,1037.90,1045.80,1047.00,66561,696.89,3332,29038,43.63
KAYA,EQ,05-Oct-2015,1045.80,1051.00,1073.00,1035.55,1047.00,1047.30,1057.21,24093,254.71,1477,17326,71.91
