Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KCP,EQ,02-Jan-2006,115.45,115.45,123.00,115.45,121.00,120.55,120.11,62404,74.95,-,45230,72.48
KCP,EQ,03-Jan-2006,120.55,122.50,130.50,122.00,129.00,129.30,127.41,151016,192.41,-,82718,54.77
KCP,EQ,04-Jan-2006,129.30,131.10,136.00,127.00,131.00,131.40,130.50,128044,167.10,-,78872,61.60
KCP,EQ,05-Jan-2006,131.40,131.90,148.00,131.90,142.00,141.55,140.00,199280,278.99,-,108487,54.44
KCP,EQ,06-Jan-2006,141.55,142.70,144.80,135.00,140.00,138.95,140.46,110622,155.38,-,51557,46.61
KCP,EQ,09-Jan-2006,138.95,139.70,142.00,136.50,138.00,138.25,139.68,40720,56.88,-,23795,58.44
KCP,EQ,10-Jan-2006,138.25,138.50,155.95,136.15,144.20,146.20,149.01,251425,374.64,-,93293,37.11
KCP,EQ,12-Jan-2006,146.20,141.10,154.80,141.00,149.10,149.00,150.72,105730,159.35,-,52749,49.89
KCP,EQ,13-Jan-2006,149.00,148.00,156.85,148.00,151.00,150.90,153.27,105266,161.34,-,44706,42.47
KCP,EQ,16-Jan-2006,150.90,152.45,163.90,151.05,157.05,158.30,158.31,170584,270.06,-,71056,41.65
KCP,EQ,17-Jan-2006,158.30,160.30,166.00,155.75,156.25,157.75,161.45,184261,297.49,-,80203,43.53
KCP,EQ,18-Jan-2006,157.75,159.40,164.00,150.00,156.00,155.75,157.08,147845,232.23,-,60140,40.68
KCP,EQ,19-Jan-2006,155.75,157.00,185.45,156.50,180.25,181.05,173.04,392004,678.34,-,124473,31.75
KCP,EQ,20-Jan-2006,181.05,185.20,193.80,176.20,177.00,178.20,186.66,286872,535.47,-,110442,38.50
KCP,EQ,23-Jan-2006,178.20,177.00,185.00,174.00,178.70,178.30,178.84,168315,301.01,-,60912,36.19
KCP,EQ,24-Jan-2006,178.30,178.00,214.00,178.00,214.00,214.00,201.93,378258,763.81,-,151376,40.02
KCP,EQ,25-Jan-2006,214.00,220.75,229.80,195.15,196.10,198.75,212.73,554930,1180.50,-,149153,26.88
