Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KDDL,EQ,23-Mar-2016,199.10,204.00,204.00,200.00,200.00,200.00,203.64,550,1.12,3,550,100.00
KDDL,EQ,28-Mar-2016,200.00,201.00,201.00,190.15,200.00,197.60,197.12,2501,4.93,23,1029,41.14
KDDL,EQ,29-Mar-2016,197.60,198.40,200.00,190.00,196.55,199.30,192.91,4886,9.43,32,3623,74.15
KDDL,EQ,31-Mar-2016,199.30,196.55,201.80,196.55,197.10,197.10,196.78,80,0.16,5,80,100.00
KDDL,EQ,01-Apr-2016,197.10,200.00,209.90,190.50,200.10,200.10,204.04,819,1.67,20,625,76.31
KDDL,EQ,04-Apr-2016,200.10,200.70,200.70,193.10,195.10,195.10,194.23,98,0.19,3,50,51.02
KDDL,EQ,05-Apr-2016,195.10,204.00,224.40,186.05,190.00,189.15,192.69,4291,8.27,65,2844,66.28
KDDL,EQ,06-Apr-2016,189.15,194.95,199.40,189.50,189.50,189.95,193.22,4321,8.35,70,2935,67.92
KDDL,EQ,07-Apr-2016,189.95,194.95,196.90,185.40,190.00,189.10,189.97,9416,17.89,106,9069,96.31
KDDL,EQ,08-Apr-2016,189.10,192.95,196.00,186.55,189.95,189.80,191.83,4346,8.34,75,3819,87.87
KDDL,EQ,11-Apr-2016,189.80,196.00,199.00,189.10,190.00,190.05,193.25,24568,47.48,155,10105,41.13
KDDL,EQ,12-Apr-2016,190.05,195.70,195.70,190.00,190.00,190.05,192.83,884,1.70,32,608,68.78
KDDL,EQ,13-Apr-2016,190.05,191.00,194.00,187.00,188.20,189.65,192.01,2152,4.13,39,1940,90.15
KDDL,EQ,18-Apr-2016,189.65,194.70,194.70,186.00,189.00,189.00,189.64,957,1.81,18,827,86.42
KDDL,EQ,20-Apr-2016,189.00,189.00,189.00,184.20,188.95,188.95,187.08,2586,4.84,38,2411,93.23
KDDL,EQ,21-Apr-2016,188.95,185.00,189.95,184.00,185.50,185.90,185.45,1481,2.75,31,996,67.25
KDDL,EQ,22-Apr-2016,185.90,185.90,188.00,184.00,186.50,186.55,186.20,461,0.86,15,435,94.36
KDDL,EQ,25-Apr-2016,186.55,185.00,199.80,185.00,189.95,189.05,193.26,17159,33.16,166,10688,62.29
KDDL,EQ,26-Apr-2016,189.05,188.10,192.00,187.10,187.10,187.75,189.60,19943,37.81,198,19760,99.08
KDDL,EQ,27-Apr-2016,187.75,187.75,190.00,180.50,181.00,183.45,187.31,7986,14.96,101,7069,88.52
KDDL,EQ,28-Apr-2016,183.45,189.70,189.70,166.00,170.80,168.90,172.98,13043,22.56,295,9756,74.80
KDDL,EQ,29-Apr-2016,168.90,170.00,183.00,168.00,177.20,179.60,176.88,5453,9.65,99,2960,54.28
KDDL,EQ,02-May-2016,179.60,180.00,180.00,175.60,175.70,178.05,179.10,7142,12.79,72,6275,87.86
KDDL,EQ,03-May-2016,178.05,180.00,182.80,175.50,179.90,179.90,178.67,4401,7.86,38,3894,88.48
KDDL,EQ,04-May-2016,179.90,179.90,180.00,168.50,168.60,169.95,170.51,24769,42.23,348,23587,95.23
KDDL,EQ,05-May-2016,169.95,180.00,180.00,167.50,170.00,168.80,171.00,3154,5.39,50,2722,86.30
KDDL,EQ,06-May-2016,168.80,168.80,168.80,165.00,167.90,167.90,166.91,8292,13.84,77,7975,96.18
KDDL,EQ,09-May-2016,167.90,168.00,173.00,164.00,164.00,166.95,168.63,953,1.61,35,674,70.72
KDDL,EQ,10-May-2016,166.95,174.00,175.00,170.20,172.00,172.00,173.08,1449,2.51,37,1204,83.09
KDDL,EQ,11-May-2016,172.00,170.20,175.00,167.00,168.00,168.30,172.38,2051,3.54,25,1704,83.08
KDDL,EQ,12-May-2016,168.30,176.60,176.60,163.00,165.10,165.75,168.15,10785,18.14,166,5539,51.36
KDDL,EQ,13-May-2016,165.75,170.00,170.00,163.00,163.00,163.40,164.55,2696,4.44,69,2226,82.57
KDDL,EQ,16-May-2016,163.40,165.00,174.00,165.00,165.00,165.70,167.42,5558,9.31,99,3486,62.72
KDDL,EQ,17-May-2016,165.70,170.80,170.80,163.00,163.00,164.60,165.45,3099,5.13,61,1919,61.92
KDDL,EQ,18-May-2016,164.60,168.70,168.75,162.10,167.50,167.50,167.26,1882,3.15,47,1305,69.34
KDDL,EQ,19-May-2016,167.50,167.00,167.00,164.30,164.30,165.75,165.69,546,0.90,21,499,91.39
KDDL,EQ,20-May-2016,165.75,169.00,169.90,164.10,169.80,168.70,168.78,3796,6.41,109,2465,64.94
