Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KIRLOSBROS,EQ,20-Apr-2010,260.55,255.00,375.30,255.00,332.30,337.35,333.16,4199496,13991.12,-,117311,2.79
KIRLOSBROS,EQ,21-Apr-2010,337.35,338.00,338.00,300.05,301.70,306.15,311.32,1192794,3713.41,-,113227,9.49
KIRLOSBROS,EQ,22-Apr-2010,306.15,300.00,304.65,287.40,291.70,291.10,296.52,391028,1159.48,-,60339,15.43
KIRLOSBROS,EQ,23-Apr-2010,291.10,294.85,300.00,285.10,297.10,298.10,294.00,378809,1113.72,-,97809,25.82
KIRLOSBROS,EQ,26-Apr-2010,298.10,300.00,300.00,286.00,286.00,288.70,292.64,122349,358.05,-,27939,22.84
KIRLOSBROS,EQ,27-Apr-2010,288.70,288.50,293.80,285.50,288.00,288.10,289.36,99279,287.28,-,31910,32.14
KIRLOSBROS,EQ,28-Apr-2010,288.10,282.05,284.40,271.00,274.00,273.95,276.33,135757,375.14,-,83095,61.21
KIRLOSBROS,EQ,29-Apr-2010,273.95,274.00,287.50,270.90,285.90,284.05,282.30,110806,312.81,-,24451,22.07
KIRLOSBROS,EQ,30-Apr-2010,284.05,283.50,296.00,282.10,291.15,292.45,290.34,42273,122.73,-,19077,45.13
KIRLOSBROS,EQ,03-May-2010,292.45,290.00,294.75,285.25,287.65,289.85,289.91,26764,77.59,-,16877,63.06
KIRLOSBROS,EQ,04-May-2010,289.85,295.00,300.00,278.10,278.10,281.20,291.03,42954,125.01,-,17581,40.93
KIRLOSBROS,EQ,05-May-2010,281.20,272.00,278.80,268.60,275.00,276.55,274.97,31566,86.80,-,16807,53.24
KIRLOSBROS,EQ,06-May-2010,276.55,278.80,284.00,270.20,275.00,276.05,274.09,30296,83.04,-,10901,35.98
KIRLOSBROS,EQ,07-May-2010,276.05,272.00,272.85,265.00,271.80,270.60,269.98,19525,52.71,-,13437,68.82
KIRLOSBROS,EQ,10-May-2010,270.60,275.00,275.00,265.15,270.00,270.30,269.93,11893,32.10,-,6539,54.98
KIRLOSBROS,EQ,11-May-2010,270.30,275.00,275.00,262.10,263.20,264.85,268.73,7860,21.12,-,3252,41.37
KIRLOSBROS,EQ,12-May-2010,264.85,265.00,269.00,255.50,256.10,258.00,260.43,18978,49.42,-,13390,70.56
KIRLOSBROS,EQ,13-May-2010,258.00,259.05,266.00,259.05,263.60,264.30,263.07,10136,26.67,-,6039,59.58
KIRLOSBROS,EQ,14-May-2010,264.30,265.80,274.70,265.00,267.00,266.55,268.78,10810,29.06,-,5118,47.35
KIRLOSBROS,EQ,17-May-2010,266.55,268.00,268.00,261.00,265.50,264.60,263.88,7374,19.46,-,4866,65.99
KIRLOSBROS,EQ,18-May-2010,264.60,264.00,270.00,264.00,264.25,265.60,266.45,3107,8.28,-,1780,57.29
KIRLOSBROS,EQ,19-May-2010,265.60,263.10,267.80,257.90,260.00,260.25,260.61,7994,20.83,-,6189,77.42
KIRLOSBROS,EQ,20-May-2010,260.25,261.80,261.80,252.00,255.00,255.05,254.62,5618,14.30,-,3764,67.00
KIRLOSBROS,EQ,21-May-2010,255.05,251.00,253.55,246.50,252.70,252.15,251.50,5842,14.69,-,4700,80.45
KIRLOSBROS,EQ,24-May-2010,252.15,253.00,256.85,235.00,254.50,254.70,254.00,5732,14.56,-,4669,81.45
KIRLOSBROS,EQ,25-May-2010,254.70,247.90,256.00,247.00,253.55,252.20,251.83,8111,20.43,-,7350,90.62
KIRLOSBROS,EQ,26-May-2010,252.20,252.65,261.00,251.30,261.00,259.85,256.89,5513,14.16,-,4260,77.27
KIRLOSBROS,EQ,27-May-2010,259.85,255.10,260.25,255.00,257.00,257.05,256.33,1564,4.01,-,986,63.04
KIRLOSBROS,EQ,28-May-2010,257.05,260.00,262.00,258.20,260.00,260.20,260.28,4012,10.44,-,2997,74.70
KIRLOSBROS,EQ,31-May-2010,260.20,255.05,273.00,255.05,260.25,260.40,262.05,3282,8.60,-,2609,79.49
KIRLOSBROS,EQ,01-Jun-2010,260.40,260.60,266.95,260.00,265.15,265.05,261.53,21235,55.54,-,19333,91.04
KIRLOSBROS,EQ,02-Jun-2010,265.05,261.00,263.35,260.00,261.70,261.20,260.38,6233,16.23,-,5172,82.98
KIRLOSBROS,EQ,03-Jun-2010,261.20,262.00,263.70,260.00,260.00,260.50,261.18,3992,10.43,-,2040,51.10
KIRLOSBROS,EQ,04-Jun-2010,260.50,260.00,261.80,260.00,260.00,260.15,260.35,1770,4.61,-,989,55.88
KIRLOSBROS,EQ,07-Jun-2010,260.15,259.00,261.00,256.70,257.00,257.45,259.74,14888,38.67,-,13472,90.49
KIRLOSBROS,EQ,08-Jun-2010,257.45,252.00,260.85,252.00,260.75,260.40,259.61,8676,22.52,-,8097,93.33
KIRLOSBROS,EQ,09-Jun-2010,260.40,257.70,263.60,257.70,260.00,260.00,260.21,4203,10.94,-,3093,73.59
KIRLOSBROS,EQ,10-Jun-2010,260.00,258.10,261.00,248.40,260.00,260.50,259.07,3599,9.32,-,2388,66.35
KIRLOSBROS,EQ,11-Jun-2010,260.50,258.25,262.00,258.25,260.00,260.25,260.31,3415,8.89,-,2348,68.76
KIRLOSBROS,EQ,14-Jun-2010,260.25,260.05,260.70,260.00,260.00,260.00,260.02,8775,22.82,-,7895,89.97
KIRLOSBROS,EQ,15-Jun-2010,260.00,260.00,263.90,259.00,260.00,261.00,260.02,13969,36.32,-,10584,75.77
KIRLOSBROS,EQ,16-Jun-2010,261.00,260.15,262.85,260.00,260.00,260.00,260.26,1652,4.30,-,1211,73.31
KIRLOSBROS,EQ,17-Jun-2010,260.00,258.50,264.00,258.50,261.60,260.05,259.83,6693,17.39,-,5734,85.67
KIRLOSBROS,EQ,18-Jun-2010,260.05,260.00,264.90,260.00,260.00,260.00,260.63,3261,8.50,-,2570,78.81
