Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KITEX,EQ,25-Sep-2012,60.20,62.80,67.00,62.00,62.15,62.65,64.24,59640,38.31,507,32986,55.31
KITEX,EQ,26-Sep-2012,62.65,70.00,70.00,60.00,61.25,62.25,63.45,36680,23.27,313,21889,59.68
KITEX,EQ,27-Sep-2012,62.25,63.70,63.80,60.50,60.80,61.20,61.46,25101,15.43,95,20896,83.25
KITEX,EQ,28-Sep-2012,61.20,60.00,61.80,58.25,60.00,59.80,60.45,11361,6.87,104,8264,72.74
KITEX,EQ,01-Oct-2012,59.80,60.80,64.40,55.00,59.80,58.70,59.04,21192,12.51,142,14743,69.57
KITEX,EQ,03-Oct-2012,58.70,61.00,61.00,57.25,59.00,58.95,58.97,15059,8.88,68,10075,66.90
KITEX,EQ,04-Oct-2012,58.95,57.05,62.00,57.00,62.00,61.25,60.42,63717,38.50,202,41211,64.68
KITEX,EQ,05-Oct-2012,61.25,64.00,66.00,61.40,66.00,64.90,63.76,73018,46.55,431,51775,70.91
KITEX,EQ,08-Oct-2012,64.90,64.50,65.25,64.50,65.00,64.95,64.95,16330,10.61,79,15570,95.35
KITEX,EQ,09-Oct-2012,64.95,63.50,70.00,63.50,68.40,67.95,68.71,101170,69.52,277,92689,91.62
KITEX,EQ,10-Oct-2012,67.95,68.85,69.00,66.15,67.00,66.95,67.52,5626,3.80,61,3612,64.20
KITEX,EQ,11-Oct-2012,66.95,64.60,67.40,64.00,65.00,64.95,65.60,6697,4.39,98,4796,71.61
KITEX,EQ,12-Oct-2012,64.95,65.00,67.00,63.65,63.65,63.95,64.39,9301,5.99,57,7051,75.81
KITEX,EQ,15-Oct-2012,63.95,64.10,64.50,62.05,63.25,62.25,63.80,10421,6.65,61,9138,87.69
KITEX,EQ,16-Oct-2012,62.25,64.95,64.95,62.00,62.10,62.90,63.09,7581,4.78,117,3483,45.94
KITEX,EQ,17-Oct-2012,62.90,63.80,63.80,61.05,61.95,61.70,61.85,3621,2.24,48,2689,74.26
KITEX,EQ,18-Oct-2012,61.70,60.15,62.60,60.15,61.70,61.30,61.80,2296,1.42,41,1572,68.47
KITEX,EQ,19-Oct-2012,61.30,61.35,63.85,60.00,63.00,63.00,61.40,4494,2.76,57,3375,75.10
KITEX,EQ,22-Oct-2012,63.00,60.65,63.75,60.15,62.50,62.75,62.57,10575,6.62,50,8105,76.64
KITEX,EQ,23-Oct-2012,62.75,61.25,64.00,61.25,63.00,62.65,63.10,11672,7.36,59,9725,83.32
KITEX,EQ,25-Oct-2012,62.65,62.15,63.45,61.20,61.25,61.35,62.43,22856,14.27,37,22546,98.64
KITEX,EQ,26-Oct-2012,61.35,64.00,64.00,61.15,63.70,63.35,63.59,13000,8.27,57,10979,84.45
KITEX,EQ,29-Oct-2012,63.35,64.00,64.00,61.60,61.60,61.90,62.23,14162,8.81,65,11865,83.78
KITEX,EQ,30-Oct-2012,61.90,61.65,63.00,59.30,63.00,61.25,61.24,11899,7.29,90,7555,63.49
KITEX,EQ,31-Oct-2012,61.25,61.50,61.50,58.80,58.80,59.15,60.16,4797,2.89,42,4087,85.20
KITEX,EQ,01-Nov-2012,59.15,62.85,62.85,57.15,57.15,58.15,58.39,5178,3.02,54,4488,86.67
