Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KOTAKNIFTY,EQ,11-Feb-2010,475.84,482.00,484.50,480.00,481.18,481.61,482.42,12692,61.23,-,12068,95.08
KOTAKNIFTY,EQ,15-Feb-2010,481.61,483.00,484.50,477.00,482.99,478.68,481.67,1975,9.51,-,1623,82.18
KOTAKNIFTY,EQ,16-Feb-2010,478.68,481.00,484.00,478.00,483.50,483.43,479.78,720,3.45,-,691,95.97
KOTAKNIFTY,EQ,17-Feb-2010,483.43,490.00,492.50,489.00,490.00,490.00,490.00,21237,104.06,-,21195,99.80
KOTAKNIFTY,EQ,18-Feb-2010,490.00,490.00,491.00,488.00,490.50,488.41,489.22,97,0.47,-,80,82.47
KOTAKNIFTY,EQ,19-Feb-2010,488.41,490.50,490.50,482.00,483.10,483.67,486.44,598,2.91,-,346,57.86
KOTAKNIFTY,EQ,22-Feb-2010,483.67,490.05,499.00,486.00,499.00,491.45,489.75,379,1.86,-,267,70.45
KOTAKNIFTY,EQ,23-Feb-2010,491.45,479.60,488.00,479.60,487.00,487.16,486.08,218,1.06,-,137,62.84
KOTAKNIFTY,EQ,24-Feb-2010,487.16,487.00,488.00,480.25,485.00,485.06,486.06,33641,163.52,-,33535,99.68
KOTAKNIFTY,EQ,25-Feb-2010,485.06,486.00,486.00,483.00,485.00,484.52,484.76,2315,11.22,-,2314,99.96
KOTAKNIFTY,EQ,26-Feb-2010,484.52,488.00,498.95,486.00,488.10,489.36,493.01,945,4.66,-,716,75.77
KOTAKNIFTY,EQ,02-Mar-2010,489.36,500.00,501.88,488.12,501.87,499.84,498.98,3159,15.76,-,2976,94.21
KOTAKNIFTY,EQ,03-Mar-2010,499.84,504.00,507.90,504.00,507.00,507.51,505.88,21178,107.14,-,15541,73.38
KOTAKNIFTY,EQ,04-Mar-2010,507.51,509.00,509.00,480.00,504.00,506.96,505.97,18739,94.81,-,18319,97.76
KOTAKNIFTY,EQ,05-Mar-2010,506.96,510.00,510.00,507.00,508.00,508.51,509.22,1494,7.61,-,1474,98.66
KOTAKNIFTY,EQ,08-Mar-2010,508.51,510.80,516.00,508.51,512.55,511.35,512.60,18629,95.49,-,18586,99.77
KOTAKNIFTY,EQ,09-Mar-2010,511.35,512.00,512.00,510.00,510.20,510.53,511.43,15105,77.25,-,12180,80.64
KOTAKNIFTY,EQ,10-Mar-2010,510.53,511.00,513.50,508.50,511.00,509.99,508.97,68468,348.48,-,65858,96.19
KOTAKNIFTY,EQ,11-Mar-2010,509.99,511.00,513.50,511.00,513.50,513.48,513.31,4551,23.36,-,4494,98.75
KOTAKNIFTY,EQ,12-Mar-2010,513.48,515.00,516.00,510.00,510.00,513.61,513.44,3556,18.26,-,3268,91.90
KOTAKNIFTY,EQ,15-Mar-2010,513.61,512.00,514.00,509.00,512.00,512.33,512.08,3636,18.62,-,3443,94.69
KOTAKNIFTY,EQ,16-Mar-2010,512.33,514.00,520.95,513.00,520.95,519.65,518.17,1830,9.48,-,1819,99.40
KOTAKNIFTY,EQ,17-Mar-2010,519.65,520.95,525.00,511.30,523.00,522.44,523.56,2213,11.59,-,2041,92.23
KOTAKNIFTY,EQ,18-Mar-2010,522.44,524.50,525.00,522.00,523.00,523.46,523.35,3179,16.64,-,3096,97.39
KOTAKNIFTY,EQ,19-Mar-2010,523.46,525.00,527.00,524.00,527.00,526.90,526.59,5356,28.20,-,4491,83.85
KOTAKNIFTY,EQ,22-Mar-2010,526.90,526.90,526.90,511.00,523.00,523.00,523.71,2784,14.58,-,2288,82.18
KOTAKNIFTY,EQ,23-Mar-2010,523.00,523.00,523.00,513.95,521.00,521.36,519.91,1705,8.86,-,1064,62.40
KOTAKNIFTY,EQ,25-Mar-2010,521.36,521.00,526.00,520.50,525.00,524.98,522.19,799,4.17,-,683,85.48
KOTAKNIFTY,EQ,26-Mar-2010,524.98,525.00,528.00,525.00,528.00,528.00,527.68,777,4.10,-,720,92.66
KOTAKNIFTY,EQ,29-Mar-2010,528.00,529.00,533.00,529.00,529.00,529.60,530.89,964,5.12,-,934,96.89
KOTAKNIFTY,EQ,30-Mar-2010,529.60,533.00,533.00,500.18,525.00,525.00,530.09,2525,13.38,-,2473,97.94
KOTAKNIFTY,EQ,31-Mar-2010,525.00,520.00,528.50,520.00,523.50,524.44,525.51,2071,10.88,-,1987,95.94
KOTAKNIFTY,EQ,01-Apr-2010,524.44,530.00,530.00,526.00,528.50,528.50,527.77,916,4.83,-,537,58.62
KOTAKNIFTY,EQ,05-Apr-2010,528.50,531.50,536.00,531.00,536.00,536.00,532.77,10491,55.89,-,10372,98.87
KOTAKNIFTY,EQ,06-Apr-2010,536.00,536.95,537.50,535.50,536.00,536.50,536.44,1589,8.52,-,1428,89.87
KOTAKNIFTY,EQ,07-Apr-2010,536.50,538.00,540.00,535.00,537.00,537.00,536.80,1390,7.46,-,1352,97.27
KOTAKNIFTY,EQ,08-Apr-2010,537.00,536.00,536.50,534.00,536.50,536.03,534.74,3712,19.85,-,2301,61.99
KOTAKNIFTY,EQ,09-Apr-2010,536.03,534.00,537.00,532.50,535.00,535.16,534.10,1635,8.73,-,1590,97.25
KOTAKNIFTY,EQ,12-Apr-2010,535.16,537.00,537.00,533.00,536.00,536.00,533.42,683,3.64,-,672,98.39
KOTAKNIFTY,EQ,13-Apr-2010,536.00,531.50,533.00,531.50,532.00,532.00,532.18,97,0.52,-,92,94.85
KOTAKNIFTY,EQ,15-Apr-2010,532.00,535.50,536.50,528.00,528.00,528.00,533.62,448,2.39,-,240,53.57
KOTAKNIFTY,EQ,16-Apr-2010,528.00,527.00,528.00,524.80,526.50,526.50,525.34,1560,8.20,-,1105,70.83
KOTAKNIFTY,EQ,19-Apr-2010,526.50,520.00,522.00,518.00,520.00,518.18,518.81,348,1.81,-,208,59.77
KOTAKNIFTY,EQ,20-Apr-2010,518.18,521.50,526.00,521.00,522.50,522.50,523.08,137,0.72,-,70,51.09
KOTAKNIFTY,EQ,21-Apr-2010,522.50,525.00,525.50,523.50,523.50,523.50,524.35,2770,14.52,-,2195,79.24
KOTAKNIFTY,EQ,22-Apr-2010,523.50,522.50,532.00,522.50,525.00,526.88,528.27,1952,10.31,-,1600,81.97
KOTAKNIFTY,EQ,23-Apr-2010,526.88,529.00,530.00,528.50,528.50,529.89,529.92,1227,6.50,-,657,53.55
KOTAKNIFTY,EQ,26-Apr-2010,529.89,533.00,535.00,531.00,531.00,531.00,532.81,773,4.12,-,772,99.87
KOTAKNIFTY,EQ,27-Apr-2010,531.00,532.00,534.00,531.00,531.00,531.00,531.90,370,1.97,-,369,99.73
KOTAKNIFTY,EQ,28-Apr-2010,531.00,526.00,526.02,521.00,522.00,522.00,524.90,2817,14.79,-,2817,100.00
KOTAKNIFTY,EQ,29-Apr-2010,522.00,524.00,526.00,523.21,524.75,524.75,523.99,770,4.03,-,603,78.31
KOTAKNIFTY,EQ,30-Apr-2010,524.75,529.00,530.00,527.00,530.00,530.00,527.33,1403,7.40,-,1311,93.44
KOTAKNIFTY,EQ,03-May-2010,530.00,530.00,530.00,523.00,525.00,523.53,524.77,607,3.19,-,607,100.00
KOTAKNIFTY,EQ,04-May-2010,523.53,525.00,527.00,519.00,520.00,520.25,523.02,388,2.03,-,258,66.49
KOTAKNIFTY,EQ,05-May-2010,520.25,507.00,515.00,507.00,515.00,513.02,510.66,520,2.66,-,331,63.65
KOTAKNIFTY,EQ,06-May-2010,513.02,512.00,513.00,505.00,512.00,512.00,506.52,29956,151.73,-,29749,99.31
KOTAKNIFTY,EQ,07-May-2010,512.00,504.00,505.95,499.00,505.95,505.95,501.72,2897,14.53,-,2754,95.06
KOTAKNIFTY,EQ,10-May-2010,505.95,511.00,516.00,490.00,512.00,512.05,509.84,1504,7.67,-,729,48.47
KOTAKNIFTY,EQ,11-May-2010,512.05,517.00,520.00,513.00,514.00,513.11,515.50,362,1.87,-,332,91.71
KOTAKNIFTY,EQ,12-May-2010,513.11,515.00,518.00,513.10,513.10,513.10,515.62,245,1.26,-,188,76.73
KOTAKNIFTY,EQ,13-May-2010,513.10,519.00,521.00,422.25,518.00,518.00,518.43,972,5.04,-,541,55.66
KOTAKNIFTY,EQ,14-May-2010,518.00,516.00,520.00,508.00,508.00,509.72,514.68,429,2.21,-,176,41.03
KOTAKNIFTY,EQ,17-May-2010,509.72,501.00,507.00,499.50,506.00,506.69,503.24,938,4.72,-,593,63.22
KOTAKNIFTY,EQ,18-May-2010,506.69,505.00,508.00,503.00,504.50,504.50,505.12,115,0.58,-,85,73.91
KOTAKNIFTY,EQ,19-May-2010,504.50,490.00,598.30,410.00,495.90,495.25,507.31,3162,16.04,-,2553,80.74
KOTAKNIFTY,EQ,20-May-2010,495.25,500.00,500.00,494.00,496.00,496.00,495.44,183,0.91,-,182,99.45
KOTAKNIFTY,EQ,21-May-2010,496.00,500.00,500.00,481.00,493.00,493.00,492.39,2200,10.83,-,2053,93.32
KOTAKNIFTY,EQ,24-May-2010,493.00,501.00,503.00,497.00,497.00,497.49,500.84,300,1.50,-,233,77.67
KOTAKNIFTY,EQ,25-May-2010,497.49,590.00,590.00,482.00,486.50,485.62,485.66,2959,14.37,-,2356,79.62
KOTAKNIFTY,EQ,26-May-2010,485.62,490.00,495.00,486.00,489.80,494.08,488.26,7179,35.05,-,5429,75.62
KOTAKNIFTY,EQ,27-May-2010,494.08,492.00,498.00,492.00,498.00,498.00,495.90,111,0.55,-,80,72.07
KOTAKNIFTY,EQ,28-May-2010,498.00,505.00,508.00,503.50,508.00,506.95,503.99,369,1.86,-,346,93.77
KOTAKNIFTY,EQ,31-May-2010,506.95,508.00,509.90,504.50,508.00,506.48,506.39,7444,37.70,-,6467,86.88
KOTAKNIFTY,EQ,01-Jun-2010,506.48,505.00,506.50,494.00,494.00,494.03,503.75,17230,86.80,-,17116,99.34
KOTAKNIFTY,EQ,02-Jun-2010,494.03,499.50,502.80,496.00,502.50,500.09,499.52,10572,52.81,-,10531,99.61
KOTAKNIFTY,EQ,03-Jun-2010,500.09,508.15,511.00,508.00,510.00,510.00,510.34,3850,19.65,-,3848,99.95
KOTAKNIFTY,EQ,04-Jun-2010,510.00,510.00,513.15,490.10,512.00,512.00,508.70,2168,11.03,-,1915,88.33
KOTAKNIFTY,EQ,07-Jun-2010,512.00,503.00,504.99,501.89,504.99,504.97,502.53,13590,68.29,-,13095,96.36
KOTAKNIFTY,EQ,08-Jun-2010,504.97,505.50,506.95,498.00,500.00,499.59,501.79,6159,30.91,-,5738,93.16
KOTAKNIFTY,EQ,09-Jun-2010,499.59,499.00,505.00,499.00,500.90,500.90,501.61,6943,34.83,-,6158,88.69
KOTAKNIFTY,EQ,10-Jun-2010,500.90,504.00,504.99,504.00,504.00,504.00,504.55,89,0.45,-,89,100.00
KOTAKNIFTY,EQ,11-Jun-2010,504.00,512.00,512.00,505.05,507.00,507.90,508.25,400,2.03,-,242,60.50
KOTAKNIFTY,EQ,14-Jun-2010,507.90,516.00,517.00,514.00,516.00,516.00,515.50,1668,8.60,-,1552,93.05
KOTAKNIFTY,EQ,15-Jun-2010,516.00,511.75,521.00,511.75,521.00,520.10,517.43,1071,5.54,-,1026,95.80
KOTAKNIFTY,EQ,16-Jun-2010,520.10,520.00,523.90,513.05,514.00,515.52,518.77,189,0.98,-,182,96.30
KOTAKNIFTY,EQ,17-Jun-2010,515.52,516.00,527.50,516.00,516.05,526.98,526.88,32117,169.22,-,31636,98.50
KOTAKNIFTY,EQ,18-Jun-2010,526.98,528.00,530.00,515.50,520.01,523.98,526.08,652,3.43,-,435,66.72
KOTAKNIFTY,EQ,21-Jun-2010,523.98,528.00,532.00,528.00,528.00,528.04,528.38,2182,11.53,-,1904,87.26
KOTAKNIFTY,EQ,22-Jun-2010,528.04,528.00,531.00,528.00,531.00,531.00,528.45,1348,7.12,-,1323,98.15
KOTAKNIFTY,EQ,23-Jun-2010,531.00,531.00,531.00,525.00,528.01,528.01,528.01,24,0.13,-,23,95.83
KOTAKNIFTY,EQ,24-Jun-2010,528.01,528.00,530.00,528.00,529.25,529.25,529.46,1912,10.12,-,1801,94.19
KOTAKNIFTY,EQ,25-Jun-2010,529.25,529.25,529.25,502.70,502.70,521.67,526.42,243,1.28,-,177,72.84
KOTAKNIFTY,EQ,28-Jun-2010,521.67,525.00,529.96,525.00,529.00,528.36,527.07,318,1.68,-,218,68.55
KOTAKNIFTY,EQ,29-Jun-2010,528.36,525.01,528.00,520.01,525.50,525.50,524.97,661,3.47,-,475,71.86
KOTAKNIFTY,EQ,30-Jun-2010,525.50,525.50,530.00,523.00,525.00,525.00,526.39,363,1.91,-,265,73.00
KOTAKNIFTY,EQ,01-Jul-2010,525.00,525.00,528.50,525.00,525.00,525.00,525.48,481,2.53,-,471,97.92
KOTAKNIFTY,EQ,02-Jul-2010,525.00,525.00,525.15,523.00,523.00,523.00,524.93,481,2.52,-,471,97.92
KOTAKNIFTY,EQ,05-Jul-2010,523.00,523.05,524.00,523.00,523.00,523.00,523.02,89,0.47,-,79,88.76
KOTAKNIFTY,EQ,06-Jul-2010,523.00,523.00,530.00,437.00,521.01,521.46,520.75,1061,5.53,-,1013,95.48
KOTAKNIFTY,EQ,07-Jul-2010,521.46,528.00,528.00,523.00,523.50,523.50,523.74,8756,45.86,-,8465,96.68
KOTAKNIFTY,EQ,08-Jul-2010,523.50,530.00,531.00,529.00,529.00,529.00,529.85,235,1.25,-,184,78.30
KOTAKNIFTY,EQ,09-Jul-2010,529.00,530.01,534.00,530.00,530.01,530.25,531.59,663,3.52,-,573,86.43
KOTAKNIFTY,EQ,12-Jul-2010,530.25,534.50,539.00,534.50,535.00,537.85,536.48,1187,6.37,-,1181,99.49
KOTAKNIFTY,EQ,13-Jul-2010,537.85,532.00,539.00,532.00,539.00,538.87,534.88,4058,21.71,-,4048,99.75
KOTAKNIFTY,EQ,14-Jul-2010,538.87,539.00,544.00,530.01,530.01,541.78,541.77,2792,15.13,-,2770,99.21
KOTAKNIFTY,EQ,15-Jul-2010,541.78,540.60,540.60,535.00,535.01,535.01,537.71,103,0.55,-,93,90.29
KOTAKNIFTY,EQ,16-Jul-2010,535.01,535.11,538.00,535.11,535.11,535.11,535.97,199,1.07,-,198,99.50
KOTAKNIFTY,EQ,19-Jul-2010,535.11,538.00,538.00,535.00,535.00,535.00,535.56,332,1.78,-,332,100.00
KOTAKNIFTY,EQ,20-Jul-2010,535.00,540.00,540.00,535.01,538.65,538.65,536.87,168,0.90,-,153,91.07
KOTAKNIFTY,EQ,21-Jul-2010,538.65,535.05,535.60,535.05,535.60,535.60,535.34,242,1.30,-,242,100.00
KOTAKNIFTY,EQ,22-Jul-2010,535.60,535.60,543.00,535.01,540.10,542.17,538.75,1126,6.07,-,1118,99.29
KOTAKNIFTY,EQ,23-Jul-2010,542.17,542.00,544.00,541.05,541.05,541.05,541.81,348,1.89,-,347,99.71
KOTAKNIFTY,EQ,26-Jul-2010,541.05,546.00,546.00,540.00,540.00,540.54,541.46,389,2.11,-,309,79.43
KOTAKNIFTY,EQ,27-Jul-2010,540.54,542.00,545.00,540.00,541.50,541.50,541.55,460,2.49,-,398,86.52
KOTAKNIFTY,EQ,28-Jul-2010,541.50,543.00,543.00,540.00,540.00,540.00,540.23,1156,6.25,-,1093,94.55
KOTAKNIFTY,EQ,29-Jul-2010,540.00,539.00,540.00,535.00,540.00,540.00,536.97,288,1.55,-,288,100.00
KOTAKNIFTY,EQ,30-Jul-2010,540.00,538.00,538.00,535.00,535.00,535.00,536.80,105,0.56,-,99,94.29
KOTAKNIFTY,EQ,02-Aug-2010,535.00,544.00,544.00,537.05,537.10,537.10,539.32,468,2.52,-,464,99.15
KOTAKNIFTY,EQ,03-Aug-2010,537.10,544.00,544.00,540.00,540.01,541.00,540.74,17933,96.97,-,17933,100.00
KOTAKNIFTY,EQ,04-Aug-2010,541.00,542.00,549.00,540.00,545.00,548.19,543.04,1291,7.01,-,1291,100.00
KOTAKNIFTY,EQ,05-Aug-2010,548.19,548.00,550.00,543.00,543.00,543.00,546.03,305,1.67,-,303,99.34
KOTAKNIFTY,EQ,06-Aug-2010,543.00,545.00,546.99,540.00,544.99,540.86,544.41,236,1.28,-,235,99.58
KOTAKNIFTY,EQ,09-Aug-2010,540.86,545.00,546.00,542.00,546.00,546.00,544.27,283,1.54,-,283,100.00
KOTAKNIFTY,EQ,10-Aug-2010,546.00,547.00,547.00,512.80,546.00,532.77,543.51,139,0.76,-,133,95.68
KOTAKNIFTY,EQ,11-Aug-2010,532.77,546.50,546.50,542.50,542.50,542.57,543.00,1687,9.16,-,1672,99.11
KOTAKNIFTY,EQ,12-Aug-2010,542.57,540.00,543.00,540.00,543.00,543.00,540.21,116,0.63,-,116,100.00
KOTAKNIFTY,EQ,13-Aug-2010,543.00,543.00,547.50,540.00,547.50,547.50,542.13,380,2.06,-,267,70.26
KOTAKNIFTY,EQ,16-Aug-2010,547.50,548.00,548.00,539.00,539.00,539.00,545.39,368,2.01,-,191,51.90
KOTAKNIFTY,EQ,17-Aug-2010,539.00,540.00,544.00,540.00,543.00,543.00,540.05,10145,54.79,-,10118,99.73
KOTAKNIFTY,EQ,18-Aug-2010,543.00,496.00,547.00,496.00,545.00,544.92,538.55,227,1.22,-,190,83.70
KOTAKNIFTY,EQ,19-Aug-2010,544.92,547.00,554.00,547.00,554.00,552.51,550.04,566,3.11,-,556,98.23
KOTAKNIFTY,EQ,20-Aug-2010,552.51,550.00,552.00,550.00,550.00,550.00,550.83,383,2.11,-,368,96.08
KOTAKNIFTY,EQ,23-Aug-2010,550.00,552.00,552.00,552.00,552.00,552.00,552.00,209,1.15,-,209,100.00
KOTAKNIFTY,EQ,24-Aug-2010,552.00,552.00,552.00,548.00,548.00,548.92,550.39,341,1.88,-,341,100.00
KOTAKNIFTY,EQ,25-Aug-2010,548.92,520.52,550.50,520.52,547.50,545.37,546.49,728,3.98,-,709,97.39
KOTAKNIFTY,EQ,26-Aug-2010,545.37,547.50,548.50,507.70,547.00,545.37,540.04,265,1.43,-,192,72.45
KOTAKNIFTY,EQ,27-Aug-2010,545.37,548.00,548.00,520.35,541.90,541.93,541.21,303,1.64,-,225,74.26
KOTAKNIFTY,EQ,30-Aug-2010,541.93,550.00,550.00,539.00,542.50,541.53,540.60,21543,116.46,-,20958,97.28
KOTAKNIFTY,EQ,31-Aug-2010,541.53,543.00,543.00,535.00,539.80,539.80,535.73,1188,6.36,-,1102,92.76
KOTAKNIFTY,EQ,01-Sep-2010,539.80,544.00,545.00,542.00,542.00,542.00,543.03,404,2.19,-,399,98.76
KOTAKNIFTY,EQ,02-Sep-2010,542.00,550.00,550.00,546.00,546.00,546.00,546.65,615,3.36,-,615,100.00
KOTAKNIFTY,EQ,03-Sep-2010,546.00,540.00,549.85,540.00,545.00,545.00,545.55,664,3.62,-,559,84.19
KOTAKNIFTY,EQ,06-Sep-2010,545.00,552.00,558.00,550.00,558.00,558.00,554.08,802,4.44,-,792,98.75
KOTAKNIFTY,EQ,07-Sep-2010,558.00,558.00,558.00,556.00,557.10,557.10,557.13,507,2.82,-,507,100.00
KOTAKNIFTY,EQ,08-Sep-2010,557.10,557.10,564.00,555.00,559.00,559.00,558.15,438,2.44,-,323,73.74
KOTAKNIFTY,EQ,09-Sep-2010,559.00,564.00,564.00,558.00,562.99,562.99,561.67,252,1.42,-,252,100.00
KOTAKNIFTY,EQ,13-Sep-2010,562.99,562.99,575.00,562.99,572.01,572.39,571.55,989,5.65,-,718,72.60
KOTAKNIFTY,EQ,14-Sep-2010,572.39,577.00,583.50,575.00,582.00,582.00,579.07,659,3.82,-,623,94.54
KOTAKNIFTY,EQ,15-Sep-2010,582.00,583.00,585.00,470.50,585.00,585.00,555.85,3399,18.89,-,1811,53.28
KOTAKNIFTY,EQ,16-Sep-2010,585.00,584.00,588.00,580.50,583.00,580.78,583.86,1113,6.50,-,1042,93.62
KOTAKNIFTY,EQ,17-Sep-2010,580.78,580.00,605.00,580.00,590.00,589.50,587.04,332,1.95,-,185,55.72
