Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KWALITY,EQ,08-Jan-2010,148.75,150.40,158.00,145.25,146.55,147.95,152.81,1131197,1728.58,-,112082,9.91
KWALITY,EQ,11-Jan-2010,147.95,147.50,148.80,142.05,143.90,143.70,146.73,662005,971.38,-,33382,5.04
KWALITY,EQ,12-Jan-2010,143.70,144.00,144.00,140.00,140.55,140.95,140.87,681053,959.39,-,34003,4.99
KWALITY,EQ,13-Jan-2010,140.95,140.60,149.90,140.60,143.95,144.80,146.38,682921,999.68,-,45312,6.64
KWALITY,EQ,14-Jan-2010,144.80,145.80,148.80,143.65,143.70,143.90,145.69,645222,940.05,-,48820,7.57
KWALITY,EQ,15-Jan-2010,143.90,145.40,148.00,142.10,144.00,144.20,144.46,665846,961.90,-,42395,6.37
KWALITY,EQ,18-Jan-2010,144.20,144.90,147.50,142.70,146.75,146.45,145.75,461527,672.69,-,49976,10.83
KWALITY,EQ,19-Jan-2010,146.45,145.00,148.50,143.25,144.50,143.30,146.32,490441,717.61,-,36433,7.43
KWALITY,EQ,20-Jan-2010,143.30,144.15,148.80,143.05,148.00,146.45,145.53,525941,765.40,-,99102,18.84
KWALITY,EQ,21-Jan-2010,146.45,148.00,151.85,145.00,148.55,148.40,148.45,512350,760.60,-,83024,16.20
KWALITY,EQ,22-Jan-2010,148.40,146.95,163.25,146.95,163.25,161.90,160.38,1184481,1899.71,-,193709,16.35
KWALITY,EQ,25-Jan-2010,161.90,168.00,178.10,161.00,178.10,177.25,173.74,1090341,1894.35,-,142790,13.10
KWALITY,EQ,27-Jan-2010,177.25,184.40,186.80,169.00,169.75,170.55,178.05,810978,1443.97,-,172737,21.30
KWALITY,EQ,28-Jan-2010,170.55,175.40,179.70,165.60,173.60,172.90,171.36,509072,872.33,-,90539,17.79
KWALITY,EQ,29-Jan-2010,172.90,172.00,190.20,172.00,190.20,190.20,182.86,685600,1253.71,-,159208,23.22
KWALITY,EQ,01-Feb-2010,190.20,199.75,199.75,194.00,199.75,199.75,199.43,421164,839.95,-,132784,31.53
KWALITY,EQ,02-Feb-2010,199.75,204.70,209.50,198.00,199.60,200.00,205.28,572810,1175.85,-,166356,29.04
KWALITY,EQ,03-Feb-2010,200.00,203.40,208.00,190.00,195.80,195.95,197.47,506933,1001.06,-,76843,15.16
KWALITY,EQ,04-Feb-2010,195.95,198.00,199.80,187.25,191.10,191.40,191.97,585836,1124.60,-,82444,14.07
KWALITY,EQ,05-Feb-2010,191.40,188.60,194.50,183.25,187.00,188.05,188.98,459265,867.90,-,82886,18.05
KWALITY,EQ,06-Feb-2010,188.05,187.50,192.00,184.15,184.95,185.00,187.12,162743,304.52,-,25038,15.38
KWALITY,EQ,08-Feb-2010,185.00,186.50,190.10,181.55,182.15,182.85,185.86,478479,889.29,-,53122,11.10
KWALITY,EQ,09-Feb-2010,182.85,184.25,189.00,181.35,188.00,186.95,184.68,460817,851.02,-,62781,13.62
KWALITY,EQ,10-Feb-2010,186.95,191.00,191.35,183.60,184.00,183.85,189.47,636402,1205.76,-,96278,15.13
KWALITY,EQ,11-Feb-2010,183.85,184.00,188.90,180.00,188.25,188.05,185.60,518845,962.96,-,72970,14.06
KWALITY,EQ,15-Feb-2010,188.05,191.00,197.45,189.00,197.45,197.45,193.87,270501,524.42,-,88420,32.69
KWALITY,EQ,16-Feb-2010,197.45,207.35,207.35,201.00,207.35,207.35,207.14,155578,322.27,-,102494,65.88
KWALITY,EQ,17-Feb-2010,207.35,214.40,217.75,202.00,217.75,217.75,210.95,430433,908.01,-,146309,33.99
