Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LAKSHMIEFL,EQ,06-Feb-2007,188.30,190.00,190.00,180.40,181.05,181.40,184.31,7375,13.59,-,2530,34.31
LAKSHMIEFL,EQ,07-Feb-2007,181.40,186.90,189.85,183.30,188.00,187.95,187.60,4019,7.54,-,1255,31.23
LAKSHMIEFL,EQ,08-Feb-2007,187.95,185.40,188.00,182.40,183.60,185.95,185.06,610,1.13,-,450,73.77
LAKSHMIEFL,EQ,09-Feb-2007,185.95,180.30,184.95,175.00,181.20,181.20,180.83,240,0.43,-,185,77.08
LAKSHMIEFL,EQ,12-Feb-2007,181.20,180.00,180.00,170.10,180.00,179.90,177.91,901,1.60,-,600,66.59
LAKSHMIEFL,EQ,13-Feb-2007,179.90,184.90,184.90,180.10,180.10,180.10,181.70,150,0.27,-,100,66.67
LAKSHMIEFL,EQ,14-Feb-2007,180.10,178.00,180.00,175.05,180.00,180.00,177.69,398,0.71,-,318,79.90
LAKSHMIEFL,EQ,15-Feb-2007,180.00,180.00,180.00,172.65,172.65,172.65,178.94,271,0.48,-,255,94.10
LAKSHMIEFL,EQ,19-Feb-2007,172.65,198.50,200.00,173.10,179.90,179.90,184.57,1844,3.40,-,832,45.12
LAKSHMIEFL,EQ,20-Feb-2007,179.90,180.00,183.85,172.10,177.10,176.50,177.25,5660,10.03,-,5535,97.79
LAKSHMIEFL,EQ,21-Feb-2007,176.50,180.05,180.05,160.00,170.00,170.00,171.28,19244,32.96,-,17603,91.47
LAKSHMIEFL,EQ,22-Feb-2007,170.00,170.00,172.75,168.10,170.00,170.00,170.00,25592,43.51,-,25402,99.26
LAKSHMIEFL,EQ,23-Feb-2007,170.00,168.00,168.05,168.00,168.05,168.05,168.03,100,0.17,-,100,100.00
LAKSHMIEFL,EQ,26-Feb-2007,168.05,168.05,175.90,161.00,161.00,161.00,167.96,341,0.57,-,281,82.40
LAKSHMIEFL,EQ,27-Feb-2007,161.00,169.20,169.25,153.50,160.00,160.00,166.89,4416,7.37,-,4291,97.17
LAKSHMIEFL,EQ,28-Feb-2007,160.00,160.00,171.95,158.00,158.00,158.00,160.15,975,1.56,-,915,93.85
LAKSHMIEFL,EQ,01-Mar-2007,158.00,178.70,178.70,158.20,165.50,165.50,164.52,240,0.39,-,130,54.17
LAKSHMIEFL,EQ,02-Mar-2007,165.50,162.50,162.50,140.20,153.00,150.30,150.30,1622,2.44,-,1090,67.20
LAKSHMIEFL,EQ,05-Mar-2007,150.30,149.45,149.45,131.00,135.00,134.60,138.45,900,1.25,-,635,70.56
LAKSHMIEFL,EQ,06-Mar-2007,134.60,146.00,146.00,143.05,143.05,143.05,144.62,649,0.94,-,479,73.81
LAKSHMIEFL,EQ,07-Mar-2007,143.05,145.00,162.00,145.00,154.80,154.80,150.06,10596,15.90,-,10294,97.15
LAKSHMIEFL,EQ,08-Mar-2007,154.80,150.00,150.10,150.00,150.00,150.00,150.01,600,0.90,-,600,100.00
LAKSHMIEFL,EQ,12-Mar-2007,150.00,155.90,165.00,150.00,165.00,161.95,160.31,800,1.28,-,750,93.75
LAKSHMIEFL,EQ,14-Mar-2007,161.95,159.00,160.00,158.00,160.00,160.00,159.92,13700,21.91,-,13600,99.27
LAKSHMIEFL,EQ,15-Mar-2007,160.00,158.00,162.00,150.00,162.00,160.20,158.41,806,1.28,-,702,87.10
LAKSHMIEFL,EQ,16-Mar-2007,160.20,153.00,160.00,142.00,159.00,158.80,156.40,399,0.62,-,345,86.47
LAKSHMIEFL,EQ,19-Mar-2007,158.80,161.00,161.00,161.00,161.00,161.00,161.00,1,0.00,-,1,100.00
LAKSHMIEFL,EQ,20-Mar-2007,161.00,162.90,162.90,162.00,162.00,162.00,162.45,20,0.03,-,20,100.00
LAKSHMIEFL,EQ,21-Mar-2007,162.00,161.25,161.25,155.00,155.00,155.00,156.95,80,0.13,-,75,93.75
LAKSHMIEFL,EQ,22-Mar-2007,155.00,158.00,158.90,147.85,147.85,147.85,152.65,5,0.01,-,3,60.00
LAKSHMIEFL,EQ,23-Mar-2007,147.85,146.00,175.00,143.00,167.00,152.90,148.89,2454,3.65,-,1275,51.96
LAKSHMIEFL,EQ,26-Mar-2007,152.90,152.10,176.00,149.00,152.00,159.65,161.19,54810,88.35,-,26406,48.18
LAKSHMIEFL,EQ,28-Mar-2007,159.65,167.00,168.00,150.50,164.00,161.35,167.91,50456,84.72,-,50332,99.75
LAKSHMIEFL,EQ,29-Mar-2007,161.35,154.00,161.00,152.00,160.00,159.25,159.28,240312,382.76,-,240002,99.87
LAKSHMIEFL,EQ,30-Mar-2007,159.25,158.00,160.00,151.50,160.00,160.00,159.96,40169,64.25,-,40020,99.63
LAKSHMIEFL,EQ,02-Apr-2007,160.00,153.15,160.00,152.00,160.00,157.95,157.10,3970,6.24,-,3520,88.66
LAKSHMIEFL,EQ,03-Apr-2007,157.95,150.00,159.00,150.00,159.00,158.70,154.87,700,1.08,-,400,57.14
LAKSHMIEFL,EQ,04-Apr-2007,158.70,152.00,161.00,142.00,159.00,158.95,157.82,5647,8.91,-,5140,91.02
LAKSHMIEFL,EQ,05-Apr-2007,158.95,160.00,161.00,158.00,161.00,160.00,160.02,874,1.40,-,874,100.00
LAKSHMIEFL,EQ,09-Apr-2007,160.00,163.00,166.00,159.00,164.50,164.50,164.35,1236,2.03,-,1205,97.49
LAKSHMIEFL,EQ,10-Apr-2007,164.50,160.00,163.00,159.95,163.00,161.25,160.91,550,0.89,-,400,72.73
LAKSHMIEFL,EQ,11-Apr-2007,161.25,160.05,160.15,156.50,159.00,159.00,159.00,10138,16.12,-,10138,100.00
LAKSHMIEFL,EQ,12-Apr-2007,159.00,157.00,158.75,150.65,153.10,153.10,156.54,378,0.59,-,317,83.86
LAKSHMIEFL,EQ,13-Apr-2007,153.10,154.00,155.00,153.25,155.00,155.00,153.69,535,0.82,-,535,100.00
LAKSHMIEFL,EQ,16-Apr-2007,155.00,152.00,158.50,152.00,155.10,155.10,152.78,778,1.19,-,644,82.78
LAKSHMIEFL,EQ,17-Apr-2007,155.10,158.90,158.90,155.00,155.00,155.00,158.38,13,0.02,-,11,84.62
LAKSHMIEFL,EQ,18-Apr-2007,155.00,152.25,157.00,151.00,157.00,154.85,154.03,783,1.21,-,573,73.18
LAKSHMIEFL,EQ,19-Apr-2007,154.85,159.50,159.50,153.15,153.45,153.45,153.36,144,0.22,-,140,97.22
LAKSHMIEFL,EQ,20-Apr-2007,153.45,153.20,154.50,151.10,154.00,154.30,152.69,1316,2.01,-,1050,79.79
LAKSHMIEFL,EQ,23-Apr-2007,154.30,158.75,158.75,155.00,155.00,155.00,156.41,320,0.50,-,320,100.00
LAKSHMIEFL,EQ,24-Apr-2007,155.00,154.90,161.90,154.90,155.60,155.60,155.88,613,0.96,-,465,75.86
LAKSHMIEFL,EQ,25-Apr-2007,155.60,161.95,166.90,158.00,161.15,161.60,161.87,1207,1.95,-,430,35.63
LAKSHMIEFL,EQ,26-Apr-2007,161.60,170.00,180.00,160.00,173.90,174.85,172.92,14649,25.33,-,12760,87.10
LAKSHMIEFL,EQ,27-Apr-2007,174.85,170.00,173.90,159.00,159.00,160.00,162.87,9920,16.16,-,6466,65.18
LAKSHMIEFL,EQ,30-Apr-2007,160.00,156.00,169.50,155.00,158.10,157.10,156.43,1624,2.54,-,1516,93.35
LAKSHMIEFL,EQ,03-May-2007,157.10,164.90,170.00,159.55,159.55,160.95,162.97,2200,3.59,-,1921,87.32
LAKSHMIEFL,EQ,04-May-2007,160.95,165.00,165.00,155.20,155.20,156.20,158.99,1100,1.75,-,922,83.82
LAKSHMIEFL,EQ,07-May-2007,156.20,156.15,160.00,156.00,160.00,157.95,156.49,333,0.52,-,303,90.99
LAKSHMIEFL,EQ,08-May-2007,157.95,150.25,160.95,150.25,155.70,155.70,157.19,541,0.85,-,289,53.42
