Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LICNFENGP,EQ,07-Dec-2015,78.55,78.90,78.90,78.90,78.90,78.90,78.90,1,0.00,1,1,100.00
LICNFENGP,EQ,23-Dec-2015,78.90,77.50,77.50,77.50,77.50,77.50,77.50,10,0.01,1,10,100.00
LICNETFN50,EQ,15-Jan-2016,77.50,78.50,82.50,75.00,75.00,75.00,77.75,10,0.01,6,0,0.00
LICNETFN50,EQ,27-Jan-2016,75.00,74.90,74.90,74.90,74.90,74.90,74.90,10,0.01,1,10,100.00
LICNETFN50,EQ,11-Feb-2016,74.90,74.50,74.50,74.50,74.50,74.50,74.50,666,0.50,4,666,100.00
LICNETFN50,EQ,12-Feb-2016,74.50,70.00,70.00,68.00,68.00,68.00,69.00,2,0.00,2,0,0.00
LICNETFN50,EQ,17-Feb-2016,68.00,71.00,71.00,71.00,71.00,71.00,71.00,1372,0.97,18,1372,100.00
LICNETFN50,EQ,22-Feb-2016,71.00,73.50,73.50,73.50,73.50,73.50,73.50,678,0.50,1,678,100.00
LICNETFN50,EQ,23-Feb-2016,73.50,73.00,73.00,73.00,73.00,73.00,73.00,300,0.22,2,300,100.00
LICNETFN50,EQ,24-Feb-2016,73.00,72.50,72.50,71.00,71.40,71.40,71.50,1060,0.76,9,1060,100.00
LICNETFN50,EQ,01-Mar-2016,71.40,71.50,71.50,71.50,71.50,71.50,71.50,552,0.39,3,552,100.00
LICNETFN50,EQ,03-Mar-2016,71.50,74.25,74.50,74.25,74.50,74.50,74.48,100,0.07,3,100,100.00
LICNETFN50,EQ,04-Mar-2016,74.50,75.75,75.75,75.75,75.75,75.75,75.75,2,0.00,1,2,100.00
LICNETFN50,EQ,08-Mar-2016,75.75,75.50,75.50,75.50,75.50,75.50,75.50,14,0.01,2,14,100.00
LICNETFN50,EQ,11-Mar-2016,75.50,75.50,75.50,75.50,75.50,75.50,75.50,650,0.49,3,650,100.00
LICNETFN50,EQ,14-Mar-2016,75.50,76.50,76.50,76.50,76.50,76.50,76.50,650,0.50,2,650,100.00
LICNETFN50,EQ,16-Mar-2016,76.50,75.50,75.50,75.50,75.50,75.50,75.50,663,0.50,1,663,100.00
LICNETFN50,EQ,17-Mar-2016,75.50,76.50,76.50,76.50,76.50,76.50,76.50,649,0.50,1,649,100.00
LICNETFN50,EQ,18-Mar-2016,76.50,76.00,76.00,76.00,76.00,76.00,76.00,5,0.00,1,5,100.00
LICNETFN50,EQ,21-Mar-2016,76.00,77.00,77.00,77.00,77.00,77.00,77.00,649,0.50,1,649,100.00
LICNETFN50,EQ,28-Mar-2016,77.00,77.00,77.00,77.00,77.00,77.00,77.00,644,0.50,3,644,100.00
LICNETFN50,EQ,29-Mar-2016,77.00,77.00,77.00,77.00,77.00,77.00,77.00,650,0.50,1,650,100.00
LICNETFN50,EQ,30-Mar-2016,77.00,75.00,75.00,75.00,75.00,75.00,75.00,20,0.02,1,20,100.00
LICNETFN50,EQ,08-Apr-2016,75.00,75.00,75.00,75.00,75.00,75.00,75.00,1,0.00,1,1,100.00
LICNETFN50,EQ,27-Apr-2016,75.00,62.96,94.10,62.96,94.10,94.10,77.94,21,0.02,3,11,52.38
LICNETFN50,EQ,09-May-2016,94.10,78.45,78.85,77.80,78.75,78.76,78.36,1950,1.53,21,330,16.92
LICNETFN50,EQ,10-May-2016,78.76,78.80,79.00,78.80,79.00,79.00,78.91,70,0.06,3,70,100.00
LICNETFN50,EQ,13-May-2016,79.00,77.70,77.70,77.70,77.70,77.70,77.70,100,0.08,1,100,100.00
LICNETFN50,EQ,17-May-2016,77.70,79.45,79.45,78.55,78.55,78.55,79.00,10,0.01,2,5,50.00
LICNETFN50,EQ,18-May-2016,78.55,78.45,78.45,77.25,77.55,77.55,77.67,38515,29.91,10,38515,100.00
LICNETFN50,EQ,19-May-2016,77.55,77.90,78.40,77.65,77.65,77.65,77.90,908,0.71,4,905,99.67
LICNETFN50,EQ,26-May-2016,77.65,80.65,80.65,80.65,80.65,80.65,80.65,10,0.01,1,10,100.00
LICNETFN50,EQ,27-May-2016,80.65,80.70,81.20,80.70,81.20,81.20,80.80,180,0.15,3,180,100.00
LICNETFN50,EQ,07-Jun-2016,81.20,82.75,82.75,81.70,81.70,81.70,82.23,15000,12.33,2,0,0.00
LICNETFN50,EQ,10-Jun-2016,81.70,81.10,81.10,81.10,81.10,81.10,81.10,63,0.05,1,63,100.00
LICNETFN50,EQ,30-Jun-2016,81.10,82.20,82.20,82.20,82.20,82.20,82.20,10,0.01,1,10,100.00
LICNETFN50,EQ,11-Jul-2016,82.20,83.40,83.90,83.40,83.90,83.90,83.53,40,0.03,2,40,100.00
LICNETFN50,EQ,03-Aug-2016,83.90,86.00,86.00,86.00,86.00,86.00,86.00,63,0.05,1,63,100.00
LICNETFN50,EQ,01-Sep-2016,86.00,87.90,88.35,87.90,88.35,88.35,88.20,3,0.00,2,2,66.67
LICNETFN50,EQ,12-Sep-2016,88.35,88.70,88.70,87.30,87.30,87.30,88.00,2,0.00,2,0,0.00
LICNETFN50,EQ,14-Sep-2016,87.30,88.30,88.30,87.10,87.10,87.10,87.70,4,0.00,4,0,0.00
LICNETFN50,EQ,15-Sep-2016,87.10,87.20,87.25,87.20,87.25,87.25,87.25,100000,87.25,18,100000,100.00
LICNETFN50,EQ,26-Sep-2016,87.25,88.35,88.35,88.35,88.35,88.35,88.35,100,0.09,1,100,100.00
LICNETFN50,EQ,27-Sep-2016,88.35,88.35,88.35,88.35,88.35,88.35,88.35,23,0.02,1,23,100.00
LICNETFN50,EQ,17-Oct-2016,88.35,86.75,86.75,86.75,86.75,86.75,86.75,30,0.03,2,30,100.00
LICNETFN50,EQ,20-Oct-2016,86.75,88.90,88.90,88.90,88.90,88.90,88.90,2,0.00,1,2,100.00
LICNETFN50,EQ,24-Oct-2016,88.90,70.70,87.60,70.70,87.60,87.60,79.15,194,0.15,4,0,0.00
LICNETFN50,EQ,25-Oct-2016,87.60,88.10,88.10,88.10,88.10,88.10,88.10,1,0.00,1,1,100.00
LICNETFN50,EQ,07-Nov-2016,88.10,85.95,85.95,85.95,85.95,85.95,85.95,10,0.01,1,10,100.00
LICNETFN50,EQ,11-Nov-2016,85.95,85.95,85.95,85.50,85.50,85.50,85.80,3,0.00,3,3,100.00
LICNETFN50,EQ,21-Nov-2016,85.50,80.75,80.75,80.75,80.75,80.75,80.75,2,0.00,1,2,100.00
LICNETFN50,EQ,24-Nov-2016,80.75,80.68,80.68,80.68,80.68,80.68,80.68,619,0.50,1,619,100.00
