Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BOC,EQ,02-Jan-2006,169.40,170.20,183.85,169.80,180.25,180.60,179.31,1372806,2461.65,-,280323,20.42
BOC,EQ,03-Jan-2006,180.60,182.00,189.00,182.00,184.35,184.35,185.71,1060551,1969.53,-,278812,26.29
BOC,EQ,04-Jan-2006,184.35,186.35,186.45,179.20,183.00,182.45,183.23,533512,977.56,-,126013,23.62
BOC,EQ,05-Jan-2006,182.45,180.00,184.00,178.10,179.35,178.80,180.32,207269,373.74,-,74778,36.08
BOC,EQ,06-Jan-2006,178.80,179.95,182.50,175.70,176.50,176.55,179.03,236491,423.38,-,84936,35.92
BOC,EQ,09-Jan-2006,176.55,177.95,182.00,176.10,179.50,179.65,179.29,278334,499.02,-,108307,38.91
BOC,EQ,10-Jan-2006,179.65,180.75,180.75,176.10,177.30,176.65,178.08,191877,341.69,-,61872,32.25
BOC,EQ,12-Jan-2006,176.65,175.15,179.00,173.10,173.65,173.85,175.54,130058,228.31,-,51028,39.23
BOC,EQ,13-Jan-2006,173.85,173.50,177.40,173.00,173.35,173.40,175.01,83141,145.50,-,33661,40.49
BOC,EQ,16-Jan-2006,173.40,172.00,175.25,170.00,170.05,170.55,171.86,92995,159.82,-,40104,43.12
BOC,EQ,17-Jan-2006,170.55,170.10,173.35,167.15,168.95,168.05,170.10,95715,162.81,-,47193,49.31
BOC,EQ,18-Jan-2006,168.05,169.50,169.50,158.20,164.90,163.45,162.10,388442,629.66,-,220815,56.85
BOC,EQ,19-Jan-2006,163.45,172.50,172.50,164.25,169.80,169.30,168.45,94948,159.94,-,40053,42.18
BOC,EQ,20-Jan-2006,169.30,170.00,173.00,169.15,172.00,171.25,171.21,99852,170.96,-,45501,45.57
BOC,EQ,23-Jan-2006,171.25,171.00,171.45,166.65,167.80,167.45,169.05,55911,94.52,-,25072,44.84
BOC,EQ,24-Jan-2006,167.45,169.60,171.20,167.40,167.60,168.00,169.21,39118,66.19,-,16653,42.57
BOC,EQ,25-Jan-2006,168.00,169.40,173.90,166.25,166.70,167.50,170.58,155128,264.62,-,50209,32.37
BOC,EQ,27-Jan-2006,167.50,167.50,179.25,167.50,174.05,174.30,175.70,761098,1337.22,-,155912,20.49
BOC,EQ,30-Jan-2006,174.30,175.05,176.00,164.50,165.25,165.30,168.38,222799,375.14,-,108131,48.53
BOC,EQ,31-Jan-2006,165.30,162.50,167.90,162.00,163.70,163.10,164.25,198870,326.65,-,130989,65.87
BOC,EQ,01-Feb-2006,163.10,164.00,168.40,162.10,164.75,164.35,165.03,188324,310.79,-,79341,42.13
BOC,EQ,02-Feb-2006,164.35,165.85,165.85,160.00,161.00,161.60,162.05,190429,308.59,-,130867,68.72
