Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LOVABLE,EQ,24-Mar-2011,205.00,240.00,278.90,240.00,252.35,249.55,259.18,23297573,60381.61,-,1931207,8.29
LOVABLE,EQ,25-Mar-2011,249.55,228.60,257.40,228.60,251.90,249.85,244.91,6981895,17099.49,-,531502,7.61
LOVABLE,EQ,28-Mar-2011,249.85,248.30,264.60,243.40,252.50,252.55,256.23,4448178,11397.38,-,223637,5.03
LOVABLE,EQ,29-Mar-2011,252.55,253.00,254.65,240.20,240.20,245.65,249.31,1374953,3427.92,-,169944,12.36
LOVABLE,EQ,30-Mar-2011,245.65,246.50,252.50,242.00,245.00,245.75,247.50,1200774,2971.94,-,125414,10.44
LOVABLE,EQ,31-Mar-2011,245.75,247.00,251.85,243.40,245.15,245.35,246.80,473717,1169.12,-,86691,18.30
LOVABLE,EQ,01-Apr-2011,245.35,246.50,249.95,245.00,246.30,246.30,246.73,304447,751.15,-,56432,18.54
LOVABLE,EQ,04-Apr-2011,246.30,247.40,294.30,244.55,293.95,289.85,277.40,8280306,22969.62,-,640468,7.73
LOVABLE,EQ,05-Apr-2011,289.85,294.40,299.50,278.40,283.90,284.85,288.20,4091004,11790.23,-,346559,8.47
LOVABLE,EQ,06-Apr-2011,284.85,284.85,286.80,274.20,277.95,276.80,279.38,1133174,3165.91,-,175363,15.48
LOVABLE,EQ,07-Apr-2011,276.80,250.00,302.20,250.00,290.75,292.05,292.04,4340402,12675.89,-,307123,7.08
LOVABLE,EQ,08-Apr-2011,292.05,260.00,293.30,260.00,280.10,280.85,284.86,737810,2101.69,-,126694,17.17
LOVABLE,EQ,11-Apr-2011,280.85,280.00,285.90,267.80,279.00,276.15,274.94,978372,2689.94,-,114617,11.72
LOVABLE,EQ,13-Apr-2011,276.15,274.75,285.85,273.35,277.50,281.05,281.10,752996,2116.69,-,129109,17.15
LOVABLE,EQ,15-Apr-2011,281.05,281.85,292.00,279.00,287.90,287.25,286.88,966259,2771.96,-,149199,15.44
LOVABLE,EQ,18-Apr-2011,287.25,288.90,318.20,288.10,306.80,306.10,304.76,3486424,10625.19,-,324626,9.31
LOVABLE,EQ,19-Apr-2011,306.10,300.70,317.00,300.70,309.90,309.85,311.80,2168508,6761.46,-,166531,7.68
LOVABLE,EQ,20-Apr-2011,309.85,312.00,313.60,302.15,307.00,305.95,306.89,569926,1749.06,-,88062,15.45
LOVABLE,EQ,21-Apr-2011,305.95,306.25,328.40,304.85,314.00,314.95,320.60,2087579,6692.83,-,201254,9.64
LOVABLE,EQ,25-Apr-2011,314.95,315.00,323.90,313.10,321.00,319.00,319.10,831863,2654.46,-,121901,14.65
LOVABLE,EQ,26-Apr-2011,319.00,320.00,330.80,316.60,327.85,326.65,324.90,1182549,3842.11,-,111846,9.46
LOVABLE,EQ,27-Apr-2011,326.65,300.00,342.00,300.00,341.40,338.85,334.84,1353283,4531.36,-,191553,14.15
LOVABLE,EQ,28-Apr-2011,338.85,343.00,349.40,341.00,344.00,345.15,345.69,878148,3035.71,-,129445,14.74
LOVABLE,EQ,29-Apr-2011,345.15,344.00,347.00,321.70,328.55,329.15,334.39,853785,2855.00,-,111086,13.01
LOVABLE,EQ,02-May-2011,329.15,330.00,336.00,323.30,334.50,333.90,330.66,611374,2021.60,-,56573,9.25
LOVABLE,EQ,03-May-2011,333.90,332.45,335.80,321.30,321.90,322.85,328.67,364446,1197.81,-,68161,18.70
LOVABLE,EQ,04-May-2011,322.85,322.45,328.90,320.05,325.20,326.85,324.75,261507,849.25,-,45647,17.46
LOVABLE,EQ,05-May-2011,326.85,325.00,332.70,304.35,308.00,309.20,321.22,441444,1418.00,-,78736,17.84
LOVABLE,EQ,06-May-2011,309.20,311.75,314.75,276.60,301.35,299.25,293.89,1133973,3332.65,-,106840,9.42
LOVABLE,EQ,06-May-2011,309.20,311.75,314.75,276.60,301.35,299.25,293.89,1133973,3332.65,-,106840,9.42
LOVABLE,EQ,09-May-2011,299.25,301.95,324.00,301.05,323.40,320.55,314.05,842423,2645.59,-,125964,14.95
LOVABLE,EQ,10-May-2011,320.55,321.25,327.70,315.70,326.25,326.05,322.33,540655,1742.69,-,55207,10.21
LOVABLE,EQ,11-May-2011,326.05,326.35,333.00,325.05,327.00,329.10,329.25,414982,1366.34,-,68796,16.58
