Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MANGLMCEM,EQ,02-Jan-2006,70.85,72.50,75.00,72.50,74.00,73.80,73.85,152961,112.96,-,85341,55.79
MANGLMCEM,EQ,03-Jan-2006,73.80,74.75,77.40,73.80,76.75,76.45,76.16,363351,276.73,-,174894,48.13
MANGLMCEM,EQ,04-Jan-2006,76.45,77.45,79.95,75.20,79.95,79.25,78.09,396012,309.23,-,192392,48.58
MANGLMCEM,EQ,05-Jan-2006,79.25,80.00,82.50,78.25,78.30,79.00,80.42,527603,424.28,-,227002,43.03
MANGLMCEM,EQ,06-Jan-2006,79.00,79.00,83.50,78.25,82.15,82.40,81.29,800770,650.98,-,274448,34.27
MANGLMCEM,EQ,09-Jan-2006,82.40,83.30,84.40,81.10,81.90,82.05,82.91,454821,377.08,-,202400,44.50
MANGLMCEM,EQ,10-Jan-2006,82.05,82.80,82.90,79.55,80.00,80.05,81.05,175330,142.11,-,82827,47.24
MANGLMCEM,EQ,12-Jan-2006,80.05,80.00,81.25,78.10,79.80,79.65,79.98,187808,150.21,-,82362,43.85
MANGLMCEM,EQ,13-Jan-2006,79.65,81.90,83.90,80.10,81.70,81.65,82.37,326555,268.98,-,132520,40.58
MANGLMCEM,EQ,16-Jan-2006,81.65,82.45,84.40,81.45,83.50,83.45,83.11,317906,264.20,-,164690,51.80
MANGLMCEM,EQ,17-Jan-2006,83.45,84.25,84.25,79.40,80.70,80.35,82.32,192381,158.37,-,97329,50.59
MANGLMCEM,EQ,18-Jan-2006,80.35,78.05,81.50,78.05,79.10,79.30,79.59,158818,126.40,-,88293,55.59
MANGLMCEM,EQ,19-Jan-2006,79.30,80.85,86.40,80.85,85.55,85.50,84.43,524766,443.04,-,287228,54.73
MANGLMCEM,EQ,20-Jan-2006,85.50,86.45,88.20,84.05,85.55,85.70,86.34,537133,463.78,-,222654,41.45
MANGLMCEM,EQ,23-Jan-2006,85.70,87.50,91.00,86.00,89.25,88.75,89.26,735627,656.62,-,472161,64.18
MANGLMCEM,EQ,24-Jan-2006,88.75,89.70,91.25,86.50,88.00,88.00,89.12,404615,360.58,-,217257,53.69
MANGLMCEM,EQ,25-Jan-2006,88.00,90.90,93.90,89.15,90.15,89.95,91.03,667920,608.01,-,361697,54.15
MANGLMCEM,EQ,27-Jan-2006,89.95,91.00,94.50,89.75,91.00,91.05,92.32,965656,891.47,-,439474,45.51
MANGLMCEM,EQ,30-Jan-2006,91.05,92.25,94.50,91.00,94.30,93.35,93.23,891832,831.46,-,529404,59.36
MANGLMCEM,EQ,31-Jan-2006,93.35,94.40,97.40,92.50,93.30,93.45,94.86,836133,793.16,-,285706,34.17
MANGLMCEM,EQ,01-Feb-2006,93.45,94.50,95.70,90.00,92.00,91.20,91.75,605117,555.19,-,268497,44.37
MANGLMCEM,EQ,02-Feb-2006,91.20,93.20,94.40,89.00,89.90,89.55,91.19,532508,485.61,-,179370,33.68
MANGLMCEM,EQ,03-Feb-2006,89.55,89.55,93.00,89.00,89.65,89.80,90.73,648276,588.19,-,239858,37.00
MANGLMCEM,EQ,06-Feb-2006,89.80,89.80,92.40,88.25,88.85,88.75,90.34,604478,546.08,-,218651,36.17
MANGLMCEM,EQ,07-Feb-2006,88.75,88.50,90.35,88.50,89.35,89.55,89.77,318319,285.76,-,150492,47.28
MANGLMCEM,EQ,08-Feb-2006,89.55,89.55,90.20,88.15,88.30,88.55,89.16,315828,281.59,-,140478,44.48
MANGLMCEM,EQ,10-Feb-2006,88.55,88.80,89.75,88.10,89.30,88.95,89.16,167109,148.99,-,96226,57.58
MANGLMCEM,EQ,13-Feb-2006,88.95,90.00,92.45,89.05,92.00,91.65,91.02,319534,290.85,-,177175,55.45
MANGLMCEM,EQ,14-Feb-2006,91.65,92.40,92.95,89.15,89.95,89.70,90.94,203454,185.03,-,87937,43.22
MANGLMCEM,EQ,15-Feb-2006,89.70,90.40,91.80,88.50,91.35,90.85,90.02,215630,194.12,-,112885,52.35
