Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MANINDS,EQ,02-Jan-2006,261.55,264.90,264.90,256.20,263.80,261.65,260.67,6980,18.19,-,4370,62.61
MANINDS,EQ,03-Jan-2006,261.65,261.50,264.40,258.05,260.00,259.70,260.47,10190,26.54,-,9675,94.95
MANINDS,EQ,04-Jan-2006,259.70,265.00,265.00,257.25,258.00,259.45,260.02,35333,91.87,-,33754,95.53
MANINDS,EQ,05-Jan-2006,259.45,262.10,262.10,259.10,260.05,260.00,260.45,7648,19.92,-,6771,88.53
MANINDS,EQ,06-Jan-2006,260.00,275.00,275.00,260.00,262.00,263.00,261.40,3354,8.77,-,2810,83.78
MANINDS,EQ,09-Jan-2006,263.00,265.00,265.00,260.00,265.00,263.95,262.24,15636,41.00,-,14229,91.00
MANINDS,EQ,10-Jan-2006,263.95,258.00,265.00,258.00,263.00,263.30,262.45,11648,30.57,-,10859,93.23
MANINDS,EQ,12-Jan-2006,263.30,260.00,265.00,259.95,265.00,264.65,261.00,9311,24.30,-,7978,85.68
MANINDS,EQ,13-Jan-2006,264.65,264.55,274.80,264.55,268.50,267.50,269.28,13664,36.79,-,8064,59.02
MANINDS,EQ,16-Jan-2006,267.50,268.00,268.00,257.00,263.00,260.80,261.44,6103,15.96,-,3896,63.84
MANINDS,EQ,17-Jan-2006,260.80,261.90,268.00,260.00,263.50,265.45,261.99,12276,32.16,-,8555,69.69
MANINDS,EQ,18-Jan-2006,265.45,256.05,272.00,256.05,271.00,268.00,264.43,9107,24.08,-,7530,82.68
MANINDS,EQ,19-Jan-2006,268.00,277.00,277.00,263.10,269.50,265.60,266.00,5916,15.74,-,4333,73.24
MANINDS,EQ,20-Jan-2006,265.60,269.90,269.90,267.00,267.00,267.45,267.35,4091,10.94,-,3548,86.73
MANINDS,EQ,23-Jan-2006,267.45,267.60,272.00,265.00,267.00,267.15,266.99,32032,85.52,-,30544,95.35
MANINDS,EQ,24-Jan-2006,267.15,265.25,273.90,265.25,272.45,272.05,270.23,27724,74.92,-,25384,91.56
MANINDS,EQ,25-Jan-2006,272.05,275.00,281.00,275.00,280.00,279.55,279.12,13794,38.50,-,11827,85.74
MANINDS,EQ,27-Jan-2006,279.55,295.00,297.50,283.00,286.00,286.90,289.00,54831,158.46,-,32769,59.76
MANINDS,EQ,30-Jan-2006,286.90,325.00,325.00,279.50,280.50,281.00,286.16,26289,75.23,-,21752,82.74
MANINDS,EQ,31-Jan-2006,281.00,300.00,300.00,265.10,266.00,268.80,277.45,22487,62.39,-,12820,57.01
MANINDS,EQ,01-Feb-2006,268.80,268.80,277.85,231.10,253.90,251.60,261.17,37062,96.79,-,25065,67.63
MANINDS,EQ,02-Feb-2006,251.60,266.00,280.00,248.20,255.00,253.15,254.67,36036,91.77,-,24116,66.92
