Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MAYURUNIQ,EQ,25-Sep-2012,382.10,389.90,389.90,381.00,382.00,382.00,385.52,21,0.08,4,11,52.38
MAYURUNIQ,EQ,26-Sep-2012,382.00,382.50,384.00,382.50,384.00,384.00,383.97,46,0.18,3,46,100.00
MAYURUNIQ,EQ,27-Sep-2012,384.00,380.25,395.00,380.25,395.00,395.00,384.19,718,2.76,18,712,99.16
MAYURUNIQ,EQ,28-Sep-2012,395.00,390.00,405.00,390.00,390.20,392.35,398.91,3427,13.67,77,3150,91.92
MAYURUNIQ,EQ,01-Oct-2012,392.35,390.30,407.00,390.20,407.00,401.55,394.05,507,2.00,17,258,50.89
MAYURUNIQ,EQ,03-Oct-2012,401.55,450.00,450.00,400.00,400.05,402.80,401.17,2956,11.86,73,2634,89.11
MAYURUNIQ,EQ,04-Oct-2012,402.80,403.00,409.90,401.00,403.00,403.00,405.25,875,3.55,37,500,57.14
MAYURUNIQ,EQ,05-Oct-2012,403.00,400.05,410.00,400.05,410.00,407.00,402.86,615,2.48,13,586,95.28
MAYURUNIQ,EQ,08-Oct-2012,407.00,407.05,410.00,403.10,410.00,410.00,408.15,1684,6.87,39,1449,86.05
MAYURUNIQ,EQ,09-Oct-2012,410.00,415.00,415.00,403.00,414.50,409.05,405.85,2317,9.40,71,1917,82.74
MAYURUNIQ,EQ,10-Oct-2012,409.05,409.95,409.95,404.00,404.00,405.00,405.52,497,2.02,59,495,99.60
MAYURUNIQ,EQ,11-Oct-2012,405.00,405.00,405.00,398.00,398.00,402.00,404.21,1591,6.43,33,1581,99.37
MAYURUNIQ,EQ,12-Oct-2012,402.00,400.00,406.00,396.00,397.00,396.95,400.06,345,1.38,22,315,91.30
MAYURUNIQ,EQ,15-Oct-2012,396.95,379.00,400.00,379.00,390.00,389.95,392.96,663,2.61,35,535,80.69
MAYURUNIQ,EQ,16-Oct-2012,389.95,392.00,395.00,385.10,389.90,387.60,388.03,532,2.06,22,371,69.74
MAYURUNIQ,EQ,17-Oct-2012,387.60,388.00,388.00,376.00,376.00,378.10,385.04,1371,5.28,51,1039,75.78
MAYURUNIQ,EQ,18-Oct-2012,378.10,378.00,390.10,370.00,390.00,389.45,383.14,1689,6.47,64,1300,76.97
MAYURUNIQ,EQ,19-Oct-2012,389.45,385.00,387.95,384.10,384.10,384.50,385.01,1142,4.40,26,1089,95.36
MAYURUNIQ,EQ,22-Oct-2012,384.50,382.00,409.90,382.00,409.90,402.55,393.78,2091,8.23,72,1026,49.07
MAYURUNIQ,EQ,23-Oct-2012,402.55,395.10,409.95,385.20,399.00,399.00,395.96,762,3.02,42,323,42.39
MAYURUNIQ,EQ,25-Oct-2012,399.00,395.10,409.95,390.05,406.00,400.90,400.88,2687,10.77,85,1367,50.87
MAYURUNIQ,EQ,26-Oct-2012,400.90,421.00,447.85,411.00,425.05,431.30,437.16,61769,270.03,3033,12831,20.77
MAYURUNIQ,EQ,29-Oct-2012,431.30,426.00,444.00,426.00,439.95,436.90,436.93,7355,32.14,383,3451,46.92
MAYURUNIQ,EQ,30-Oct-2012,436.90,440.00,455.00,432.00,449.95,450.95,443.72,12011,53.29,495,9246,76.98
MAYURUNIQ,EQ,31-Oct-2012,450.95,454.00,460.00,440.10,454.00,458.30,454.17,12620,57.32,547,7844,62.16
MAYURUNIQ,EQ,01-Nov-2012,458.30,459.00,474.90,459.00,468.15,468.95,468.34,11550,54.09,506,7189,62.24
MAYURUNIQ,EQ,02-Nov-2012,468.95,472.95,479.90,462.05,462.05,467.00,473.03,8926,42.22,486,4883,54.71
MAYURUNIQ,EQ,05-Nov-2012,467.00,467.00,475.00,453.00,457.00,456.40,464.40,5384,25.00,262,3897,72.38
MAYURUNIQ,EQ,06-Nov-2012,456.40,456.55,456.55,420.00,446.50,445.25,441.57,9700,42.83,686,6195,63.87
MAYURUNIQ,EQ,07-Nov-2012,445.25,444.00,460.00,444.00,453.00,452.00,454.38,5583,25.37,188,4819,86.32
MAYURUNIQ,EQ,08-Nov-2012,452.00,450.00,465.00,450.00,460.00,460.00,460.76,10406,47.95,283,8395,80.67
MAYURUNIQ,EQ,09-Nov-2012,460.00,467.00,475.60,443.00,444.50,448.60,460.18,11100,51.08,444,7097,63.94
MAYURUNIQ,EQ,12-Nov-2012,448.60,451.20,465.70,451.10,460.00,457.80,458.23,9545,43.74,300,6714,70.34
MAYURUNIQ,EQ,13-Nov-2012,457.80,462.00,469.00,458.00,462.15,465.60,465.01,5432,25.26,240,3067,56.46
MAYURUNIQ,EQ,15-Nov-2012,465.60,466.10,468.05,460.75,466.00,464.70,464.53,5886,27.34,269,4588,77.95
MAYURUNIQ,EQ,16-Nov-2012,464.70,460.00,469.90,460.00,465.00,464.25,465.94,4793,22.33,199,2720,56.75
MAYURUNIQ,EQ,19-Nov-2012,464.25,464.00,475.00,464.00,464.95,465.75,469.08,10073,47.25,601,5524,54.84
MAYURUNIQ,EQ,20-Nov-2012,465.75,459.00,481.35,457.45,469.95,469.85,471.47,7588,35.78,546,3749,49.41
MAYURUNIQ,EQ,21-Nov-2012,469.85,467.00,469.85,450.00,461.00,461.80,458.15,5068,23.22,295,3077,60.71
MAYURUNIQ,EQ,22-Nov-2012,461.80,461.90,467.00,456.10,461.00,462.50,461.26,1916,8.84,186,1088,56.78
MAYURUNIQ,EQ,23-Nov-2012,462.50,469.00,469.00,451.95,457.95,457.05,458.09,3682,16.87,176,2550,69.26
MAYURUNIQ,EQ,26-Nov-2012,457.05,459.85,472.40,458.55,468.75,468.05,463.76,2036,9.44,196,692,33.99
MAYURUNIQ,EQ,27-Nov-2012,468.05,468.00,468.05,458.00,458.10,461.85,462.81,2145,9.93,204,1402,65.36
MAYURUNIQ,EQ,29-Nov-2012,461.85,457.35,470.00,457.35,460.00,460.95,461.31,2850,13.15,180,2173,76.25
MAYURUNIQ,EQ,30-Nov-2012,460.95,465.00,472.45,458.10,469.85,463.70,464.18,2893,13.43,186,1746,60.35
MAYURUNIQ,EQ,03-Dec-2012,463.70,465.00,470.00,460.05,462.50,462.10,465.33,1348,6.27,110,951,70.55
MAYURUNIQ,EQ,04-Dec-2012,462.10,460.55,487.95,457.00,483.75,480.60,480.68,22015,105.82,948,10300,46.79
MAYURUNIQ,EQ,05-Dec-2012,480.60,480.00,507.00,478.20,489.90,487.30,494.32,12527,61.92,722,4106,32.78
MAYURUNIQ,EQ,06-Dec-2012,487.30,497.95,505.00,488.00,494.00,490.35,497.75,6958,34.63,380,4215,60.58
MAYURUNIQ,EQ,07-Dec-2012,490.35,495.10,499.00,482.10,490.00,486.15,488.28,4376,21.37,277,2981,68.12
MAYURUNIQ,EQ,10-Dec-2012,486.15,485.00,488.95,474.00,487.00,482.50,483.68,2350,11.37,412,1457,62.00
MAYURUNIQ,EQ,11-Dec-2012,482.50,485.00,487.85,471.20,472.00,473.25,477.10,1635,7.80,102,1134,69.36
MAYURUNIQ,EQ,12-Dec-2012,473.25,470.50,480.00,470.50,471.00,472.75,474.31,1104,5.24,98,850,76.99
MAYURUNIQ,EQ,13-Dec-2012,472.75,472.75,478.60,462.20,466.00,466.20,468.18,3408,15.96,212,2070,60.74
MAYURUNIQ,EQ,14-Dec-2012,466.20,473.05,478.00,462.00,462.55,463.40,466.20,1604,7.48,110,1127,70.26
MAYURUNIQ,EQ,17-Dec-2012,463.40,467.05,469.60,460.40,465.00,465.40,464.17,3386,15.72,375,2097,61.93
MAYURUNIQ,EQ,18-Dec-2012,465.40,469.00,474.70,463.00,471.95,471.65,469.82,1103,5.18,237,657,59.56
MAYURUNIQ,EQ,19-Dec-2012,471.65,460.00,478.00,460.00,472.00,472.15,473.21,2112,9.99,120,1138,53.88
MAYURUNIQ,EQ,20-Dec-2012,472.15,470.25,478.95,470.25,470.30,472.85,472.91,1334,6.31,59,1014,76.01
MAYURUNIQ,EQ,21-Dec-2012,472.85,471.50,474.90,470.15,471.00,470.95,471.70,2396,11.30,104,1835,76.59
MAYURUNIQ,EQ,24-Dec-2012,470.95,473.50,473.50,465.55,468.00,467.40,470.52,2116,9.96,74,1829,86.44
MAYURUNIQ,EQ,26-Dec-2012,467.40,464.00,468.85,462.00,465.90,465.05,465.65,1847,8.60,84,1384,74.93
MAYURUNIQ,EQ,27-Dec-2012,465.05,460.00,479.00,460.00,479.00,473.65,469.33,1804,8.47,132,1245,69.01
MAYURUNIQ,EQ,28-Dec-2012,473.65,474.70,483.00,468.50,481.10,476.50,475.81,1595,7.59,138,1235,77.43
MAYURUNIQ,EQ,31-Dec-2012,476.50,474.95,482.00,472.30,482.00,479.90,478.14,4207,20.12,149,3672,87.28
