Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MINDTREE,EQ,07-Mar-2007,425.00,627.00,673.75,576.00,625.00,621.20,634.24,12594176,79876.90,-,1825382,14.49
MINDTREE,EQ,08-Mar-2007,621.20,625.00,641.90,601.00,636.00,633.20,623.32,3351482,20890.59,-,268176,8.00
MINDTREE,EQ,09-Mar-2007,633.20,634.00,668.80,613.10,649.00,652.55,642.86,2530004,16264.46,-,268292,10.60
MINDTREE,EQ,12-Mar-2007,652.55,651.30,783.10,645.30,783.10,780.80,732.06,8108044,59355.89,-,416418,5.14
MINDTREE,EQ,13-Mar-2007,780.80,799.00,914.00,799.00,870.00,879.05,882.65,9615361,84870.16,-,495080,5.15
MINDTREE,EQ,14-Mar-2007,879.05,830.10,1003.50,802.00,918.90,947.40,917.29,12585144,115441.80,-,442179,3.51
MINDTREE,EQ,15-Mar-2007,947.40,919.00,1023.20,917.25,927.00,930.15,972.21,7493267,72850.05,-,433608,5.79
MINDTREE,EQ,16-Mar-2007,930.15,942.00,980.00,878.10,883.20,897.30,917.98,5957200,54685.74,-,267305,4.49
MINDTREE,EQ,19-Mar-2007,897.30,910.15,940.00,892.10,903.00,900.65,911.32,3380524,30807.54,-,157928,4.67
MINDTREE,EQ,20-Mar-2007,900.65,913.50,932.00,885.55,889.10,893.05,905.15,2095486,18967.26,-,111915,5.34
MINDTREE,EQ,21-Mar-2007,893.05,895.20,906.00,854.00,872.75,862.70,867.31,2926140,25378.57,-,159346,5.45
MINDTREE,EQ,22-Mar-2007,862.70,882.00,900.00,867.15,869.00,873.10,882.91,2062713,18211.95,-,136944,6.64
MINDTREE,EQ,23-Mar-2007,873.10,878.00,886.00,850.30,868.35,862.25,866.24,1645212,14251.50,-,122089,7.42
MINDTREE,EQ,26-Mar-2007,862.25,866.35,880.00,847.00,850.80,854.05,866.43,1192264,10330.14,-,100906,8.46
MINDTREE,EQ,28-Mar-2007,854.05,843.10,857.40,820.00,820.00,830.75,843.11,963205,8120.92,-,107808,11.19
MINDTREE,EQ,29-Mar-2007,830.75,830.10,843.00,820.00,837.00,825.40,828.88,839458,6958.08,-,76098,9.07
MINDTREE,EQ,30-Mar-2007,825.40,835.00,848.00,825.60,830.00,830.80,835.63,984385,8225.85,-,68675,6.98
MINDTREE,EQ,02-Apr-2007,830.80,809.65,827.70,803.65,818.65,811.65,817.68,473271,3869.83,-,71104,15.02
MINDTREE,EQ,03-Apr-2007,811.65,821.00,825.00,786.55,788.00,793.20,801.30,603079,4832.47,-,58778,9.75
MINDTREE,EQ,04-Apr-2007,793.20,796.00,823.00,777.60,810.20,808.45,800.07,1222146,9778.08,-,112437,9.20
