Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MSPL,EQ,02-Jan-2006,11.55,11.75,12.20,11.60,11.90,11.80,11.88,82729,9.83,-,56958,68.85
MSPL,EQ,03-Jan-2006,11.80,11.90,12.45,11.90,12.35,12.30,12.19,107688,13.13,-,65180,60.53
MSPL,EQ,04-Jan-2006,12.30,12.65,12.65,12.05,12.15,12.20,12.29,58434,7.18,-,40305,68.98
MSPL,EQ,05-Jan-2006,12.20,12.25,12.45,12.00,12.05,12.05,12.12,38338,4.64,-,26265,68.51
MSPL,EQ,06-Jan-2006,12.05,12.10,12.30,11.85,12.10,12.00,12.06,85571,10.32,-,64154,74.97
MSPL,EQ,09-Jan-2006,12.00,12.30,12.40,12.05,12.20,12.20,12.21,63182,7.72,-,36841,58.31
MSPL,EQ,10-Jan-2006,12.20,11.80,12.25,11.80,11.90,12.00,12.01,34463,4.14,-,31554,91.56
MSPL,EQ,12-Jan-2006,12.00,12.10,12.15,11.75,11.90,11.90,11.92,45421,5.42,-,31034,68.33
MSPL,EQ,13-Jan-2006,11.90,11.90,12.00,11.65,11.70,11.70,11.80,49991,5.90,-,40915,81.84
MSPL,EQ,16-Jan-2006,11.70,11.60,11.75,11.15,11.35,11.25,11.42,69451,7.93,-,55505,79.92
MSPL,EQ,17-Jan-2006,11.25,11.65,11.65,11.15,11.15,11.25,11.27,68220,7.69,-,46276,67.83
MSPL,EQ,18-Jan-2006,11.25,11.25,11.25,10.90,11.15,11.05,11.06,65433,7.23,-,43047,65.79
MSPL,EQ,19-Jan-2006,11.05,11.75,11.75,11.15,11.40,11.35,11.37,57041,6.48,-,29767,52.19
MSPL,EQ,20-Jan-2006,11.35,11.15,11.40,11.15,11.30,11.25,11.31,38667,4.37,-,27838,71.99
MSPL,EQ,23-Jan-2006,11.25,11.50,11.50,11.10,11.25,11.20,11.24,55092,6.19,-,38640,70.14
MSPL,EQ,24-Jan-2006,11.20,11.45,11.45,11.20,11.20,11.25,11.28,71780,8.10,-,54144,75.43
MSPL,EQ,25-Jan-2006,11.25,11.45,11.50,11.30,11.40,11.40,11.39,67352,7.67,-,49394,73.34
MSPL,EQ,27-Jan-2006,11.40,11.20,13.35,11.20,12.85,12.95,12.55,396395,49.73,-,189342,47.77
MSPL,EQ,30-Jan-2006,12.95,13.25,13.35,11.50,12.00,12.10,12.28,347348,42.64,-,146209,42.09
MSPL,EQ,31-Jan-2006,12.10,12.30,12.40,12.00,12.05,12.05,12.21,91238,11.14,-,49774,54.55
MSPL,EQ,01-Feb-2006,12.05,12.05,12.10,11.30,11.40,11.45,11.71,91205,10.68,-,66064,72.43
MSPL,EQ,02-Feb-2006,11.45,11.80,11.80,11.25,11.60,11.55,11.57,79930,9.24,-,45252,56.61
MSPL,EQ,03-Feb-2006,11.55,11.50,11.65,11.30,11.50,11.40,11.48,68323,7.85,-,41368,60.55
MSPL,EQ,06-Feb-2006,11.40,12.00,12.50,11.50,11.80,11.80,11.95,101700,12.15,-,42883,42.17
MSPL,EQ,07-Feb-2006,11.80,11.95,12.10,11.55,11.80,11.70,11.81,113597,13.42,-,59420,52.31
MSPL,EQ,08-Feb-2006,11.70,11.70,11.85,11.50,11.60,11.50,11.62,46910,5.45,-,31042,66.17
MSPL,EQ,10-Feb-2006,11.50,11.25,12.05,11.25,11.85,11.75,11.70,126274,14.77,-,69704,55.20
MSPL,EQ,13-Feb-2006,11.75,11.70,12.00,11.50,11.60,11.70,11.81,63599,7.51,-,34664,54.50
MSPL,EQ,14-Feb-2006,11.70,11.65,11.85,11.60,11.70,11.65,11.71,40230,4.71,-,28911,71.86
MSPL,EQ,15-Feb-2006,11.65,11.60,11.80,11.55,11.60,11.65,11.63,36803,4.28,-,25304,68.76
MSPL,EQ,16-Feb-2006,11.65,11.55,12.20,11.55,11.75,11.75,11.91,141916,16.91,-,53041,37.37
MSPL,EQ,17-Feb-2006,11.75,12.00,12.00,11.50,11.60,11.55,11.66,70390,8.21,-,42762,60.75
MSPL,EQ,20-Feb-2006,11.55,11.30,11.75,11.30,11.50,11.45,11.50,49884,5.74,-,38897,77.97
MSPL,EQ,21-Feb-2006,11.45,11.40,11.70,11.40,11.45,11.45,11.52,46720,5.38,-,22998,49.23
MSPL,EQ,22-Feb-2006,11.45,11.65,11.90,11.50,11.60,11.55,11.67,79561,9.29,-,31170,39.18
MSPL,EQ,23-Feb-2006,11.55,11.60,12.20,11.40,11.70,11.75,11.87,270827,32.15,-,111741,41.26
MSPL,EQ,24-Feb-2006,11.75,11.90,12.30,11.50,11.75,11.80,11.97,252865,30.27,-,97729,38.65
MSPL,EQ,27-Feb-2006,11.80,12.00,12.00,11.65,11.70,11.65,11.80,46104,5.44,-,26157,56.73
MSPL,EQ,28-Feb-2006,11.65,11.80,11.95,11.60,11.60,11.65,11.78,118422,13.95,-,60885,51.41
MSPL,EQ,01-Mar-2006,11.65,11.75,11.80,11.50,11.70,11.70,11.71,88068,10.31,-,51903,58.94
MSPL,EQ,02-Mar-2006,11.70,11.70,12.00,11.70,11.90,11.75,11.85,122872,14.56,-,69759,56.77
MSPL,EQ,03-Mar-2006,11.75,11.80,12.00,11.60,11.60,11.65,11.78,88107,10.38,-,68146,77.34
MSPL,EQ,06-Mar-2006,11.65,11.85,13.80,11.75,13.50,13.35,12.89,823915,106.20,-,258911,31.42
MSPL,EQ,07-Mar-2006,13.35,13.40,13.55,12.55,12.55,12.65,13.02,319898,41.66,-,184072,57.54
MSPL,EQ,08-Mar-2006,12.65,12.55,12.75,11.70,11.85,11.90,12.21,135328,16.52,-,71651,52.95
MSPL,EQ,09-Mar-2006,11.90,12.00,12.00,11.50,11.75,11.85,11.83,100301,11.87,-,62316,62.13
MSPL,EQ,10-Mar-2006,11.85,11.80,12.25,11.65,11.80,11.90,11.89,174571,20.75,-,99798,57.17
MSPL,EQ,13-Mar-2006,11.90,11.90,11.95,11.70,11.70,11.75,11.82,137451,16.25,-,96180,69.97
MSPL,EQ,14-Mar-2006,11.75,11.95,11.95,11.50,11.55,11.55,11.72,111710,13.09,-,72622,65.01
MSPL,EQ,16-Mar-2006,11.55,11.65,11.85,11.55,11.75,11.65,11.67,84230,9.83,-,48170,57.19
MSPL,EQ,17-Mar-2006,11.65,11.55,12.00,11.55,11.60,11.80,11.78,148420,17.49,-,92105,62.06
MSPL,EQ,20-Mar-2006,11.80,11.60,11.80,11.50,11.55,11.60,11.63,88865,10.33,-,60831,68.45
MSPL,EQ,21-Mar-2006,11.60,11.45,11.95,11.45,11.60,11.60,11.69,209740,24.52,-,119954,57.19
MSPL,EQ,22-Mar-2006,11.60,11.20,11.75,11.00,11.40,11.30,11.45,88403,10.12,-,58821,66.54
MSPL,EQ,23-Mar-2006,11.30,11.50,12.30,11.30,11.70,11.70,11.81,252630,29.83,-,75058,29.71
MSPL,EQ,24-Mar-2006,11.70,11.75,11.95,11.60,11.70,11.70,11.78,162651,19.17,-,70513,43.35
MSPL,EQ,27-Mar-2006,11.70,11.95,12.65,11.60,12.15,12.15,12.15,496942,60.39,-,228825,46.05
MSPL,EQ,28-Mar-2006,12.15,12.25,12.60,12.00,12.10,12.05,12.18,260764,31.77,-,155380,59.59
MSPL,EQ,29-Mar-2006,12.05,12.10,12.10,11.80,11.90,11.95,11.93,61071,7.29,-,43729,71.60
MSPL,EQ,30-Mar-2006,11.95,11.95,12.45,11.90,11.90,11.95,12.05,99313,11.96,-,56619,57.01
MSPL,EQ,31-Mar-2006,11.95,11.80,12.30,11.80,11.85,11.85,11.96,97339,11.64,-,56867,58.42
MSPL,EQ,03-Apr-2006,11.85,12.30,12.50,12.10,12.40,12.30,12.34,137139,16.92,-,85232,62.15
MSPL,EQ,04-Apr-2006,12.30,12.55,12.75,12.10,12.25,12.25,12.40,119462,14.81,-,66256,55.46
MSPL,EQ,05-Apr-2006,12.25,12.20,12.70,12.20,12.40,12.35,12.44,93371,11.62,-,48588,52.04
MSPL,EQ,07-Apr-2006,12.35,12.65,13.00,12.00,12.20,12.10,12.54,328296,41.18,-,135242,41.20
MSPL,EQ,10-Apr-2006,12.10,12.10,14.20,12.00,14.15,14.00,13.60,453371,61.66,-,294448,64.95
MSPL,EQ,12-Apr-2006,14.00,14.20,14.50,13.45,13.50,13.55,14.05,512050,71.96,-,286829,56.02
MSPL,EQ,13-Apr-2006,13.55,13.85,13.85,12.80,13.20,13.15,13.25,206300,27.33,-,105370,51.08
MSPL,EQ,17-Apr-2006,13.15,13.25,13.45,13.05,13.25,13.30,13.28,155549,20.66,-,92260,59.31
MSPL,EQ,18-Apr-2006,13.30,13.75,13.80,13.20,13.35,13.25,13.45,102204,13.74,-,48435,47.39
MSPL,EQ,19-Apr-2006,13.25,13.50,13.75,13.15,13.20,13.25,13.49,193613,26.12,-,97702,50.46
MSPL,EQ,20-Apr-2006,13.25,13.10,13.70,13.10,13.10,13.15,13.31,125597,16.71,-,68457,54.51
MSPL,EQ,21-Apr-2006,13.15,13.20,13.45,12.60,12.90,12.85,12.91,117590,15.18,-,71842,61.10
MSPL,EQ,24-Apr-2006,12.85,13.30,13.30,12.35,12.35,12.50,12.66,112752,14.27,-,60022,53.23
MSPL,EQ,25-Apr-2006,12.50,12.35,12.75,12.25,12.30,12.30,12.36,40427,5.00,-,21248,52.56
MSPL,EQ,26-Apr-2006,12.30,12.30,13.00,12.25,12.55,12.60,12.55,67108,8.42,-,43353,64.60
MSPL,EQ,27-Apr-2006,12.60,12.80,13.20,12.50,12.50,12.60,12.79,119941,15.34,-,55165,45.99
MSPL,EQ,28-Apr-2006,12.60,11.10,12.50,11.05,12.15,12.15,12.19,61296,7.47,-,36961,60.30
MSPL,EQ,29-Apr-2006,12.15,12.70,12.70,12.20,12.55,12.45,12.47,32014,3.99,-,27116,84.70
MSPL,EQ,02-May-2006,12.45,12.90,13.05,12.75,12.85,12.85,12.91,106316,13.72,-,61085,57.46
MSPL,EQ,03-May-2006,12.85,12.90,13.10,12.70,12.85,12.85,12.94,149108,19.29,-,69999,46.95
MSPL,EQ,04-May-2006,12.85,12.95,13.00,12.60,12.65,12.65,12.83,77972,10.01,-,41534,53.27
MSPL,EQ,05-May-2006,12.65,12.85,13.45,12.65,12.95,13.00,13.00,250674,32.58,-,133574,53.29
MSPL,EQ,08-May-2006,13.00,13.40,13.40,12.75,12.75,12.85,13.02,98602,12.84,-,57086,57.90
MSPL,EQ,09-May-2006,12.85,13.20,13.40,12.65,13.00,13.10,13.07,156005,20.39,-,74467,47.73
MSPL,EQ,10-May-2006,13.10,12.80,13.70,12.80,13.55,13.50,13.38,242442,32.44,-,136865,56.45
MSPL,EQ,11-May-2006,13.50,13.30,14.00,13.15,13.30,13.25,13.36,95475,12.76,-,57728,60.46
MSPL,EQ,12-May-2006,13.25,13.40,13.95,12.70,13.35,13.30,13.53,210509,28.48,-,83716,39.77
