Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MUKANDENGG,BE,02-Jan-2006,31.50,31.50,32.95,31.50,32.50,32.40,32.12,2770,0.89,-,-,-
MUKANDENGG,BE,03-Jan-2006,32.40,33.80,33.80,32.50,33.70,33.25,33.00,6138,2.03,-,-,-
MUKANDENGG,BE,04-Jan-2006,33.25,34.80,34.90,33.00,34.90,34.50,34.54,14262,4.93,-,-,-
MUKANDENGG,BE,05-Jan-2006,34.50,34.00,34.00,33.00,33.10,33.15,33.44,2496,0.83,-,-,-
MUKANDENGG,BE,06-Jan-2006,33.15,33.60,34.30,33.00,33.05,33.05,33.39,1638,0.55,-,-,-
MUKANDENGG,BE,09-Jan-2006,33.05,34.20,34.20,32.50,33.45,33.45,33.06,2893,0.96,-,-,-
MUKANDENGG,BE,10-Jan-2006,33.45,32.05,33.50,32.05,33.50,33.05,32.90,7507,2.47,-,-,-
MUKANDENGG,BE,12-Jan-2006,33.05,31.85,32.90,31.85,32.25,32.25,32.42,5458,1.77,-,-,-
MUKANDENGG,BE,13-Jan-2006,32.25,32.50,33.40,32.00,32.25,32.75,32.61,7302,2.38,-,-,-
MUKANDENGG,BE,16-Jan-2006,32.75,32.25,32.80,31.40,31.45,31.45,31.98,3218,1.03,-,-,-
MUKANDENGG,BE,17-Jan-2006,31.45,31.70,32.50,30.25,31.75,31.55,31.64,4065,1.29,-,-,-
MUKANDENGG,BE,18-Jan-2006,31.55,30.05,31.35,30.00,30.00,30.25,30.35,3850,1.17,-,-,-
MUKANDENGG,BE,19-Jan-2006,30.25,30.00,31.80,29.75,31.80,31.80,30.50,7447,2.27,-,-,-
MUKANDENGG,BE,20-Jan-2006,31.80,30.45,31.80,30.45,31.70,31.30,30.68,15109,4.64,-,-,-
MUKANDENGG,BE,23-Jan-2006,31.30,30.60,31.45,30.45,30.80,30.80,30.80,884,0.27,-,-,-
MUKANDENGG,BE,24-Jan-2006,30.80,31.10,31.10,30.40,30.40,30.40,30.57,3508,1.07,-,-,-
MUKANDENGG,BE,25-Jan-2006,30.40,30.05,31.30,30.00,30.10,30.10,30.45,4378,1.33,-,-,-
MUKANDENGG,BE,27-Jan-2006,30.10,30.00,31.65,30.00,31.65,31.65,31.18,14090,4.39,-,-,-
MUKANDENGG,BE,30-Jan-2006,31.65,33.00,33.25,33.00,33.25,33.25,33.25,20851,6.93,-,-,-
MUKANDENGG,BE,31-Jan-2006,33.25,34.85,34.85,31.60,31.60,31.65,33.12,12886,4.27,-,-,-
MUKANDENGG,BE,01-Feb-2006,31.65,30.60,31.05,30.10,30.10,30.10,30.52,2240,0.68,-,-,-
MUKANDENGG,BE,02-Feb-2006,30.10,31.00,31.00,29.15,29.50,29.25,29.73,3520,1.05,-,-,-
MUKANDENGG,BE,03-Feb-2006,29.25,28.50,29.30,27.80,28.75,28.80,28.39,7130,2.02,-,-,-
MUKANDENGG,BE,06-Feb-2006,28.80,29.50,30.15,29.50,29.50,29.50,29.94,3126,0.94,-,-,-
MUKANDENGG,BE,07-Feb-2006,29.50,28.50,31.00,28.50,31.00,31.00,30.06,7914,2.38,-,-,-
MUKANDENGG,BE,08-Feb-2006,31.00,31.40,31.40,30.25,30.70,30.40,30.65,8349,2.56,-,-,-
MUKANDENGG,BE,10-Feb-2006,30.40,30.05,30.80,29.20,29.80,29.80,29.92,7045,2.11,-,-,-
MUKANDENGG,BE,13-Feb-2006,29.80,31.20,31.30,29.60,31.30,31.30,30.89,19613,6.06,-,-,-
MUKANDENGG,BE,14-Feb-2006,31.30,31.90,32.00,30.40,30.50,30.65,31.06,10826,3.36,-,-,-
MUKANDENGG,BE,15-Feb-2006,30.65,30.50,31.35,29.50,30.00,30.35,30.21,4420,1.34,-,-,-
MUKANDENGG,BE,16-Feb-2006,30.35,30.00,30.75,29.50,29.95,29.90,29.88,8822,2.64,-,-,-
MUKANDENGG,BE,17-Feb-2006,29.90,30.50,30.50,29.50,30.00,29.75,29.93,3965,1.19,-,-,-
MUKANDENGG,BE,20-Feb-2006,29.75,29.10,29.95,29.10,29.50,29.50,29.46,8106,2.39,-,-,-
MUKANDENGG,BE,21-Feb-2006,29.50,29.20,29.50,29.10,29.50,29.35,29.15,2465,0.72,-,-,-
MUKANDENGG,BE,22-Feb-2006,29.35,29.35,29.90,28.00,28.00,28.15,28.60,3886,1.11,-,-,-
MUKANDENGG,BE,23-Feb-2006,28.15,28.05,28.80,27.35,28.30,27.75,28.00,3128,0.88,-,-,-
MUKANDENGG,BE,24-Feb-2006,27.75,27.50,27.75,27.20,27.25,27.40,27.44,4310,1.18,-,-,-
MUKANDENGG,BE,27-Feb-2006,27.40,26.55,28.80,26.55,28.40,28.40,28.38,3085,0.88,-,-,-
MUKANDENGG,BE,28-Feb-2006,28.40,29.50,29.50,27.75,28.00,28.00,28.43,4505,1.28,-,-,-
MUKANDENGG,BE,01-Mar-2006,28.00,28.00,28.55,27.80,28.00,28.05,28.13,3060,0.86,-,-,-
MUKANDENGG,BE,02-Mar-2006,28.05,29.00,29.00,27.85,28.45,28.00,28.19,6220,1.75,-,-,-
MUKANDENGG,BE,03-Mar-2006,28.00,27.50,29.40,27.50,29.40,29.40,29.01,11593,3.36,-,-,-
MUKANDENGG,BE,06-Mar-2006,29.40,30.00,30.90,29.05,30.90,30.90,30.80,18997,5.85,-,-,-
MUKANDENGG,BE,07-Mar-2006,30.90,32.30,32.45,32.30,32.45,32.45,32.44,17921,5.81,-,-,-
MUKANDENGG,BE,08-Mar-2006,32.45,34.05,34.10,32.00,34.10,34.10,34.03,29234,9.95,-,-,-
MUKANDENGG,BE,09-Mar-2006,34.10,34.10,34.10,32.40,33.00,32.55,33.13,12991,4.30,-,-,-
MUKANDENGG,BE,10-Mar-2006,32.55,31.30,32.70,31.00,31.00,31.00,31.32,12039,3.77,-,-,-
MUKANDENGG,BE,13-Mar-2006,31.00,29.55,32.00,29.55,30.50,30.65,30.94,5404,1.67,-,-,-
MUKANDENGG,BE,14-Mar-2006,30.65,30.90,31.00,30.00,30.45,30.15,30.45,2524,0.77,-,-,-
MUKANDENGG,BE,16-Mar-2006,30.15,28.80,30.75,28.65,29.00,29.00,29.00,6753,1.96,-,-,-
MUKANDENGG,BE,17-Mar-2006,29.00,28.15,30.20,28.10,29.00,29.80,28.67,6556,1.88,-,-,-
MUKANDENGG,BE,20-Mar-2006,29.80,28.60,28.95,28.35,28.35,28.35,28.60,7355,2.10,-,-,-
MUKANDENGG,BE,21-Mar-2006,28.35,29.15,29.15,27.40,28.25,27.90,27.87,7926,2.21,-,-,-
MUKANDENGG,BE,22-Mar-2006,27.90,26.85,28.00,26.60,27.00,27.05,27.12,6892,1.87,-,-,-
MUKANDENGG,BE,23-Mar-2006,27.05,27.00,27.50,26.85,27.20,27.25,27.26,7148,1.95,-,-,-
MUKANDENGG,BE,24-Mar-2006,27.25,27.75,28.65,27.75,28.65,28.65,28.33,5874,1.66,-,-,-
MUKANDENGG,BE,27-Mar-2006,28.65,29.75,30.10,29.75,30.10,30.10,30.06,4896,1.47,-,-,-
MUKANDENGG,BE,28-Mar-2006,30.10,31.60,31.65,31.60,31.65,31.65,31.63,4555,1.44,-,-,-
MUKANDENGG,BE,29-Mar-2006,31.65,33.25,33.25,33.25,33.25,33.25,33.25,8726,2.90,-,-,-
