Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MUKTAARTS,BE,02-Jan-2006,44.20,44.15,44.70,43.90,44.20,44.20,44.25,5345,2.37,-,-,-
MUKTAARTS,BE,03-Jan-2006,44.20,44.45,45.70,44.30,45.00,45.00,44.90,19561,8.78,-,-,-
MUKTAARTS,BE,04-Jan-2006,45.00,46.00,46.00,44.60,44.75,44.65,45.11,6005,2.71,-,-,-
MUKTAARTS,BE,05-Jan-2006,44.65,44.75,45.00,43.70,43.80,43.80,44.16,7575,3.34,-,-,-
MUKTAARTS,BE,06-Jan-2006,43.80,44.00,44.50,43.50,43.50,43.85,44.08,7235,3.19,-,-,-
MUKTAARTS,BE,09-Jan-2006,43.85,44.15,45.05,43.85,44.50,44.70,44.76,8950,4.01,-,-,-
MUKTAARTS,BE,10-Jan-2006,44.70,44.40,44.65,43.70,44.00,44.00,44.19,7095,3.14,-,-,-
MUKTAARTS,BE,12-Jan-2006,44.00,44.30,44.50,43.60,43.60,43.75,43.92,4885,2.15,-,-,-
MUKTAARTS,BE,13-Jan-2006,43.75,44.50,44.50,43.40,43.50,43.50,44.00,3700,1.63,-,-,-
MUKTAARTS,BE,16-Jan-2006,43.50,43.70,43.70,42.60,43.60,43.55,43.34,8790,3.81,-,-,-
MUKTAARTS,BE,17-Jan-2006,43.55,42.75,43.80,42.50,43.35,43.35,42.87,9929,4.26,-,-,-
MUKTAARTS,BE,18-Jan-2006,43.35,42.10,43.00,42.10,42.50,42.50,42.46,5798,2.46,-,-,-
MUKTAARTS,BE,19-Jan-2006,42.50,42.35,44.45,42.35,43.15,43.15,43.71,6300,2.75,-,-,-
