Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NAHARINDUS,EQ,02-Jan-2006,138.05,141.00,141.00,136.50,136.90,136.90,137.99,16349,22.56,-,12462,76.22
NAHARINDUS,EQ,03-Jan-2006,136.90,137.40,143.00,135.00,135.20,135.40,137.88,35828,49.40,-,22420,62.58
NAHARINDUS,EQ,04-Jan-2006,135.40,141.00,148.95,137.50,143.50,144.60,146.58,460533,675.03,-,87724,19.05
NAHARINDUS,EQ,05-Jan-2006,144.60,157.00,157.00,138.50,141.60,140.65,141.73,97570,138.29,-,45115,46.24
NAHARINDUS,EQ,06-Jan-2006,140.65,142.10,143.80,139.60,141.25,142.10,141.95,94465,134.09,-,48937,51.80
NAHARINDUS,EQ,09-Jan-2006,142.10,143.00,143.00,139.00,141.00,140.95,140.94,71199,100.35,-,29267,41.11
NAHARINDUS,EQ,10-Jan-2006,140.95,138.15,142.50,138.10,140.00,139.85,140.93,69785,98.35,-,36355,52.10
NAHARINDUS,EQ,12-Jan-2006,139.85,139.50,143.00,139.05,142.50,142.10,142.07,59667,84.77,-,22996,38.54
NAHARINDUS,EQ,13-Jan-2006,142.10,143.25,147.65,142.25,143.00,142.75,144.84,113448,164.31,-,44042,38.82
NAHARINDUS,EQ,16-Jan-2006,142.75,145.60,150.50,143.55,148.00,146.25,147.17,168642,248.19,-,87919,52.13
NAHARINDUS,EQ,17-Jan-2006,146.25,149.00,151.85,148.00,150.85,150.00,149.88,169681,254.32,-,73764,43.47
NAHARINDUS,EQ,18-Jan-2006,150.00,148.50,149.90,145.10,146.00,146.00,146.80,111467,163.63,-,50950,45.71
NAHARINDUS,EQ,19-Jan-2006,146.00,147.70,154.65,147.00,153.60,153.00,150.66,132882,200.20,-,44037,33.14
NAHARINDUS,EQ,20-Jan-2006,153.00,155.00,156.00,151.00,152.00,152.15,153.55,109629,168.34,-,42565,38.83
NAHARINDUS,EQ,23-Jan-2006,152.15,152.80,167.40,152.00,167.40,167.40,164.87,535327,882.57,-,200477,37.45
NAHARINDUS,EQ,24-Jan-2006,167.40,170.10,176.65,165.00,166.00,166.35,171.14,346646,593.23,-,154386,44.54
NAHARINDUS,EQ,25-Jan-2006,166.35,169.20,170.40,161.00,163.90,162.35,165.47,79080,130.86,-,44638,56.45
NAHARINDUS,EQ,27-Jan-2006,162.35,165.45,168.00,163.20,164.00,164.90,165.74,80600,133.59,-,44357,55.03
NAHARINDUS,EQ,30-Jan-2006,164.90,165.00,170.00,157.00,159.65,157.60,160.50,95370,153.07,-,57448,60.24
NAHARINDUS,EQ,31-Jan-2006,157.60,157.50,160.65,154.25,157.50,156.10,156.18,110361,172.36,-,76427,69.25
NAHARINDUS,EQ,01-Feb-2006,156.10,155.60,165.00,153.10,158.75,157.15,157.79,115519,182.28,-,44830,38.81
NAHARINDUS,EQ,02-Feb-2006,157.15,159.50,159.90,153.10,154.50,154.45,156.08,63962,99.83,-,26081,40.78
NAHARINDUS,EQ,03-Feb-2006,154.45,153.25,157.80,148.15,150.00,150.60,154.47,94820,146.47,-,37486,39.53
NAHARINDUS,EQ,06-Feb-2006,150.60,153.50,158.65,151.00,158.65,157.05,156.55,111300,174.24,-,37926,34.08
