Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NAKODA,EQ,14-Mar-2013,11.90,12.00,12.40,11.00,12.00,11.80,11.96,50462,6.03,92,11469,22.73
NAKODA,EQ,15-Mar-2013,11.80,11.90,13.25,11.00,12.15,12.80,12.62,324681,40.98,176,262019,80.70
NAKODA,EQ,18-Mar-2013,12.80,11.95,12.25,11.55,11.60,11.60,11.88,30809,3.66,39,5574,18.09
NAKODA,EQ,19-Mar-2013,11.60,11.90,12.00,10.80,11.75,11.55,11.30,54794,6.19,72,17784,32.46
NAKODA,EQ,20-Mar-2013,11.55,11.00,11.90,10.70,11.50,11.55,11.50,101898,11.72,79,87496,85.87
NAKODA,EQ,21-Mar-2013,11.55,11.50,12.90,10.75,12.00,12.40,12.30,378781,46.59,182,358534,94.65
NAKODA,EQ,22-Mar-2013,12.40,11.10,11.65,11.10,11.25,11.45,11.37,28276,3.22,65,20767,73.44
NAKODA,EQ,25-Mar-2013,11.45,11.25,11.75,10.50,10.50,10.50,10.80,53056,5.73,102,39010,73.53
NAKODA,EQ,26-Mar-2013,10.50,10.70,11.00,10.05,10.50,10.80,10.75,16356,1.76,60,13094,80.06
NAKODA,EQ,28-Mar-2013,10.80,10.35,12.80,9.95,12.20,11.95,11.84,106315,12.59,177,73164,68.82
NAKODA,EQ,01-Apr-2013,11.95,11.20,13.00,11.20,12.95,12.75,12.38,72441,8.97,211,51042,70.46
NAKODA,EQ,02-Apr-2013,12.75,12.85,13.00,12.05,12.65,12.65,12.48,135831,16.95,380,61790,45.49
NAKODA,EQ,03-Apr-2013,12.65,12.55,13.00,12.00,12.00,12.55,12.48,24349,3.04,135,11521,47.32
NAKODA,EQ,04-Apr-2013,12.55,12.40,12.60,11.80,12.35,12.20,12.27,32205,3.95,114,8931,27.73
NAKODA,EQ,05-Apr-2013,12.20,11.85,14.60,11.85,14.60,14.40,13.94,307617,42.88,646,192237,62.49
NAKODA,EQ,08-Apr-2013,14.40,14.20,15.00,13.25,14.50,14.35,14.02,137208,19.23,532,65890,48.02
NAKODA,EQ,09-Apr-2013,14.35,13.90,14.15,13.45,13.50,13.70,13.72,26511,3.64,96,16751,63.19
NAKODA,EQ,10-Apr-2013,13.70,13.45,14.75,12.90,14.15,14.50,14.33,125632,18.00,265,101912,81.12
NAKODA,EQ,11-Apr-2013,14.50,14.00,14.00,13.50,13.50,13.75,13.72,15322,2.10,78,8940,58.35
NAKODA,EQ,12-Apr-2013,13.75,13.10,14.00,12.60,13.85,13.70,13.49,68745,9.28,306,29824,43.38
NAKODA,EQ,15-Apr-2013,13.70,13.75,14.00,12.50,13.05,13.55,13.28,105322,13.99,393,65056,61.77
NAKODA,EQ,16-Apr-2013,13.55,13.35,13.70,12.90,13.20,13.15,13.24,51746,6.85,149,29970,57.92
NAKODA,EQ,17-Apr-2013,13.15,14.45,14.45,13.05,13.05,13.15,13.39,15178,2.03,114,8550,56.33
NAKODA,EQ,18-Apr-2013,13.15,13.90,15.20,12.50,13.75,14.50,14.45,363537,52.53,612,278473,76.60
NAKODA,EQ,22-Apr-2013,14.50,14.00,14.45,13.65,13.70,14.10,13.99,33127,4.63,226,20844,62.92
NAKODA,EQ,23-Apr-2013,14.10,14.30,14.30,13.55,13.60,13.85,13.86,17427,2.41,86,12558,72.06
NAKODA,EQ,25-Apr-2013,13.85,13.30,14.20,13.30,13.55,13.95,13.86,64500,8.94,203,42156,65.36
NAKODA,EQ,26-Apr-2013,13.95,13.55,13.80,13.15,13.15,13.45,13.43,20554,2.76,76,15032,73.13
NAKODA,EQ,29-Apr-2013,13.45,13.25,13.50,12.55,12.85,13.35,13.13,35530,4.67,92,26943,75.83
