Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NETWORK18,EQ,02-Feb-2007,5.00,312.10,398.80,312.10,368.55,367.10,369.68,3287589,12153.59,-,669363,20.36
NETWORK18,EQ,05-Feb-2007,367.10,370.00,377.30,311.00,358.50,360.10,365.45,780164,2851.09,-,196785,25.22
NETWORK18,EQ,06-Feb-2007,360.10,350.00,422.00,350.00,393.00,394.30,402.24,2589814,10417.31,-,442372,17.08
NETWORK18,EQ,07-Feb-2007,394.30,396.45,434.90,395.15,431.20,426.55,419.21,2194086,9197.83,-,398870,18.18
NETWORK18,EQ,08-Feb-2007,426.55,434.70,443.00,405.10,406.00,411.40,421.86,1238483,5224.63,-,277412,22.40
NETWORK18,EQ,09-Feb-2007,411.40,405.00,408.70,387.00,398.00,395.45,397.94,609949,2427.20,-,183358,30.06
NETWORK18,EQ,12-Feb-2007,395.45,395.00,397.00,342.00,352.00,348.45,360.27,705300,2540.97,-,199862,28.34
NETWORK18,EQ,13-Feb-2007,348.45,345.00,383.90,330.10,364.00,361.05,369.24,614557,2269.21,-,88546,14.41
NETWORK18,EQ,14-Feb-2007,361.05,345.00,369.40,345.00,360.05,358.20,358.25,278950,999.33,-,53353,19.13
NETWORK18,EQ,15-Feb-2007,358.20,363.65,429.85,360.00,412.30,412.90,407.02,1465031,5962.90,-,208589,14.24
NETWORK18,EQ,19-Feb-2007,412.90,419.80,445.00,397.55,402.00,404.60,427.21,1717945,7339.28,-,214849,12.51
NETWORK18,EQ,20-Feb-2007,404.60,406.70,413.00,385.10,395.00,391.20,399.15,420333,1677.76,-,87008,20.70
NETWORK18,EQ,21-Feb-2007,391.20,396.50,407.00,375.00,392.25,393.00,393.62,706524,2781.05,-,100609,14.24
NETWORK18,EQ,22-Feb-2007,393.00,398.80,398.80,332.00,379.95,381.05,388.29,346762,1346.44,-,86658,24.99
NETWORK18,EQ,23-Feb-2007,381.05,384.00,384.00,347.00,352.00,351.35,359.83,406483,1462.67,-,148136,36.44
NETWORK18,EQ,26-Feb-2007,351.35,352.90,363.50,333.30,352.40,351.95,352.69,255607,901.51,-,75120,29.39
NETWORK18,EQ,27-Feb-2007,351.95,357.35,370.90,346.10,350.15,351.75,360.64,235509,849.33,-,54098,22.97
NETWORK18,EQ,28-Feb-2007,351.75,339.90,350.00,282.00,344.00,338.10,339.08,232192,787.32,-,77748,33.48
NETWORK18,EQ,01-Mar-2007,338.10,338.00,350.00,331.70,349.30,349.30,343.52,221069,759.41,-,108852,49.24
NETWORK18,EQ,02-Mar-2007,349.30,350.00,353.40,340.00,342.40,343.65,348.70,179845,627.12,-,77765,43.24
NETWORK18,EQ,05-Mar-2007,343.65,338.45,338.45,315.00,317.00,322.15,322.84,112678,363.77,-,43874,38.94
NETWORK18,EQ,06-Mar-2007,322.15,339.00,347.85,323.00,344.00,341.65,330.89,114422,378.61,-,58790,51.38
NETWORK18,EQ,07-Mar-2007,341.65,345.70,349.65,330.00,337.00,334.10,336.53,99416,334.56,-,51994,52.30
NETWORK18,EQ,08-Mar-2007,334.10,339.00,342.00,328.00,340.00,339.65,337.96,81509,275.47,-,41272,50.63
NETWORK18,EQ,09-Mar-2007,339.65,339.65,359.40,335.05,340.00,342.35,344.18,70686,243.29,-,31682,44.82
NETWORK18,EQ,12-Mar-2007,342.35,345.00,352.00,336.15,339.00,340.90,342.32,182059,623.23,-,133703,73.44
NETWORK18,BL,13-Mar-2007,5.00,341.00,341.00,341.00,341.00,341.00,341.00,180000,613.80,-,180000,100.00
NETWORK18,EQ,13-Mar-2007,340.90,345.00,349.00,340.00,340.15,341.55,344.12,83074,285.88,-,48126,57.93
NETWORK18,BL,14-Mar-2007,341.00,332.00,332.00,332.00,332.00,332.00,332.00,180000,597.60,-,180000,100.00
NETWORK18,EQ,14-Mar-2007,341.55,320.50,340.00,320.50,338.50,335.95,334.69,38605,129.21,-,22763,58.96
NETWORK18,EQ,15-Mar-2007,335.95,344.00,347.00,325.00,326.10,329.90,339.15,80349,272.50,-,52368,65.18
NETWORK18,EQ,16-Mar-2007,329.90,331.80,331.80,323.00,329.00,328.90,327.02,29321,95.88,-,15184,51.79
NETWORK18,EQ,19-Mar-2007,328.90,331.00,334.85,323.00,323.00,325.80,329.64,28244,93.10,-,19263,68.20
NETWORK18,EQ,20-Mar-2007,325.80,333.75,346.85,328.20,337.15,337.95,336.57,61168,205.88,-,28684,46.89
NETWORK18,EQ,21-Mar-2007,337.95,333.50,341.90,309.30,340.00,339.90,338.43,76121,257.62,-,64617,84.89
NETWORK18,EQ,22-Mar-2007,339.90,346.00,348.00,336.60,340.00,337.90,341.33,23289,79.49,-,13292,57.07
NETWORK18,EQ,23-Mar-2007,337.90,338.10,349.60,326.50,340.60,342.25,344.08,40967,140.96,-,22611,55.19
NETWORK18,EQ,26-Mar-2007,342.25,336.00,341.80,333.00,334.00,334.50,336.00,16114,54.14,-,11912,73.92
NETWORK18,EQ,28-Mar-2007,334.50,326.00,344.00,322.80,322.80,324.55,327.24,19897,65.11,-,14684,73.80
NETWORK18,EQ,29-Mar-2007,324.55,334.90,336.00,325.00,335.00,333.90,330.17,11918,39.35,-,7490,62.85
NETWORK18,EQ,30-Mar-2007,333.90,342.80,343.00,330.50,342.00,341.30,338.73,27478,93.08,-,23096,84.05
NETWORK18,EQ,02-Apr-2007,341.30,328.00,339.00,280.00,324.10,327.65,329.01,28411,93.48,-,17578,61.87
NETWORK18,EQ,03-Apr-2007,327.65,335.00,336.00,322.25,336.00,332.45,328.35,17708,58.14,-,11604,65.53
NETWORK18,EQ,04-Apr-2007,332.45,343.70,343.70,333.00,342.00,340.40,338.67,25370,85.92,-,20506,80.83
NETWORK18,EQ,05-Apr-2007,340.40,345.00,372.20,332.60,360.20,362.60,361.25,170788,616.96,-,36635,21.45
NETWORK18,EQ,09-Apr-2007,362.60,364.95,377.90,356.00,371.50,371.75,369.87,91679,339.10,-,29014,31.65
NETWORK18,EQ,10-Apr-2007,371.75,372.00,372.00,362.00,368.00,367.60,366.62,29918,109.69,-,17373,58.07
NETWORK18,EQ,11-Apr-2007,367.60,370.00,389.00,369.55,371.00,371.50,378.14,71689,271.08,-,26388,36.81
NETWORK18,EQ,12-Apr-2007,371.50,365.30,374.40,363.00,365.00,365.00,367.62,47805,175.74,-,32922,68.87
NETWORK18,EQ,13-Apr-2007,365.00,370.00,373.90,358.00,368.00,368.10,369.23,26527,97.95,-,13878,52.32
NETWORK18,EQ,16-Apr-2007,368.10,371.00,373.90,358.15,360.00,362.05,364.56,33504,122.14,-,21404,63.88
NETWORK18,EQ,17-Apr-2007,362.05,360.50,368.90,355.10,362.00,358.05,358.91,18607,66.78,-,14167,76.14
NETWORK18,EQ,18-Apr-2007,358.05,363.65,367.50,355.00,366.00,364.10,361.48,29239,105.69,-,22996,78.65
NETWORK18,EQ,19-Apr-2007,364.10,360.00,367.90,350.00,359.50,358.90,361.01,28463,102.75,-,22385,78.65
NETWORK18,EQ,20-Apr-2007,358.90,364.80,365.80,357.20,365.00,363.20,361.28,21648,78.21,-,13700,63.29
NETWORK18,EQ,23-Apr-2007,363.20,363.20,368.90,360.00,366.00,365.75,364.58,20346,74.18,-,11755,57.78
NETWORK18,EQ,24-Apr-2007,365.75,361.80,365.95,361.00,364.00,363.75,363.79,7676,27.92,-,5330,69.44
NETWORK18,EQ,25-Apr-2007,363.75,360.25,370.00,357.15,358.20,359.25,359.27,23855,85.70,-,17617,73.85
NETWORK18,EQ,26-Apr-2007,359.25,370.00,391.40,358.20,381.15,385.45,382.15,152112,581.29,-,79889,52.52
NETWORK18,EQ,27-Apr-2007,385.45,385.00,396.00,368.55,385.00,387.40,384.09,179189,688.24,-,63502,35.44
NETWORK18,EQ,30-Apr-2007,387.40,389.65,394.95,380.00,389.05,389.15,389.71,113212,441.20,-,60933,53.82
