Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NFL,EQ,28-Dec-2006,29.20,34.95,34.95,30.00,30.80,30.90,31.53,22920,7.23,-,11505,50.20
NFL,EQ,29-Dec-2006,30.90,32.00,32.00,30.75,30.85,30.90,31.06,9786,3.04,-,7065,72.19
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NFL,EQ,02-Jan-2007,30.90,32.40,32.40,30.80,30.80,30.95,31.19,3653,1.14,-,1950,53.38
NFL,EQ,03-Jan-2007,30.95,30.50,32.00,30.50,31.55,31.65,31.65,2141,0.68,-,1140,53.25
NFL,EQ,04-Jan-2007,31.65,32.00,32.95,32.00,32.50,32.45,32.52,3601,1.17,-,2605,72.34
NFL,EQ,05-Jan-2007,32.45,32.70,35.90,32.65,34.40,34.30,34.77,46817,16.28,-,22091,47.19
NFL,EQ,08-Jan-2007,34.30,33.00,34.95,33.00,34.00,33.90,33.97,13249,4.50,-,9807,74.02
NFL,EQ,09-Jan-2007,33.90,34.00,34.15,33.70,33.95,33.80,34.01,4616,1.57,-,4615,99.98
NFL,EQ,10-Jan-2007,33.80,33.95,33.95,32.20,32.25,32.65,33.09,3219,1.07,-,2065,64.15
NFL,EQ,11-Jan-2007,32.65,32.75,35.80,32.70,33.85,33.95,33.77,9146,3.09,-,5060,55.32
NFL,EQ,12-Jan-2007,33.95,35.00,36.90,33.25,33.25,33.60,33.73,69357,23.39,-,50560,72.90
NFL,EQ,15-Jan-2007,33.60,34.20,35.00,32.00,33.15,32.65,33.81,67362,22.77,-,51600,76.60
NFL,EQ,16-Jan-2007,32.65,32.60,34.10,31.60,33.80,33.40,32.73,95152,31.14,-,53776,56.52
NFL,EQ,17-Jan-2007,33.40,34.40,35.00,32.50,32.80,32.75,33.06,100063,33.08,-,56382,56.35
NFL,EQ,18-Jan-2007,32.75,33.80,34.00,33.00,33.25,33.05,33.49,19800,6.63,-,13440,67.88
NFL,EQ,19-Jan-2007,33.05,33.50,33.70,32.05,32.60,32.50,32.40,37031,12.00,-,21615,58.37
NFL,EQ,22-Jan-2007,32.50,33.50,33.50,32.35,32.40,32.35,32.53,3539,1.15,-,2125,60.05
NFL,EQ,23-Jan-2007,32.35,33.40,33.40,32.40,32.45,32.50,32.71,12617,4.13,-,8246,65.36
NFL,EQ,24-Jan-2007,32.50,32.55,32.95,31.90,32.00,32.05,32.44,8323,2.70,-,6361,76.43
NFL,EQ,25-Jan-2007,32.05,32.20,32.75,32.15,32.20,32.45,32.51,4367,1.42,-,3815,87.36
NFL,EQ,29-Jan-2007,32.45,33.80,33.80,32.50,32.55,32.55,32.88,12536,4.12,-,8035,64.10
NFL,EQ,31-Jan-2007,32.55,32.55,32.90,31.80,32.00,31.95,32.43,15585,5.05,-,14910,95.67
NFL,EQ,01-Feb-2007,31.95,32.85,33.00,31.40,32.80,32.70,32.69,23475,7.68,-,14050,59.85
NFL,EQ,02-Feb-2007,32.70,32.70,34.00,32.00,32.00,32.10,32.87,31893,10.48,-,20576,64.52
NFL,EQ,05-Feb-2007,32.10,32.05,32.75,31.50,32.25,32.25,32.41,18310,5.93,-,15160,82.80
NFL,EQ,06-Feb-2007,32.25,32.70,33.00,31.80,32.00,32.00,32.10,15561,4.99,-,13945,89.62
NFL,EQ,07-Feb-2007,32.00,32.00,32.70,32.00,32.00,32.05,32.43,19612,6.36,-,16725,85.28
NFL,EQ,08-Feb-2007,32.05,32.70,33.70,31.60,33.00,33.05,32.83,14675,4.82,-,8365,57.00
NFL,EQ,09-Feb-2007,33.05,33.00,34.45,32.55,32.55,32.85,33.24,35354,11.75,-,19403,54.88
NFL,EQ,12-Feb-2007,32.85,32.10,32.10,30.35,30.40,30.50,31.07,7105,2.21,-,5948,83.72
NFL,EQ,13-Feb-2007,30.50,31.85,31.85,30.00,30.30,30.25,30.76,13532,4.16,-,8102,59.87
NFL,EQ,14-Feb-2007,30.25,30.00,30.90,29.10,30.90,30.85,30.09,2350,0.71,-,1890,80.43
NFL,EQ,15-Feb-2007,30.85,31.60,31.85,31.05,31.35,31.45,31.34,3909,1.23,-,2575,65.87
NFL,EQ,19-Feb-2007,31.45,32.65,32.65,31.25,31.50,31.35,31.84,4744,1.51,-,3989,84.09
NFL,EQ,20-Feb-2007,31.35,32.85,32.85,31.00,31.10,31.25,31.47,4900,1.54,-,3200,65.31
NFL,EQ,21-Feb-2007,31.25,31.45,31.70,31.00,31.00,31.05,31.23,1836,0.57,-,1357,73.91
NFL,EQ,22-Feb-2007,31.05,31.05,31.20,30.20,30.20,30.50,30.84,1942,0.60,-,1305,67.20
NFL,EQ,23-Feb-2007,30.50,31.40,31.40,29.55,29.80,29.70,30.09,5748,1.73,-,4396,76.48
NFL,EQ,26-Feb-2007,29.70,30.00,30.90,29.75,30.90,30.55,30.44,5458,1.66,-,4550,83.36
NFL,EQ,27-Feb-2007,30.55,30.80,31.80,30.15,31.80,31.30,31.00,9463,2.93,-,3300,34.87
NFL,EQ,28-Feb-2007,31.30,31.90,32.50,28.35,29.70,30.05,30.96,13319,4.12,-,5682,42.66
NFL,EQ,01-Mar-2007,30.05,25.10,30.50,25.00,30.50,30.25,28.74,3442,0.99,-,1827,53.08
NFL,EQ,02-Mar-2007,30.25,30.70,30.70,29.10,29.60,29.30,29.52,2920,0.86,-,2245,76.88
NFL,EQ,05-Mar-2007,29.30,28.05,29.60,27.00,27.10,27.15,27.73,2585,0.72,-,1852,71.64
NFL,EQ,06-Mar-2007,27.15,29.00,29.00,27.70,28.85,28.50,28.36,2049,0.58,-,705,34.41
NFL,EQ,07-Mar-2007,28.50,29.00,29.00,27.10,27.40,27.50,27.81,5346,1.49,-,3033,56.73
NFL,EQ,08-Mar-2007,27.50,27.50,28.40,27.00,28.35,28.05,27.77,2154,0.60,-,949,44.06
NFL,EQ,09-Mar-2007,28.05,27.50,28.50,27.50,28.50,28.35,28.15,5246,1.48,-,2962,56.46
NFL,EQ,12-Mar-2007,28.35,28.50,28.65,27.80,28.65,28.25,28.21,4179,1.18,-,3141,75.16
NFL,EQ,13-Mar-2007,28.25,28.65,28.65,27.00,28.10,28.05,27.88,2770,0.77,-,1605,57.94
NFL,EQ,14-Mar-2007,28.05,27.50,28.70,27.40,27.50,27.60,27.80,1810,0.50,-,1056,58.34
NFL,EQ,15-Mar-2007,27.60,28.50,28.50,26.75,27.25,27.35,27.93,5520,1.54,-,3358,60.83
NFL,EQ,16-Mar-2007,27.35,27.90,27.90,26.65,27.00,27.05,27.14,2085,0.57,-,1210,58.03
NFL,EQ,19-Mar-2007,27.05,29.50,29.50,27.00,27.50,27.50,27.41,1511,0.41,-,1275,84.38
NFL,EQ,20-Mar-2007,27.50,28.10,28.25,27.10,27.20,27.20,27.38,5420,1.48,-,4000,73.80
NFL,EQ,21-Mar-2007,27.20,27.85,27.85,27.10,27.10,27.15,27.18,1019,0.28,-,963,94.50
NFL,EQ,22-Mar-2007,27.15,27.85,27.85,27.00,27.10,27.10,27.14,9769,2.65,-,6957,71.22
NFL,EQ,23-Mar-2007,27.10,27.50,27.50,27.10,27.10,27.10,27.26,4010,1.09,-,2750,68.58
NFL,EQ,26-Mar-2007,27.10,27.40,27.75,27.00,27.50,27.30,27.27,1529,0.42,-,1324,86.59
NFL,EQ,28-Mar-2007,27.30,27.40,27.90,25.10,27.75,27.00,27.16,2682,0.73,-,1977,73.71
NFL,EQ,29-Mar-2007,27.00,26.00,28.35,26.00,27.95,27.90,27.71,3495,0.97,-,2193,62.75
NFL,EQ,30-Mar-2007,27.90,27.70,27.95,27.10,27.85,27.50,27.75,4457,1.24,-,4102,92.04
NFL,EQ,02-Apr-2007,27.50,27.50,27.50,26.90,26.90,26.90,26.94,3665,0.99,-,3614,98.61
NFL,EQ,03-Apr-2007,26.90,25.25,29.90,25.25,27.55,27.45,27.39,1580,0.43,-,1043,66.01
NFL,EQ,04-Apr-2007,27.45,27.60,27.60,27.00,27.50,27.50,27.38,2313,0.63,-,2208,95.46
NFL,EQ,05-Apr-2007,27.50,27.90,28.90,26.00,28.00,27.90,27.78,15949,4.43,-,7366,46.18
NFL,EQ,09-Apr-2007,27.90,28.75,28.75,28.00,28.05,28.05,28.15,2718,0.77,-,1815,66.78
