Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NHPC,EQ,01-Sep-2009,36.00,42.00,42.00,36.65,36.80,36.75,37.38,508832326,190198.13,-,270162234,53.09
NHPC,EQ,02-Sep-2009,36.75,36.45,37.60,35.75,36.35,36.35,36.76,93326373,34304.95,-,42247261,45.27
NHPC,EQ,03-Sep-2009,36.35,36.50,37.20,36.00,36.10,36.10,36.37,56420302,20520.27,-,28628071,50.74
NHPC,EQ,04-Sep-2009,36.10,36.75,36.75,34.30,35.30,35.25,35.18,85231353,29980.98,-,37520051,44.02
NHPC,EQ,07-Sep-2009,35.25,35.45,35.75,34.50,34.55,34.60,34.76,57610114,20025.39,-,30205262,52.43
NHPC,EQ,08-Sep-2009,34.60,34.70,35.95,34.50,35.30,35.20,35.28,56325197,19872.50,-,19779386,35.12
NHPC,EQ,09-Sep-2009,35.20,35.30,35.50,34.50,34.60,34.55,34.80,33977137,11823.93,-,16824221,49.52
NHPC,EQ,10-Sep-2009,34.55,34.95,35.05,33.90,33.95,33.95,34.22,44808247,15333.76,-,23746781,53.00
NHPC,EQ,11-Sep-2009,33.95,34.00,34.35,33.20,33.35,33.40,33.65,31195662,10496.93,-,12921620,41.42
NHPC,EQ,14-Sep-2009,33.40,33.50,34.40,33.05,33.95,33.80,33.83,32593128,11027.60,-,7768540,23.83
NHPC,EQ,15-Sep-2009,33.80,34.10,34.25,33.85,34.00,33.95,34.03,11042637,3758.27,-,5188416,46.99
NHPC,EQ,16-Sep-2009,33.95,34.10,36.45,34.00,36.20,36.15,35.57,79382879,28233.58,-,27470180,34.60
NHPC,EQ,17-Sep-2009,36.15,36.50,36.70,35.50,35.55,35.70,35.90,32776776,11767.99,-,11997401,36.60
NHPC,EQ,18-Sep-2009,35.70,35.65,36.00,34.90,35.40,35.70,35.37,25061773,8863.16,-,8543776,34.09
NHPC,EQ,22-Sep-2009,35.70,35.70,35.80,35.00,35.00,35.05,35.23,15424285,5433.30,-,6821959,44.23
NHPC,EQ,23-Sep-2009,35.05,35.20,35.30,34.60,34.75,34.70,34.92,16347922,5709.25,-,7862696,48.10
NHPC,EQ,24-Sep-2009,34.70,34.30,35.00,33.70,34.70,34.60,34.58,16389003,5666.50,-,7187390,43.85
NHPC,EQ,25-Sep-2009,34.60,34.60,35.10,34.30,34.85,34.70,34.83,11338529,3948.73,-,5394670,47.58
NHPC,EQ,29-Sep-2009,34.70,34.95,35.15,34.40,34.55,34.60,34.69,14113806,4896.46,-,6575943,46.59
NHPC,EQ,30-Sep-2009,34.60,34.45,34.95,34.40,34.50,34.50,34.65,9094662,3151.08,-,4020817,44.21
NHPC,EQ,01-Oct-2009,34.50,34.60,34.85,34.30,34.30,34.45,34.54,16395692,5663.05,-,8280721,50.51
NHPC,EQ,05-Oct-2009,34.45,34.40,34.50,33.90,34.10,33.95,34.13,10544867,3599.41,-,5741030,54.44
NHPC,EQ,06-Oct-2009,33.95,34.00,34.40,33.15,33.35,33.40,33.47,13396479,4483.28,-,6872257,51.30
NHPC,EQ,07-Oct-2009,33.40,33.50,34.00,33.35,33.40,33.45,33.66,9309948,3134.09,-,4173662,44.83
NHPC,EQ,08-Oct-2009,33.45,34.50,34.50,33.25,33.30,33.35,33.41,14917606,4984.70,-,7437325,49.86
NHPC,EQ,09-Oct-2009,33.35,33.50,33.60,33.00,33.05,33.05,33.23,10908306,3625.36,-,5974978,54.77
NHPC,EQ,12-Oct-2009,33.05,33.00,33.40,32.90,32.90,33.00,33.07,11466808,3792.00,-,6080367,53.03
NHPC,EQ,14-Oct-2009,33.00,33.25,33.40,32.75,32.85,32.80,32.97,11077149,3651.83,-,5474035,49.42
NHPC,EQ,15-Oct-2009,32.80,33.05,34.00,32.45,33.55,33.50,33.40,23397758,7814.94,-,7820854,33.43
NHPC,EQ,16-Oct-2009,33.50,33.50,33.85,33.30,33.45,33.40,33.56,6664251,2236.76,-,2434345,36.53
NHPC,EQ,17-Oct-2009,33.40,35.00,35.00,33.60,33.85,33.90,33.88,5894751,1997.35,-,3212018,54.49
NHPC,EQ,20-Oct-2009,33.90,34.00,34.35,32.75,32.95,32.85,33.25,14404129,4789.30,-,8518490,59.14
NHPC,EQ,21-Oct-2009,32.85,33.00,33.15,32.60,32.65,32.60,32.82,8934595,2931.89,-,4693367,52.53
NHPC,EQ,22-Oct-2009,32.60,32.60,33.05,32.50,32.70,32.75,32.70,9238237,3020.82,-,3996967,43.27
NHPC,EQ,23-Oct-2009,32.75,33.00,33.15,32.40,32.50,32.45,32.55,12777644,4159.58,-,6716177,52.56
NHPC,EQ,26-Oct-2009,32.45,32.50,32.70,32.00,32.05,32.05,32.24,11613260,3743.78,-,5915341,50.94
NHPC,EQ,27-Oct-2009,32.05,32.00,32.10,31.55,31.80,31.70,31.81,17299675,5503.78,-,11006113,63.62
NHPC,EQ,28-Oct-2009,31.70,31.90,31.90,30.60,31.20,30.90,31.23,15714207,4907.84,-,8571697,54.55
NHPC,EQ,29-Oct-2009,30.90,30.80,31.45,30.50,30.65,30.75,30.93,10764613,3329.47,-,3985857,37.03
NHPC,EQ,30-Oct-2009,30.75,31.10,31.40,30.35,30.50,30.50,30.87,9977015,3079.53,-,4300326,43.10
NHPC,EQ,03-Nov-2009,30.50,30.00,31.05,29.95,30.15,30.05,30.28,16975407,5139.72,-,9829230,57.90
NHPC,EQ,04-Nov-2009,30.05,29.40,30.60,29.40,30.10,30.10,30.09,7741748,2329.49,-,3490959,45.09
NHPC,EQ,05-Nov-2009,30.10,30.00,31.05,30.00,30.80,30.75,30.53,14167392,4325.13,-,4518583,31.89
NHPC,EQ,06-Nov-2009,30.75,31.05,33.25,31.00,33.10,32.60,32.62,30139844,9832.30,-,11157521,37.02
NHPC,EQ,09-Nov-2009,32.60,32.80,33.50,32.45,32.75,32.80,32.85,8474775,2783.77,-,3117436,36.78
