Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
OMAXAUTO,EQ,02-Jan-2006,154.05,153.20,154.90,151.40,151.80,151.85,152.67,15731,24.02,-,10243,65.11
OMAXAUTO,EQ,03-Jan-2006,151.85,152.10,153.80,151.00,153.00,152.05,152.40,23197,35.35,-,16999,73.28
OMAXAUTO,EQ,04-Jan-2006,152.05,152.35,157.70,150.00,157.00,156.05,155.03,74634,115.71,-,57023,76.40
OMAXAUTO,EQ,05-Jan-2006,156.05,155.20,161.75,155.20,158.05,160.05,159.20,139650,222.33,-,68120,48.78
OMAXAUTO,EQ,06-Jan-2006,160.05,160.00,163.90,158.30,162.25,163.05,161.36,140957,227.45,-,87293,61.93
OMAXAUTO,EQ,09-Jan-2006,163.05,163.80,171.60,158.50,165.30,166.35,166.43,198424,330.25,-,70019,35.29
OMAXAUTO,EQ,10-Jan-2006,166.35,169.00,169.00,159.40,161.00,161.05,164.05,44927,73.70,-,24957,55.55
OMAXAUTO,EQ,12-Jan-2006,161.05,158.00,163.55,158.00,162.50,162.40,161.06,36036,58.04,-,23232,64.47
OMAXAUTO,EQ,13-Jan-2006,162.40,164.30,165.85,163.00,165.50,164.35,164.11,25453,41.77,-,18388,72.24
OMAXAUTO,EQ,16-Jan-2006,164.35,168.85,168.85,160.10,160.20,160.55,161.98,19417,31.45,-,15381,79.21
OMAXAUTO,EQ,17-Jan-2006,160.55,163.30,163.30,158.10,159.00,159.55,159.97,26775,42.83,-,17445,65.15
OMAXAUTO,EQ,18-Jan-2006,159.55,155.50,162.40,153.50,161.10,159.20,157.19,27626,43.43,-,16845,60.98
OMAXAUTO,EQ,19-Jan-2006,159.20,161.00,163.00,156.00,160.90,157.90,159.34,17162,27.35,-,12205,71.12
