Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PAPERPROD,EQ,02-Jan-2006,305.95,305.00,307.75,299.00,300.00,299.95,303.43,1995,6.05,-,1834,91.93
PAPERPROD,EQ,03-Jan-2006,299.95,304.00,305.50,301.50,303.40,304.30,304.56,2824,8.60,-,2566,90.86
PAPERPROD,EQ,04-Jan-2006,304.30,303.50,314.75,303.00,305.00,307.85,307.02,6143,18.86,-,6113,99.51
PAPERPROD,EQ,05-Jan-2006,307.85,306.00,311.00,303.00,309.90,306.05,306.18,2380,7.29,-,1940,81.51
PAPERPROD,EQ,06-Jan-2006,306.05,310.00,313.90,307.00,313.00,312.95,310.25,1102,3.42,-,924,83.85
PAPERPROD,EQ,09-Jan-2006,312.95,315.75,318.70,305.00,316.00,314.35,311.82,4463,13.92,-,2705,60.61
PAPERPROD,EQ,10-Jan-2006,314.35,315.00,316.00,308.00,310.00,310.05,311.13,3568,11.10,-,3175,88.99
PAPERPROD,EQ,12-Jan-2006,310.05,310.00,338.90,306.05,335.00,332.10,325.22,13058,42.47,-,9294,71.17
PAPERPROD,EQ,13-Jan-2006,332.10,344.90,348.00,335.05,339.00,340.20,342.36,11591,39.68,-,9054,78.11
PAPERPROD,EQ,16-Jan-2006,340.20,348.00,348.00,335.00,337.10,340.25,342.11,3018,10.32,-,2479,82.14
PAPERPROD,EQ,17-Jan-2006,340.25,348.00,348.00,321.05,323.10,324.05,331.01,4380,14.50,-,2478,56.58
PAPERPROD,EQ,18-Jan-2006,324.05,320.00,327.95,311.15,311.15,314.30,317.92,2441,7.76,-,2040,83.57
PAPERPROD,EQ,19-Jan-2006,314.30,328.95,340.00,322.00,336.00,337.35,334.09,4631,15.47,-,2217,47.87
PAPERPROD,EQ,20-Jan-2006,337.35,339.90,339.90,335.00,337.50,336.20,338.00,1224,4.14,-,1164,95.10
PAPERPROD,EQ,23-Jan-2006,336.20,330.00,339.70,330.00,337.75,335.85,336.34,1234,4.15,-,1074,87.03
PAPERPROD,EQ,24-Jan-2006,335.85,337.00,343.00,332.55,335.00,335.00,335.80,1525,5.12,-,1395,91.48
PAPERPROD,EQ,25-Jan-2006,335.00,332.05,334.00,330.00,330.00,331.65,332.28,772,2.57,-,542,70.21
PAPERPROD,EQ,27-Jan-2006,331.65,330.00,336.80,324.00,330.95,326.20,328.71,1253,4.12,-,882,70.39
