Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PCJEWELLER,EQ,27-Dec-2012,135.00,137.00,154.70,137.00,148.80,149.20,147.51,64704244,95444.72,416319,14154594,21.88
PCJEWELLER,EQ,28-Dec-2012,149.20,149.80,154.30,145.35,146.15,147.00,150.64,7404951,11154.89,78434,1839637,24.84
PCJEWELLER,EQ,31-Dec-2012,147.00,146.85,153.30,145.00,149.50,149.70,150.54,4191294,6309.42,44023,784600,18.72
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PCJEWELLER,EQ,01-Jan-2013,149.70,151.60,167.90,150.55,165.00,165.30,161.59,11643648,18815.43,88098,1589370,13.65
PCJEWELLER,EQ,02-Jan-2013,165.30,166.10,179.25,165.60,174.95,175.40,174.21,14167769,24681.25,138207,1947136,13.74
PCJEWELLER,EQ,03-Jan-2013,175.40,176.90,184.80,175.00,184.00,183.55,181.66,8413831,15284.35,82527,1582971,18.81
PCJEWELLER,EQ,04-Jan-2013,183.55,185.00,189.40,182.80,188.90,187.75,187.39,6249945,11712.08,63690,1260791,20.17
PCJEWELLER,EQ,07-Jan-2013,187.75,189.00,194.90,180.50,182.45,181.65,187.44,6195063,11611.83,69039,1405405,22.69
PCJEWELLER,EQ,08-Jan-2013,181.65,182.75,186.35,176.10,177.35,177.50,180.03,5276315,9498.78,74843,936120,17.74
PCJEWELLER,EQ,09-Jan-2013,177.50,178.90,180.40,174.30,175.35,175.55,176.81,3435105,6073.55,36064,620929,18.08
PCJEWELLER,EQ,10-Jan-2013,175.55,176.70,177.80,165.10,165.35,166.10,170.15,3318657,5646.70,47532,976355,29.42
PCJEWELLER,EQ,11-Jan-2013,166.10,167.00,167.00,154.50,155.00,155.80,161.08,5019058,8084.73,49496,1409447,28.08
PCJEWELLER,EQ,14-Jan-2013,155.80,156.00,173.65,155.70,172.50,172.20,166.95,6682339,11155.97,68475,1666617,24.94
PCJEWELLER,EQ,15-Jan-2013,172.20,173.75,176.40,166.45,168.85,168.90,170.94,3849468,6580.27,43233,724181,18.81
PCJEWELLER,EQ,16-Jan-2013,168.90,168.10,169.40,162.70,164.20,163.90,165.01,1672324,2759.44,22222,488221,29.19
PCJEWELLER,EQ,17-Jan-2013,163.90,165.50,167.65,162.55,164.75,164.70,165.08,1771512,2924.50,18169,452788,25.56
PCJEWELLER,EQ,18-Jan-2013,164.70,166.20,166.20,160.65,161.60,161.75,163.14,1015655,1656.94,13221,292824,28.83
PCJEWELLER,EQ,21-Jan-2013,161.75,162.05,164.50,159.10,160.15,160.60,161.23,1080410,1741.97,13267,314192,29.08
PCJEWELLER,EQ,22-Jan-2013,160.60,160.30,160.95,155.25,156.05,155.90,157.57,1325478,2088.53,22278,478290,36.08
PCJEWELLER,EQ,23-Jan-2013,155.90,157.00,162.80,155.15,162.25,161.40,160.45,2620756,4204.93,28629,611742,23.34
PCJEWELLER,EQ,24-Jan-2013,161.40,162.65,162.65,153.20,153.60,153.95,156.19,1416196,2211.95,15673,487286,34.41
PCJEWELLER,EQ,25-Jan-2013,153.95,154.05,159.20,152.45,157.25,157.55,156.54,1095181,1714.38,10721,460457,42.04
PCJEWELLER,EQ,28-Jan-2013,157.55,158.75,166.50,157.00,162.30,162.00,162.81,1719119,2798.85,25628,419079,24.38
PCJEWELLER,EQ,29-Jan-2013,162.00,162.50,164.45,159.00,161.60,161.95,162.08,862252,1397.51,10241,319007,37.00
PCJEWELLER,EQ,30-Jan-2013,161.95,161.80,162.85,156.75,158.25,158.00,159.26,528990,842.46,9941,198758,37.57
PCJEWELLER,EQ,31-Jan-2013,158.00,158.50,161.30,156.50,160.95,160.45,159.37,556066,886.18,11581,240531,43.26
PCJEWELLER,EQ,01-Feb-2013,160.45,162.00,165.35,158.40,159.65,159.80,162.27,832214,1350.47,12635,254913,30.63
PCJEWELLER,EQ,04-Feb-2013,159.80,160.35,161.75,155.20,156.45,156.00,158.20,473402,748.92,6181,162160,34.25
PCJEWELLER,EQ,05-Feb-2013,156.00,155.10,157.60,150.40,153.00,152.55,153.59,908123,1394.79,10968,288455,31.76
PCJEWELLER,EQ,06-Feb-2013,152.55,154.25,154.50,140.30,141.90,142.00,146.49,2118017,3102.73,22575,870316,41.09
PCJEWELLER,EQ,07-Feb-2013,142.00,142.75,143.95,134.05,143.10,142.40,141.03,4122032,5813.27,51689,918911,22.29
PCJEWELLER,EQ,08-Feb-2013,142.40,143.15,143.65,138.10,140.00,139.95,140.26,820721,1151.14,13420,228453,27.84
PCJEWELLER,EQ,11-Feb-2013,139.95,137.60,141.70,118.60,123.10,124.20,126.21,4665250,5887.91,54777,1063733,22.80
PCJEWELLER,EQ,12-Feb-2013,124.20,122.10,133.00,122.10,132.00,131.95,129.43,2798987,3622.74,35360,475125,16.97
PCJEWELLER,EQ,13-Feb-2013,131.95,132.80,141.85,132.80,141.50,140.35,138.12,2279659,3148.77,26606,497757,21.83
PCJEWELLER,EQ,14-Feb-2013,140.35,141.95,141.95,136.50,140.50,140.35,138.66,1188897,1648.55,12893,266999,22.46
PCJEWELLER,EQ,15-Feb-2013,140.35,142.80,142.80,137.10,138.90,139.80,139.02,625544,869.64,8292,197628,31.59
PCJEWELLER,EQ,18-Feb-2013,139.80,139.60,142.80,138.00,139.55,139.85,140.53,615389,864.81,8856,122163,19.85
PCJEWELLER,EQ,19-Feb-2013,139.85,139.95,142.40,138.25,140.90,141.35,140.82,514885,725.08,6468,120049,23.32
PCJEWELLER,EQ,20-Feb-2013,141.35,142.35,143.40,141.00,141.00,141.85,142.05,557081,791.32,6150,168353,30.22
PCJEWELLER,EQ,21-Feb-2013,141.85,139.90,140.65,136.25,137.70,137.30,137.88,716250,987.57,8531,253168,35.35
PCJEWELLER,EQ,22-Feb-2013,137.30,137.30,141.90,136.20,141.50,141.05,139.83,582787,814.92,8982,208920,35.85
PCJEWELLER,EQ,25-Feb-2013,141.05,141.80,142.75,130.25,133.35,133.55,135.00,917895,1239.18,13250,360956,39.32
PCJEWELLER,EQ,26-Feb-2013,133.55,133.30,133.35,122.00,124.00,124.70,126.21,1048080,1322.78,25793,271248,25.88
PCJEWELLER,EQ,27-Feb-2013,124.70,126.25,128.50,115.85,126.70,126.05,123.59,755366,933.58,15178,124803,16.52
PCJEWELLER,EQ,28-Feb-2013,126.05,127.95,127.95,114.50,115.40,115.50,119.99,1974449,2369.13,28111,647488,32.79
PCJEWELLER,EQ,01-Mar-2013,115.50,115.40,118.30,106.50,113.00,108.90,111.74,1225883,1369.74,24300,453451,36.99
PCJEWELLER,EQ,04-Mar-2013,108.90,109.20,112.95,105.10,108.60,108.30,108.52,942382,1022.65,17796,422315,44.81
PCJEWELLER,EQ,05-Mar-2013,108.30,109.95,125.95,108.35,121.30,121.10,119.93,3280721,3934.72,42239,583752,17.79
PCJEWELLER,EQ,06-Mar-2013,121.10,122.60,134.50,121.75,131.00,131.75,128.33,3669068,4708.64,48340,454836,12.40
