Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PDPL,EQ,19-Aug-2010,255.65,260.10,264.35,247.05,247.15,249.25,255.98,20673,52.92,-,1612,7.80
PDPL,EQ,20-Aug-2010,249.25,251.00,259.75,251.00,255.85,254.60,256.08,537,1.38,-,273,50.84
PDPL,EQ,23-Aug-2010,254.60,243.05,254.30,243.05,252.80,253.10,247.53,1900,4.70,-,897,47.21
PDPL,EQ,24-Aug-2010,253.10,245.00,270.00,240.25,250.80,245.40,252.55,5091,12.86,-,1001,19.66
PDPL,EQ,25-Aug-2010,245.40,241.20,247.00,241.00,247.00,245.95,244.36,155,0.38,-,105,67.74
PDPL,EQ,26-Aug-2010,245.95,247.75,259.75,247.75,257.30,254.35,251.09,23286,58.47,-,18697,80.29
PDPL,EQ,27-Aug-2010,254.35,241.55,279.80,241.55,273.75,271.10,274.14,18309,50.19,-,10785,58.91
PDPL,EQ,30-Aug-2010,271.10,280.00,298.00,275.00,278.15,278.60,284.48,23055,65.59,-,8772,38.05
PDPL,EQ,31-Aug-2010,278.60,281.00,288.00,275.30,281.10,281.50,280.64,22112,62.05,-,15609,70.59
PDPL,EQ,01-Sep-2010,281.50,284.00,290.00,282.00,283.70,284.00,287.63,21260,61.15,-,14141,66.51
PDPL,EQ,02-Sep-2010,284.00,289.85,289.85,278.35,278.60,281.15,284.05,10910,30.99,-,4042,37.05
PDPL,EQ,03-Sep-2010,281.15,282.00,288.90,270.00,286.00,285.80,278.70,20748,57.83,-,9843,47.44
PDPL,EQ,06-Sep-2010,285.80,287.00,292.00,285.00,290.05,290.50,289.18,12056,34.86,-,4422,36.68
PDPL,EQ,07-Sep-2010,290.50,297.85,315.00,287.00,314.00,311.20,303.16,33433,101.36,-,14334,42.87
PDPL,EQ,08-Sep-2010,311.20,302.00,324.00,302.00,313.25,314.55,317.21,52858,167.67,-,28786,54.46
PDPL,EQ,09-Sep-2010,314.55,319.25,324.00,308.00,312.00,312.50,315.99,20142,63.65,-,10240,50.84
PDPL,EQ,13-Sep-2010,312.50,245.00,255.00,232.50,238.10,240.60,241.11,26475,63.83,-,8700,32.86
PDPL,EQ,14-Sep-2010,240.60,244.00,249.90,234.00,236.45,234.45,240.73,12373,29.79,-,3438,27.79
PDPL,EQ,15-Sep-2010,234.45,243.00,244.90,231.50,234.00,234.20,237.22,27388,64.97,-,3233,11.80
PDPL,EQ,16-Sep-2010,234.20,238.00,239.55,226.50,230.50,230.85,234.19,10643,24.92,-,3216,30.22
PDPL,EQ,17-Sep-2010,230.85,239.40,239.40,227.05,231.00,229.30,230.15,10784,24.82,-,4001,37.10
PDPL,EQ,20-Sep-2010,229.30,239.00,239.00,217.15,222.70,220.10,223.30,15251,34.06,-,3208,21.03
PDPL,EQ,21-Sep-2010,220.10,220.00,225.00,217.25,220.25,220.90,219.73,10904,23.96,-,4411,40.45
PDPL,EQ,22-Sep-2010,220.90,219.00,223.00,217.05,221.70,221.70,220.85,8124,17.94,-,2049,25.22
PDPL,EQ,23-Sep-2010,221.70,219.50,228.00,219.50,226.00,224.40,223.36,13361,29.84,-,6649,49.76
