Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PGHH,EQ,02-Jan-2006,852.75,852.75,855.00,850.00,852.00,850.05,851.19,1593,13.56,-,1571,98.62
PGHH,EQ,03-Jan-2006,850.05,835.05,859.00,835.00,847.60,849.80,847.87,1402,11.89,-,1169,83.38
PGHH,EQ,04-Jan-2006,849.80,843.05,865.00,843.05,860.50,858.05,854.12,4282,36.57,-,3861,90.17
PGHH,EQ,05-Jan-2006,858.05,851.00,881.00,850.00,880.00,878.90,868.33,3695,32.08,-,3177,85.98
PGHH,EQ,06-Jan-2006,878.90,845.00,891.00,845.00,885.00,884.95,882.61,2021,17.84,-,1607,79.52
PGHH,EQ,09-Jan-2006,884.95,886.00,894.90,853.00,874.80,870.30,870.13,1680,14.62,-,1472,87.62
PGHH,EQ,10-Jan-2006,870.30,870.00,871.00,857.00,871.00,867.05,865.44,856,7.41,-,498,58.18
PGHH,EQ,12-Jan-2006,867.05,860.25,870.90,860.00,860.00,861.85,869.37,2732,23.75,-,2649,96.96
PGHH,EQ,13-Jan-2006,861.85,855.00,881.00,855.00,870.05,878.30,875.93,3569,31.26,-,3066,85.91
PGHH,EQ,16-Jan-2006,878.30,878.80,885.00,856.55,885.00,877.45,875.23,3337,29.21,-,2459,73.69
PGHH,EQ,17-Jan-2006,877.45,880.05,880.05,853.00,853.00,864.10,862.65,1786,15.41,-,1064,59.57
PGHH,EQ,18-Jan-2006,864.10,864.00,864.00,840.00,862.00,860.80,853.32,2195,18.73,-,1595,72.67
PGHH,EQ,19-Jan-2006,860.80,862.10,862.10,828.00,844.50,843.95,848.30,816,6.92,-,635,77.82
PGHH,EQ,20-Jan-2006,843.95,859.00,870.00,855.00,860.00,859.10,863.14,1225,10.57,-,1083,88.41
PGHH,EQ,23-Jan-2006,859.10,849.50,863.95,849.50,860.05,860.35,856.74,579,4.96,-,520,89.81
PGHH,EQ,24-Jan-2006,860.35,858.00,864.95,850.00,850.05,853.05,858.88,879,7.55,-,588,66.89
PGHH,EQ,25-Jan-2006,853.05,859.95,1023.65,855.05,899.75,894.00,868.60,9311,80.87,-,7867,84.49
PGHH,EQ,27-Jan-2006,894.00,880.10,920.00,880.10,914.45,907.85,906.51,5274,47.81,-,3169,60.09
PGHH,EQ,30-Jan-2006,907.85,915.00,928.00,899.00,925.00,919.25,913.08,4855,44.33,-,4036,83.13
PGHH,EQ,31-Jan-2006,919.25,910.10,930.00,876.80,930.00,919.15,911.91,6089,55.53,-,5256,86.32
PGHH,EQ,01-Feb-2006,919.15,910.00,922.70,905.00,907.50,908.55,909.72,1518,13.81,-,1216,80.11
PGHH,EQ,02-Feb-2006,908.55,902.55,937.00,901.00,937.00,931.35,920.58,4143,38.14,-,3706,89.45
PGHH,EQ,03-Feb-2006,931.35,932.00,936.75,911.25,920.00,926.90,924.81,1011,9.35,-,704,69.63
PGHH,EQ,06-Feb-2006,926.90,965.00,965.00,925.00,934.00,934.00,938.17,1281,12.02,-,820,64.01
PGHH,EQ,07-Feb-2006,934.00,930.00,931.20,915.00,921.00,921.20,923.10,1789,16.51,-,1396,78.03
PGHH,EQ,08-Feb-2006,921.20,939.45,939.45,903.00,903.00,904.80,913.25,3191,29.14,-,859,26.92
PGHH,EQ,10-Feb-2006,904.80,920.00,930.00,905.05,915.00,915.00,918.28,988,9.07,-,844,85.43
PGHH,EQ,13-Feb-2006,915.00,900.00,948.00,900.00,948.00,938.60,926.51,1895,17.56,-,1527,80.58
PGHH,EQ,14-Feb-2006,938.60,911.65,954.95,911.00,931.00,931.15,934.40,2427,22.68,-,1617,66.63
PGHH,EQ,15-Feb-2006,931.15,906.25,961.95,906.25,940.00,931.15,934.65,6704,62.66,-,5278,78.73
PGHH,EQ,16-Feb-2006,931.15,950.00,951.15,932.00,938.00,941.10,940.89,2926,27.53,-,2231,76.25
PGHH,EQ,17-Feb-2006,941.10,933.35,939.70,928.00,936.00,931.50,932.65,24424,227.79,-,24242,99.25
PGHH,EQ,20-Feb-2006,931.50,931.00,931.00,899.95,924.00,920.80,912.44,1146,10.46,-,764,66.67
PGHH,EQ,21-Feb-2006,920.80,892.00,965.00,890.00,890.00,897.25,909.59,7529,68.48,-,1306,17.35
PGHH,EQ,22-Feb-2006,897.25,914.00,914.00,891.50,901.05,901.75,905.98,3766,34.12,-,2067,54.89
PGHH,EQ,23-Feb-2006,901.75,905.00,927.90,895.65,923.75,919.95,919.66,52993,487.36,-,51825,97.80
PGHH,EQ,24-Feb-2006,919.95,900.50,931.65,900.50,913.65,929.65,918.78,35543,326.56,-,35260,99.20
PGHH,EQ,27-Feb-2006,929.65,920.00,963.00,886.60,913.50,909.30,918.93,10783,99.09,-,475,4.41
PGHH,EQ,28-Feb-2006,909.30,944.00,944.00,903.00,919.00,906.85,907.68,1106,10.04,-,925,83.63
PGHH,EQ,01-Mar-2006,906.85,948.00,960.00,916.00,930.05,931.95,929.90,40901,380.34,-,40767,99.67
PGHH,EQ,02-Mar-2006,931.95,950.00,980.00,921.05,960.05,965.05,959.85,12150,116.62,-,10935,90.00
PGHH,EQ,03-Mar-2006,965.05,945.30,974.95,945.30,950.00,955.05,962.88,1439,13.86,-,986,68.52
PGHH,EQ,06-Mar-2006,955.05,960.00,980.00,945.00,965.00,966.20,963.15,5497,52.94,-,4187,76.17
PGHH,EQ,07-Mar-2006,966.20,960.00,975.00,950.00,966.00,968.05,966.07,514,4.97,-,398,77.43
PGHH,EQ,08-Mar-2006,968.05,955.25,975.00,951.50,975.00,961.60,966.19,1472,14.22,-,1236,83.97
PGHH,EQ,09-Mar-2006,961.60,933.05,968.00,933.05,968.00,962.10,957.19,1271,12.17,-,1029,80.96
PGHH,EQ,10-Mar-2006,962.10,968.00,979.50,962.00,965.00,969.15,968.26,1034,10.01,-,754,72.92
PGHH,EQ,13-Mar-2006,969.15,1029.95,1029.95,963.50,965.20,967.65,976.45,3933,38.40,-,1687,42.89
PGHH,EQ,14-Mar-2006,967.65,1000.00,1000.00,955.30,980.00,978.35,975.51,10073,98.26,-,7509,74.55
PGHH,EQ,16-Mar-2006,978.35,998.95,998.95,952.05,954.00,961.75,968.79,1107,10.72,-,743,67.12
PGHH,EQ,17-Mar-2006,961.75,964.90,975.00,951.00,956.70,962.00,962.52,1689,16.26,-,423,25.04
PGHH,EQ,20-Mar-2006,962.00,955.75,962.80,954.00,954.00,954.75,959.69,12133,116.44,-,8473,69.83
PGHH,EQ,21-Mar-2006,954.75,950.00,965.00,941.00,961.00,962.00,956.59,2231,21.34,-,1836,82.29
PGHH,EQ,22-Mar-2006,962.00,947.00,980.05,945.05,980.00,974.75,970.43,16286,158.04,-,15941,97.88
PGHH,EQ,23-Mar-2006,974.75,957.00,980.00,957.00,960.00,961.35,970.83,1146,11.13,-,811,70.77
PGHH,EQ,24-Mar-2006,961.35,960.00,974.90,960.00,961.25,962.45,963.88,475,4.58,-,285,60.00
PGHH,EQ,27-Mar-2006,962.45,955.10,970.00,935.00,970.00,967.50,963.17,741,7.14,-,652,87.99
PGHH,EQ,28-Mar-2006,967.50,970.00,978.00,954.00,970.00,965.50,968.71,3742,36.25,-,3646,97.43
PGHH,EQ,29-Mar-2006,965.50,979.80,1003.00,960.00,1000.00,995.75,990.56,4834,47.88,-,4570,94.54
PGHH,EQ,30-Mar-2006,995.75,999.00,1010.00,980.00,1000.00,999.65,995.32,1677,16.69,-,1170,69.77
PGHH,EQ,31-Mar-2006,999.65,993.00,1174.95,971.00,1075.00,1109.50,999.19,72851,727.92,-,69417,95.29
PGHH,EQ,03-Apr-2006,1109.50,1090.10,1129.00,1079.35,1092.25,1097.90,1102.20,2258,24.89,-,1424,63.06
PGHH,EQ,04-Apr-2006,1097.90,1182.40,1182.40,1062.70,1065.00,1069.60,1092.57,3671,40.11,-,2486,67.72
PGHH,EQ,05-Apr-2006,1069.60,1145.00,1145.00,1065.00,1066.50,1069.05,1080.44,2100,22.69,-,1692,80.57
PGHH,EQ,07-Apr-2006,1069.05,1069.05,1100.00,1030.00,1050.00,1038.85,1062.82,1779,18.91,-,1294,72.74
PGHH,EQ,10-Apr-2006,1038.85,1050.00,1080.60,1033.25,1033.25,1037.05,1044.15,1034,10.80,-,619,59.86
PGHH,EQ,12-Apr-2006,1037.05,1037.00,1069.00,906.80,970.00,970.75,1003.16,2784,27.93,-,1921,69.00
PGHH,EQ,13-Apr-2006,970.75,997.00,1019.95,980.00,1010.00,1002.35,1003.25,1441,14.46,-,594,41.22
PGHH,EQ,17-Apr-2006,1002.35,1000.00,1025.00,990.00,994.90,992.05,1003.00,1354,13.58,-,1045,77.18
PGHH,EQ,18-Apr-2006,992.05,996.70,1024.00,995.10,1001.00,1002.10,1009.01,32333,326.24,-,32074,99.20
PGHH,EQ,19-Apr-2006,1002.10,1024.95,1024.95,980.00,997.80,987.55,1005.40,3630,36.50,-,3174,87.44
PGHH,EQ,20-Apr-2006,987.55,995.60,995.60,950.00,980.00,980.60,977.44,12105,118.32,-,9726,80.35
PGHH,EQ,21-Apr-2006,980.60,980.00,999.85,961.25,962.00,966.55,974.31,2603,25.36,-,1147,44.06
PGHH,EQ,24-Apr-2006,966.55,970.10,989.70,950.00,964.70,955.20,961.31,4554,43.78,-,4066,89.28
PGHH,EQ,25-Apr-2006,955.20,960.00,969.60,947.00,960.50,956.55,958.59,665,6.37,-,469,70.53
PGHH,EQ,26-Apr-2006,956.55,940.05,988.00,940.05,967.00,965.25,977.89,9510,93.00,-,8271,86.97
PGHH,EQ,27-Apr-2006,965.25,989.00,989.00,965.00,980.00,978.75,977.29,4999,48.85,-,4554,91.10
PGHH,EQ,28-Apr-2006,978.75,974.00,980.00,951.00,980.00,978.95,975.82,755,7.37,-,645,85.43
PGHH,EQ,29-Apr-2006,978.95,987.00,1025.10,981.00,1015.05,1009.60,1001.76,1014,10.16,-,949,93.59
PGHH,EQ,02-May-2006,1009.60,1020.00,1021.00,972.50,975.00,978.00,987.10,3021,29.82,-,2447,81.00
PGHH,EQ,03-May-2006,978.00,990.00,991.00,965.00,975.00,976.80,976.42,24369,237.94,-,23913,98.13
PGHH,EQ,04-May-2006,976.80,977.00,998.00,965.00,979.90,979.55,970.05,126790,1229.93,-,126139,99.49
PGHH,EQ,05-May-2006,979.55,979.00,979.00,956.15,967.00,964.40,966.73,2040,19.72,-,1215,59.56
PGHH,EQ,08-May-2006,964.40,956.25,985.00,956.00,956.10,958.65,967.67,1641,15.88,-,1328,80.93
PGHH,EQ,09-May-2006,958.65,960.00,980.00,958.00,977.50,975.90,968.39,1939,18.78,-,1391,71.74
PGHH,EQ,10-May-2006,975.90,960.00,984.00,958.00,962.35,965.60,968.70,570,5.52,-,395,69.30
PGHH,EQ,11-May-2006,965.60,955.25,984.00,955.25,966.00,966.85,971.08,571,5.54,-,332,58.14
PGHH,EQ,12-May-2006,966.85,960.05,974.00,960.05,973.70,972.65,967.36,815,7.88,-,668,81.96
PGHH,EQ,15-May-2006,972.65,973.00,975.00,940.00,940.00,942.30,954.87,22403,213.92,-,22242,99.28
PGHH,EQ,16-May-2006,942.30,994.95,994.95,860.00,930.00,924.70,919.90,2287,21.04,-,1227,53.65
PGHH,EQ,17-May-2006,924.70,950.00,970.00,931.00,970.00,964.35,953.11,752,7.17,-,564,75.00
PGHH,EQ,18-May-2006,964.35,922.50,969.90,922.50,953.00,930.40,930.54,39076,363.62,-,38833,99.38
PGHH,EQ,19-May-2006,930.40,940.00,960.00,875.00,955.00,939.90,922.87,3057,28.21,-,2791,91.30
PGHH,EQ,22-May-2006,939.90,941.00,941.00,840.00,850.00,854.10,868.61,1672,14.52,-,1207,72.19
PGHH,EQ,23-May-2006,854.10,856.00,921.00,844.00,920.00,907.60,870.39,12879,112.10,-,12388,96.19
PGHH,EQ,24-May-2006,907.60,921.00,921.00,871.40,902.00,885.95,898.95,782,7.03,-,731,93.48
PGHH,EQ,25-May-2006,885.95,899.90,899.90,801.00,843.70,835.75,845.47,5442,46.01,-,4985,91.60
PGHH,EQ,26-May-2006,835.75,878.00,878.00,815.10,835.20,841.10,834.30,5754,48.01,-,3784,65.76
PGHH,EQ,29-May-2006,841.10,877.00,890.00,843.00,885.00,884.85,876.95,13443,117.89,-,13026,96.90
PGHH,EQ,30-May-2006,884.85,826.00,900.00,826.00,870.00,864.15,869.83,7425,64.58,-,6431,86.61
PGHH,EQ,31-May-2006,864.15,880.00,900.00,852.05,900.00,888.45,876.18,8996,78.82,-,7658,85.13
PGHH,EQ,01-Jun-2006,888.45,900.00,900.00,835.90,835.90,839.05,847.02,1117,9.46,-,660,59.09
PGHH,EQ,02-Jun-2006,839.05,829.95,844.90,790.00,843.00,841.20,822.46,4652,38.26,-,1983,42.63
PGHH,EQ,05-Jun-2006,841.20,815.25,867.50,815.25,853.00,847.95,837.63,637,5.34,-,411,64.52
PGHH,EQ,06-Jun-2006,847.95,837.50,848.50,797.05,800.10,799.75,803.26,1209,9.71,-,883,73.04
PGHH,EQ,07-Jun-2006,799.75,825.00,825.00,730.15,770.00,767.45,760.99,7050,53.65,-,4603,65.29
PGHH,EQ,08-Jun-2006,767.45,800.00,800.00,700.10,700.10,705.70,717.46,1999,14.34,-,1586,79.34
PGHH,EQ,09-Jun-2006,705.70,694.00,730.00,694.00,706.00,708.65,708.01,3148,22.29,-,1870,59.40
PGHH,EQ,12-Jun-2006,708.65,715.10,780.00,710.00,739.00,752.25,742.99,2435,18.09,-,1419,58.28
PGHH,EQ,13-Jun-2006,752.25,715.00,770.00,710.00,762.00,756.65,729.70,5279,38.52,-,4252,80.55
PGHH,EQ,14-Jun-2006,756.65,726.50,770.00,708.00,710.00,712.85,728.55,2049,14.93,-,1220,59.54
PGHH,EQ,15-Jun-2006,712.85,780.00,780.00,726.20,759.90,746.95,750.76,630,4.73,-,528,83.81
PGHH,EQ,16-Jun-2006,746.95,775.90,799.00,751.00,762.10,777.25,779.50,2479,19.32,-,2072,83.58
PGHH,EQ,19-Jun-2006,777.25,798.00,798.00,750.00,770.00,762.15,763.12,450,3.43,-,264,58.67
PGHH,EQ,20-Jun-2006,762.15,740.00,790.00,740.00,780.00,770.15,768.78,555,4.27,-,302,54.41
PGHH,EQ,21-Jun-2006,770.15,761.45,788.25,760.00,781.00,777.00,768.20,1176,9.03,-,971,82.57
PGHH,EQ,22-Jun-2006,777.00,792.05,802.00,771.55,800.00,792.25,785.46,1098,8.62,-,887,80.78
PGHH,EQ,23-Jun-2006,792.25,798.00,810.00,780.65,806.00,798.90,789.74,2339,18.47,-,2261,96.67
PGHH,EQ,25-Jun-2006,798.90,893.45,893.45,803.30,820.00,817.95,837.78,183,1.53,-,110,60.11
PGHH,EQ,26-Jun-2006,817.95,810.25,820.00,800.10,819.90,815.45,812.19,1742,14.15,-,1334,76.58
PGHH,EQ,27-Jun-2006,815.45,803.00,825.00,802.10,805.30,811.80,810.88,547,4.44,-,415,75.87
PGHH,EQ,28-Jun-2006,811.80,782.10,810.00,782.10,800.00,803.45,802.23,1087,8.72,-,930,85.56
PGHH,EQ,29-Jun-2006,803.45,869.00,870.00,803.00,806.40,814.25,817.90,252,2.06,-,161,63.89
PGHH,EQ,30-Jun-2006,814.25,816.05,824.75,810.00,815.00,815.65,814.93,538,4.38,-,432,80.30
PGHH,EQ,03-Jul-2006,815.65,821.30,853.00,818.25,847.00,850.00,842.62,722,6.08,-,559,77.42
PGHH,EQ,04-Jul-2006,850.00,855.00,875.00,843.00,848.10,855.20,859.64,15132,130.08,-,14877,98.31
PGHH,EQ,05-Jul-2006,855.20,850.00,870.00,827.00,869.00,866.75,851.02,1696,14.43,-,558,32.90
PGHH,EQ,06-Jul-2006,866.75,831.40,874.00,831.40,863.00,860.35,863.75,896,7.74,-,724,80.80
PGHH,EQ,07-Jul-2006,860.35,880.00,892.95,860.10,860.20,862.40,868.25,1103,9.58,-,662,60.02
PGHH,EQ,10-Jul-2006,862.40,898.85,898.85,851.15,879.00,876.90,870.04,11550,100.49,-,11407,98.76
PGHH,EQ,11-Jul-2006,876.90,875.00,875.00,851.10,851.10,857.00,868.76,676,5.87,-,595,88.02
PGHH,EQ,12-Jul-2006,857.00,917.00,917.00,840.60,869.00,866.30,871.70,1450,12.64,-,1235,85.17
PGHH,EQ,13-Jul-2006,866.30,870.00,893.45,843.35,893.45,874.00,869.24,703,6.11,-,608,86.49
PGHH,EQ,14-Jul-2006,874.00,880.00,880.00,842.00,852.05,860.50,859.14,604,5.19,-,359,59.44
PGHH,EQ,17-Jul-2006,860.50,888.00,889.00,851.25,875.45,869.35,863.70,710,6.13,-,454,63.94
PGHH,EQ,18-Jul-2006,869.35,874.75,885.00,845.00,885.00,874.85,861.43,2062,17.76,-,1421,68.91
PGHH,EQ,19-Jul-2006,874.85,854.60,873.30,845.00,846.00,847.90,860.86,2091,18.00,-,1963,93.88
PGHH,EQ,20-Jul-2006,847.90,816.00,863.80,816.00,845.00,854.15,849.26,1551,13.17,-,1058,68.21
PGHH,EQ,21-Jul-2006,854.15,845.00,850.00,820.05,820.10,830.20,832.64,691,5.75,-,443,64.11
PGHH,EQ,24-Jul-2006,830.20,820.10,846.10,804.50,830.00,829.20,823.65,411,3.39,-,302,73.48
PGHH,EQ,25-Jul-2006,829.20,829.95,865.00,829.95,865.00,850.30,846.64,582,4.93,-,530,91.07
PGHH,EQ,26-Jul-2006,850.30,868.00,868.00,830.00,830.00,834.75,845.60,1742,14.73,-,1438,82.55
PGHH,EQ,27-Jul-2006,834.75,817.05,849.80,817.05,836.00,835.65,833.70,1720,14.34,-,1499,87.15
PGHH,EQ,28-Jul-2006,835.65,850.00,850.00,820.50,845.00,838.35,837.32,736,6.16,-,426,57.88
PGHH,EQ,31-Jul-2006,838.35,849.00,860.00,832.00,850.05,850.45,843.74,1325,11.18,-,936,70.64
PGHH,EQ,01-Aug-2006,850.45,836.60,848.00,835.10,835.10,838.95,841.25,356,2.99,-,272,76.40
PGHH,EQ,02-Aug-2006,838.95,839.15,875.00,839.15,874.90,864.35,855.08,1348,11.53,-,1087,80.64
PGHH,EQ,03-Aug-2006,864.35,968.10,968.10,854.15,879.00,876.40,877.08,1729,15.16,-,1280,74.03
