Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PNEUMATIC,BE,18-Sep-2015,4433.80,665.10,665.10,631.85,631.85,631.85,631.89,9845,62.21,48,-,-
PNEUMATIC,BE,21-Sep-2015,631.85,600.30,600.30,600.30,600.30,600.30,600.30,4,0.02,2,-,-
PNEUMATIC,BE,22-Sep-2015,600.30,570.30,570.30,570.30,570.30,570.30,570.30,32,0.18,4,-,-
PNEUMATIC,BE,23-Sep-2015,570.30,541.80,541.80,541.80,541.80,541.80,541.80,2,0.01,1,-,-
PNEUMATIC,BE,24-Sep-2015,541.80,514.75,514.75,514.75,514.75,514.75,514.75,15126,77.86,23,-,-
PNEUMATIC,BE,28-Sep-2015,514.75,489.05,534.90,489.05,489.05,489.05,489.10,5507,26.93,26,-,-
PNEUMATIC,BE,29-Sep-2015,489.05,464.60,470.00,464.60,464.60,464.60,467.45,2288,10.70,23,-,-
PNEUMATIC,BE,30-Sep-2015,464.60,441.40,441.40,441.40,441.40,441.40,441.40,927,4.09,5,-,-
PNEUMATIC,BE,01-Oct-2015,441.40,419.35,463.45,419.35,419.35,424.90,425.02,5809,24.69,103,-,-
PNEUMATIC,EQ,06-Oct-2015,424.90,420.25,491.00,417.20,440.00,440.00,422.71,220,0.93,15,153,69.55
PNEUMATIC,EQ,07-Oct-2015,440.00,417.50,445.00,411.00,411.10,411.10,420.10,253,1.06,17,142,56.13
PNEUMATIC,EQ,08-Oct-2015,411.10,411.10,445.00,411.10,445.00,445.00,441.63,816,3.60,23,738,90.44
PNEUMATIC,EQ,09-Oct-2015,445.00,445.00,445.00,420.00,440.00,428.55,435.80,313,1.36,25,243,77.64
PNEUMATIC,EQ,12-Oct-2015,428.55,425.05,449.95,425.00,440.00,444.95,426.74,146,0.62,23,141,96.58
PNEUMATIC,EQ,13-Oct-2015,444.95,444.85,444.90,444.85,444.90,444.85,444.88,10,0.04,2,5,50.00
PNEUMATIC,EQ,14-Oct-2015,444.85,497.95,497.95,441.40,442.00,442.00,444.87,298,1.33,8,298,100.00
PNEUMATIC,EQ,15-Oct-2015,442.00,435.00,440.00,435.00,440.00,440.00,439.91,109,0.48,6,107,98.17
PNEUMATIC,EQ,16-Oct-2015,440.00,422.00,460.00,422.00,436.00,436.00,444.53,117,0.52,6,111,94.87
PNEUMATIC,EQ,19-Oct-2015,436.00,420.05,440.00,420.05,425.00,428.30,429.80,317,1.36,15,305,96.21
PNEUMATIC,EQ,20-Oct-2015,428.30,430.00,440.00,425.50,440.00,440.00,426.17,115,0.49,5,115,100.00
PNEUMATIC,EQ,21-Oct-2015,440.00,425.50,440.00,425.50,440.00,440.00,439.13,168,0.74,10,167,99.40
PNEUMATIC,EQ,23-Oct-2015,440.00,426.50,439.95,426.50,426.50,426.50,427.62,60,0.26,4,60,100.00
PNEUMATIC,EQ,26-Oct-2015,426.50,420.00,440.00,420.00,439.95,439.95,439.69,380,1.67,23,380,100.00
PNEUMATIC,EQ,27-Oct-2015,439.95,450.00,460.00,439.00,460.00,450.70,446.77,1027,4.59,55,1007,98.05
PNEUMATIC,EQ,28-Oct-2015,450.70,425.05,470.25,425.05,450.00,450.00,444.00,116,0.52,8,83,71.55
PNEUMATIC,EQ,29-Oct-2015,450.00,469.00,469.00,425.75,440.00,433.50,434.42,469,2.04,9,464,98.93
PNEUMATIC,EQ,30-Oct-2015,433.50,440.00,465.00,425.00,464.00,428.55,426.23,1459,6.22,17,1355,92.87
PNEUMATIC,EQ,02-Nov-2015,428.55,464.00,464.00,425.00,448.00,448.00,426.05,428,1.82,14,425,99.30
PNEUMATIC,EQ,03-Nov-2015,448.00,425.00,440.00,425.00,426.00,439.95,439.88,33282,146.40,14,33282,100.00
PNEUMATIC,EQ,04-Nov-2015,439.95,425.20,425.20,425.10,425.10,425.10,425.18,129,0.55,3,129,100.00
PNEUMATIC,EQ,05-Nov-2015,425.10,425.10,426.55,425.10,426.55,426.55,426.35,59,0.25,3,59,100.00
PNEUMATIC,EQ,06-Nov-2015,426.55,426.55,449.00,425.00,425.00,431.85,427.14,26,0.11,6,24,92.31
PNEUMATIC,EQ,09-Nov-2015,431.85,425.00,450.00,425.00,450.00,443.45,443.44,16,0.07,3,16,100.00
PNEUMATIC,EQ,10-Nov-2015,443.45,460.00,460.00,423.00,450.00,450.00,429.25,106,0.46,6,106,100.00
PNEUMATIC,EQ,11-Nov-2015,450.00,458.00,460.00,458.00,460.00,459.00,458.17,12,0.05,4,11,91.67
PNEUMATIC,EQ,13-Nov-2015,459.00,423.00,423.05,406.00,406.00,406.00,420.51,27,0.11,5,27,100.00
PNEUMATIC,EQ,16-Nov-2015,406.00,400.00,459.95,400.00,459.95,459.95,411.08,11,0.05,5,9,81.82
PNEUMATIC,EQ,18-Nov-2015,459.95,411.00,457.95,411.00,457.95,418.80,418.82,96,0.40,4,50,52.08
PNEUMATIC,EQ,19-Nov-2015,418.80,400.90,470.00,400.00,460.00,440.25,440.02,10298,45.31,18,10212,99.16
PNEUMATIC,EQ,20-Nov-2015,440.25,433.00,470.00,433.00,469.00,469.00,453.71,7,0.03,6,4,57.14
PNEUMATIC,EQ,23-Nov-2015,469.00,562.00,562.00,460.00,469.00,469.00,470.03,188,0.88,14,176,93.62
PNEUMATIC,EQ,24-Nov-2015,469.00,470.00,470.00,449.00,450.00,450.00,453.11,53,0.24,4,53,100.00
