Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PRATIBHA,EQ,16-Mar-2006,120.00,150.00,189.90,141.00,179.80,181.30,178.81,12010476,21475.66,-,1453187,12.10
PRATIBHA,EQ,17-Mar-2006,181.30,182.00,213.50,176.25,203.90,205.35,194.88,7109450,13854.91,-,580141,8.16
PRATIBHA,EQ,20-Mar-2006,205.35,207.00,246.45,205.85,246.45,246.45,231.44,9615427,22253.75,-,816729,8.49
PRATIBHA,EQ,21-Mar-2006,246.45,260.00,284.00,253.20,262.15,259.45,269.70,11472458,30941.63,-,681975,5.94
PRATIBHA,EQ,22-Mar-2006,259.45,261.00,279.40,256.15,270.85,270.15,267.68,9522619,25489.75,-,330459,3.47
PRATIBHA,EQ,23-Mar-2006,270.15,268.00,299.00,230.00,285.55,286.90,290.83,11688539,33994.32,-,612528,5.24
PRATIBHA,EQ,24-Mar-2006,286.90,289.90,292.90,273.20,278.60,279.05,282.34,4711092,13301.21,-,413658,8.78
PRATIBHA,EQ,27-Mar-2006,279.05,281.60,283.40,265.00,265.70,267.65,271.97,1900207,5168.07,-,220870,11.62
PRATIBHA,EQ,28-Mar-2006,267.65,267.70,272.00,253.60,254.40,255.85,263.85,1466543,3869.43,-,153144,10.44
PRATIBHA,EQ,29-Mar-2006,255.85,255.00,264.70,251.00,252.00,252.45,256.77,1926105,4945.62,-,149760,7.78
PRATIBHA,EQ,30-Mar-2006,252.45,254.60,277.00,254.20,273.00,272.35,268.57,2829719,7599.84,-,203802,7.20
PRATIBHA,EQ,31-Mar-2006,272.35,275.50,275.50,262.30,263.90,264.05,268.63,900634,2419.39,-,118557,13.16
PRATIBHA,EQ,03-Apr-2006,264.05,265.00,268.45,255.60,257.10,257.80,262.15,537537,1409.13,-,113538,21.12
PRATIBHA,EQ,04-Apr-2006,257.80,255.00,265.00,255.00,259.00,258.60,260.38,394893,1028.20,-,75111,19.02
PRATIBHA,EQ,05-Apr-2006,258.60,259.00,269.95,258.20,263.00,264.90,265.48,778749,2067.44,-,147339,18.92
