Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PREMIER,EQ,02-Jan-2006,30.45,30.65,31.45,30.65,30.70,30.95,31.03,16237,5.04,-,9698,59.73
PREMIER,EQ,03-Jan-2006,30.95,31.50,32.50,31.10,32.10,32.15,31.78,24070,7.65,-,14891,61.87
PREMIER,EQ,04-Jan-2006,32.15,32.55,32.55,31.30,31.35,31.70,31.63,8014,2.54,-,5008,62.49
PREMIER,EQ,05-Jan-2006,31.70,32.10,32.10,31.00,31.50,31.35,31.33,12264,3.84,-,9417,76.79
PREMIER,EQ,06-Jan-2006,31.35,31.00,33.25,31.00,32.30,32.00,31.86,30990,9.87,-,19620,63.31
PREMIER,EQ,09-Jan-2006,32.00,32.20,32.85,31.50,31.90,31.75,32.05,38573,12.36,-,26303,68.19
PREMIER,EQ,10-Jan-2006,31.75,31.75,31.90,31.00,31.20,31.25,31.29,17396,5.44,-,9278,53.33
PREMIER,EQ,12-Jan-2006,31.25,31.05,31.20,29.65,30.30,30.45,30.57,30845,9.43,-,21153,68.58
PREMIER,EQ,13-Jan-2006,30.45,30.95,33.80,30.40,32.00,32.10,32.34,78851,25.50,-,34034,43.16
PREMIER,EQ,16-Jan-2006,32.10,32.00,33.80,32.00,32.85,33.10,33.11,56632,18.75,-,35492,62.67
PREMIER,EQ,17-Jan-2006,33.10,32.75,32.90,31.15,31.40,31.55,32.29,36086,11.65,-,24972,69.20
PREMIER,EQ,18-Jan-2006,31.55,32.50,32.55,30.00,30.55,30.80,30.81,23471,7.23,-,16525,70.41
PREMIER,EQ,19-Jan-2006,30.80,31.90,31.90,30.00,31.15,31.25,31.12,29037,9.04,-,19014,65.48
PREMIER,EQ,20-Jan-2006,31.25,31.50,31.85,30.80,31.80,31.40,31.40,20218,6.35,-,10587,52.36
PREMIER,EQ,23-Jan-2006,31.40,31.80,37.70,31.80,37.70,37.70,35.79,218197,78.10,-,124486,57.05
PREMIER,EQ,24-Jan-2006,37.70,40.00,42.75,37.80,38.50,38.30,40.30,475683,191.71,-,197757,41.57
PREMIER,EQ,25-Jan-2006,38.30,39.80,39.85,35.10,35.50,35.55,36.46,122092,44.51,-,59030,48.35
PREMIER,EQ,27-Jan-2006,35.55,35.05,37.40,34.45,34.60,34.65,35.95,73723,26.50,-,33757,45.79
PREMIER,EQ,30-Jan-2006,34.65,35.00,35.50,33.05,33.35,33.35,33.74,41269,13.92,-,25485,61.75
PREMIER,EQ,31-Jan-2006,33.35,33.35,33.55,32.80,33.00,33.10,33.12,24592,8.15,-,18837,76.60
PREMIER,EQ,01-Feb-2006,33.10,33.05,33.10,31.30,32.25,31.85,32.18,34168,10.99,-,20504,60.01
PREMIER,EQ,02-Feb-2006,31.85,30.00,31.90,30.00,31.00,30.85,31.15,30594,9.53,-,21957,71.77
PREMIER,EQ,03-Feb-2006,30.85,31.00,34.45,31.00,32.10,32.20,32.74,55691,18.24,-,21392,38.41
PREMIER,EQ,06-Feb-2006,32.20,31.60,33.75,31.50,32.10,32.15,32.32,32881,10.63,-,15721,47.81
PREMIER,EQ,07-Feb-2006,32.15,32.00,33.00,31.25,32.05,31.85,31.91,15752,5.03,-,10236,64.98
PREMIER,EQ,08-Feb-2006,31.85,30.55,32.70,30.55,31.05,31.60,31.24,65554,20.48,-,52312,79.80
PREMIER,EQ,10-Feb-2006,31.60,31.55,32.35,31.15,31.20,31.20,31.44,16310,5.13,-,10260,62.91
PREMIER,EQ,13-Feb-2006,31.20,31.00,33.20,31.00,31.90,31.95,32.27,45130,14.56,-,27065,59.97
PREMIER,EQ,14-Feb-2006,31.95,32.00,32.60,31.25,31.75,31.50,31.95,27645,8.83,-,20441,73.94
PREMIER,EQ,15-Feb-2006,31.50,31.40,31.85,30.50,30.70,30.65,31.05,31422,9.76,-,26150,83.22
PREMIER,EQ,16-Feb-2006,30.65,31.75,31.75,31.00,31.00,31.10,31.18,19476,6.07,-,14639,75.16
PREMIER,EQ,17-Feb-2006,31.10,32.45,32.45,30.05,30.50,30.45,30.89,21323,6.59,-,17265,80.97
PREMIER,EQ,20-Feb-2006,30.45,31.00,31.00,30.10,30.50,30.35,30.41,20472,6.23,-,11791,57.60
PREMIER,EQ,21-Feb-2006,30.35,30.00,31.90,29.60,30.50,30.55,30.80,19445,5.99,-,10226,52.59
PREMIER,EQ,22-Feb-2006,30.55,30.45,30.85,29.50,29.95,29.75,30.19,30365,9.17,-,24568,80.91
PREMIER,EQ,23-Feb-2006,29.75,30.00,30.05,29.20,29.55,29.35,29.56,21203,6.27,-,14370,67.77
PREMIER,EQ,24-Feb-2006,29.35,29.65,30.00,28.60,29.05,29.00,29.05,17898,5.20,-,13063,72.99
PREMIER,EQ,27-Feb-2006,29.00,30.00,30.00,28.30,29.20,29.20,28.81,18774,5.41,-,13898,74.03
PREMIER,EQ,28-Feb-2006,29.20,29.20,29.85,28.50,28.80,28.85,29.05,17130,4.98,-,11257,65.72
PREMIER,EQ,01-Mar-2006,28.85,29.85,30.00,28.70,28.90,28.90,29.07,13801,4.01,-,8736,63.30
PREMIER,EQ,02-Mar-2006,28.90,27.20,29.80,27.20,28.20,28.25,28.73,18687,5.37,-,11796,63.12
PREMIER,EQ,03-Mar-2006,28.25,28.80,29.10,28.00,28.50,28.45,28.25,52025,14.70,-,43595,83.80
PREMIER,EQ,06-Mar-2006,28.45,28.50,29.00,27.45,28.10,28.15,28.35,17825,5.05,-,12522,70.25
PREMIER,EQ,07-Mar-2006,28.15,29.85,33.00,28.00,29.20,29.15,30.53,242807,74.14,-,93652,38.57
PREMIER,EQ,08-Mar-2006,29.15,30.10,31.80,29.00,29.00,29.35,30.02,100103,30.05,-,50883,50.83
PREMIER,EQ,09-Mar-2006,29.35,30.25,31.00,29.35,29.55,29.65,30.08,40310,12.12,-,23009,57.08
PREMIER,EQ,10-Mar-2006,29.65,30.20,30.20,29.05,29.30,29.20,29.45,20345,5.99,-,14430,70.93
PREMIER,EQ,13-Mar-2006,29.20,30.45,30.45,28.75,29.05,29.00,29.20,25643,7.49,-,16432,64.08
PREMIER,EQ,14-Mar-2006,29.00,29.10,29.25,28.55,28.85,28.85,28.77,56891,16.37,-,48750,85.69
PREMIER,EQ,16-Mar-2006,28.85,29.00,29.20,28.15,28.15,28.20,28.71,48142,13.82,-,42859,89.03
PREMIER,EQ,17-Mar-2006,28.20,28.05,28.55,28.00,28.35,28.30,28.34,70188,19.89,-,66270,94.42
PREMIER,EQ,20-Mar-2006,28.30,28.00,28.80,27.90,28.80,28.40,28.32,17924,5.08,-,14007,78.15
PREMIER,EQ,21-Mar-2006,28.40,28.35,29.00,28.35,28.35,28.50,28.55,31216,8.91,-,26466,84.78
PREMIER,EQ,22-Mar-2006,28.50,28.50,28.85,28.05,28.45,28.25,28.39,24684,7.01,-,17606,71.33
PREMIER,EQ,23-Mar-2006,28.25,28.50,30.40,27.65,28.40,28.15,28.24,42769,12.08,-,33943,79.36
PREMIER,EQ,24-Mar-2006,28.15,28.00,28.25,27.20,27.90,27.50,27.89,22898,6.39,-,20844,91.03
PREMIER,EQ,27-Mar-2006,27.50,28.00,28.20,27.40,28.20,27.65,27.79,42803,11.89,-,25623,59.86
PREMIER,EQ,28-Mar-2006,27.65,28.00,28.00,27.00,27.00,27.00,27.43,241861,66.33,-,232709,96.22
PREMIER,EQ,29-Mar-2006,27.00,27.50,29.75,27.50,27.50,27.80,28.19,110992,31.29,-,90976,81.97
PREMIER,EQ,30-Mar-2006,27.80,27.80,28.50,27.00,27.55,27.90,27.91,79464,22.18,-,67827,85.36
PREMIER,EQ,31-Mar-2006,27.90,28.15,30.00,28.15,29.30,29.50,29.30,45811,13.42,-,26925,58.77
PREMIER,EQ,03-Apr-2006,29.50,30.95,34.00,30.10,32.20,32.30,32.53,144626,47.05,-,81719,56.50
PREMIER,EQ,04-Apr-2006,32.30,34.00,34.00,31.05,31.55,31.80,32.19,48667,15.66,-,26142,53.72
PREMIER,EQ,05-Apr-2006,31.80,32.00,33.75,32.00,32.70,32.55,33.01,88498,29.22,-,36040,40.72
PREMIER,EQ,07-Apr-2006,32.55,33.40,33.40,30.15,30.60,30.80,31.71,70000,22.20,-,48564,69.38
PREMIER,EQ,10-Apr-2006,30.80,30.00,31.95,30.00,30.90,31.10,31.24,22441,7.01,-,14996,66.82
PREMIER,EQ,12-Apr-2006,31.10,31.00,32.30,29.50,30.00,30.65,31.15,46438,14.47,-,37458,80.66
PREMIER,EQ,13-Apr-2006,30.65,30.20,30.75,30.00,30.00,30.15,30.33,26238,7.96,-,18263,69.61
PREMIER,EQ,17-Apr-2006,30.15,30.00,31.20,30.00,30.10,30.55,30.82,17160,5.29,-,12247,71.37
PREMIER,EQ,18-Apr-2006,30.55,30.45,31.30,30.45,30.85,30.90,30.88,14569,4.50,-,11450,78.59
PREMIER,EQ,19-Apr-2006,30.90,31.00,31.20,30.00,30.20,30.00,30.34,28873,8.76,-,24833,86.01
PREMIER,EQ,20-Apr-2006,30.00,31.00,31.00,29.65,30.50,30.20,30.62,33127,10.14,-,20300,61.28
PREMIER,EQ,21-Apr-2006,30.20,31.70,31.70,29.70,30.05,30.05,30.27,13385,4.05,-,9667,72.22
PREMIER,EQ,24-Apr-2006,30.05,30.00,34.35,30.00,33.00,33.45,32.42,86691,28.10,-,39347,45.39
PREMIER,EQ,25-Apr-2006,33.45,33.80,33.80,31.25,31.50,31.45,32.57,58212,18.96,-,37655,64.69
PREMIER,EQ,26-Apr-2006,31.45,31.00,32.80,31.00,31.85,31.60,31.72,31322,9.93,-,17997,57.46
PREMIER,EQ,27-Apr-2006,31.60,31.85,34.05,31.80,32.00,31.95,32.68,47468,15.51,-,26193,55.18
PREMIER,EQ,28-Apr-2006,31.95,31.85,31.85,28.10,31.80,31.25,31.26,26790,8.38,-,18867,70.43
PREMIER,EQ,29-Apr-2006,31.25,30.50,32.40,30.50,32.00,32.15,32.03,13098,4.20,-,10562,80.64
PREMIER,EQ,02-May-2006,32.15,32.35,34.05,31.75,33.00,32.75,33.02,62958,20.79,-,24104,38.29
PREMIER,EQ,03-May-2006,32.75,33.60,34.75,32.65,33.95,34.10,33.70,49851,16.80,-,31671,63.53
PREMIER,EQ,04-May-2006,34.10,34.00,40.95,34.00,40.95,40.95,39.34,296900,116.80,-,137946,46.46
PREMIER,EQ,05-May-2006,40.95,43.40,44.00,37.00,37.50,37.55,39.60,381838,151.23,-,182693,47.85
PREMIER,EQ,08-May-2006,37.55,37.65,42.70,37.10,40.55,40.55,40.80,369779,150.86,-,115971,31.36
PREMIER,EQ,09-May-2006,40.55,41.80,41.80,39.00,39.25,39.30,39.48,72766,28.73,-,40410,55.53
PREMIER,EQ,10-May-2006,39.30,39.00,39.85,39.00,39.10,39.20,39.26,68996,27.09,-,37088,53.75
PREMIER,EQ,11-May-2006,39.20,40.00,40.00,37.10,37.20,37.50,38.08,55374,21.09,-,39674,71.65
PREMIER,EQ,12-May-2006,37.50,37.50,38.75,35.25,35.50,36.90,37.57,47160,17.72,-,35364,74.99
PREMIER,EQ,15-May-2006,36.90,37.00,38.20,35.00,35.35,35.10,36.51,56449,20.61,-,36784,65.16
PREMIER,EQ,16-May-2006,35.10,33.35,35.70,32.15,34.50,33.85,33.53,31721,10.64,-,21434,67.57
PREMIER,EQ,17-May-2006,33.85,35.50,36.75,34.50,36.15,36.25,35.86,33167,11.89,-,19394,58.47
PREMIER,EQ,18-May-2006,36.25,35.00,35.85,33.00,33.10,33.10,33.89,17532,5.94,-,13808,78.76
PREMIER,EQ,19-May-2006,33.10,33.50,34.00,31.10,31.90,31.85,32.33,31072,10.05,-,23852,76.76
PREMIER,EQ,22-May-2006,31.85,31.00,32.00,25.55,28.20,27.90,28.75,35188,10.11,-,23456,66.66
PREMIER,EQ,23-May-2006,27.90,30.00,30.90,27.55,30.90,29.85,29.38,28465,8.36,-,19167,67.34
PREMIER,EQ,24-May-2006,29.85,29.90,34.50,29.90,31.55,31.25,31.88,25277,8.06,-,8025,31.75
PREMIER,EQ,25-May-2006,31.25,30.00,31.35,29.00,30.25,30.05,30.06,14663,4.41,-,9002,61.39
PREMIER,EQ,26-May-2006,30.05,31.50,31.95,28.25,30.95,30.85,31.17,28454,8.87,-,17657,62.05
PREMIER,EQ,29-May-2006,30.85,31.50,31.50,30.45,30.55,30.60,31.05,8430,2.62,-,5396,64.01
