Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PTC,EQ,02-Jan-2006,59.50,59.95,60.90,59.50,60.50,60.35,60.29,285698,172.25,-,174710,61.15
PTC,EQ,03-Jan-2006,60.35,60.15,62.95,60.00,61.70,61.85,61.85,1023604,633.14,-,501963,49.04
PTC,EQ,04-Jan-2006,61.85,62.30,62.50,61.10,61.65,61.75,61.80,527839,326.19,-,327919,62.12
PTC,EQ,05-Jan-2006,61.75,61.15,62.90,60.65,61.55,61.75,62.02,547534,339.56,-,275972,50.40
PTC,EQ,06-Jan-2006,61.75,61.90,62.30,60.50,60.90,60.90,61.40,300800,184.68,-,201947,67.14
PTC,EQ,09-Jan-2006,60.90,61.05,61.70,60.25,60.40,60.70,61.16,241233,147.54,-,139389,57.78
PTC,EQ,10-Jan-2006,60.70,61.20,61.90,60.30,61.10,61.00,61.03,395414,241.34,-,279341,70.65
PTC,EQ,12-Jan-2006,61.00,59.25,61.80,59.25,61.50,61.50,61.31,517103,317.01,-,416619,80.57
PTC,EQ,13-Jan-2006,61.50,62.00,67.00,61.30,64.25,64.30,64.80,2000186,1296.10,-,723926,36.19
PTC,EQ,16-Jan-2006,64.30,65.60,65.80,62.05,62.40,62.40,64.07,547460,350.77,-,212004,38.73
PTC,EQ,17-Jan-2006,62.40,62.60,64.00,62.45,63.80,63.60,63.42,415573,263.54,-,241993,58.23
PTC,EQ,18-Jan-2006,63.60,64.00,64.00,61.20,61.65,61.65,61.99,215040,133.30,-,105876,49.24
PTC,EQ,19-Jan-2006,61.65,61.90,64.25,61.90,63.50,63.60,63.65,343103,218.38,-,158605,46.23
PTC,EQ,20-Jan-2006,63.60,63.30,64.40,62.05,62.20,62.55,63.16,172648,109.04,-,91563,53.03
PTC,EQ,23-Jan-2006,62.55,61.05,63.50,61.00,63.30,63.20,62.83,195192,122.64,-,120259,61.61
PTC,EQ,24-Jan-2006,63.20,63.60,63.95,62.10,63.60,63.55,63.46,271686,172.41,-,176574,64.99
PTC,EQ,25-Jan-2006,63.55,65.00,65.50,61.65,62.00,62.40,63.88,217556,138.97,-,107692,49.50
PTC,EQ,27-Jan-2006,62.40,64.00,65.00,61.20,61.80,62.10,62.46,498638,311.47,-,340037,68.19
PTC,EQ,30-Jan-2006,62.10,64.40,66.80,62.55,62.60,62.80,63.37,524165,332.16,-,279076,53.24
PTC,EQ,31-Jan-2006,62.80,63.70,63.80,61.75,61.80,61.90,62.50,142723,89.20,-,74402,52.13
PTC,EQ,01-Feb-2006,61.90,62.10,62.45,59.70,61.20,61.00,60.75,392440,238.42,-,239211,60.95
PTC,EQ,02-Feb-2006,61.00,60.50,61.70,59.05,59.70,59.40,60.05,128741,77.31,-,76900,59.73
PTC,EQ,03-Feb-2006,59.40,60.00,61.50,59.50,60.85,60.95,60.31,313205,188.88,-,198125,63.26
PTC,EQ,06-Feb-2006,60.95,59.50,62.45,59.50,61.05,61.40,61.46,258171,158.68,-,147313,57.06
PTC,EQ,07-Feb-2006,61.40,61.60,61.60,60.00,60.20,60.15,60.65,139189,84.42,-,79915,57.41
PTC,EQ,08-Feb-2006,60.15,60.10,60.45,59.40,59.75,59.65,59.86,111959,67.02,-,60309,53.87
PTC,EQ,10-Feb-2006,59.65,60.40,60.80,59.00,59.00,59.20,59.54,114083,67.92,-,64023,56.12
PTC,EQ,13-Feb-2006,59.20,60.15,60.70,59.40,59.60,59.60,59.89,95215,57.02,-,50712,53.26
PTC,EQ,14-Feb-2006,59.60,59.95,61.00,59.05,59.50,59.25,59.82,110789,66.28,-,57465,51.87
PTC,EQ,15-Feb-2006,59.25,60.00,61.20,59.00,60.45,60.30,59.93,148577,89.04,-,100719,67.79
PTC,EQ,16-Feb-2006,60.30,60.30,61.00,59.50,59.90,60.05,60.31,149436,90.12,-,94053,62.94
PTC,EQ,17-Feb-2006,60.05,59.40,60.45,56.30,58.30,58.70,59.34,115040,68.27,-,68414,59.47
PTC,EQ,20-Feb-2006,58.70,59.40,59.40,57.50,58.10,58.15,58.15,82459,47.95,-,41199,49.96
PTC,EQ,21-Feb-2006,58.15,58.80,60.25,57.30,59.25,58.75,58.92,399062,235.12,-,191446,47.97
PTC,EQ,22-Feb-2006,58.75,59.00,60.00,58.10,58.15,58.45,58.90,113068,66.60,-,48410,42.81
PTC,EQ,23-Feb-2006,58.45,58.55,59.10,58.00,58.05,58.30,58.67,97621,57.27,-,44082,45.16
PTC,EQ,24-Feb-2006,58.30,58.50,59.00,58.25,58.40,58.45,58.49,58208,34.05,-,30022,51.58
PTC,EQ,27-Feb-2006,58.45,58.50,59.40,58.40,59.00,59.15,59.02,112436,66.37,-,73795,65.63
PTC,EQ,28-Feb-2006,59.15,59.50,60.30,58.00,58.00,58.10,59.46,253228,150.56,-,121985,48.17
PTC,EQ,01-Mar-2006,58.10,58.50,58.70,56.60,56.90,56.85,57.38,135484,77.75,-,97931,72.28
PTC,EQ,02-Mar-2006,56.85,57.60,57.95,56.65,57.10,56.90,57.20,125852,71.99,-,70362,55.91
PTC,EQ,03-Mar-2006,56.90,57.40,60.60,56.80,60.50,60.15,59.15,469535,277.73,-,306254,65.22
PTC,EQ,06-Mar-2006,60.15,60.50,62.10,59.10,60.75,60.85,60.90,386331,235.28,-,150913,39.06
PTC,EQ,07-Mar-2006,60.85,61.10,61.10,59.10,59.85,59.60,59.96,124587,74.70,-,56932,45.70
PTC,EQ,08-Mar-2006,59.60,59.90,61.60,59.50,61.00,61.10,60.90,361061,219.89,-,239274,66.27
PTC,EQ,09-Mar-2006,61.10,61.00,62.65,59.70,61.00,61.00,61.22,284358,174.10,-,143142,50.34
PTC,EQ,10-Mar-2006,61.00,61.60,61.70,59.10,59.15,59.30,60.13,101626,61.11,-,70080,68.96
PTC,EQ,13-Mar-2006,59.30,60.50,60.75,59.25,59.25,59.50,60.06,115977,69.65,-,53361,46.01
PTC,EQ,14-Mar-2006,59.50,59.80,61.00,58.40,58.95,58.70,59.14,893376,528.38,-,767723,85.94
PTC,EQ,16-Mar-2006,58.70,59.55,59.75,58.00,58.25,58.20,58.76,81327,47.79,-,45184,55.56
PTC,EQ,17-Mar-2006,58.20,58.35,58.90,57.50,58.10,57.95,58.33,101865,59.42,-,65813,64.61
PTC,EQ,20-Mar-2006,57.95,58.40,58.50,57.05,57.25,57.15,57.50,65280,37.53,-,42556,65.19
PTC,EQ,21-Mar-2006,57.15,58.00,58.00,56.00,56.40,56.15,56.70,80744,45.79,-,59478,73.66
PTC,EQ,22-Mar-2006,56.15,56.30,58.25,55.50,58.25,57.80,56.95,225191,128.24,-,165219,73.37
PTC,IL,22-Mar-2006,16.00,57.00,57.00,57.00,0.00,57.00,57.00,3886870,2215.52,-,0,0.00
PTC,EQ,23-Mar-2006,57.80,58.50,58.90,56.25,56.45,56.60,56.96,65418,37.26,-,34074,52.09
PTC,EQ,24-Mar-2006,56.60,57.30,59.50,57.05,58.25,58.15,58.40,226652,132.37,-,126179,55.67
PTC,EQ,27-Mar-2006,58.15,58.40,62.00,57.65,60.00,60.10,60.53,565117,342.04,-,202055,35.75
PTC,EQ,28-Mar-2006,60.10,60.25,61.25,56.60,56.60,57.40,58.66,209500,122.90,-,132321,63.16
PTC,EQ,29-Mar-2006,57.40,57.90,59.50,57.45,59.10,59.20,58.83,163210,96.02,-,87222,53.44
PTC,EQ,30-Mar-2006,59.20,59.30,60.20,58.75,59.50,59.10,59.29,88572,52.51,-,49646,56.05
PTC,EQ,31-Mar-2006,59.10,59.10,60.00,58.10,59.50,59.10,59.19,161688,95.70,-,117950,72.95
PTC,EQ,03-Apr-2006,59.10,59.50,60.20,58.00,59.00,59.00,59.07,112932,66.71,-,67143,59.45
PTC,EQ,04-Apr-2006,59.00,59.75,59.80,58.35,59.75,59.10,59.01,95088,56.11,-,56290,59.20
PTC,EQ,05-Apr-2006,59.10,58.10,59.60,58.10,59.50,59.25,59.21,104990,62.17,-,58548,55.77
PTC,EQ,07-Apr-2006,59.25,59.65,60.90,58.80,59.10,59.05,59.95,241735,144.91,-,113780,47.07
PTC,IL,07-Apr-2006,57.00,60.00,60.00,60.00,0.00,60.00,60.00,299677,179.81,-,299677,100.00
PTC,EQ,10-Apr-2006,59.05,59.10,60.00,58.80,59.30,59.15,59.06,49907,29.48,-,33502,67.13
PTC,EQ,12-Apr-2006,59.15,59.20,61.00,58.10,59.75,59.45,60.01,184662,110.82,-,106258,57.54
