Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RAJTV,EQ,16-Mar-2007,257.00,225.00,246.65,207.20,218.50,226.00,223.36,9967722,22264.35,-,519398,5.21
RAJTV,EQ,19-Mar-2007,226.00,235.00,239.80,222.00,228.75,231.15,232.60,3102434,7216.36,-,134677,4.34
RAJTV,EQ,20-Mar-2007,231.15,233.15,234.50,216.00,216.50,219.05,226.03,1081612,2444.74,-,139784,12.92
RAJTV,EQ,21-Mar-2007,219.05,202.35,219.00,200.35,202.50,202.45,208.33,1002076,2087.63,-,128718,12.85
RAJTV,EQ,22-Mar-2007,202.45,203.25,209.70,197.10,197.55,199.00,202.03,1344449,2716.19,-,104676,7.79
RAJTV,EQ,23-Mar-2007,199.00,199.10,217.70,195.05,203.70,205.30,208.35,2916416,6076.22,-,184913,6.34
RAJTV,EQ,26-Mar-2007,205.30,205.05,213.45,201.15,202.05,202.10,208.17,1665873,3467.88,-,118515,7.11
RAJTV,EQ,28-Mar-2007,202.10,200.00,205.00,195.00,195.70,196.75,199.50,937462,1870.21,-,84216,8.98
RAJTV,EQ,29-Mar-2007,196.75,193.60,208.70,193.60,203.55,202.70,204.29,1452867,2968.03,-,115717,7.96
RAJTV,EQ,30-Mar-2007,202.70,203.00,208.45,203.00,206.35,206.55,206.30,773978,1596.73,-,108947,14.08
RAJTV,EQ,02-Apr-2007,206.55,206.35,206.35,190.20,196.70,197.25,199.76,270487,540.34,-,57130,21.12
RAJTV,EQ,03-Apr-2007,197.25,196.60,201.00,195.10,195.50,196.15,197.86,191447,378.80,-,23638,12.35
RAJTV,EQ,04-Apr-2007,196.15,201.95,202.00,196.50,201.50,200.60,199.71,232743,464.81,-,40637,17.46
RAJTV,EQ,05-Apr-2007,200.60,199.25,203.65,196.50,196.80,198.60,201.17,219622,441.82,-,33091,15.07
RAJTV,EQ,09-Apr-2007,198.60,199.00,208.00,199.00,202.75,203.45,203.73,304282,619.91,-,56771,18.66
RAJTV,EQ,10-Apr-2007,203.45,203.00,213.35,200.50,201.00,201.95,207.72,1049917,2180.92,-,165889,15.80
RAJTV,EQ,11-Apr-2007,201.95,202.50,206.45,198.90,200.00,200.00,203.24,304131,618.12,-,46326,15.23
RAJTV,EQ,12-Apr-2007,200.00,198.50,203.40,197.10,200.95,201.10,201.07,260621,524.04,-,41103,15.77
RAJTV,EQ,13-Apr-2007,201.10,201.00,205.00,198.30,198.80,199.10,202.25,218039,440.98,-,65436,30.01
RAJTV,EQ,16-Apr-2007,199.10,201.80,202.40,195.40,195.40,196.85,199.02,257717,512.90,-,70768,27.46
RAJTV,EQ,17-Apr-2007,196.85,197.00,198.60,191.00,192.50,191.75,195.23,246422,481.09,-,85403,34.66
RAJTV,EQ,18-Apr-2007,191.75,193.00,194.90,187.55,188.90,188.30,191.54,139935,268.03,-,43193,30.87
RAJTV,EQ,19-Apr-2007,188.30,186.10,186.80,180.60,183.50,182.10,183.90,105745,194.46,-,36447,34.47
RAJTV,EQ,20-Apr-2007,182.10,185.10,190.00,182.20,183.75,183.50,185.64,180980,335.97,-,44918,24.82
RAJTV,EQ,23-Apr-2007,183.50,186.80,195.00,183.20,188.00,187.80,189.87,537840,1021.17,-,76944,14.31
RAJTV,EQ,24-Apr-2007,187.80,191.40,191.40,185.10,186.25,185.75,187.80,125436,235.57,-,29532,23.54
RAJTV,EQ,25-Apr-2007,185.75,184.00,189.70,184.00,187.00,186.70,187.31,121943,228.41,-,23098,18.94
RAJTV,EQ,26-Apr-2007,186.70,188.00,191.50,185.00,186.00,186.40,188.91,112305,212.15,-,20937,18.64
RAJTV,EQ,27-Apr-2007,186.40,186.50,188.50,179.15,181.00,180.85,183.33,108057,198.10,-,37110,34.34
RAJTV,EQ,30-Apr-2007,180.85,174.15,183.25,174.15,179.20,179.90,180.40,92124,166.19,-,12506,13.58
RAJTV,EQ,03-May-2007,179.90,180.00,184.90,180.00,180.55,180.80,182.26,78464,143.01,-,16042,20.45
RAJTV,EQ,04-May-2007,180.80,182.10,183.40,177.40,178.00,178.95,181.34,83951,152.23,-,14508,17.28
RAJTV,EQ,07-May-2007,178.95,179.50,187.50,179.50,186.40,185.75,184.95,291158,538.51,-,47675,16.37
RAJTV,EQ,08-May-2007,185.75,187.00,195.55,186.65,189.35,189.85,192.01,758688,1456.75,-,87159,11.49
RAJTV,EQ,09-May-2007,189.85,191.00,194.40,189.00,192.60,192.75,192.50,405687,780.95,-,60923,15.02
RAJTV,EQ,10-May-2007,192.75,194.70,195.60,185.60,187.00,186.65,191.00,132131,252.36,-,43025,32.56
RAJTV,EQ,11-May-2007,186.65,186.00,188.25,181.60,183.00,182.85,184.90,120517,222.84,-,24342,20.20
RAJTV,EQ,14-May-2007,182.85,185.00,190.00,185.00,189.70,188.65,188.23,104319,196.36,-,37930,36.36
RAJTV,EQ,15-May-2007,188.65,190.30,226.40,188.65,226.40,226.40,213.65,2736601,5846.73,-,465406,17.01
RAJTV,EQ,16-May-2007,226.40,264.20,264.20,240.70,251.95,250.40,253.72,5861879,14872.97,-,547064,9.33
RAJTV,EQ,17-May-2007,250.40,257.00,257.65,235.95,242.65,239.15,242.13,1627782,3941.35,-,166901,10.25
RAJTV,EQ,18-May-2007,239.15,231.55,255.50,231.55,248.65,248.45,246.62,2803359,6913.55,-,191370,6.83
RAJTV,EQ,21-May-2007,248.45,255.70,269.00,250.40,262.30,262.75,262.97,2823110,7424.04,-,381890,13.53
RAJTV,EQ,22-May-2007,262.75,269.30,289.05,268.00,289.05,289.05,284.97,1667196,4750.99,-,484117,29.04
RAJTV,EQ,23-May-2007,289.05,305.00,318.00,300.35,318.00,318.00,315.91,358470,1132.45,-,172887,48.23
RAJTV,EQ,24-May-2007,318.00,333.90,333.90,306.25,317.75,317.45,322.84,4011403,12950.30,-,758155,18.90
RAJTV,EQ,25-May-2007,317.45,312.00,333.35,306.35,333.35,333.35,321.44,1821160,5853.88,-,374244,20.55
RAJTV,EQ,28-May-2007,333.35,341.00,350.05,341.00,350.05,350.05,347.35,183384,636.98,-,110085,60.03
RAJTV,EQ,29-May-2007,350.05,358.40,364.90,332.60,347.00,350.15,354.46,2262796,8020.82,-,542733,23.99
RAJTV,EQ,30-May-2007,350.15,347.00,357.00,343.00,348.00,347.20,351.83,761025,2677.49,-,149020,19.58
RAJTV,EQ,31-May-2007,347.20,354.30,358.90,331.00,338.00,338.60,342.62,563365,1930.22,-,125809,22.33
RAJTV,BE,01-Jun-2007,338.60,345.00,355.55,322.00,355.55,355.55,343.61,168441,578.77,-,-,-
RAJTV,BE,04-Jun-2007,355.55,364.00,373.35,350.10,359.65,356.45,366.85,182872,670.87,-,-,-
RAJTV,BE,05-Jun-2007,356.45,360.00,360.00,338.80,346.00,342.75,345.66,43628,150.81,-,-,-
RAJTV,BE,06-Jun-2007,342.75,335.00,347.00,325.65,332.00,332.80,336.45,61127,205.66,-,-,-
RAJTV,BE,07-Jun-2007,332.80,332.80,335.00,317.10,322.00,319.45,323.55,42314,136.91,-,-,-
RAJTV,BE,08-Jun-2007,319.45,320.00,320.00,303.50,304.00,307.85,304.74,47561,144.94,-,-,-
RAJTV,BE,11-Jun-2007,307.85,314.90,315.00,292.50,292.50,292.50,296.69,21687,64.34,-,-,-
RAJTV,BE,12-Jun-2007,292.50,277.90,288.00,277.90,277.90,277.90,279.20,31880,89.01,-,-,-
RAJTV,BE,13-Jun-2007,277.90,264.00,276.00,264.00,264.00,264.00,264.61,28744,76.06,-,-,-
RAJTV,BE,14-Jun-2007,264.00,265.00,265.00,250.80,250.80,250.80,250.83,7584,19.02,-,-,-
RAJTV,BE,15-Jun-2007,250.80,238.30,263.35,238.30,263.35,263.35,253.12,71494,180.96,-,-,-
RAJTV,BE,18-Jun-2007,263.35,274.00,274.00,250.20,250.20,250.20,256.51,40313,103.41,-,-,-
RAJTV,BE,19-Jun-2007,250.20,245.00,252.00,238.00,250.00,249.00,244.33,24605,60.12,-,-,-
RAJTV,BE,20-Jun-2007,249.00,257.90,257.90,240.00,248.00,248.10,248.28,17114,42.49,-,-,-
