Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RANASUG,EQ,02-Jan-2006,29.70,30.10,30.25,29.70,30.25,30.00,30.05,238703,71.73,-,107258,44.93
RANASUG,EQ,03-Jan-2006,30.00,30.30,31.10,30.20,30.70,30.70,30.71,543221,166.82,-,229973,42.34
RANASUG,EQ,04-Jan-2006,30.70,31.00,31.50,30.10,30.25,30.25,30.59,294610,90.13,-,149531,50.76
RANASUG,EQ,05-Jan-2006,30.25,30.00,30.00,29.40,29.70,29.55,29.72,151122,44.91,-,92897,61.47
RANASUG,EQ,06-Jan-2006,29.55,29.75,30.30,29.20,29.35,29.45,29.65,234426,69.52,-,92690,39.54
RANASUG,EQ,09-Jan-2006,29.45,29.35,31.10,29.35,30.70,30.70,30.46,538256,163.94,-,255353,47.44
RANASUG,EQ,10-Jan-2006,30.70,30.70,31.40,30.40,30.65,30.65,30.91,578987,178.94,-,190935,32.98
RANASUG,EQ,12-Jan-2006,30.65,30.50,32.75,30.00,31.75,31.60,31.90,1517059,483.97,-,429989,28.34
RANASUG,EQ,13-Jan-2006,31.60,32.00,33.25,31.95,32.45,32.40,32.73,1834016,600.25,-,496321,27.06
RANASUG,EQ,16-Jan-2006,32.40,33.00,38.35,32.55,37.00,37.25,36.02,6130168,2208.10,-,1298148,21.18
RANASUG,EQ,17-Jan-2006,37.25,38.50,41.00,37.70,38.30,38.35,39.36,6882361,2708.56,-,1751325,25.45
RANASUG,EQ,18-Jan-2006,38.35,38.95,39.20,36.50,37.40,37.35,37.37,3316280,1239.31,-,636565,19.20
RANASUG,EQ,19-Jan-2006,37.35,37.85,44.85,37.60,44.85,44.65,42.48,18373900,7806.00,-,2432951,13.24
RANASUG,EQ,20-Jan-2006,44.65,46.90,52.40,45.70,48.80,49.20,49.54,21137451,10471.10,-,2726043,12.90
RANASUG,EQ,23-Jan-2006,49.20,49.00,53.25,47.05,51.25,51.35,51.33,11469789,5887.07,-,1533437,13.37
RANASUG,EQ,24-Jan-2006,51.35,52.00,53.65,48.35,49.80,49.45,50.82,7465520,3793.97,-,1413233,18.93
RANASUG,EQ,25-Jan-2006,49.45,50.00,50.90,44.50,44.50,44.50,46.18,4705661,2173.01,-,1096085,23.29
RANASUG,EQ,27-Jan-2006,44.50,45.00,48.60,41.70,46.90,46.50,46.28,8836805,4089.37,-,1032789,11.69
RANASUG,EQ,30-Jan-2006,46.50,48.00,48.00,43.20,43.85,43.75,44.37,3565697,1582.25,-,558491,15.66
RANASUG,EQ,31-Jan-2006,43.75,44.00,45.85,43.00,44.00,44.10,44.73,2974651,1330.59,-,396150,13.32
RANASUG,EQ,01-Feb-2006,44.10,45.00,46.65,43.75,44.30,44.40,45.31,6373093,2887.59,-,635053,9.96
RANASUG,EQ,02-Feb-2006,44.40,45.25,47.70,43.00,46.95,46.05,45.17,5606747,2532.41,-,858316,15.31
RANASUG,EQ,03-Feb-2006,46.05,47.25,49.85,46.50,49.40,49.00,48.46,10952206,5307.33,-,1431816,13.07
RANASUG,EQ,06-Feb-2006,49.00,49.90,50.00,47.30,47.45,47.65,48.35,4946632,2391.50,-,1074137,21.71
RANASUG,EQ,07-Feb-2006,47.65,47.90,50.50,47.40,49.90,49.95,49.01,7142765,3500.36,-,1024134,14.34
RANASUG,EQ,08-Feb-2006,49.95,50.50,50.50,47.55,47.55,48.00,48.86,3578578,1748.40,-,870308,24.32
RANASUG,EQ,10-Feb-2006,48.00,48.00,48.80,47.20,47.30,47.55,47.90,3133959,1501.12,-,480792,15.34
RANASUG,EQ,13-Feb-2006,47.55,47.50,48.30,46.80,47.00,47.15,47.50,2024788,961.69,-,390410,19.28
RANASUG,EQ,14-Feb-2006,47.15,47.20,49.45,47.00,47.05,47.20,48.29,3544670,1711.69,-,630934,17.80
RANASUG,EQ,15-Feb-2006,47.20,47.10,47.95,45.00,45.00,45.45,46.43,1762256,818.23,-,525443,29.82
RANASUG,EQ,16-Feb-2006,45.45,45.00,46.65,43.60,43.70,43.95,45.01,1630592,733.86,-,489310,30.01
RANASUG,BE,17-Feb-2006,43.95,42.20,43.50,41.75,41.75,41.75,42.03,201542,84.71,-,-,-
RANASUG,BE,20-Feb-2006,41.75,40.30,40.30,39.70,39.70,39.70,39.71,74588,29.62,-,-,-
RANASUG,BE,21-Feb-2006,39.70,37.75,41.35,37.75,38.90,39.40,39.80,341114,135.75,-,-,-
