Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RANEHOLDIN,EQ,02-Jan-2006,234.40,226.20,235.00,225.00,235.00,235.00,231.40,585,1.35,-,557,95.21
RANEHOLDIN,EQ,03-Jan-2006,235.00,235.00,241.50,233.70,234.00,238.75,238.16,2127,5.07,-,1700,79.92
RANEHOLDIN,EQ,04-Jan-2006,238.75,240.00,240.00,231.50,231.50,231.50,235.39,258,0.61,-,208,80.62
RANEHOLDIN,EQ,05-Jan-2006,231.50,245.00,250.00,227.10,227.10,231.75,236.19,1324,3.13,-,971,73.34
RANEHOLDIN,EQ,06-Jan-2006,231.75,221.90,235.85,221.90,223.10,224.90,231.04,2257,5.21,-,1505,66.68
RANEHOLDIN,EQ,09-Jan-2006,224.90,231.00,235.00,225.00,225.00,225.00,233.60,1196,2.79,-,1195,99.92
RANEHOLDIN,EQ,10-Jan-2006,225.00,224.00,224.00,220.10,220.10,220.10,221.61,776,1.72,-,776,100.00
RANEHOLDIN,EQ,12-Jan-2006,220.10,225.00,229.50,220.10,220.10,220.80,223.58,1680,3.76,-,1597,95.06
RANEHOLDIN,EQ,13-Jan-2006,220.80,221.20,238.90,221.00,238.50,236.10,229.93,4554,10.47,-,3550,77.95
RANEHOLDIN,EQ,16-Jan-2006,236.10,228.00,228.00,228.00,228.00,228.00,228.00,50,0.11,-,50,100.00
RANEHOLDIN,EQ,17-Jan-2006,228.00,239.80,240.00,227.20,232.25,231.25,237.15,2259,5.36,-,595,26.34
RANEHOLDIN,EQ,18-Jan-2006,231.25,234.00,234.00,225.00,229.00,229.00,228.68,2142,4.90,-,2042,95.33
RANEHOLDIN,EQ,19-Jan-2006,229.00,226.20,234.00,226.20,230.00,232.50,232.06,70,0.16,-,55,78.57
RANEHOLDIN,EQ,20-Jan-2006,232.50,230.00,235.00,230.00,233.80,230.80,231.08,88,0.20,-,73,82.95
RANEHOLDIN,EQ,23-Jan-2006,230.80,227.00,227.00,220.10,225.00,225.00,225.58,2667,6.02,-,2663,99.85
RANEHOLDIN,EQ,24-Jan-2006,225.00,224.00,224.00,220.00,220.00,220.00,220.25,975,2.15,-,960,98.46
RANEHOLDIN,EQ,25-Jan-2006,220.00,225.00,225.00,219.95,219.95,220.05,220.65,851,1.88,-,850,99.88
RANEHOLDIN,EQ,27-Jan-2006,220.05,214.00,220.00,213.00,217.00,217.00,215.58,9467,20.41,-,9242,97.62
RANEHOLDIN,EQ,30-Jan-2006,217.00,215.10,229.00,215.10,221.00,221.00,218.56,233,0.51,-,131,56.22
RANEHOLDIN,EQ,31-Jan-2006,221.00,221.00,221.00,218.10,220.90,218.15,220.66,386,0.85,-,360,93.26
RANEHOLDIN,EQ,01-Feb-2006,218.15,220.00,224.90,218.10,219.00,218.55,220.01,4285,9.43,-,4275,99.77
RANEHOLDIN,EQ,02-Feb-2006,218.55,218.10,221.00,216.00,216.00,216.00,218.73,350,0.77,-,287,82.00
RANEHOLDIN,EQ,03-Feb-2006,216.00,216.05,220.00,215.00,215.00,216.25,217.05,2001,4.34,-,1860,92.95
RANEHOLDIN,EQ,06-Feb-2006,216.25,215.00,215.00,206.10,211.50,211.50,210.86,5184,10.93,-,3701,71.39
RANEHOLDIN,EQ,07-Feb-2006,211.50,213.00,222.00,213.00,217.00,219.45,217.96,1402,3.06,-,1350,96.29
RANEHOLDIN,EQ,08-Feb-2006,219.45,208.15,218.45,208.00,214.00,214.35,214.11,2035,4.36,-,1665,81.82
RANEHOLDIN,EQ,10-Feb-2006,214.35,215.35,217.75,212.00,212.00,212.35,215.19,3913,8.42,-,3313,84.67
RANEHOLDIN,EQ,13-Feb-2006,212.35,208.15,220.00,208.15,217.00,217.00,218.32,1371,2.99,-,1123,81.91
RANEHOLDIN,EQ,14-Feb-2006,217.00,218.85,228.00,218.85,228.00,223.30,221.48,8646,19.15,-,8150,94.26
RANEHOLDIN,EQ,15-Feb-2006,223.30,233.80,233.80,225.10,229.95,229.85,229.25,1176,2.70,-,969,82.40
RANEHOLDIN,EQ,16-Feb-2006,229.85,229.85,231.00,227.00,227.00,227.00,229.28,871,2.00,-,821,94.26
RANEHOLDIN,EQ,17-Feb-2006,227.00,225.10,227.50,215.10,215.10,215.25,220.32,6361,14.01,-,6350,99.83
RANEHOLDIN,EQ,20-Feb-2006,215.25,221.00,221.00,221.00,221.00,221.00,221.00,10,0.02,-,10,100.00
RANEHOLDIN,EQ,21-Feb-2006,221.00,220.00,225.00,210.00,210.00,211.95,215.34,27411,59.03,-,26839,97.91
RANEHOLDIN,EQ,22-Feb-2006,211.95,220.85,220.85,205.00,214.00,213.95,210.29,513,1.08,-,270,52.63
RANEHOLDIN,EQ,23-Feb-2006,213.95,220.00,220.00,205.00,205.00,206.05,207.94,373,0.78,-,250,67.02
RANEHOLDIN,EQ,24-Feb-2006,206.05,206.25,210.00,206.25,207.00,207.00,206.89,148,0.31,-,148,100.00
RANEHOLDIN,EQ,27-Feb-2006,207.00,205.55,214.00,205.50,214.00,214.00,207.25,270,0.56,-,250,92.59
RANEHOLDIN,EQ,28-Feb-2006,214.00,227.90,227.90,207.65,208.00,208.00,212.78,150,0.32,-,75,50.00
RANEHOLDIN,EQ,01-Mar-2006,208.00,204.00,223.00,204.00,205.10,205.20,210.62,727,1.53,-,303,41.68
RANEHOLDIN,EQ,02-Mar-2006,205.20,205.00,209.00,190.00,202.00,204.55,204.40,3903,7.98,-,2918,74.76
RANEHOLDIN,EQ,03-Mar-2006,204.55,200.00,204.50,193.00,193.00,194.55,198.47,2184,4.33,-,2047,93.73
RANEHOLDIN,EQ,06-Mar-2006,194.55,199.00,204.45,199.00,204.45,202.10,200.60,301,0.60,-,206,68.44
RANEHOLDIN,EQ,07-Mar-2006,202.10,200.00,206.85,200.00,206.85,205.25,202.67,784,1.59,-,475,60.59
RANEHOLDIN,EQ,08-Mar-2006,205.25,204.00,204.95,195.10,196.00,196.55,198.45,2031,4.03,-,1733,85.33
RANEHOLDIN,EQ,09-Mar-2006,196.55,195.00,201.00,193.75,195.00,195.10,195.94,1624,3.18,-,1522,93.72
RANEHOLDIN,EQ,10-Mar-2006,195.10,204.00,213.00,200.05,211.00,212.15,207.67,2228,4.63,-,1954,87.70
RANEHOLDIN,EQ,13-Mar-2006,212.15,210.00,212.00,203.25,203.25,205.45,209.96,159728,335.36,-,157008,98.30
RANEHOLDIN,EQ,14-Mar-2006,205.45,210.00,210.00,202.00,202.00,202.00,205.20,205,0.42,-,205,100.00
RANEHOLDIN,EQ,16-Mar-2006,202.00,204.00,207.00,203.00,207.00,207.00,206.30,588,1.21,-,565,96.09
RANEHOLDIN,EQ,17-Mar-2006,207.00,205.10,208.75,205.10,206.25,206.25,205.95,257,0.53,-,257,100.00
RANEHOLDIN,EQ,20-Mar-2006,206.25,203.00,203.25,203.00,203.00,203.00,203.04,177,0.36,-,177,100.00
RANEHOLDIN,EQ,21-Mar-2006,203.00,191.10,214.00,191.10,210.00,205.70,205.00,25846,52.98,-,3150,12.19
RANEHOLDIN,EQ,22-Mar-2006,205.70,205.00,210.00,205.00,206.00,206.00,207.93,1046,2.17,-,991,94.74
RANEHOLDIN,EQ,23-Mar-2006,206.00,207.00,214.50,202.10,209.85,205.55,207.86,5895,12.25,-,710,12.04
RANEHOLDIN,EQ,24-Mar-2006,205.55,205.00,217.00,205.00,205.10,205.10,207.65,589,1.22,-,539,91.51
RANEHOLDIN,EQ,27-Mar-2006,205.10,213.00,213.00,205.00,205.00,205.25,205.45,564,1.16,-,552,97.87
RANEHOLDIN,EQ,28-Mar-2006,205.25,210.00,212.00,205.10,205.10,205.10,207.08,1093,2.26,-,1053,96.34
RANEHOLDIN,EQ,29-Mar-2006,205.10,219.80,219.80,205.00,211.50,211.50,208.64,4900,10.22,-,1750,35.71
RANEHOLDIN,EQ,30-Mar-2006,211.50,212.00,212.00,210.00,210.00,210.00,210.28,245,0.52,-,245,100.00
RANEHOLDIN,EQ,31-Mar-2006,210.00,210.00,210.00,210.00,210.00,210.00,210.00,20,0.04,-,20,100.00
RANEHOLDIN,EQ,03-Apr-2006,210.00,206.50,212.00,206.50,212.00,212.00,209.59,814,1.71,-,444,54.55
RANEHOLDIN,EQ,04-Apr-2006,212.00,211.00,220.00,210.10,214.00,216.35,214.68,1652,3.55,-,1552,93.95
RANEHOLDIN,EQ,05-Apr-2006,216.35,224.00,233.00,212.10,216.10,218.30,221.81,1700,3.77,-,1101,64.76
RANEHOLDIN,EQ,07-Apr-2006,218.30,224.90,262.00,224.90,250.00,249.20,249.58,15019,37.48,-,9995,66.55
RANEHOLDIN,EQ,10-Apr-2006,249.20,294.40,294.40,241.10,241.10,243.15,249.34,3984,9.93,-,2697,67.70
RANEHOLDIN,EQ,12-Apr-2006,243.15,237.15,241.95,236.10,236.10,236.10,238.56,1709,4.08,-,1517,88.77
RANEHOLDIN,EQ,13-Apr-2006,236.10,227.00,245.00,226.50,230.10,230.60,230.20,531,1.22,-,451,84.93
RANEHOLDIN,EQ,17-Apr-2006,230.60,218.00,241.60,218.00,237.90,233.95,234.40,611,1.43,-,591,96.73
RANEHOLDIN,EQ,18-Apr-2006,233.95,220.00,255.00,215.50,243.15,245.20,248.59,16293,40.50,-,12659,77.70
RANEHOLDIN,EQ,19-Apr-2006,245.20,248.00,251.00,236.30,242.15,244.80,249.48,15969,39.84,-,15493,97.02
RANEHOLDIN,EQ,20-Apr-2006,244.80,239.00,244.90,237.40,244.90,238.50,240.92,1838,4.43,-,1208,65.72
RANEHOLDIN,EQ,21-Apr-2006,238.50,247.00,247.00,234.00,234.00,235.65,237.09,1387,3.29,-,1112,80.17
RANEHOLDIN,EQ,24-Apr-2006,235.65,246.90,246.90,234.00,236.00,242.85,242.87,375,0.91,-,360,96.00
RANEHOLDIN,EQ,25-Apr-2006,242.85,226.00,245.00,226.00,241.00,234.90,238.46,965,2.30,-,268,27.77
RANEHOLDIN,EQ,26-Apr-2006,234.90,227.20,244.90,227.20,239.90,239.90,235.28,33,0.08,-,27,81.82
RANEHOLDIN,EQ,27-Apr-2006,239.90,235.00,255.00,230.00,236.00,234.40,235.65,1280,3.02,-,924,72.19
RANEHOLDIN,EQ,28-Apr-2006,234.40,200.00,231.00,200.00,231.00,231.00,209.48,474,0.99,-,74,15.61
RANEHOLDIN,EQ,29-Apr-2006,231.00,231.25,231.25,231.25,231.25,231.25,231.25,100,0.23,-,100,100.00
RANEHOLDIN,EQ,02-May-2006,231.25,231.50,238.00,224.10,225.20,225.20,231.65,622,1.44,-,520,83.60
RANEHOLDIN,EQ,03-May-2006,225.20,218.00,243.00,218.00,239.90,235.25,238.91,2557,6.11,-,2092,81.81
RANEHOLDIN,EQ,04-May-2006,235.25,240.00,240.00,230.15,237.75,230.75,235.06,649,1.53,-,595,91.68
RANEHOLDIN,EQ,05-May-2006,230.75,230.00,235.00,230.00,230.10,230.95,232.45,980,2.28,-,853,87.04
RANEHOLDIN,EQ,08-May-2006,230.95,225.15,231.85,225.15,226.10,229.65,227.09,130,0.30,-,80,61.54
RANEHOLDIN,EQ,09-May-2006,229.65,239.00,245.00,229.10,233.00,238.10,238.03,3682,8.76,-,2351,63.85
RANEHOLDIN,EQ,10-May-2006,238.10,233.00,237.50,233.00,237.50,237.50,236.89,226,0.54,-,210,92.92
RANEHOLDIN,EQ,11-May-2006,237.50,237.90,238.00,233.00,234.00,233.40,235.37,804,1.89,-,604,75.12
RANEHOLDIN,EQ,12-May-2006,233.40,216.10,237.90,216.10,228.05,228.05,229.97,1566,3.60,-,98,6.26
RANEHOLDIN,EQ,15-May-2006,228.05,255.00,255.00,226.10,230.00,230.00,240.57,2408,5.79,-,221,9.18
