Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RESPONIND,EQ,29-Oct-2010,92.45,94.00,94.30,90.75,93.50,92.35,92.55,169890,157.22,-,106761,62.84
RESPONIND,EQ,01-Nov-2010,92.35,93.80,93.80,90.60,92.85,92.00,92.27,177859,164.12,-,152141,85.54
RESPONIND,EQ,02-Nov-2010,92.00,92.10,93.85,91.00,93.85,93.40,92.22,198039,182.63,-,155902,78.72
RESPONIND,EQ,03-Nov-2010,93.40,95.00,95.10,94.00,95.10,95.05,94.88,33386,31.68,-,301,0.90
RESPONIND,EQ,04-Nov-2010,95.05,96.30,96.65,95.40,95.40,96.40,96.43,41125,39.66,-,991,2.41
RESPONIND,EQ,05-Nov-2010,96.40,98.10,98.20,98.00,98.20,98.20,98.11,23570,23.13,-,1786,7.58
RESPONIND,EQ,08-Nov-2010,98.20,98.50,100.00,96.60,96.60,96.65,98.51,47689,46.98,-,7422,15.56
RESPONIND,EQ,09-Nov-2010,96.65,95.80,97.00,95.30,95.30,95.30,95.59,40877,39.07,-,5723,14.00
RESPONIND,EQ,10-Nov-2010,95.30,95.30,95.30,93.60,93.65,93.90,94.27,44757,42.19,-,7877,17.60
RESPONIND,EQ,11-Nov-2010,93.90,94.20,94.90,92.15,94.90,92.25,92.88,44169,41.02,-,6602,14.95
RESPONIND,EQ,12-Nov-2010,92.25,90.75,93.50,90.45,91.00,92.00,91.75,40962,37.58,-,6403,15.63
RESPONIND,EQ,15-Nov-2010,92.00,91.00,92.95,90.20,90.80,90.55,91.25,45011,41.07,-,6239,13.86
RESPONIND,EQ,16-Nov-2010,90.55,90.50,92.30,90.50,92.00,92.00,91.51,49070,44.90,-,7491,15.27
RESPONIND,EQ,18-Nov-2010,92.00,92.10,92.85,90.25,90.30,90.30,91.24,18496,16.88,-,6314,34.14
RESPONIND,EQ,19-Nov-2010,90.30,89.60,91.75,88.55,89.00,90.40,90.04,17533,15.79,-,5449,31.08
RESPONIND,EQ,22-Nov-2010,90.40,89.50,91.30,89.05,91.00,91.15,90.08,11175,10.07,-,6525,58.39
RESPONIND,EQ,23-Nov-2010,91.15,90.80,92.30,90.00,91.40,91.40,90.78,17510,15.89,-,6545,37.38
RESPONIND,EQ,24-Nov-2010,91.40,90.30,93.00,90.30,91.55,91.55,91.99,17232,15.85,-,6366,36.94
RESPONIND,EQ,25-Nov-2010,91.55,92.30,93.10,90.55,92.50,92.80,92.26,11110,10.25,-,6000,54.01
RESPONIND,EQ,26-Nov-2010,92.80,93.10,93.50,91.25,91.25,91.25,92.22,11850,10.93,-,6030,50.89
RESPONIND,EQ,29-Nov-2010,91.25,92.00,92.60,90.00,91.90,91.95,91.86,11825,10.86,-,6825,57.72
RESPONIND,EQ,30-Nov-2010,91.95,91.50,93.50,90.35,92.50,92.05,91.59,47074,43.11,-,7073,15.03
RESPONIND,EQ,01-Dec-2010,92.05,93.45,93.45,90.50,92.40,92.40,92.39,61726,57.03,-,6705,10.86
RESPONIND,EQ,02-Dec-2010,92.40,92.50,92.90,91.90,92.60,92.50,92.39,67400,62.27,-,6600,9.79
RESPONIND,EQ,03-Dec-2010,92.50,93.00,93.20,91.10,92.85,92.90,92.76,62276,57.77,-,6651,10.68
RESPONIND,EQ,06-Dec-2010,92.90,93.00,94.30,92.00,93.10,93.20,93.32,51078,47.67,-,7000,13.70
RESPONIND,EQ,07-Dec-2010,93.20,92.55,94.30,91.45,92.80,92.80,93.11,61200,56.98,-,7100,11.60
RESPONIND,EQ,08-Dec-2010,92.80,93.70,93.80,92.25,93.00,93.00,93.07,60330,56.15,-,7075,11.73
RESPONIND,EQ,09-Dec-2010,93.00,92.90,92.90,92.50,92.60,92.60,92.67,59975,55.58,-,6595,11.00
RESPONIND,EQ,10-Dec-2010,92.60,93.50,94.00,91.30,92.75,92.70,92.36,68750,63.50,-,5222,7.60
RESPONIND,EQ,13-Dec-2010,92.70,93.80,94.25,92.70,93.00,92.95,93.19,66215,61.71,-,6615,9.99
