Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
REVATHI,EQ,02-Jan-2006,963.45,980.00,984.00,971.00,978.00,977.95,978.39,672,6.57,-,656,97.62
REVATHI,EQ,03-Jan-2006,977.95,952.05,995.00,952.05,995.00,991.30,986.69,1741,17.18,-,1124,64.56
REVATHI,EQ,04-Jan-2006,991.30,1000.00,1000.00,956.00,966.50,972.95,975.44,922,8.99,-,751,81.45
REVATHI,EQ,05-Jan-2006,972.95,979.00,1021.60,974.00,1021.50,1019.65,995.19,3113,30.98,-,1575,50.59
REVATHI,EQ,06-Jan-2006,1019.65,1020.00,1030.00,1010.00,1011.00,1017.05,1018.49,1036,10.55,-,971,93.73
REVATHI,EQ,09-Jan-2006,1017.05,1011.00,1050.00,1010.00,1024.90,1024.90,1019.82,923,9.41,-,868,94.04
REVATHI,EQ,10-Jan-2006,1024.90,1012.00,1020.00,1000.00,1020.00,1019.15,1015.89,1038,10.54,-,1022,98.46
REVATHI,EQ,12-Jan-2006,1019.15,1000.00,1035.50,1000.00,1035.50,1029.65,1024.56,2025,20.75,-,1782,88.00
REVATHI,EQ,13-Jan-2006,1029.65,1039.00,1081.15,1039.00,1081.15,1081.15,1075.73,1955,21.03,-,1499,76.68
REVATHI,EQ,16-Jan-2006,1081.15,1120.00,1125.00,1063.25,1120.00,1119.70,1110.53,2218,24.63,-,1820,82.06
REVATHI,EQ,17-Jan-2006,1119.70,1119.95,1123.00,1063.75,1085.00,1078.90,1095.04,2106,23.06,-,1947,92.45
REVATHI,EQ,18-Jan-2006,1078.90,1074.90,1075.00,1025.00,1070.00,1050.65,1040.59,1645,17.12,-,1340,81.46
REVATHI,EQ,19-Jan-2006,1050.65,1065.00,1100.00,1050.00,1050.00,1055.00,1069.26,1675,17.91,-,1228,73.31
REVATHI,EQ,20-Jan-2006,1055.00,1090.00,1107.75,1079.90,1107.75,1107.75,1098.38,2695,29.60,-,2512,93.21
REVATHI,EQ,23-Jan-2006,1107.75,1140.00,1163.15,1120.00,1163.15,1163.15,1157.26,1156,13.38,-,996,86.16
REVATHI,EQ,24-Jan-2006,1163.15,1200.00,1210.00,1150.00,1150.00,1171.65,1190.73,2394,28.51,-,1982,82.79
REVATHI,EQ,25-Jan-2006,1171.65,1200.00,1200.00,1115.00,1115.00,1124.75,1148.60,1532,17.60,-,1240,80.94
REVATHI,EQ,27-Jan-2006,1124.75,1179.00,1179.00,1081.30,1095.00,1095.30,1100.71,1202,13.23,-,903,75.12
REVATHI,EQ,30-Jan-2006,1095.30,1090.00,1091.00,1041.00,1041.00,1045.65,1057.00,1186,12.54,-,770,64.92
REVATHI,EQ,31-Jan-2006,1045.65,1050.00,1095.00,1050.00,1071.00,1073.30,1069.84,1165,12.46,-,849,72.88
REVATHI,EQ,01-Feb-2006,1073.30,1041.00,1041.00,1019.65,1019.65,1019.65,1027.22,1944,19.97,-,1688,86.83
REVATHI,EQ,02-Feb-2006,1019.65,1025.00,1025.00,970.00,980.50,987.55,988.49,1342,13.27,-,862,64.23
REVATHI,EQ,03-Feb-2006,987.55,1020.00,1034.00,940.00,945.00,946.70,960.37,1336,12.83,-,1111,83.16
REVATHI,EQ,06-Feb-2006,946.70,950.00,960.00,940.00,950.00,949.50,951.84,1814,17.27,-,1693,93.33
REVATHI,EQ,07-Feb-2006,949.50,967.50,970.00,945.00,950.00,950.25,954.62,325,3.10,-,240,73.85
REVATHI,EQ,08-Feb-2006,950.25,930.00,980.00,919.05,970.00,964.20,949.51,1148,10.90,-,895,77.96
REVATHI,EQ,10-Feb-2006,964.20,960.00,960.00,930.00,939.00,936.75,937.78,567,5.32,-,448,79.01
REVATHI,EQ,13-Feb-2006,936.75,920.00,975.00,920.00,970.00,966.65,960.49,630,6.05,-,484,76.83
REVATHI,EQ,14-Feb-2006,966.65,965.00,966.65,930.00,950.00,945.70,944.70,465,4.39,-,289,62.15
REVATHI,EQ,15-Feb-2006,945.70,945.00,945.00,920.00,921.00,934.25,932.80,485,4.52,-,408,84.12
REVATHI,EQ,16-Feb-2006,934.25,960.00,960.00,920.00,920.00,920.15,928.52,994,9.23,-,820,82.49
REVATHI,EQ,17-Feb-2006,920.15,950.00,950.00,910.00,913.00,912.25,925.69,1044,9.66,-,914,87.55
REVATHI,EQ,20-Feb-2006,912.25,915.00,915.00,905.00,905.00,905.35,906.42,1759,15.94,-,1679,95.45
REVATHI,EQ,21-Feb-2006,905.35,919.00,919.00,905.00,913.95,913.55,913.98,943,8.62,-,935,99.15
REVATHI,EQ,22-Feb-2006,913.55,914.00,948.95,914.00,922.00,931.05,931.76,1729,16.11,-,1387,80.22
REVATHI,EQ,23-Feb-2006,931.05,949.00,955.00,916.10,920.00,928.95,938.53,1320,12.39,-,999,75.68
REVATHI,EQ,24-Feb-2006,928.95,901.25,930.00,895.00,905.20,908.80,907.08,1810,16.42,-,1583,87.46
REVATHI,EQ,27-Feb-2006,908.80,915.20,928.85,912.55,913.00,915.00,915.14,311,2.85,-,217,69.77
REVATHI,EQ,28-Feb-2006,915.00,925.00,960.50,925.00,944.40,933.70,940.54,2638,24.81,-,1733,65.69
REVATHI,EQ,01-Mar-2006,933.70,948.00,980.40,941.00,980.40,980.40,976.19,1658,16.19,-,1476,89.02
REVATHI,EQ,02-Mar-2006,980.40,1029.25,1029.25,985.00,1020.00,1014.80,1001.78,1708,17.11,-,1557,91.16
REVATHI,EQ,03-Mar-2006,1014.80,1001.05,1005.00,990.00,990.00,993.65,996.34,2132,21.24,-,1927,90.38
REVATHI,EQ,06-Mar-2006,993.65,1038.85,1038.85,986.00,991.00,991.00,992.37,343,3.40,-,245,71.43
REVATHI,EQ,07-Mar-2006,991.00,1005.00,1005.00,991.00,995.00,998.10,999.60,713,7.13,-,670,93.97
REVATHI,EQ,08-Mar-2006,998.10,995.00,1048.00,995.00,1000.00,1001.05,1025.00,4042,41.43,-,2805,69.40
REVATHI,EQ,09-Mar-2006,1001.05,1000.00,1001.00,973.05,990.00,989.95,993.14,1071,10.64,-,1004,93.74
REVATHI,EQ,10-Mar-2006,989.95,995.00,1020.00,995.00,1003.00,1002.35,1009.47,694,7.01,-,459,66.14
REVATHI,EQ,13-Mar-2006,1002.35,1003.00,1023.95,995.00,995.00,995.10,1000.22,298,2.98,-,242,81.21
REVATHI,EQ,14-Mar-2006,995.10,995.00,1000.00,980.00,980.00,980.05,988.06,4096,40.47,-,4016,98.05
REVATHI,EQ,16-Mar-2006,980.05,1006.00,1006.00,975.00,975.00,976.10,989.58,1578,15.62,-,985,62.42
REVATHI,EQ,17-Mar-2006,976.10,985.90,992.00,979.00,979.00,982.50,985.92,1704,16.80,-,1478,86.74
REVATHI,EQ,20-Mar-2006,982.50,989.65,989.75,960.10,960.10,962.55,978.09,734,7.18,-,712,97.00
REVATHI,EQ,21-Mar-2006,962.55,970.00,980.00,964.00,964.05,964.45,968.26,325,3.15,-,280,86.15
REVATHI,EQ,22-Mar-2006,964.45,960.00,970.00,936.00,951.00,942.40,947.31,1919,18.18,-,1354,70.56
REVATHI,EQ,23-Mar-2006,942.40,950.00,958.40,945.00,945.00,947.05,951.16,2445,23.26,-,430,17.59
REVATHI,EQ,24-Mar-2006,947.05,964.00,969.50,930.00,934.95,933.50,952.27,1099,10.47,-,715,65.06
REVATHI,EQ,27-Mar-2006,933.50,935.00,935.00,915.00,915.00,919.25,928.70,3188,29.61,-,3185,99.91
REVATHI,EQ,28-Mar-2006,919.25,916.25,920.00,900.00,915.00,905.00,908.00,940,8.54,-,701,74.57
REVATHI,EQ,29-Mar-2006,905.00,881.55,940.00,881.55,900.00,902.20,912.31,1537,14.02,-,966,62.85
REVATHI,EQ,30-Mar-2006,902.20,939.95,939.95,906.45,919.40,919.35,911.94,394,3.59,-,362,91.88
REVATHI,EQ,31-Mar-2006,919.35,925.00,965.00,925.00,958.00,957.50,947.33,1377,13.04,-,1166,84.68
REVATHI,EQ,03-Apr-2006,957.50,999.00,1005.40,997.90,1005.40,1005.40,1004.37,1899,19.07,-,1895,99.79
REVATHI,EQ,04-Apr-2006,1005.40,1031.00,1055.70,1031.00,1055.70,1055.70,1054.35,696,7.34,-,691,99.28
REVATHI,EQ,05-Apr-2006,1055.70,1108.50,1108.50,1030.20,1070.00,1061.80,1084.64,2379,25.80,-,1126,47.33
REVATHI,EQ,07-Apr-2006,1061.80,1078.00,1080.00,1011.55,1024.00,1024.00,1060.70,713,7.56,-,511,71.67
REVATHI,EQ,10-Apr-2006,1024.00,1025.00,1075.20,1025.00,1055.00,1055.00,1062.22,2506,26.62,-,1948,77.73
REVATHI,EQ,12-Apr-2006,1055.00,1075.00,1075.00,1003.00,1003.00,1007.80,1021.04,1265,12.92,-,1141,90.20
REVATHI,EQ,13-Apr-2006,1007.80,1000.00,1045.00,967.00,1045.00,1015.05,1003.21,1684,16.89,-,1507,89.49
REVATHI,EQ,17-Apr-2006,1015.05,1015.05,1015.05,966.20,990.00,998.15,995.47,1599,15.92,-,1499,93.75
REVATHI,EQ,18-Apr-2006,998.15,970.00,970.00,948.25,948.90,948.40,954.27,1690,16.13,-,1377,81.48
REVATHI,EQ,19-Apr-2006,948.40,950.00,956.00,901.00,901.00,901.00,915.53,2885,26.41,-,1975,68.46
REVATHI,EQ,20-Apr-2006,901.00,880.00,900.00,880.00,900.00,890.95,889.95,1879,16.72,-,1678,89.30
REVATHI,EQ,21-Apr-2006,890.95,865.00,890.00,864.60,885.00,882.75,880.40,1150,10.12,-,755,65.65
REVATHI,EQ,24-Apr-2006,882.75,900.00,925.00,880.00,925.00,922.25,910.15,516,4.70,-,460,89.15
REVATHI,EQ,25-Apr-2006,922.25,938.00,965.00,911.00,920.00,918.20,933.95,1166,10.89,-,994,85.25
REVATHI,EQ,26-Apr-2006,918.20,900.10,928.00,900.10,920.00,920.00,918.93,1038,9.54,-,992,95.57
REVATHI,EQ,27-Apr-2006,920.00,931.00,966.00,930.00,966.00,966.00,963.34,5116,49.28,-,4078,79.71
