Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RICOAUTO,EQ,02-Jan-2006,97.95,98.55,99.55,97.50,97.50,97.60,98.31,28598,28.12,-,18089,63.25
RICOAUTO,EQ,03-Jan-2006,97.60,99.00,100.90,97.50,97.60,97.95,98.23,305553,300.15,-,239889,78.51
RICOAUTO,EQ,04-Jan-2006,97.95,98.65,98.65,97.65,98.00,98.00,98.01,456364,447.29,-,443455,97.17
RICOAUTO,EQ,05-Jan-2006,98.00,98.95,99.00,97.75,98.20,98.10,98.04,198579,194.68,-,184949,93.14
RICOAUTO,EQ,06-Jan-2006,98.10,98.75,101.50,98.00,98.10,98.30,99.23,105984,105.17,-,44730,42.20
RICOAUTO,EQ,09-Jan-2006,98.30,99.90,99.90,98.00,98.50,98.80,98.18,132105,129.71,-,113342,85.80
RICOAUTO,EQ,10-Jan-2006,98.80,98.50,99.00,97.00,97.35,98.10,97.97,42422,41.56,-,25543,60.21
RICOAUTO,EQ,12-Jan-2006,98.10,98.50,98.95,94.50,96.00,96.20,96.88,35588,34.48,-,18899,53.10
RICOAUTO,EQ,13-Jan-2006,96.20,97.40,99.00,96.60,96.60,97.20,98.03,54066,53.00,-,25270,46.74
RICOAUTO,EQ,16-Jan-2006,97.20,97.50,97.60,95.00,95.30,95.05,95.81,24059,23.05,-,17089,71.03
RICOAUTO,EQ,17-Jan-2006,95.05,95.00,95.85,92.25,92.50,92.60,94.02,32277,30.35,-,22455,69.57
RICOAUTO,EQ,18-Jan-2006,92.60,93.00,93.00,88.05,88.50,88.95,89.68,151599,135.96,-,135983,89.70
RICOAUTO,EQ,19-Jan-2006,88.95,89.95,94.00,89.50,91.50,91.30,90.68,104714,94.96,-,60821,58.08
RICOAUTO,EQ,20-Jan-2006,91.30,92.80,93.45,91.40,93.00,92.60,92.36,48958,45.22,-,32309,65.99
RICOAUTO,EQ,23-Jan-2006,92.60,91.90,94.60,91.90,93.45,93.05,93.01,150445,139.93,-,125132,83.17
RICOAUTO,EQ,24-Jan-2006,93.05,93.00,96.00,93.00,96.00,95.10,94.59,184662,174.68,-,153076,82.90
RICOAUTO,EQ,25-Jan-2006,95.10,96.00,98.70,95.50,97.00,97.45,97.06,310614,301.49,-,213407,68.70
RICOAUTO,EQ,27-Jan-2006,97.45,99.00,99.00,96.30,97.25,97.05,97.20,177200,172.25,-,164491,92.83
RICOAUTO,EQ,30-Jan-2006,97.05,95.95,97.00,94.00,95.00,95.00,94.97,150243,142.69,-,115436,76.83
RICOAUTO,EQ,31-Jan-2006,95.00,94.00,96.80,80.40,96.00,95.80,95.23,92664,88.24,-,74554,80.46
RICOAUTO,EQ,01-Feb-2006,95.80,95.05,99.00,94.00,99.00,97.05,95.64,194569,186.08,-,160748,82.62
RICOAUTO,EQ,02-Feb-2006,97.05,97.50,98.50,95.10,98.00,97.30,96.86,208916,202.35,-,191022,91.43
RICOAUTO,EQ,03-Feb-2006,97.30,97.05,97.45,95.65,95.75,96.10,96.27,35706,34.37,-,26013,72.85
RICOAUTO,EQ,06-Feb-2006,96.10,96.30,98.40,95.00,97.95,97.70,96.68,222827,215.42,-,202605,90.92
RICOAUTO,EQ,07-Feb-2006,97.70,97.95,98.10,96.10,97.10,97.00,96.94,138200,133.97,-,117426,84.97
RICOAUTO,EQ,08-Feb-2006,97.00,96.70,98.20,96.00,96.15,97.00,96.98,493094,478.18,-,459488,93.18
RICOAUTO,EQ,10-Feb-2006,97.00,96.00,98.80,95.25,98.00,97.95,97.47,751499,732.46,-,697271,92.78
RICOAUTO,EQ,13-Feb-2006,97.95,99.50,100.00,98.05,98.05,98.35,98.79,83901,82.89,-,41040,48.91
RICOAUTO,EQ,14-Feb-2006,98.35,98.70,98.90,95.50,95.50,96.35,97.02,148295,143.87,-,110046,74.21
RICOAUTO,EQ,15-Feb-2006,96.35,96.00,98.85,95.80,97.15,97.00,96.53,662512,639.53,-,573949,86.63
RICOAUTO,EQ,16-Feb-2006,97.00,97.00,98.25,95.80,97.00,97.00,97.11,375926,365.06,-,317532,84.47
RICOAUTO,EQ,17-Feb-2006,97.00,96.25,98.00,95.65,96.30,97.30,96.70,182013,176.01,-,135341,74.36
RICOAUTO,EQ,20-Feb-2006,97.30,97.00,97.00,91.00,91.85,92.00,93.85,30357,28.49,-,16076,52.96
RICOAUTO,EQ,21-Feb-2006,92.00,92.55,93.75,88.80,89.50,89.75,90.42,49118,44.41,-,32869,66.92
RICOAUTO,EQ,22-Feb-2006,89.75,90.10,92.25,87.75,92.00,91.35,89.34,164587,147.05,-,123514,75.04
RICOAUTO,EQ,23-Feb-2006,91.35,93.05,93.45,89.00,89.00,89.10,90.92,76029,69.12,-,38875,51.13
RICOAUTO,EQ,24-Feb-2006,89.10,89.15,89.75,87.10,87.80,87.75,88.32,58979,52.09,-,45369,76.92
RICOAUTO,EQ,27-Feb-2006,87.75,88.40,88.40,87.00,87.85,87.20,87.63,36770,32.22,-,21858,59.45
RICOAUTO,EQ,28-Feb-2006,87.20,88.10,89.85,87.00,87.50,87.15,87.73,50080,43.93,-,29259,58.42
RICOAUTO,EQ,01-Mar-2006,87.15,88.00,94.70,88.00,91.60,92.95,92.47,228291,211.10,-,79305,34.74
RICOAUTO,EQ,02-Mar-2006,92.95,94.00,94.70,88.55,89.70,89.50,91.59,103158,94.48,-,55226,53.54
RICOAUTO,EQ,03-Mar-2006,89.50,89.70,90.90,87.05,87.75,87.95,88.20,70877,62.51,-,30360,42.83
RICOAUTO,EQ,06-Mar-2006,87.95,87.05,88.95,86.35,86.35,86.70,87.32,51394,44.88,-,36620,71.25
RICOAUTO,EQ,07-Mar-2006,86.70,87.00,87.00,83.50,84.00,84.25,84.90,69900,59.35,-,60208,86.13
RICOAUTO,EQ,08-Mar-2006,84.25,85.00,86.85,83.20,83.80,83.40,84.97,131481,111.72,-,90235,68.63
RICOAUTO,EQ,09-Mar-2006,83.40,81.40,84.30,80.60,81.10,81.00,81.66,67189,54.87,-,56044,83.41
RICOAUTO,EQ,10-Mar-2006,81.00,82.00,83.45,81.60,82.00,82.10,82.13,50569,41.53,-,35382,69.97
RICOAUTO,EQ,13-Mar-2006,82.10,83.00,83.00,80.60,81.05,81.30,81.83,56088,45.90,-,35524,63.34
RICOAUTO,EQ,14-Mar-2006,81.30,81.50,82.00,80.90,81.60,81.45,81.35,103492,84.19,-,86411,83.50
RICOAUTO,EQ,16-Mar-2006,81.45,82.00,83.00,81.30,81.75,82.05,82.05,61740,50.66,-,48021,77.78
RICOAUTO,EQ,17-Mar-2006,82.05,80.00,82.20,80.00,81.35,81.00,81.62,102405,83.59,-,95289,93.05
RICOAUTO,EQ,20-Mar-2006,81.00,81.90,82.00,78.60,80.90,80.85,79.89,120732,96.45,-,96186,79.67
RICOAUTO,EQ,21-Mar-2006,80.85,80.95,85.00,80.95,83.20,83.50,82.98,95065,78.89,-,58671,61.72
RICOAUTO,EQ,22-Mar-2006,83.50,83.00,85.95,83.00,84.30,84.70,84.73,104320,88.39,-,80492,77.16
RICOAUTO,EQ,23-Mar-2006,84.70,84.00,86.50,83.20,85.70,85.95,85.54,82655,70.70,-,56011,67.76
RICOAUTO,EQ,24-Mar-2006,85.95,85.15,87.45,85.15,86.90,86.95,86.45,43669,37.75,-,32180,73.69
RICOAUTO,EQ,27-Mar-2006,86.95,87.50,91.90,87.00,89.90,89.80,89.80,175428,157.54,-,101674,57.96
RICOAUTO,EQ,28-Mar-2006,89.80,94.65,101.95,91.00,92.00,92.00,92.73,233805,216.82,-,129083,55.21
RICOAUTO,EQ,29-Mar-2006,92.00,85.00,93.40,85.00,90.10,90.20,91.03,91136,82.96,-,61193,67.14
RICOAUTO,EQ,30-Mar-2006,90.20,90.00,91.00,87.35,89.65,89.80,89.05,50523,44.99,-,29246,57.89
RICOAUTO,EQ,31-Mar-2006,89.80,93.90,93.90,88.00,90.50,90.00,89.98,281963,253.72,-,271589,96.32
RICOAUTO,EQ,03-Apr-2006,90.00,91.00,91.95,89.15,89.80,89.55,89.98,99084,89.15,-,88833,89.65
RICOAUTO,EQ,04-Apr-2006,89.55,91.40,91.40,85.50,87.00,87.55,88.25,39074,34.48,-,25982,66.49
RICOAUTO,EQ,05-Apr-2006,87.55,88.15,89.35,86.50,87.50,87.05,87.53,58725,51.40,-,33511,57.06
RICOAUTO,EQ,07-Apr-2006,87.05,90.00,90.00,84.65,84.65,85.05,86.33,65774,56.78,-,44197,67.20
RICOAUTO,EQ,10-Apr-2006,85.05,82.00,84.00,80.80,82.85,82.50,82.65,42241,34.91,-,29084,68.85
RICOAUTO,EQ,12-Apr-2006,82.50,85.10,85.10,81.60,82.50,81.85,82.62,28797,23.79,-,25006,86.84
RICOAUTO,EQ,13-Apr-2006,81.85,80.65,81.95,80.50,80.90,80.95,81.17,30491,24.75,-,22978,75.36
RICOAUTO,EQ,17-Apr-2006,80.95,81.10,82.25,80.00,80.00,80.20,80.72,27027,21.82,-,22552,83.44
RICOAUTO,EQ,18-Apr-2006,80.20,81.00,82.00,79.30,81.35,80.90,80.71,73684,59.47,-,56624,76.85
RICOAUTO,EQ,19-Apr-2006,80.90,82.70,82.70,79.50,79.95,79.95,80.53,25673,20.67,-,18660,72.68
RICOAUTO,EQ,20-Apr-2006,79.95,78.45,84.90,78.45,80.55,80.70,81.46,66289,54.00,-,36320,54.79
RICOAUTO,EQ,21-Apr-2006,80.70,81.00,83.30,80.30,80.85,80.55,80.97,32069,25.97,-,20421,63.68
RICOAUTO,EQ,24-Apr-2006,80.55,81.95,92.75,81.45,91.70,90.30,87.39,493477,431.27,-,393267,79.69
RICOAUTO,EQ,25-Apr-2006,90.30,92.00,93.50,88.00,89.15,89.00,89.79,250947,225.31,-,172756,68.84
RICOAUTO,EQ,26-Apr-2006,89.00,89.70,89.70,87.20,89.70,89.30,89.01,76636,68.22,-,57659,75.24
RICOAUTO,EQ,27-Apr-2006,89.30,89.05,89.50,87.55,88.00,88.15,88.96,92536,82.32,-,81725,88.32
RICOAUTO,EQ,28-Apr-2006,88.15,88.90,91.50,86.20,90.05,90.05,89.83,171972,154.49,-,137860,80.16
RICOAUTO,EQ,29-Apr-2006,90.05,91.25,91.25,90.00,90.00,90.05,90.08,46458,41.85,-,39595,85.23
RICOAUTO,EQ,02-May-2006,90.05,91.00,92.00,91.00,91.75,91.55,91.56,56731,51.94,-,50878,89.68
RICOAUTO,EQ,03-May-2006,91.55,92.45,92.45,89.25,90.00,90.00,90.49,145917,132.04,-,127213,87.18
RICOAUTO,EQ,04-May-2006,90.00,90.55,90.95,90.00,90.00,90.05,90.10,54083,48.73,-,45625,84.36
RICOAUTO,EQ,05-May-2006,90.05,90.00,92.00,73.50,89.00,89.10,88.87,99372,88.31,-,82326,82.85
RICOAUTO,EQ,08-May-2006,89.10,90.80,92.00,89.20,90.00,90.00,90.15,59116,53.29,-,47886,81.00
RICOAUTO,EQ,09-May-2006,90.00,90.00,92.60,88.95,91.60,92.20,91.08,181907,165.68,-,98201,53.98
RICOAUTO,EQ,10-May-2006,92.20,93.90,97.70,93.00,93.30,94.05,95.10,240284,228.52,-,132705,55.23
RICOAUTO,EQ,11-May-2006,94.05,94.00,94.95,90.15,91.50,91.20,92.48,47403,43.84,-,31545,66.55
RICOAUTO,EQ,12-May-2006,91.20,91.90,91.95,89.00,89.30,89.80,90.66,40278,36.52,-,23389,58.07
RICOAUTO,EQ,15-May-2006,89.80,90.00,90.00,84.50,85.00,84.90,89.36,649025,579.96,-,637910,98.29
RICOAUTO,EQ,16-May-2006,84.90,85.90,86.45,79.10,79.90,80.90,81.96,97411,79.84,-,71345,73.24
RICOAUTO,EQ,17-May-2006,80.90,82.65,87.80,81.85,85.35,84.55,84.76,58640,49.70,-,31610,53.91
