Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RJL,EQ,12-Dec-2007,150.00,190.00,190.00,163.05,164.00,164.90,172.26,6206758,10692.06,-,1446134,23.30
RJL,W1,12-Dec-2007,10.00,11.00,28.10,11.00,24.50,24.50,24.66,389299,96.02,-,182952,47.00
RJL,EQ,13-Dec-2007,164.90,166.00,174.40,160.40,166.05,165.85,167.85,1142599,1917.80,-,281546,24.64
RJL,W1,13-Dec-2007,24.50,22.00,29.40,20.00,29.40,29.40,26.94,90839,24.47,-,68890,75.84
RJL,EQ,14-Dec-2007,165.85,168.90,172.50,161.25,164.00,164.40,167.23,435952,729.06,-,113875,26.12
RJL,W1,14-Dec-2007,29.40,30.90,35.30,30.90,35.30,35.30,35.21,24867,8.76,-,20066,80.69
RJL,EQ,17-Dec-2007,164.40,167.00,167.00,151.00,155.00,154.25,162.21,276197,448.01,-,138136,50.01
RJL,W1,17-Dec-2007,35.30,36.50,42.00,34.00,35.45,35.00,37.49,97597,36.59,-,66837,68.48
RJL,EQ,18-Dec-2007,154.25,160.00,160.00,149.05,151.00,150.40,152.38,178838,272.51,-,95327,53.30
RJL,W1,18-Dec-2007,35.00,37.00,37.00,32.00,34.45,33.00,34.78,27812,9.67,-,19170,68.93
RJL,EQ,19-Dec-2007,150.40,160.00,160.00,147.10,147.60,148.35,151.96,90209,137.08,-,37307,41.36
RJL,W1,19-Dec-2007,33.00,30.50,35.90,30.50,33.75,33.90,34.23,50908,17.43,-,36544,71.78
RJL,EQ,20-Dec-2007,148.35,149.00,150.90,138.00,138.20,140.00,142.91,147427,210.69,-,68667,46.58
RJL,W1,20-Dec-2007,33.90,32.30,32.30,28.65,28.65,29.00,29.97,13914,4.17,-,11861,85.25
RJL,EQ,24-Dec-2007,140.00,142.00,148.80,136.20,141.00,142.60,143.47,159737,229.17,-,50395,31.55
RJL,W1,24-Dec-2007,29.00,28.50,32.90,28.50,31.00,30.60,30.77,27858,8.57,-,14431,51.80
RJL,EQ,26-Dec-2007,142.60,143.00,149.00,142.25,143.90,143.60,145.30,99709,144.88,-,28792,28.88
RJL,W1,26-Dec-2007,30.60,29.40,33.85,29.40,33.85,33.10,31.89,16972,5.41,-,8354,49.22
RJL,EQ,27-Dec-2007,143.60,143.00,148.00,142.60,146.80,146.25,145.07,133548,193.73,-,78696,58.93
RJL,W1,27-Dec-2007,33.10,32.50,32.50,29.70,29.90,30.20,30.91,8759,2.71,-,6677,76.23
RJL,EQ,28-Dec-2007,146.25,145.00,157.50,144.10,150.40,151.25,152.31,186524,284.10,-,49284,26.42
RJL,W1,28-Dec-2007,30.20,31.40,34.00,31.40,32.50,32.20,32.16,19649,6.32,-,16663,84.80
RJL,EQ,31-Dec-2007,151.25,153.90,159.80,151.55,153.40,153.05,154.94,180529,279.71,-,99432,55.08
RJL,W1,31-Dec-2007,32.20,32.90,35.00,32.80,34.75,34.70,34.24,9121,3.12,-,7077,77.59
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RJL,EQ,01-Jan-2008,153.05,155.80,159.50,151.30,158.30,156.80,155.72,125040,194.72,-,50959,40.75
RJL,W1,01-Jan-2008,34.70,33.60,33.60,32.10,32.10,32.10,32.37,4346,1.41,-,4346,100.00
RJL,EQ,02-Jan-2008,156.80,160.00,176.95,156.10,170.00,170.30,170.04,940731,1599.64,-,238808,25.39
RJL,W1,02-Jan-2008,32.10,36.35,38.55,32.50,38.55,38.55,37.60,21372,8.04,-,17504,81.90
RJL,EQ,03-Jan-2008,170.30,167.30,175.60,164.15,166.50,166.10,170.16,515246,876.76,-,145988,28.33
RJL,W1,03-Jan-2008,38.55,39.00,46.30,39.00,46.30,46.30,45.42,32757,14.88,-,27577,84.19
RJL,EQ,04-Jan-2008,166.10,166.20,174.85,165.00,165.50,166.25,169.87,316610,537.82,-,110175,34.80
RJL,W1,04-Jan-2008,46.30,49.80,55.50,44.25,51.40,50.90,52.59,48829,25.68,-,24785,50.76
RJL,EQ,07-Jan-2008,166.25,164.00,172.05,164.00,166.00,166.30,168.78,227525,384.02,-,83430,36.67
RJL,W1,07-Jan-2008,50.90,51.50,59.00,51.25,53.05,53.75,54.41,40399,21.98,-,27342,67.68
RJL,EQ,08-Jan-2008,166.30,168.35,168.35,152.70,157.00,155.25,159.69,135426,216.26,-,56079,41.41
RJL,W1,08-Jan-2008,53.75,54.50,56.00,43.00,44.15,44.15,46.20,20087,9.28,-,18796,93.57
RJL,EQ,09-Jan-2008,155.25,155.65,155.65,145.00,145.90,145.80,148.75,90494,134.61,-,38653,42.71
RJL,W1,09-Jan-2008,44.15,44.95,46.00,40.05,41.15,41.00,42.15,23077,9.73,-,20501,88.84
RJL,EQ,10-Jan-2008,145.80,148.50,151.90,141.00,142.00,142.40,147.73,74766,110.46,-,30668,41.02
RJL,W1,10-Jan-2008,41.00,40.00,45.35,39.00,41.95,40.80,39.90,49417,19.72,-,45630,92.34
RJL,EQ,11-Jan-2008,142.40,145.00,145.00,135.05,139.50,139.15,138.62,57725,80.02,-,27094,46.94
RJL,W1,11-Jan-2008,40.80,39.90,40.00,36.25,38.00,37.45,38.59,17882,6.90,-,11150,62.35
