Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RPGLIFE,EQ,10-Jun-2008,65.60,60.00,60.00,40.00,44.70,44.90,47.53,6544211,3110.26,-,441993,6.75
RPGLIFE,EQ,11-Jun-2008,44.90,44.70,45.60,41.60,42.30,42.75,43.48,1551795,674.76,-,130370,8.40
RPGLIFE,EQ,12-Jun-2008,42.75,41.00,42.75,39.10,39.40,40.15,41.38,695078,287.64,-,92508,13.31
RPGLIFE,EQ,13-Jun-2008,40.15,41.00,42.00,36.10,36.40,36.65,38.32,367851,140.97,-,102259,27.80
RPGLIFE,EQ,16-Jun-2008,36.65,38.40,38.95,36.20,36.70,36.45,37.40,361905,135.35,-,58764,16.24
RPGLIFE,EQ,17-Jun-2008,36.45,37.40,37.40,34.50,36.10,35.65,35.59,264434,94.10,-,74101,28.02
RPGLIFE,EQ,18-Jun-2008,35.65,36.70,37.40,35.65,35.90,35.85,36.31,177231,64.35,-,39209,22.12
RPGLIFE,EQ,19-Jun-2008,35.85,35.20,35.90,34.15,34.50,34.55,35.00,85494,29.92,-,31763,37.15
RPGLIFE,EQ,20-Jun-2008,34.55,35.10,35.10,31.15,31.40,31.60,32.83,123447,40.53,-,51620,41.82
RPGLIFE,EQ,23-Jun-2008,31.60,29.30,30.65,28.25,28.25,28.75,29.49,109023,32.15,-,34565,31.70
RPGLIFE,EQ,24-Jun-2008,28.75,28.50,29.15,27.05,29.00,28.75,28.56,93442,26.69,-,40600,43.45
RPGLIFE,EQ,25-Jun-2008,28.75,27.35,31.45,27.25,30.00,30.25,29.59,120347,35.62,-,37473,31.14
RPGLIFE,EQ,26-Jun-2008,30.25,31.00,31.45,29.25,29.25,29.70,30.33,33502,10.16,-,13148,39.25
RPGLIFE,EQ,27-Jun-2008,29.70,28.00,29.00,27.00,27.35,27.25,28.03,46798,13.12,-,25233,53.92
RPGLIFE,EQ,30-Jun-2008,27.25,26.75,27.60,25.75,26.00,26.10,26.86,41580,11.17,-,20963,50.42
RPGLIFE,EQ,01-Jul-2008,26.10,26.50,26.50,25.00,25.40,25.20,25.79,41357,10.67,-,20854,50.42
RPGLIFE,EQ,02-Jul-2008,25.20,26.40,26.40,24.10,26.00,25.75,25.10,29440,7.39,-,17794,60.44
RPGLIFE,EQ,03-Jul-2008,25.75,25.65,27.90,24.65,27.85,27.50,26.87,59992,16.12,-,27337,45.57
RPGLIFE,EQ,04-Jul-2008,27.50,27.50,29.00,26.10,28.00,28.50,27.98,35323,9.88,-,16647,47.13
RPGLIFE,EQ,07-Jul-2008,28.50,28.20,30.40,28.20,29.30,29.05,29.26,23430,6.86,-,10146,43.30
RPGLIFE,EQ,08-Jul-2008,29.05,28.00,29.95,27.65,29.00,29.20,29.09,32055,9.33,-,23362,72.88
RPGLIFE,EQ,09-Jul-2008,29.20,29.75,30.80,29.30,29.70,29.60,29.76,16147,4.81,-,9394,58.18
RPGLIFE,EQ,10-Jul-2008,29.60,28.90,30.40,28.70,30.30,30.20,30.03,23068,6.93,-,12950,56.14
RPGLIFE,EQ,11-Jul-2008,30.20,31.45,31.45,28.70,29.40,29.10,30.00,15517,4.66,-,11363,73.23
