Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RSSOFTWARE,EQ,02-Jan-2006,117.05,120.00,122.90,114.60,118.05,118.50,120.73,284002,342.87,-,103183,36.33
RSSOFTWARE,EQ,03-Jan-2006,118.50,119.00,121.85,115.00,115.00,116.30,117.69,100632,118.43,-,62133,61.74
RSSOFTWARE,EQ,04-Jan-2006,116.30,120.00,120.00,110.50,113.80,114.05,114.02,222091,253.23,-,95852,43.16
RSSOFTWARE,EQ,05-Jan-2006,114.05,115.50,118.00,112.00,114.00,114.75,115.54,118607,137.03,-,41480,34.97
RSSOFTWARE,EQ,06-Jan-2006,114.75,115.80,117.10,110.50,112.00,112.20,113.62,55419,62.97,-,28006,50.54
RSSOFTWARE,EQ,09-Jan-2006,112.20,113.25,115.90,113.00,115.50,115.00,114.76,47100,54.05,-,27462,58.31
RSSOFTWARE,EQ,10-Jan-2006,115.00,113.50,114.50,110.10,110.80,110.45,111.55,25244,28.16,-,17862,70.76
RSSOFTWARE,EQ,12-Jan-2006,110.45,108.00,112.50,107.50,107.50,108.30,110.03,21537,23.70,-,14229,66.07
RSSOFTWARE,EQ,13-Jan-2006,108.30,109.55,110.50,103.05,103.50,105.10,108.02,26087,28.18,-,12653,48.50
RSSOFTWARE,EQ,16-Jan-2006,105.10,109.00,109.00,102.00,102.00,103.20,105.14,18451,19.40,-,10396,56.34
RSSOFTWARE,EQ,17-Jan-2006,103.20,104.00,105.00,98.05,98.35,98.35,100.14,41373,41.43,-,20696,50.02
RSSOFTWARE,EQ,18-Jan-2006,98.35,98.00,103.30,94.00,99.85,99.85,100.28,65393,65.57,-,27510,42.07
RSSOFTWARE,EQ,19-Jan-2006,99.85,103.75,103.75,99.50,100.00,100.30,101.47,47844,48.55,-,19135,39.99
RSSOFTWARE,EQ,20-Jan-2006,100.30,103.60,104.20,100.00,101.10,100.55,101.94,28713,29.27,-,7737,26.95
RSSOFTWARE,EQ,23-Jan-2006,100.55,101.00,102.00,98.05,98.30,98.35,99.67,12528,12.49,-,5851,46.70
RSSOFTWARE,EQ,24-Jan-2006,98.35,99.10,100.90,98.00,98.00,98.25,99.27,16997,16.87,-,13018,76.59
RSSOFTWARE,EQ,25-Jan-2006,98.25,98.60,99.45,93.60,93.60,94.20,96.24,15148,14.58,-,11441,75.53
RSSOFTWARE,EQ,27-Jan-2006,94.20,94.20,96.00,92.15,93.60,93.70,94.83,18766,17.80,-,11943,63.64
RSSOFTWARE,EQ,30-Jan-2006,93.70,98.00,98.00,89.50,92.30,91.05,93.14,31516,29.36,-,17558,55.71
RSSOFTWARE,EQ,31-Jan-2006,91.05,91.60,94.00,87.50,89.70,89.40,91.16,14009,12.77,-,8030,57.32
RSSOFTWARE,EQ,01-Feb-2006,89.40,90.50,90.50,87.05,87.25,88.15,89.17,15495,13.82,-,10977,70.84
RSSOFTWARE,EQ,02-Feb-2006,88.15,89.00,89.00,83.75,84.00,83.90,84.96,28175,23.94,-,21771,77.27
RSSOFTWARE,EQ,03-Feb-2006,83.90,84.90,87.50,81.30,86.00,84.95,84.31,43371,36.57,-,25571,58.96
RSSOFTWARE,EQ,06-Feb-2006,84.95,87.90,89.20,86.00,88.50,88.25,88.38,31149,27.53,-,18644,59.85
RSSOFTWARE,EQ,07-Feb-2006,88.25,88.70,90.50,85.15,85.15,87.45,88.86,21342,18.96,-,13844,64.87
RSSOFTWARE,EQ,08-Feb-2006,87.45,85.15,90.85,84.60,86.50,86.65,86.01,11215,9.65,-,5976,53.29
RSSOFTWARE,EQ,10-Feb-2006,86.65,86.60,89.95,86.60,88.10,88.15,87.96,16829,14.80,-,10587,62.91
RSSOFTWARE,EQ,13-Feb-2006,88.15,97.00,97.00,94.15,97.00,97.00,96.98,9892,9.59,-,7660,77.44
RSSOFTWARE,EQ,14-Feb-2006,97.00,106.70,106.70,100.00,100.60,100.80,103.44,111724,115.57,-,64719,57.93
RSSOFTWARE,EQ,15-Feb-2006,100.80,102.85,103.50,98.50,99.50,99.60,100.85,73603,74.23,-,47320,64.29
RSSOFTWARE,EQ,16-Feb-2006,99.60,101.00,101.50,95.60,96.20,96.00,98.01,19619,19.23,-,13805,70.37
RSSOFTWARE,EQ,17-Feb-2006,96.00,97.30,97.40,86.40,86.40,87.30,90.74,31438,28.53,-,21694,69.01
RSSOFTWARE,EQ,20-Feb-2006,87.30,91.00,91.00,86.00,86.00,86.95,88.07,22653,19.95,-,12557,55.43
RSSOFTWARE,EQ,21-Feb-2006,86.95,90.50,90.50,86.20,88.75,87.85,88.60,15080,13.36,-,9394,62.29
RSSOFTWARE,EQ,22-Feb-2006,87.85,88.90,88.90,85.50,87.00,86.55,86.94,8027,6.98,-,5035,62.73
RSSOFTWARE,EQ,23-Feb-2006,86.55,85.80,87.50,83.00,83.00,84.05,84.88,9784,8.30,-,5780,59.08
RSSOFTWARE,EQ,24-Feb-2006,84.05,84.50,85.00,83.00,83.95,83.70,83.71,9308,7.79,-,6712,72.11
RSSOFTWARE,EQ,27-Feb-2006,83.70,87.95,87.95,83.05,83.90,83.45,83.92,14788,12.41,-,8797,59.49
RSSOFTWARE,EQ,28-Feb-2006,83.45,81.20,87.80,81.20,83.65,84.00,85.11,16230,13.81,-,7331,45.17
RSSOFTWARE,EQ,01-Mar-2006,84.00,83.00,87.00,82.35,83.70,85.35,84.16,22801,19.19,-,13257,58.14
RSSOFTWARE,EQ,02-Mar-2006,85.35,87.90,87.90,82.50,83.50,83.10,84.14,21163,17.81,-,14761,69.75
RSSOFTWARE,EQ,03-Mar-2006,83.10,83.00,83.85,80.10,80.60,80.75,81.22,15917,12.93,-,8821,55.42
RSSOFTWARE,EQ,06-Mar-2006,80.75,80.05,81.65,78.55,78.90,79.00,79.80,21427,17.10,-,16339,76.25
RSSOFTWARE,EQ,07-Mar-2006,79.00,78.50,80.95,77.50,79.50,79.00,78.50,11516,9.04,-,7306,63.44
RSSOFTWARE,EQ,08-Mar-2006,79.00,81.00,81.50,76.55,77.00,76.75,77.77,14705,11.44,-,10005,68.04
RSSOFTWARE,EQ,09-Mar-2006,76.75,75.50,77.00,73.70,76.00,75.20,75.39,13862,10.45,-,7410,53.46
RSSOFTWARE,EQ,10-Mar-2006,75.20,74.65,79.95,74.05,79.00,78.75,78.16,26172,20.45,-,18241,69.70
RSSOFTWARE,EQ,13-Mar-2006,78.75,82.40,84.50,80.00,80.00,81.35,82.55,20367,16.81,-,12785,62.77
RSSOFTWARE,EQ,14-Mar-2006,81.35,83.00,83.00,78.00,78.20,79.05,79.98,10634,8.50,-,7973,74.98
RSSOFTWARE,EQ,16-Mar-2006,79.05,79.50,82.50,78.00,81.70,80.40,79.51,14904,11.85,-,8681,58.25
RSSOFTWARE,EQ,17-Mar-2006,80.40,80.05,82.40,78.00,78.50,78.35,79.83,11158,8.91,-,5593,50.13
RSSOFTWARE,EQ,20-Mar-2006,78.35,80.80,80.80,78.50,79.00,79.05,79.09,8080,6.39,-,6452,79.85
RSSOFTWARE,EQ,21-Mar-2006,79.05,80.00,80.75,78.00,80.75,79.75,79.76,17978,14.34,-,12507,69.57
RSSOFTWARE,EQ,22-Mar-2006,79.75,79.90,80.00,75.00,75.15,75.25,76.93,8984,6.91,-,6897,76.77
RSSOFTWARE,EQ,23-Mar-2006,75.25,75.50,76.90,74.00,74.00,75.00,75.76,30410,23.04,-,6298,20.71
RSSOFTWARE,EQ,24-Mar-2006,75.00,76.90,77.00,73.00,73.15,74.10,75.05,9969,7.48,-,6504,65.24
RSSOFTWARE,EQ,27-Mar-2006,74.10,72.65,76.80,72.50,76.00,76.20,75.23,22679,17.06,-,16260,71.70
RSSOFTWARE,EQ,28-Mar-2006,76.20,76.90,76.90,72.00,72.80,72.35,73.25,16822,12.32,-,14169,84.23
RSSOFTWARE,EQ,29-Mar-2006,72.35,72.65,75.50,72.65,75.50,74.20,73.73,8772,6.47,-,3996,45.55
RSSOFTWARE,EQ,30-Mar-2006,74.20,77.20,77.40,73.55,76.00,75.95,75.76,9554,7.24,-,6486,67.89
RSSOFTWARE,EQ,31-Mar-2006,75.95,75.15,75.75,74.00,75.10,75.25,75.07,7371,5.53,-,4415,59.90
RSSOFTWARE,EQ,03-Apr-2006,75.25,75.00,82.80,75.00,82.80,82.80,79.99,32952,26.36,-,19306,58.59
RSSOFTWARE,EQ,04-Apr-2006,82.80,84.50,85.95,83.00,83.50,83.30,84.44,44835,37.86,-,19123,42.65
RSSOFTWARE,EQ,05-Apr-2006,83.30,83.50,84.85,82.50,84.00,83.55,83.52,14572,12.17,-,9837,67.51
RSSOFTWARE,EQ,07-Apr-2006,83.55,84.50,84.50,77.10,78.20,79.35,81.37,13152,10.70,-,9220,70.10
RSSOFTWARE,EQ,10-Apr-2006,79.35,80.00,80.75,77.00,78.10,78.85,79.07,12652,10.00,-,9653,76.30
RSSOFTWARE,EQ,12-Apr-2006,78.85,84.00,84.00,75.15,75.15,76.10,78.16,9206,7.19,-,7336,79.69
RSSOFTWARE,EQ,13-Apr-2006,76.10,74.10,77.90,72.00,74.45,74.45,74.15,9064,6.72,-,5344,58.96
RSSOFTWARE,EQ,17-Apr-2006,74.45,76.00,78.45,74.50,75.10,75.55,76.58,7884,6.04,-,5635,71.47
RSSOFTWARE,EQ,18-Apr-2006,75.55,77.50,87.00,77.00,81.50,81.90,83.02,47348,39.31,-,17116,36.15
RSSOFTWARE,EQ,19-Apr-2006,81.90,82.00,84.00,79.00,80.50,80.15,81.98,18534,15.19,-,7536,40.66
RSSOFTWARE,EQ,20-Apr-2006,80.15,82.00,83.50,80.20,80.80,80.90,81.74,9325,7.62,-,6533,70.06
RSSOFTWARE,EQ,21-Apr-2006,80.90,78.20,80.00,70.00,74.85,75.45,75.86,25511,19.35,-,18744,73.47
RSSOFTWARE,EQ,24-Apr-2006,75.45,77.45,77.45,75.10,76.10,76.35,76.71,5139,3.94,-,3725,72.48
RSSOFTWARE,EQ,25-Apr-2006,76.35,76.50,81.50,73.00,74.75,75.60,76.94,9571,7.36,-,6073,63.45
RSSOFTWARE,EQ,26-Apr-2006,75.60,77.80,81.00,75.20,79.00,79.15,78.27,20066,15.70,-,10697,53.31
RSSOFTWARE,EQ,27-Apr-2006,79.15,81.00,85.50,79.00,81.00,80.05,82.16,38756,31.84,-,22765,58.74
RSSOFTWARE,EQ,28-Apr-2006,80.05,72.50,82.95,72.50,77.00,76.65,77.32,9771,7.56,-,4844,49.58
RSSOFTWARE,EQ,29-Apr-2006,76.65,79.00,80.00,77.55,78.90,78.15,78.68,11388,8.96,-,8124,71.34
