Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SADBHAV,EQ,01-Mar-2006,185.00,220.00,338.40,202.00,333.30,320.65,280.69,19764177,55475.57,-,1279493,6.47
SADBHAV,EQ,02-Mar-2006,320.65,340.00,381.40,325.00,335.55,341.05,352.77,9065385,31979.99,-,500708,5.52
SADBHAV,EQ,03-Mar-2006,341.05,339.70,348.70,323.50,334.00,330.35,334.25,4244965,14188.76,-,187698,4.42
SADBHAV,EQ,06-Mar-2006,330.35,320.00,345.50,319.00,321.50,322.20,332.15,2007959,6669.46,-,198767,9.90
SADBHAV,EQ,07-Mar-2006,322.20,322.20,326.70,307.55,309.00,310.60,319.35,1299900,4151.29,-,136121,10.47
SADBHAV,EQ,08-Mar-2006,310.60,310.00,325.50,305.20,306.60,306.75,313.41,1571156,4924.21,-,256505,16.33
SADBHAV,EQ,09-Mar-2006,306.75,308.00,317.65,306.15,311.00,312.15,311.65,542191,1689.76,-,71158,13.12
SADBHAV,EQ,10-Mar-2006,312.15,313.40,329.00,312.05,329.00,326.15,321.38,736382,2366.56,-,179972,24.44
SADBHAV,EQ,13-Mar-2006,326.15,327.75,331.50,316.05,317.00,318.95,324.78,185238,601.62,-,47527,25.66
SADBHAV,EQ,14-Mar-2006,318.95,320.00,320.90,309.25,309.25,311.60,315.99,141176,446.11,-,23174,16.41
SADBHAV,EQ,16-Mar-2006,311.60,312.05,316.00,304.25,305.50,306.25,310.87,97362,302.67,-,20312,20.86
SADBHAV,EQ,17-Mar-2006,306.25,310.00,310.00,285.55,292.45,294.30,296.37,140190,415.48,-,37445,26.71
SADBHAV,EQ,20-Mar-2006,294.30,298.00,340.00,293.50,323.00,329.30,321.02,638722,2050.43,-,128019,20.04
SADBHAV,EQ,21-Mar-2006,329.30,327.00,331.70,304.00,306.70,307.45,320.80,597255,1916.01,-,73862,12.37
SADBHAV,EQ,22-Mar-2006,307.45,300.35,323.90,300.35,309.00,309.60,313.64,522629,1639.18,-,41445,7.93
SADBHAV,EQ,23-Mar-2006,309.60,305.00,319.70,305.00,308.30,308.25,312.80,202724,634.13,-,26260,12.95
SADBHAV,EQ,24-Mar-2006,308.25,310.00,315.65,305.60,309.00,308.95,311.33,102969,320.57,-,22218,21.58
SADBHAV,EQ,27-Mar-2006,308.95,315.00,365.00,312.40,348.70,352.85,347.02,1829479,6348.68,-,195737,10.70
SADBHAV,EQ,28-Mar-2006,352.85,349.80,373.00,340.00,348.00,349.80,361.04,2182347,7879.24,-,130873,6.00
SADBHAV,EQ,29-Mar-2006,349.80,348.90,362.00,345.30,351.50,349.70,353.90,841206,2977.05,-,39076,4.65
SADBHAV,EQ,30-Mar-2006,349.70,354.60,401.80,353.00,393.50,394.80,383.08,2744602,10513.94,-,270104,9.84
SADBHAV,EQ,31-Mar-2006,394.80,382.00,411.80,382.00,392.50,391.60,398.03,1586466,6314.68,-,111091,7.00
SADBHAV,EQ,03-Apr-2006,391.60,392.00,405.00,387.00,392.55,391.20,396.22,483675,1916.42,-,73872,15.27
SADBHAV,EQ,04-Apr-2006,391.20,394.00,396.85,371.25,377.00,381.40,388.42,261781,1016.81,-,54201,20.70
SADBHAV,EQ,05-Apr-2006,381.40,380.00,388.70,365.10,368.00,369.40,377.27,282042,1064.06,-,74660,26.47
SADBHAV,EQ,07-Apr-2006,369.40,363.15,382.00,344.65,352.40,349.45,365.33,341633,1248.07,-,103407,30.27
SADBHAV,EQ,10-Apr-2006,349.45,351.00,367.80,351.00,364.00,364.90,360.37,221615,798.63,-,46120,20.81
SADBHAV,EQ,12-Apr-2006,364.90,360.15,402.00,360.15,383.00,384.45,389.29,838827,3265.48,-,175475,20.92
SADBHAV,EQ,13-Apr-2006,384.45,386.40,387.90,365.25,378.00,374.65,377.25,325416,1227.65,-,78311,24.06
SADBHAV,EQ,17-Apr-2006,374.65,378.40,386.85,377.55,382.75,382.60,382.77,138691,530.86,-,36275,26.16
SADBHAV,EQ,18-Apr-2006,382.60,385.00,395.00,376.20,381.80,379.40,382.17,89747,342.99,-,31546,35.15
SADBHAV,EQ,19-Apr-2006,379.40,384.00,442.50,381.10,434.60,433.60,424.68,1570692,6670.48,-,146560,9.33
SADBHAV,EQ,20-Apr-2006,433.60,437.00,520.35,425.00,520.35,515.80,484.52,2212499,10719.95,-,167242,7.56
SADBHAV,EQ,21-Apr-2006,515.80,529.00,616.80,526.30,593.00,604.35,583.18,4587941,26755.85,-,168210,3.67
SADBHAV,EQ,24-Apr-2006,604.35,607.00,636.45,579.05,598.00,601.80,614.94,2420635,14885.50,-,167906,6.94
SADBHAV,EQ,25-Apr-2006,601.80,597.00,638.80,597.00,610.25,605.40,621.83,1579140,9819.62,-,94983,6.01
SADBHAV,EQ,26-Apr-2006,605.40,608.00,632.00,602.80,613.55,609.15,618.27,627739,3881.09,-,62334,9.93
SADBHAV,EQ,27-Apr-2006,609.15,618.80,655.85,615.00,628.00,625.85,636.71,1109192,7062.31,-,79363,7.16
SADBHAV,EQ,28-Apr-2006,625.85,600.00,619.30,571.00,602.55,602.10,602.86,482322,2907.73,-,62175,12.89
SADBHAV,EQ,29-Apr-2006,602.10,609.40,619.00,604.05,609.75,609.25,612.18,135278,828.14,-,22820,16.87
SADBHAV,EQ,02-May-2006,609.25,616.75,616.75,582.00,582.20,585.05,596.50,186378,1111.74,-,43769,23.48
SADBHAV,EQ,03-May-2006,585.05,592.00,592.70,552.40,561.00,557.80,570.92,201307,1149.31,-,49568,24.62
SADBHAV,EQ,04-May-2006,557.80,567.00,607.45,549.00,580.00,582.00,589.42,655461,3863.45,-,64837,9.89
SADBHAV,EQ,05-May-2006,582.00,585.00,589.75,555.00,555.10,557.85,569.73,204306,1163.99,-,34001,16.64
SADBHAV,EQ,08-May-2006,557.85,561.70,568.00,541.00,549.00,547.20,554.49,149502,828.97,-,30802,20.60
SADBHAV,EQ,09-May-2006,547.20,551.00,578.20,547.00,573.80,570.40,564.95,231025,1305.17,-,38108,16.50
SADBHAV,EQ,10-May-2006,570.40,574.40,575.00,556.50,562.00,560.40,567.89,115854,657.93,-,32343,27.92
SADBHAV,EQ,11-May-2006,560.40,563.00,563.00,540.00,549.00,545.15,549.94,60473,332.57,-,13178,21.79
SADBHAV,EQ,12-May-2006,545.15,541.25,569.75,528.10,530.00,533.65,548.24,117780,645.72,-,23508,19.96
SADBHAV,EQ,15-May-2006,533.65,538.40,546.05,495.00,496.00,500.25,525.55,144414,758.96,-,26501,18.35
SADBHAV,EQ,16-May-2006,500.25,500.00,509.75,450.25,460.00,460.80,469.59,129205,606.73,-,42527,32.91
SADBHAV,EQ,17-May-2006,460.80,468.00,506.90,442.25,506.90,504.25,485.04,433712,2103.69,-,59913,13.81
SADBHAV,EQ,18-May-2006,504.25,499.00,499.00,453.85,453.85,453.90,465.91,182619,850.83,-,73625,40.32
SADBHAV,EQ,19-May-2006,453.90,457.00,480.00,408.55,415.00,412.60,427.43,161728,691.28,-,35440,21.91
SADBHAV,EQ,22-May-2006,412.60,418.70,418.70,392.00,392.00,392.00,396.77,29661,117.69,-,12715,42.87
SADBHAV,EQ,23-May-2006,392.00,380.00,404.00,372.40,386.00,386.25,382.12,84938,324.57,-,21339,25.12
SADBHAV,EQ,24-May-2006,386.25,395.00,403.00,381.00,387.00,385.45,393.69,68302,268.90,-,17812,26.08
