Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SANGHIIND,EQ,23-Jun-2006,4.50,53.00,53.00,53.00,53.00,53.00,53.00,4375,2.32,-,4375,100.00
SANGHIIND,EQ,25-Jun-2006,53.00,55.65,55.65,55.65,55.65,55.65,55.65,575,0.32,-,575,100.00
SANGHIIND,EQ,26-Jun-2006,55.65,58.45,58.45,54.20,58.00,58.15,58.12,23288,13.54,-,15490,66.51
SANGHIIND,EQ,27-Jun-2006,58.15,60.00,60.00,56.00,59.90,58.90,58.35,6893,4.02,-,4800,69.64
SANGHIIND,EQ,28-Jun-2006,58.90,60.90,61.85,60.75,61.85,61.85,61.66,9789,6.04,-,8740,89.28
SANGHIIND,EQ,29-Jun-2006,61.85,64.90,64.95,64.05,64.95,64.95,64.92,13946,9.05,-,12625,90.53
SANGHIIND,EQ,30-Jun-2006,64.95,68.15,68.20,68.15,68.20,68.20,68.19,1225,0.84,-,1225,100.00
SANGHIIND,EQ,03-Jul-2006,68.20,71.65,71.65,64.80,64.80,64.80,67.46,7048,4.75,-,5690,80.73
SANGHIIND,EQ,04-Jul-2006,64.80,63.05,65.75,61.60,61.60,61.60,62.36,4372,2.73,-,3055,69.88
SANGHIIND,EQ,05-Jul-2006,61.60,58.60,59.70,58.55,58.55,58.55,58.58,4287,2.51,-,3392,79.12
SANGHIIND,EQ,06-Jul-2006,58.55,55.75,60.00,55.75,56.10,56.50,57.15,6609,3.78,-,2755,41.69
SANGHIIND,EQ,07-Jul-2006,56.50,56.10,57.00,55.05,56.25,56.10,56.39,1542,0.87,-,457,29.64
SANGHIIND,EQ,10-Jul-2006,56.10,55.05,56.00,53.30,56.00,55.25,54.82,1710,0.94,-,1150,67.25
SANGHIIND,EQ,11-Jul-2006,55.25,57.50,58.05,56.00,58.05,58.05,57.48,12060,6.93,-,9165,76.00
SANGHIIND,EQ,12-Jul-2006,58.05,58.00,59.80,57.00,59.00,59.10,58.68,10775,6.32,-,8525,79.12
SANGHIIND,EQ,13-Jul-2006,59.10,59.25,59.25,58.00,58.70,58.70,58.64,2850,1.67,-,2800,98.25
SANGHIIND,EQ,14-Jul-2006,58.70,56.90,57.10,56.90,57.00,57.00,56.97,475,0.27,-,475,100.00
SANGHIIND,EQ,17-Jul-2006,57.00,56.00,57.00,55.50,56.30,57.00,56.93,5670,3.23,-,5300,93.47
SANGHIIND,EQ,18-Jul-2006,57.00,58.40,58.40,55.50,56.00,56.00,55.69,485,0.27,-,385,79.38
SANGHIIND,EQ,19-Jul-2006,56.00,55.50,55.50,54.00,54.00,54.00,54.91,1295,0.71,-,1095,84.56
SANGHIIND,EQ,20-Jul-2006,54.00,53.00,53.00,51.30,51.30,51.30,52.58,975,0.51,-,655,67.18
SANGHIIND,EQ,21-Jul-2006,51.30,51.00,53.90,51.00,53.90,53.90,53.71,905,0.49,-,804,88.84
SANGHIIND,EQ,24-Jul-2006,53.90,53.00,56.40,53.00,56.40,56.40,55.57,1745,0.97,-,1445,82.81
SANGHIIND,EQ,25-Jul-2006,56.40,59.20,59.25,59.20,59.25,59.25,59.25,10391,6.16,-,10180,97.97
SANGHIIND,EQ,26-Jul-2006,59.25,62.20,62.20,56.50,62.00,61.70,61.33,9424,5.78,-,7635,81.02
SANGHIIND,EQ,27-Jul-2006,61.70,64.50,64.50,61.25,62.10,62.10,62.20,18056,11.23,-,14659,81.19
SANGHIIND,EQ,28-Jul-2006,62.10,62.00,65.25,62.00,65.25,65.25,63.60,10540,6.70,-,10540,100.00
SANGHIIND,EQ,31-Jul-2006,65.25,63.20,68.55,63.10,68.55,68.55,68.38,20032,13.70,-,15528,77.52
SANGHIIND,EQ,01-Aug-2006,68.55,69.00,69.70,65.50,65.50,66.05,66.78,2767,1.85,-,2198,79.44
SANGHIIND,EQ,02-Aug-2006,66.05,63.65,64.00,62.75,63.00,63.45,63.51,2399,1.52,-,1428,59.52
SANGHIIND,EQ,03-Aug-2006,63.45,64.00,64.00,60.65,60.65,61.45,62.19,3907,2.43,-,2793,71.49
SANGHIIND,EQ,04-Aug-2006,61.45,60.60,60.90,58.40,58.40,58.45,59.46,2310,1.37,-,980,42.42
SANGHIIND,EQ,07-Aug-2006,58.45,58.40,59.90,56.30,57.60,57.70,57.66,8227,4.74,-,5770,70.13
SANGHIIND,EQ,08-Aug-2006,57.70,58.00,60.60,58.00,60.60,60.60,59.06,2191,1.29,-,1795,81.93
SANGHIIND,EQ,09-Aug-2006,60.60,63.50,63.60,62.50,63.50,62.95,62.94,2737,1.72,-,2336,85.35
SANGHIIND,EQ,10-Aug-2006,62.95,62.50,63.00,60.05,61.20,61.30,61.53,2741,1.69,-,1927,70.30
SANGHIIND,EQ,11-Aug-2006,61.30,60.75,61.00,58.30,58.30,58.45,59.54,7220,4.30,-,3425,47.44
SANGHIIND,EQ,14-Aug-2006,58.45,59.90,61.40,59.60,60.50,60.45,60.31,2600,1.57,-,1579,60.73
SANGHIIND,EQ,16-Aug-2006,60.45,60.00,62.50,58.55,59.75,59.60,59.95,11961,7.17,-,7858,65.70
SANGHIIND,EQ,17-Aug-2006,59.60,60.00,60.45,58.30,58.70,58.70,59.15,1500,0.89,-,900,60.00
SANGHIIND,EQ,18-Aug-2006,58.70,56.65,59.65,56.65,58.30,58.30,58.07,915,0.53,-,520,56.83
SANGHIIND,EQ,21-Aug-2006,58.30,60.00,60.00,58.00,59.95,59.90,59.48,4076,2.42,-,3380,82.92
SANGHIIND,EQ,22-Aug-2006,59.90,58.50,60.00,58.50,60.00,60.00,59.66,1890,1.13,-,1500,79.37
SANGHIIND,EQ,23-Aug-2006,60.00,58.50,60.00,58.50,59.95,59.60,59.42,3645,2.17,-,2870,78.74
SANGHIIND,EQ,24-Aug-2006,59.60,58.05,59.00,58.05,58.40,58.55,58.78,2050,1.20,-,1480,72.20
SANGHIIND,EQ,25-Aug-2006,58.55,58.30,59.00,58.30,58.50,58.50,58.72,1425,0.84,-,1225,85.96
SANGHIIND,EQ,28-Aug-2006,58.50,59.00,61.45,58.45,61.40,61.40,59.92,1977,1.18,-,1650,83.46
SANGHIIND,EQ,29-Aug-2006,61.40,64.50,64.50,63.50,64.50,64.50,64.45,7826,5.04,-,6256,79.94
SANGHIIND,EQ,30-Aug-2006,64.50,67.00,67.00,64.25,66.90,66.05,65.23,11348,7.40,-,6403,56.42
SANGHIIND,EQ,31-Aug-2006,66.05,69.20,69.35,68.10,69.35,69.35,69.20,23554,16.30,-,21516,91.35
SANGHIIND,EQ,01-Sep-2006,69.35,72.00,72.00,66.30,67.00,66.90,68.59,8375,5.74,-,4655,55.58
SANGHIIND,EQ,04-Sep-2006,66.90,69.50,70.25,68.00,69.05,69.25,69.80,12055,8.41,-,8505,70.55
SANGHIIND,EQ,05-Sep-2006,69.25,69.40,69.90,67.60,67.60,68.10,68.60,3845,2.64,-,2115,55.01
