Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SANGHVIMOV,EQ,24-Jan-2007,798.00,870.00,898.00,836.00,895.00,875.90,864.05,8387,72.47,-,3569,42.55
SANGHVIMOV,EQ,25-Jan-2007,875.90,880.00,930.00,745.50,845.00,858.45,870.17,8165,71.05,-,4000,48.99
SANGHVIMOV,EQ,29-Jan-2007,858.45,920.00,920.00,860.00,876.60,881.60,881.33,3720,32.79,-,3123,83.95
SANGHVIMOV,EQ,31-Jan-2007,881.60,900.00,905.00,875.00,887.00,891.35,889.53,3969,35.31,-,3030,76.34
SANGHVIMOV,EQ,01-Feb-2007,891.35,840.00,840.00,785.00,797.00,801.10,806.00,7690,61.98,-,6357,82.67
SANGHVIMOV,EQ,02-Feb-2007,801.10,800.00,834.90,760.00,790.00,787.95,777.71,3403,26.47,-,2153,63.27
SANGHVIMOV,EQ,05-Feb-2007,787.95,794.00,795.00,740.00,758.00,753.10,765.78,3334,25.53,-,2906,87.16
SANGHVIMOV,EQ,06-Feb-2007,753.10,800.00,800.00,757.00,757.00,758.00,763.38,3039,23.20,-,2694,88.65
SANGHVIMOV,EQ,07-Feb-2007,758.00,768.00,778.90,758.00,766.00,761.40,765.40,2693,20.61,-,2340,86.89
SANGHVIMOV,EQ,08-Feb-2007,761.40,750.00,772.85,747.50,755.00,753.35,756.63,697,5.27,-,646,92.68
SANGHVIMOV,EQ,09-Feb-2007,753.35,755.00,769.50,743.00,743.00,745.70,750.12,1484,11.13,-,1388,93.53
SANGHVIMOV,EQ,12-Feb-2007,745.70,715.00,746.00,655.50,710.00,709.55,711.54,745,5.30,-,584,78.39
SANGHVIMOV,EQ,13-Feb-2007,709.55,690.00,703.00,680.00,698.00,692.70,698.45,1369,9.56,-,992,72.46
SANGHVIMOV,EQ,14-Feb-2007,692.70,745.50,745.50,660.05,710.00,708.85,693.03,736,5.10,-,704,95.65
SANGHVIMOV,EQ,15-Feb-2007,708.85,799.00,799.00,705.05,725.50,725.50,727.59,334,2.43,-,228,68.26
SANGHVIMOV,EQ,19-Feb-2007,725.50,754.00,754.00,720.00,720.00,728.10,732.51,306,2.24,-,306,100.00
SANGHVIMOV,EQ,20-Feb-2007,728.10,749.00,749.00,720.00,720.00,720.00,724.80,359,2.60,-,359,100.00
SANGHVIMOV,EQ,21-Feb-2007,720.00,730.00,740.00,724.00,730.00,731.10,731.07,2416,17.66,-,2272,94.04
SANGHVIMOV,EQ,22-Feb-2007,731.10,730.00,740.00,700.00,700.00,704.40,735.93,2620,19.28,-,2422,92.44
SANGHVIMOV,EQ,23-Feb-2007,704.40,745.00,745.00,656.00,706.05,713.20,702.18,898,6.31,-,769,85.63
SANGHVIMOV,EQ,26-Feb-2007,713.20,706.10,736.95,700.00,730.00,719.80,724.61,779,5.64,-,678,87.03
SANGHVIMOV,EQ,27-Feb-2007,719.80,730.00,759.80,730.00,735.00,737.80,750.84,3183,23.90,-,2825,88.75
SANGHVIMOV,EQ,28-Feb-2007,737.80,595.00,749.95,595.00,748.00,732.65,713.66,864,6.17,-,640,74.07
SANGHVIMOV,EQ,01-Mar-2007,732.65,749.00,749.00,710.25,725.00,725.00,719.17,1480,10.64,-,1469,99.26
SANGHVIMOV,EQ,02-Mar-2007,725.00,777.00,777.00,700.00,700.00,708.95,714.37,2032,14.52,-,1849,90.99
SANGHVIMOV,EQ,05-Mar-2007,708.95,690.00,764.90,680.10,690.00,690.05,695.62,916,6.37,-,591,64.52
SANGHVIMOV,EQ,06-Mar-2007,690.05,680.15,694.90,650.00,689.00,688.35,677.52,522,3.54,-,395,75.67
SANGHVIMOV,EQ,07-Mar-2007,688.35,690.00,697.00,651.00,660.00,660.85,679.26,491,3.34,-,456,92.87
SANGHVIMOV,EQ,08-Mar-2007,660.85,680.00,680.00,663.00,680.00,679.95,679.05,92,0.62,-,85,92.39
SANGHVIMOV,EQ,09-Mar-2007,679.95,679.90,680.00,660.10,665.00,665.00,678.53,157,1.07,-,152,96.82
SANGHVIMOV,EQ,12-Mar-2007,665.00,620.00,695.00,616.00,657.00,661.60,651.70,526,3.43,-,338,64.26
SANGHVIMOV,EQ,13-Mar-2007,661.60,680.00,680.00,680.00,680.00,680.00,680.00,30,0.20,-,30,100.00
SANGHVIMOV,EQ,14-Mar-2007,680.00,680.00,680.00,645.00,650.00,654.50,655.25,765,5.01,-,708,92.55
SANGHVIMOV,EQ,15-Mar-2007,654.50,679.95,680.00,652.00,652.50,655.65,661.06,131,0.87,-,82,62.60
SANGHVIMOV,EQ,16-Mar-2007,655.65,601.00,680.00,601.00,666.00,660.05,640.69,4682,30.00,-,682,14.57
SANGHVIMOV,EQ,19-Mar-2007,660.05,621.00,675.00,621.00,648.00,647.95,647.53,7779,50.37,-,5640,72.50
SANGHVIMOV,EQ,20-Mar-2007,647.95,650.05,650.05,635.00,635.00,638.75,644.64,263,1.70,-,234,88.97
SANGHVIMOV,EQ,21-Mar-2007,638.75,630.00,650.00,627.00,650.00,650.00,646.04,1070,6.91,-,912,85.23
SANGHVIMOV,EQ,22-Mar-2007,650.00,655.00,660.00,650.00,655.00,655.00,657.27,241,1.58,-,231,95.85
SANGHVIMOV,EQ,23-Mar-2007,655.00,678.00,678.00,636.50,643.05,646.85,654.31,1453,9.51,-,365,25.12
SANGHVIMOV,EQ,26-Mar-2007,646.85,650.00,651.10,632.05,632.05,640.30,644.97,278,1.79,-,236,84.89
SANGHVIMOV,EQ,28-Mar-2007,640.30,633.00,650.00,605.00,630.00,639.75,633.53,3863,24.47,-,2054,53.17
SANGHVIMOV,EQ,29-Mar-2007,639.75,625.00,657.10,625.00,645.00,645.15,643.94,4424,28.49,-,1332,30.11
SANGHVIMOV,EQ,30-Mar-2007,645.15,645.00,660.00,645.00,660.00,654.15,651.07,2722,17.72,-,2712,99.63
SANGHVIMOV,EQ,02-Apr-2007,654.15,629.00,655.00,629.00,631.00,631.00,635.57,186,1.18,-,167,89.78
SANGHVIMOV,EQ,03-Apr-2007,631.00,635.00,635.00,625.00,635.00,634.90,632.92,148,0.94,-,122,82.43
SANGHVIMOV,EQ,04-Apr-2007,634.90,649.50,649.50,630.15,630.20,630.20,635.80,62,0.39,-,60,96.77
SANGHVIMOV,EQ,05-Apr-2007,630.20,650.00,655.00,641.55,641.55,641.55,649.48,235,1.53,-,235,100.00
SANGHVIMOV,EQ,09-Apr-2007,641.55,650.00,670.00,650.00,666.00,658.75,664.13,3919,26.03,-,3081,78.62
SANGHVIMOV,EQ,10-Apr-2007,658.75,659.80,660.00,632.00,636.20,642.65,644.69,2609,16.82,-,279,10.69
SANGHVIMOV,EQ,11-Apr-2007,642.65,650.00,706.00,644.00,681.00,698.30,670.63,5859,39.29,-,5421,92.52
SANGHVIMOV,EQ,12-Apr-2007,698.30,700.00,725.00,685.00,696.15,704.15,702.96,3329,23.40,-,790,23.73
SANGHVIMOV,EQ,13-Apr-2007,704.15,715.00,720.00,685.00,700.00,695.60,700.14,360,2.52,-,224,62.22
SANGHVIMOV,EQ,16-Apr-2007,695.60,645.35,738.60,641.50,715.00,712.20,710.08,696,4.94,-,428,61.49
SANGHVIMOV,EQ,17-Apr-2007,712.20,715.00,720.00,680.15,718.90,713.70,707.46,283,2.00,-,222,78.45
SANGHVIMOV,EQ,18-Apr-2007,713.70,692.25,725.00,692.25,703.00,703.00,705.40,2451,17.29,-,341,13.91
SANGHVIMOV,EQ,19-Apr-2007,703.00,704.00,722.95,700.00,715.00,715.90,710.50,2331,16.56,-,252,10.81
SANGHVIMOV,EQ,20-Apr-2007,715.90,717.00,725.00,700.05,724.90,714.45,716.05,789,5.65,-,723,91.63
SANGHVIMOV,EQ,23-Apr-2007,714.45,729.90,730.00,715.00,715.00,715.00,718.92,1874,13.47,-,1848,98.61
SANGHVIMOV,EQ,24-Apr-2007,715.00,725.00,725.00,685.00,687.00,686.20,709.08,2775,19.68,-,2619,94.38
SANGHVIMOV,EQ,25-Apr-2007,686.20,685.45,709.70,685.45,694.05,703.20,695.64,327,2.27,-,267,81.65
SANGHVIMOV,EQ,26-Apr-2007,703.20,705.00,710.00,694.00,704.00,704.00,707.98,5174,36.63,-,5162,99.77
SANGHVIMOV,EQ,27-Apr-2007,704.00,705.00,710.00,695.00,710.00,709.85,699.12,1431,10.00,-,1431,100.00
SANGHVIMOV,EQ,30-Apr-2007,709.85,685.00,708.85,685.00,695.00,695.00,693.49,128,0.89,-,76,59.38
SANGHVIMOV,EQ,03-May-2007,695.00,699.00,700.00,689.00,692.05,692.45,693.50,863,5.98,-,780,90.38
SANGHVIMOV,EQ,04-May-2007,692.45,693.05,706.00,693.05,706.00,703.20,700.93,776,5.44,-,761,98.07
SANGHVIMOV,EQ,07-May-2007,703.20,692.05,706.00,692.00,705.05,705.55,704.62,718,5.06,-,675,94.01
SANGHVIMOV,EQ,08-May-2007,705.55,705.00,750.00,696.00,750.00,744.60,736.03,710,5.23,-,710,100.00
SANGHVIMOV,EQ,09-May-2007,744.60,710.00,760.00,687.35,703.00,703.20,709.88,14087,100.00,-,13826,98.15
SANGHVIMOV,EQ,10-May-2007,703.20,705.60,707.00,692.00,700.00,699.90,701.57,1834,12.87,-,788,42.97
SANGHVIMOV,EQ,11-May-2007,699.90,744.90,744.90,653.60,705.00,703.65,699.70,721,5.04,-,647,89.74
SANGHVIMOV,EQ,14-May-2007,703.65,690.00,723.60,680.25,719.00,721.30,699.44,277,1.94,-,230,83.03
SANGHVIMOV,EQ,15-May-2007,721.30,715.00,715.00,694.05,710.00,705.80,704.31,461,3.25,-,410,88.94
SANGHVIMOV,EQ,16-May-2007,705.80,712.00,739.95,705.00,730.00,733.90,723.08,2705,19.56,-,2353,86.99
SANGHVIMOV,EQ,17-May-2007,733.90,706.00,747.95,706.00,740.00,739.55,738.30,3089,22.81,-,2966,96.02
SANGHVIMOV,EQ,18-May-2007,739.55,747.00,748.00,730.00,740.00,744.20,742.25,1287,9.55,-,1227,95.34
SANGHVIMOV,EQ,21-May-2007,744.20,815.00,818.60,763.00,818.60,813.70,795.62,20249,161.11,-,15479,76.44
