Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AVENTIS,EQ,02-Jan-2006,1662.75,1666.00,1680.00,1666.00,1670.00,1669.80,1670.59,875,14.62,-,654,74.74
AVENTIS,EQ,03-Jan-2006,1669.80,1692.00,1775.00,1654.00,1731.00,1743.65,1720.63,12399,213.34,-,7293,58.82
AVENTIS,EQ,04-Jan-2006,1743.65,1740.00,1770.00,1699.00,1707.70,1707.50,1738.15,3426,59.55,-,2359,68.86
AVENTIS,EQ,05-Jan-2006,1707.50,1750.00,1759.00,1680.00,1718.00,1701.95,1701.58,43782,744.99,-,41729,95.31
AVENTIS,EQ,06-Jan-2006,1701.95,1710.00,1740.00,1705.00,1727.00,1723.45,1716.86,1984,34.06,-,1343,67.69
AVENTIS,EQ,09-Jan-2006,1723.45,1685.00,1739.95,1683.00,1729.70,1720.20,1721.11,2227,38.33,-,1764,79.21
AVENTIS,EQ,10-Jan-2006,1720.20,1715.00,1727.75,1701.50,1718.00,1710.50,1708.74,2003,34.23,-,1766,88.17
AVENTIS,EQ,12-Jan-2006,1710.50,1695.30,1717.75,1695.30,1710.00,1707.80,1704.72,2179,37.15,-,1971,90.45
AVENTIS,EQ,13-Jan-2006,1707.80,1710.00,1730.00,1701.00,1712.00,1720.25,1720.63,763,13.13,-,622,81.52
AVENTIS,EQ,16-Jan-2006,1720.25,1701.50,1720.90,1701.50,1710.00,1710.45,1708.48,762,13.02,-,616,80.84
AVENTIS,EQ,17-Jan-2006,1710.45,1710.00,1725.00,1700.00,1700.00,1711.35,1714.67,2148,36.83,-,1903,88.59
AVENTIS,EQ,18-Jan-2006,1711.35,1700.00,1713.95,1681.00,1699.00,1700.60,1701.55,1206,20.52,-,909,75.37
AVENTIS,EQ,19-Jan-2006,1700.60,1705.00,1713.55,1691.00,1700.00,1701.90,1700.73,1208,20.54,-,918,75.99
AVENTIS,EQ,20-Jan-2006,1701.90,1700.15,1726.95,1700.00,1700.00,1700.25,1705.76,1165,19.87,-,867,74.42
AVENTIS,EQ,23-Jan-2006,1700.25,1700.25,1707.95,1675.00,1680.00,1680.00,1696.73,1510,25.62,-,1340,88.74
AVENTIS,EQ,24-Jan-2006,1680.00,1680.35,1700.00,1650.00,1658.00,1655.45,1675.18,3331,55.80,-,2907,87.27
