Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHARDACROP,EQ,23-Sep-2014,156.00,260.00,274.00,225.00,230.60,230.95,244.45,25978566,63504.41,265301,7956667,30.63
SHARDACROP,EQ,24-Sep-2014,230.95,231.80,258.70,217.25,256.30,253.25,238.84,10827362,25860.49,157847,2002970,18.50
SHARDACROP,EQ,25-Sep-2014,253.25,259.05,268.90,253.80,265.00,261.60,262.36,6411675,16821.72,94731,1352033,21.09
SHARDACROP,EQ,26-Sep-2014,261.60,263.90,266.70,246.40,252.30,252.85,256.31,2619748,6714.65,44221,601614,22.96
SHARDACROP,EQ,29-Sep-2014,252.85,251.90,263.35,243.00,256.50,256.00,255.17,2438761,6223.07,32925,344358,14.12
SHARDACROP,EQ,30-Sep-2014,256.00,255.00,273.25,251.00,259.60,260.80,263.40,2560833,6745.16,38282,422172,16.49
SHARDACROP,EQ,01-Oct-2014,260.80,260.80,266.35,257.00,259.00,259.90,262.17,1252942,3284.90,20375,228761,18.26
SHARDACROP,EQ,07-Oct-2014,259.90,258.80,263.80,253.55,258.95,258.10,259.46,1268209,3290.47,17102,296514,23.38
SHARDACROP,EQ,08-Oct-2014,258.10,257.00,268.80,256.70,266.00,266.40,263.54,1297444,3419.33,18982,375419,28.94
SHARDACROP,EQ,09-Oct-2014,266.40,267.40,273.40,263.50,265.00,266.35,268.93,1416727,3810.05,19871,321742,22.71
SHARDACROP,EQ,10-Oct-2014,266.35,262.70,265.10,255.25,255.50,257.00,261.22,474656,1239.88,6907,159096,33.52
SHARDACROP,EQ,13-Oct-2014,257.00,255.95,261.00,251.20,259.75,255.15,255.00,591183,1507.52,7229,276236,46.73
SHARDACROP,EQ,14-Oct-2014,255.15,259.25,263.10,256.50,257.05,257.75,260.12,363532,945.61,5452,127223,35.00
SHARDACROP,EQ,16-Oct-2014,257.75,256.00,258.00,234.50,237.00,237.40,244.83,519000,1270.69,7742,218478,42.10
SHARDACROP,EQ,17-Oct-2014,237.40,239.00,247.95,226.70,239.00,242.15,240.64,963272,2317.98,12859,430215,44.66
SHARDACROP,EQ,20-Oct-2014,242.15,247.00,250.90,240.55,241.80,242.15,245.78,250512,615.72,4621,84617,33.78
SHARDACROP,EQ,21-Oct-2014,242.15,244.00,254.10,242.10,252.50,252.25,249.58,457162,1141.00,5392,172722,37.78
SHARDACROP,EQ,22-Oct-2014,252.25,252.00,257.00,249.00,250.60,251.25,252.55,300171,758.07,9838,97645,32.53
SHARDACROP,EQ,23-Oct-2014,251.25,254.00,254.90,250.70,253.50,252.60,252.92,83292,210.66,1118,41312,49.60
SHARDACROP,EQ,27-Oct-2014,252.60,252.80,256.95,248.40,253.20,252.30,252.02,253812,639.65,5847,110173,43.41
SHARDACROP,EQ,28-Oct-2014,252.30,254.30,264.65,252.40,263.00,262.35,259.18,620988,1609.47,9166,233372,37.58
SHARDACROP,EQ,29-Oct-2014,262.35,264.45,265.05,255.65,256.00,256.80,259.26,418432,1084.81,4371,231234,55.26
SHARDACROP,EQ,30-Oct-2014,256.80,255.45,261.95,253.40,256.00,255.75,257.63,426580,1098.98,4328,218336,51.18
SHARDACROP,EQ,31-Oct-2014,255.75,257.05,267.65,257.05,265.00,265.15,263.02,502679,1322.15,7696,275016,54.71
SHARDACROP,EQ,03-Nov-2014,265.15,265.00,288.30,264.85,281.80,282.05,279.62,2440177,6823.20,32086,700121,28.69
SHARDACROP,EQ,05-Nov-2014,282.05,283.40,289.00,257.50,259.40,260.60,272.37,2697825,7348.16,37767,588098,21.80
SHARDACROP,EQ,07-Nov-2014,260.60,258.15,291.90,251.65,290.60,287.55,277.18,2405773,6668.23,34725,804808,33.45
SHARDACROP,EQ,10-Nov-2014,287.55,290.80,300.00,278.10,292.70,294.05,291.17,1242418,3617.55,18066,284443,22.89
SHARDACROP,EQ,11-Nov-2014,294.05,293.70,299.95,288.25,290.40,291.70,295.11,742672,2191.72,13244,169193,22.78
SHARDACROP,EQ,12-Nov-2014,291.70,290.20,304.50,290.05,297.45,297.75,299.35,941300,2817.81,16002,282197,29.98
SHARDACROP,EQ,13-Nov-2014,297.75,298.00,301.70,288.80,290.35,290.80,295.18,478402,1412.13,7552,180110,37.65
SHARDACROP,EQ,14-Nov-2014,290.80,291.95,296.40,289.00,293.90,293.95,293.15,277512,813.53,7880,89884,32.39
SHARDACROP,EQ,17-Nov-2014,293.95,294.00,301.70,291.10,294.90,295.60,296.05,282906,837.55,5625,72756,25.72
SHARDACROP,EQ,18-Nov-2014,295.60,296.20,309.40,295.00,296.00,296.80,301.64,805925,2431.01,13512,194191,24.10
SHARDACROP,EQ,19-Nov-2014,296.80,297.40,299.50,281.10,286.85,286.45,290.61,391098,1136.59,6793,153072,39.14
SHARDACROP,EQ,20-Nov-2014,286.45,287.00,289.40,270.25,279.30,278.80,279.01,411449,1147.99,8202,153831,37.39
SHARDACROP,EQ,21-Nov-2014,278.80,280.15,281.85,271.10,272.00,273.55,275.55,338959,934.00,6199,151793,44.78
SHARDACROP,EQ,24-Nov-2014,273.55,274.80,282.50,270.40,274.65,275.20,277.43,323199,896.64,6012,70399,21.78
