Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHEMAROO,BE,01-Oct-2014,170.00,180.00,182.00,171.00,171.00,171.00,174.52,1311237,2288.32,7931,-,-
SHEMAROO,BE,07-Oct-2014,171.00,162.45,162.45,162.45,162.45,162.45,162.45,71470,116.10,271,-,-
SHEMAROO,BE,08-Oct-2014,162.45,154.35,154.35,154.35,154.35,154.35,154.35,160175,247.23,1055,-,-
SHEMAROO,BE,09-Oct-2014,154.35,146.65,158.00,146.65,156.10,156.05,155.12,568988,882.61,4666,-,-
SHEMAROO,BE,10-Oct-2014,156.05,149.65,156.00,149.65,155.00,154.00,152.28,235579,358.74,971,-,-
SHEMAROO,BE,13-Oct-2014,154.00,155.00,159.65,152.70,157.00,157.80,156.09,74449,116.21,820,-,-
SHEMAROO,BE,14-Oct-2014,157.80,154.05,156.50,152.75,152.75,153.80,154.06,34303,52.85,412,-,-
SHEMAROO,BE,16-Oct-2014,153.80,153.80,154.85,147.00,147.00,148.65,150.63,34505,51.98,417,-,-
SHEMAROO,BE,17-Oct-2014,148.65,147.00,148.75,144.00,145.60,146.10,145.82,16504,24.07,257,-,-
SHEMAROO,BE,20-Oct-2014,146.10,148.00,153.40,148.00,153.40,153.40,152.88,10922,16.70,134,-,-
SHEMAROO,EQ,21-Oct-2014,153.40,159.00,165.00,153.50,159.00,160.35,159.08,238290,379.07,3729,93423,39.21
SHEMAROO,EQ,22-Oct-2014,160.35,159.75,171.00,157.55,162.45,163.15,165.10,215936,356.52,3454,83375,38.61
SHEMAROO,EQ,23-Oct-2014,163.15,163.15,164.75,161.00,164.25,162.20,162.43,31129,50.56,418,26653,85.62
SHEMAROO,EQ,27-Oct-2014,162.20,161.05,164.35,156.05,156.90,157.10,159.51,37560,59.91,748,25875,68.89
SHEMAROO,EQ,28-Oct-2014,157.10,157.50,157.50,153.05,154.50,154.90,155.46,38793,60.31,758,25663,66.15
SHEMAROO,EQ,29-Oct-2014,154.90,154.50,161.50,153.55,157.00,157.40,157.90,47083,74.34,717,31586,67.09
SHEMAROO,EQ,30-Oct-2014,157.40,157.90,161.75,155.25,160.90,160.25,158.70,43939,69.73,631,31536,71.77
SHEMAROO,EQ,31-Oct-2014,160.25,163.70,165.40,158.65,164.05,163.95,163.22,147988,241.54,1721,112825,76.24
SHEMAROO,EQ,03-Nov-2014,163.95,161.10,163.95,161.00,161.50,161.50,161.96,25458,41.23,435,18475,72.57
